ID,ISC_ID,SITE,LAT,LON,AZI,TYPE,DEPTH,QUALITY,REGIME,LOCALITY,COUNTRY,DATE,TIME,NUMBER,SD,TOT_LEN,VENT,TOP,BOT,ANISOTROPY,METHOD,S1AZ,S1PL,S2AZ,S2PL,S3AZ,S3PL,MAG_TYPE,EQ_MAG,CRUST,REF1,REF2,REF3,REF4,REF5,REF6,COMMENT,PLATE,DIST
wsm00015,,TU42,36.88,30.67,0,OC,0.31,C,U,Oymapinar-An,Turkey,,,,12.0,,,,,,FJ,,,,,,,,,True,CAKIXX1971,,,,,,FRSDB,AT,170.0
wsm00016,,TU41,40.18,29.1,0,OC,0.17,B,NF,Uludag-Bursa,Turkey,,,,12.0,,,,,,FJ,,,,,,,,,True,KOSEXX1983,,,,,,FRSDB,AT,57.0
wsm00017,,TU40,41.8,33.69,0,OC,0.16,C,NF,Kure-Asikoy,Turkey,,,,12.0,,,,,,FJ,,,,,,,,,True,PASAET1984,,,,,,FRSDB,EU,87.0
wsm00025,,SW235,56.821,12.714,17,HF,0.15,B,TF,Betinge,Sweden,,,5.0,17.0,,,,,,,,,,,,,,,True,BJARKL1989,,,,,,Amphibolite and Gneiss - FRSDB,EU,1783.0
wsm00026,,SW234,57.428,16.685,140,HF,0.5,B,TS,Simpevarp-As,Sweden,,,16.0,16.0,,,,,,,,,,,,,,,True,BJARKL1989,,,,,,FRSDB,EU,1782.0
wsm00027,,SW233,61.115,14.758,103,HF,0.2,B,TF,Siljan-Stajs,Sweden,,,11.0,18.0,,,,,,,,,,,,,,,True,BJARKL1989,,,,,,FRSDB,EU,1358.0
wsm00028,,SW232,60.376,18.171,138,OC,0.32,D,TF,Forsmark,Sweden,,,24.0,15.0,,,,,,TR,318.0,1.0,228.0,0.0,249.0,90.0,,,True,STEPET1987,,,,,,SH05.2-58.8 - Sh=1.9-36.1 in INGEST81,EU,1493.0
wsm00029,,SW231,60.376,18.171,151,OC,0.03,C,U,Forsmark,Sweden,,,15.0,15.0,,,,,,,,,,,,,,,True,ANDEXX1985,,,,,,NC,EU,1493.0
wsm00030,,SW230,60.376,18.171,117,OC,0.1,D,TF,Forsmark,Sweden,,,10.0,34.0,,,,,,,,,,,,,,,True,STRIAN1981,,,,,,Pegmatite and Gneissgranite - FRSDB,EU,1493.0
wsm00031,,SW229,56.669,13.678,72,HF,0.1,B,TF,Bolmen,Sweden,,,3.0,16.0,,,,,,,,,,,,,,,True,BJARXX1986,,,,,,Heavily fractured rock - FRSDB,EU,1815.0
wsm00032,,SW228,56.667,13.679,28,HF,0.1,A,TF,Bolmen,Sweden,,,3.0,8.0,,,,,,,,,,,,,,,True,BJARXX1986,,,,,,Heavily fractured rock. FRSDB,EU,1815.0
wsm00060,,SW179,57.417,16.662,69,OC,0.05,D,U,Simpevard/Os,Sweden,,,9.0,34.0,,,,,,,,,,,,,,,True,INGEST1979,,,,,,average of 9 measuringpoints.,EU,1783.0
wsm00061,,SW178,60.138,16.114,175,OC,0.04,E,U,Avesta,Sweden,,,12.0,49.0,,,,,,,,,,,,,,,True,INGEXX1983,,,,,,low and close to isotropic horizontal stress field.,EU,1484.0
wsm00062,,SW177,58.388,11.453,166,OC,0.1,D,U,Brofjorden,Sweden,,,4.0,16.0,,,,,,,,,,,,,,,True,INGEST1977,,,,,,average of 4 measuringpoints - see repeat measurements in 1980 (SW176),EU,1595.0
wsm00063,,SW176,58.388,11.453,128,OC,0.1,B,U,Brofjorden,Sweden,,,15.0,15.0,,,,,,,,,,,,,,,True,INGEST1980,,,,,,average of 15 measuringpoints.,EU,1595.0
wsm00067,,SW171,58.601,11.283,146,OC,0.02,D,U,Fjaellbacka,Sweden,,,3.0,20.0,,,,,,,,,,,,,,,True,STRIXX1983,,,,,,average of 3 measuringpoints.,EU,1570.0
wsm00069,,SW170,56.211,13.12,36,OC,0.1,B,NF,Stidsvig,Sweden,,,3.0,16.0,,,,,,TR,189.0,80.0,36.0,9.0,305.0,4.0,,,True,ANDEXX1982,,,,,,average of 3 measuringpoints. Sig1 almost vertical. SH=1.8 - Sh=-0.6,EU,1855.0
wsm00073,,SW163,59.338,15.451,180,OC,0.1,D,U,Bjoerka_Mine,Sweden,,,8.0,26.0,,,,,,,,,,,,,,,True,LEIJXX1980,,,,,,NC,EU,1558.0
wsm00074,,SW162,59.338,15.452,130,OC,0.1,C,U,Bjoerka_Mine,Sweden,,,9.0,23.0,,,,,,,,,,,,,,,True,LEIJXX1980,,,,,,NC,EU,1559.0
wsm00076,,SW161,56.211,13.12,37,HF,0.1,B,TF,Stidsvig,Sweden,,,3.0,13.0,,,,,,,,,,,,,,,True,STEPAN1987,,,,,,FRSDB - Compilation Becker,EU,1855.0
wsm00077,,SW160,59.624,15.102,109,OC,0.2,D,U,Stripa_Mine,Sweden,,,17.0,26.0,,,,,,,,,,,,,,,True,INGEST1980,,,,,,SH>Sh=Sv,EU,1523.0
wsm00078,,SW159,59.624,15.101,161,OC,0.4,B,U,Stripa_Mine,Sweden,,,5.0,18.0,,,,,,,,,,,,,,,True,ANDEXX1986,,,,,,average of 6 measuringpoints in borehole V4.,EU,1522.0
wsm00080,,SW158,59.625,15.101,69,OC,0.4,E,U,Stripa_Mine,Sweden,,,3.0,4.0,,,,,,,,,,,,,,,True,STEPET1987,,,,,,Set to E-quality. See SW238.Measurements in borehole LB1. Extensiometer drift migration expr.,EU,1522.0
wsm00081,,SW157,59.624,15.103,66,OC,0.3,E,U,Stripa_Mine,Sweden,,,5.0,9.0,,,,,,,,,,,,,,,True,STEPET1987,,,,,,Set to E-quality. See SW238.Measurements in borehole BSP-1,EU,1523.0
wsm00082,,SW156,59.623,15.101,70,OC,0.6,E,U,Stripa_Mine,Sweden,,,8.0,27.0,,,,,,,,,,,,,,,True,INGEST1980,,,,,,Set to E-quality. See SW238.Measurements in borehole SGU-1050,EU,1523.0
wsm00083,,SW155,59.624,15.101,107,HF,0.2,B,TF,Stripa_Mine,Sweden,,,16.0,17.0,,,,,,,,,,,,,,,True,DOEXHU1983,,,,,,FRSDB - Compilation Becker,EU,1522.0
wsm0009,,,51.3337,1.3884,999,FMS,17.0,E,U,,United Kingdom,22/05/2015,52:15.7,,,,,,,,FM,294.0,29.0,191.0,23.0,69.0,52.0,,,True,ISC,eqbull2015,,,,,			,EU,1557.0
wsm0010,,,55.32,-2.73,999,FMS,14.5,E,U,Ludlow,United Kingdom,17/09/1993,39:54.4,,,,,,,,FM,180.0,33.0,293.0,32.0,56.0,41.0,,,True,eqbull2015,eqbull1993,,,,,			,EU,1316.0
wsm0011,,,53.047,-4.368,999,FMS,14.0,E,U,,Sea,07/02/2013,44:54.5,,,,,,,,FM,309.0,40.0,162.0,45.0,54.0,17.0,,,True,ISC,eqbull2013,,,,,			,EU,1474.0
wsm0012,,,54.77,-2.81,999,FMS,13.8,E,U,Calthwaite,United Kingdom,24/04/2000,10:55.7,,,,,,,,FM,,,,,,,,,True,eqbull2000,,,,,,			,EU,1364.0
wsm0013,,,55.1,-3.63,999,FMS,12.8,E,U,Locharbriggs,United Kingdom,21/07/1998,17:01.4,,,,,,,,FM,,,,,,,,,True,eqbull1998,,,,,,			,EU,1306.0
wsm0014,,,52.883,-4.719,999,FMS,10.5,E,U,,Sea,29/05/2013,16:28.9,,,,,,,,FM,289.0,21.0,176.0,45.0,36.0,38.0,,,True,ISC,eqbull2013,,,,,			,EU,1479.0
wsm0015,,,53.12,-4.36,999,FMS,9.7,E,U,Caernarfon,Sea,26/05/2015,41:03.8,,,,,,,,FM,103.0,30.0,354.0,30.0,229.0,46.0,,,True,eqbull2015,,,,,,			,EU,1467.0
wsm0016,,,50.0,-5.58,999,FMS,8.0,E,U,Penzance,Sea,10/11/1996,28:33.8,,,,,,,,FM,314.0,29.0,86.0,50.0,209.0,25.0,ML,3.8,True,BAPTXX2010,eqbull1996,,,,,			,EU,1526.0
wsm0017,,,55.03,-2.82,999,FMS,4.0,E,U,Carlisle,United Kingdom,1979,,,,,,,,,FM,358.0,35.0,127.0,43.0,246.0,28.0,ML,4.8,True,BAPTXX2010,King(1980),,,,,			,EU,1340.0
wsm00179,,SW238,59.624,15.101,68,OC,0.45,A,U,Stripa_Mine,Sweden,,,16.0,,,,,,,,,,,,,,,,True,STEPET1987,,,,,,Mean value of SW156 - SW157 - SW158. (BH SGU 1050),EU,1522.0
wsm0018,,,53.48,-2.2,999,FMS,3.0,E,U,Manchester,United Kingdom,21/10/2002,42:34.7,,,,,,,,FM,21.0,45.0,291.0,0.0,201.0,45.0,ML,3.9,True,BAPTXX2010,eqbull2002,,,,,			,EU,1508.0
wsm00180,,SW237,60.378,17.832,132,HF,0.25,A,TS,Finnsjon,Sweden,,,16.0,12.0,,,,,,,,,,,,,,,True,BJARXX1988,,,,,,FRSDB,EU,1487.0
