ID,LON,LAT,DEPTH,DIST,PLATE,QUALITY,REGIME_1,AZI,geometry
wsm02413,13.42,43.72,0.0,542.0,EU,A,SS,85.0,POINT (13.42 43.72)
wsm02482,12.57,43.27,10.0,477.0,EU,B,NF,117.0,POINT (12.57 43.27)
wsm102226,12.99,43.61,24.4,521.0,EU,C,SS,169.0,POINT (12.99 43.61)
wsm103605,14.74,44.91,26.0,684.0,EU,C,SS,179.0,POINT (14.74 44.91)
wsm108318,11.29,44.01,12.0,549.0,EU,C,NF,120.0,POINT (11.29 44.01)
wsm108320,11.36,44.01,10.0,549.0,EU,C,NF,154.0,POINT (11.36 44.01)
wsm108321,11.22,44.06,10.0,555.0,EU,C,NF,129.0,POINT (11.22 44.06)
wsm108552,15.85,42.07,30.3,368.0,EU,C,TS,124.0,POINT (15.85 42.07)
wsm112192,10.3,44.51,25.5,609.0,EU,C,TF,20.0,POINT (10.3 44.51)
wsm112201,10.23,44.5,30.4,609.0,EU,C,TF,25.0,POINT (10.23 44.5)
wsm113370,13.35,42.36,5.0,397.0,EU,C,NF,151.0,POINT (13.35 42.36)
wsm113458,12.01,44.24,26.9,577.0,EU,C,TF,12.0,POINT (12.01 44.24)
wsm113459,13.37,42.33,8.4,394.0,EU,C,NF,173.0,POINT (13.37 42.33)
wsm113466,13.35,42.29,12.0,389.0,EU,C,NF,134.0,POINT (13.35 42.29)
wsm113469,13.34,42.37,10.1,397.0,EU,C,NF,147.0,POINT (13.34 42.37)
wsm113471,13.39,42.34,10.0,396.0,EU,C,NF,153.0,POINT (13.39 42.34)
wsm113472,13.37,42.35,9.2,396.0,EU,C,NF,139.0,POINT (13.37 42.35)
wsm113477,13.33,42.36,10.2,396.0,EU,C,NF,165.0,POINT (13.33 42.36)
wsm113483,13.27,42.47,12.0,406.0,EU,C,NF,146.0,POINT (13.27 42.47)
wsm113492,13.39,42.34,10.2,396.0,EU,C,NF,143.0,POINT (13.39 42.34)
wsm113502,13.39,42.31,17.4,393.0,EU,C,NS,133.0,POINT (13.39 42.31)
wsm113506,13.38,42.38,7.4,400.0,EU,C,NF,120.0,POINT (13.38 42.38)
wsm113525,13.36,42.51,10.2,412.0,EU,C,NF,140.0,POINT (13.36 42.51)
wsm113529,13.3,42.48,12.0,408.0,EU,C,NF,143.0,POINT (13.3 42.48)
wsm113531,13.44,42.34,18.0,397.0,EU,C,SS,108.0,POINT (13.44 42.34)
wsm113535,13.42,42.45,8.1,408.0,EU,C,NS,159.0,POINT (13.42 42.45)
wsm113540,13.19,42.37,4.1,393.0,EU,C,NF,134.0,POINT (13.19 42.37)
wsm113545,13.24,42.49,12.0,407.0,EU,C,NF,133.0,POINT (13.24 42.49)
wsm113549,13.42,42.47,9.4,410.0,EU,C,NF,111.0,POINT (13.42 42.47)
wsm113586,13.21,42.52,12.0,409.0,EU,C,NF,138.0,POINT (13.21 42.52)
wsm113597,13.29,42.53,10.4,413.0,EU,C,NF,146.0,POINT (13.29 42.53)
wsm113627,13.31,42.51,8.6,411.0,EU,C,NF,144.0,POINT (13.31 42.51)
wsm113754,13.49,42.25,9.9,389.0,EU,C,NF,145.0,POINT (13.49 42.25)
