grid_label,LON,LAT,REGIME
A,10,40,SS
A,10.6,40,TF
A,11.2,40,TF
A,11.8,40,TF
A,12.4,40,TF
A,13,40,TF
A,13.6,40,TF
A,14.2,40,TF
A,14.8,40,TF
A,15.4,40,NF
A,16,40,NF
A,10,40.6,TF
A,10.6,40.6,TF
A,11.2,40.6,TF
A,11.8,40.6,TF
A,12.4,40.6,TF
A,13,40.6,TF
A,13.6,40.6,NF
A,14.2,40.6,NF
A,14.8,40.6,NF
A,15.4,40.6,NF
A,16,40.6,NF
A,10,41.2,NF
A,10.6,41.2,TF
A,11.2,41.2,TF
A,11.8,41.2,TF
A,12.4,41.2,TF
A,13,41.2,NF
A,13.6,41.2,TF
A,14.2,41.2,NF
A,14.8,41.2,NF
A,15.4,41.2,NF
A,16,41.2,NF
A,10,41.8,TF
A,10.6,41.8,TF
A,11.2,41.8,TF
A,11.8,41.8,NF
A,12.4,41.8,NF
A,13,41.8,NF
A,13.6,41.8,NF
A,14.2,41.8,NF
A,14.8,41.8,NF
A,15.4,41.8,TF
A,16,41.8,TF
A,10,42.4,TF
A,10.6,42.4,TF
A,11.2,42.4,TF
A,11.8,42.4,TF
A,12.4,42.4,TF
A,13,42.4,NF
A,13.6,42.4,NF
A,14.2,42.4,TF
A,14.8,42.4,TF
A,15.4,42.4,TF
A,16,42.4,TF
A,10,43,TF
A,10.6,43,TF
A,11.2,43,NF
A,11.8,43,NF
A,12.4,43,NF
A,13,43,NF
A,13.6,43,NF
A,14.2,43,TF
A,14.8,43,TF
A,15.4,43,TF
A,16,43,TF
A,10,43.6,TF
A,10.6,43.6,TF
A,11.2,43.6,TF
A,11.8,43.6,SS
A,12.4,43.6,NF
A,13,43.6,NF
A,13.6,43.6,TF
A,14.2,43.6,TF
A,14.8,43.6,TF
A,15.4,43.6,TF
A,16,43.6,TF
A,10,44.2,NF
A,10.6,44.2,NF
A,11.2,44.2,NF
A,11.8,44.2,NF
A,12.4,44.2,TF
A,13,44.2,SS
A,13.6,44.2,TF
A,14.2,44.2,TF
A,14.8,44.2,TF
A,15.4,44.2,TF
A,16,44.2,SS
A,10,44.8,TF
A,10.6,44.8,TF
A,11.2,44.8,TF
A,11.8,44.8,TF
A,12.4,44.8,NF
A,13,44.8,NF
A,13.6,44.8,NF
A,14.2,44.8,TF
A,14.8,44.8,TF
A,15.4,44.8,NF
A,16,44.8,TF
