grid_label,LON,LAT,REGIME
B,10.2,40,TF
B,10.8,40,TF
B,11.4,40,TF
B,12,40,TF
B,12.6,40,TF
B,13.2,40,TF
B,13.8,40,TF
B,14.4,40,TF
B,15,40,TF
B,15.6,40,NF
B,10.2,40.6,TF
B,10.8,40.6,TF
B,11.4,40.6,TF
B,12,40.6,TF
B,12.6,40.6,SS
B,13.2,40.6,TF
B,13.8,40.6,TF
B,14.4,40.6,TF
B,15,40.6,TF
B,15.6,40.6,NF
B,10.2,41.2,TF
B,10.8,41.2,TF
B,11.4,41.2,TF
B,12,41.2,TF
B,12.6,41.2,NF
B,13.2,41.2,TF
B,13.8,41.2,TF
B,14.4,41.2,NF
B,15,41.2,NF
B,15.6,41.2,TF
B,10.2,41.8,TF
B,10.8,41.8,TF
B,11.4,41.8,TF
B,12,41.8,NF
B,12.6,41.8,TF
B,13.2,41.8,NF
B,13.8,41.8,NF
B,14.4,41.8,NF
B,15,41.8,SS
B,15.6,41.8,TF
B,10.2,42.4,TF
B,10.8,42.4,SS
B,11.4,42.4,TF
B,12,42.4,TF
B,12.6,42.4,NF
B,13.2,42.4,NF
B,13.8,42.4,TF
B,14.4,42.4,TF
B,15,42.4,NF
B,15.6,42.4,TF
B,10.2,43,TF
B,10.8,43,TF
B,11.4,43,NF
B,12,43,NF
B,12.6,43,NF
B,13.2,43,NF
B,13.8,43,NF
B,14.4,43,TF
B,15,43,TF
B,15.6,43,TF
B,10.2,43.6,TF
B,10.8,43.6,NF
B,11.4,43.6,NF
B,12,43.6,NF
B,12.6,43.6,NF
B,13.2,43.6,NF
B,13.8,43.6,SS
B,14.4,43.6,TF
B,15,43.6,TF
B,15.6,43.6,TF
B,10.2,44.2,NF
B,10.8,44.2,TF
B,11.4,44.2,NF
B,12,44.2,NF
B,12.6,44.2,TF
B,13.2,44.2,TF
B,13.8,44.2,TF
B,14.4,44.2,TF
B,15,44.2,TF
B,15.6,44.2,NF
B,10.2,44.8,TF
B,10.8,44.8,NF
B,11.4,44.8,TF
B,12,44.8,TF
B,12.6,44.8,NF
B,13.2,44.8,NF
B,13.8,44.8,NF
B,14.4,44.8,TF
B,15,44.8,TF
B,15.6,44.8,NF
