grid_label,LON,LAT,REGIME
C,10.4,40,TF
C,11,40,TF
C,11.6,40,TF
C,12.2,40,TF
C,12.8,40,TF
C,13.4,40,TF
C,14,40,TF
C,14.6,40,TF
C,15.2,40,TF
C,15.8,40,NF
C,10.4,40.6,TF
C,11,40.6,TF
C,11.6,40.6,TF
C,12.2,40.6,TF
C,12.8,40.6,TF
C,13.4,40.6,TF
C,14,40.6,NF
C,14.6,40.6,NF
C,15.2,40.6,TF
C,15.8,40.6,NF
C,10.4,41.2,TF
C,11,41.2,TF
C,11.6,41.2,TF
C,12.2,41.2,TF
C,12.8,41.2,NF
C,13.4,41.2,TF
C,14,41.2,TF
C,14.6,41.2,TF
C,15.2,41.2,NF
C,15.8,41.2,NF
C,10.4,41.8,TF
C,11,41.8,TF
C,11.6,41.8,TF
C,12.2,41.8,NF
C,12.8,41.8,TF
C,13.4,41.8,NF
C,14,41.8,NF
C,14.6,41.8,NF
C,15.2,41.8,TF
C,15.8,41.8,TF
C,10.4,42.4,TF
C,11,42.4,SS
C,11.6,42.4,TF
C,12.2,42.4,NF
C,12.8,42.4,NF
C,13.4,42.4,NF
C,14,42.4,NF
C,14.6,42.4,TF
C,15.2,42.4,NF
C,15.8,42.4,TF
C,10.4,43,SS
C,11,43,TF
C,11.6,43,NF
C,12.2,43,NF
C,12.8,43,NF
C,13.4,43,NF
C,14,43,TF
C,14.6,43,TF
C,15.2,43,TF
C,15.8,43,TF
C,10.4,43.6,TF
C,11,43.6,NF
C,11.6,43.6,SS
C,12.2,43.6,NF
C,12.8,43.6,NF
C,13.4,43.6,TF
C,14,43.6,TF
C,14.6,43.6,TF
C,15.2,43.6,TF
C,15.8,43.6,TF
C,10.4,44.2,NF
C,11,44.2,TF
C,11.6,44.2,NF
C,12.2,44.2,TF
C,12.8,44.2,SS
C,13.4,44.2,TF
C,14,44.2,SS
C,14.6,44.2,TF
C,15.2,44.2,TF
C,15.8,44.2,TF
C,10.4,44.8,TF
C,11,44.8,NF
C,11.6,44.8,TF
C,12.2,44.8,TF
C,12.8,44.8,NF
C,13.4,44.8,TF
C,14,44.8,TF
C,14.6,44.8,TF
C,15.2,44.8,TF
C,15.8,44.8,NF
