grid_label,LON,LAT,REGIME
D,10,40.2,TF
D,10.6,40.2,TF
D,11.2,40.2,TF
D,11.8,40.2,TF
D,12.4,40.2,TF
D,13,40.2,TF
D,13.6,40.2,TF
D,14.2,40.2,TF
D,14.8,40.2,TF
D,15.4,40.2,SS
D,16,40.2,NF
D,10,40.8,TF
D,10.6,40.8,TF
D,11.2,40.8,TF
D,11.8,40.8,TF
D,12.4,40.8,TF
D,13,40.8,TF
D,13.6,40.8,TF
D,14.2,40.8,NF
D,14.8,40.8,NF
D,15.4,40.8,NF
D,16,40.8,NF
D,10,41.4,NF
D,10.6,41.4,TF
D,11.2,41.4,TF
D,11.8,41.4,TF
D,12.4,41.4,TF
D,13,41.4,TF
D,13.6,41.4,SS
D,14.2,41.4,NF
D,14.8,41.4,NF
D,15.4,41.4,TF
D,16,41.4,TF
D,10,42,TF
D,10.6,42,TF
D,11.2,42,TF
D,11.8,42,TF
D,12.4,42,NF
D,13,42,NF
D,13.6,42,NF
D,14.2,42,NF
D,14.8,42,NF
D,15.4,42,TF
D,16,42,TF
D,10,42.6,TF
D,10.6,42.6,NF
D,11.2,42.6,TF
D,11.8,42.6,NF
D,12.4,42.6,NF
D,13,42.6,NF
D,13.6,42.6,NF
D,14.2,42.6,NF
D,14.8,42.6,NF
D,15.4,42.6,TF
D,16,42.6,TF
D,10,43.2,NF
D,10.6,43.2,TF
D,11.2,43.2,SS
D,11.8,43.2,TF
D,12.4,43.2,NF
D,13,43.2,NF
D,13.6,43.2,NF
D,14.2,43.2,TF
D,14.8,43.2,TF
D,15.4,43.2,TF
D,16,43.2,TF
D,10,43.8,NF
D,10.6,43.8,NF
D,11.2,43.8,NF
D,11.8,43.8,NF
D,12.4,43.8,NF
D,13,43.8,TF
D,13.6,43.8,TF
D,14.2,43.8,TF
D,14.8,43.8,TF
D,15.4,43.8,TF
D,16,43.8,TF
D,10,44.4,NF
D,10.6,44.4,NF
D,11.2,44.4,NF
D,11.8,44.4,TF
D,12.4,44.4,TF
D,13,44.4,SS
D,13.6,44.4,TF
D,14.2,44.4,TF
D,14.8,44.4,TF
D,15.4,44.4,TF
D,16,44.4,NF
D,10,45,TF
D,10.6,45,TF
D,11.2,45,TF
D,11.8,45,NF
D,12.4,45,TF
D,13,45,NF
D,13.6,45,NF
D,14.2,45,TF
D,14.8,45,TF
D,15.4,45,NF
D,16,45,TF
