grid_label,LON,LAT,REGIME
E,10.2,40.2,TF
E,10.8,40.2,TF
E,11.4,40.2,TF
E,12,40.2,TF
E,12.6,40.2,TF
E,13.2,40.2,TF
E,13.8,40.2,TF
E,14.4,40.2,TF
E,15,40.2,TF
E,15.6,40.2,NF
E,10.2,40.8,TF
E,10.8,40.8,TF
E,11.4,40.8,TF
E,12,40.8,TF
E,12.6,40.8,TF
E,13.2,40.8,SS
E,13.8,40.8,TF
E,14.4,40.8,TF
E,15,40.8,NF
E,15.6,40.8,NF
E,10.2,41.4,TF
E,10.8,41.4,TF
E,11.4,41.4,TF
E,12,41.4,TF
E,12.6,41.4,TF
E,13.2,41.4,TF
E,13.8,41.4,TF
E,14.4,41.4,TF
E,15,41.4,NF
E,15.6,41.4,TF
E,10.2,42,TF
E,10.8,42,TF
E,11.4,42,TF
E,12,42,TF
E,12.6,42,TF
E,13.2,42,TF
E,13.8,42,NF
E,14.4,42,TF
E,15,42,NF
E,15.6,42,TF
E,10.2,42.6,TF
E,10.8,42.6,TF
E,11.4,42.6,TF
E,12,42.6,NF
E,12.6,42.6,NF
E,13.2,42.6,NF
E,13.8,42.6,NF
E,14.4,42.6,TF
E,15,42.6,NF
E,15.6,42.6,TF
E,10.2,43.2,NF
E,10.8,43.2,TF
E,11.4,43.2,SS
E,12,43.2,NF
E,12.6,43.2,NF
E,13.2,43.2,TF
E,13.8,43.2,NF
E,14.4,43.2,TF
E,15,43.2,TF
E,15.6,43.2,TF
E,10.2,43.8,TF
E,10.8,43.8,NF
E,11.4,43.8,NF
E,12,43.8,NF
E,12.6,43.8,NF
E,13.2,43.8,TF
E,13.8,43.8,TF
E,14.4,43.8,TF
E,15,43.8,TF
E,15.6,43.8,TF
E,10.2,44.4,NF
E,10.8,44.4,NF
E,11.4,44.4,NF
E,12,44.4,TF
E,12.6,44.4,TF
E,13.2,44.4,TF
E,13.8,44.4,TF
E,14.4,44.4,TF
E,15,44.4,TF
E,15.6,44.4,NF
E,10.2,45,TF
E,10.8,45,TF
E,11.4,45,TF
E,12,45,TF
E,12.6,45,TF
E,13.2,45,NF
E,13.8,45,NF
E,14.4,45,TF
E,15,45,TF
E,15.6,45,NF
