grid_label,LON,LAT,REGIME
F,10.4,40.2,TF
F,11,40.2,TF
F,11.6,40.2,TF
F,12.2,40.2,TF
F,12.8,40.2,TF
F,13.4,40.2,TF
F,14,40.2,TF
F,14.6,40.2,TF
F,15.2,40.2,SS
F,15.8,40.2,NF
F,10.4,40.8,TF
F,11,40.8,TF
F,11.6,40.8,TF
F,12.2,40.8,TF
F,12.8,40.8,TF
F,13.4,40.8,TF
F,14,40.8,NF
F,14.6,40.8,NF
F,15.2,40.8,NF
F,15.8,40.8,NF
F,10.4,41.4,TF
F,11,41.4,TF
F,11.6,41.4,TF
F,12.2,41.4,TF
F,12.8,41.4,TF
F,13.4,41.4,TF
F,14,41.4,NF
F,14.6,41.4,TF
F,15.2,41.4,TF
F,15.8,41.4,TF
F,10.4,42,TF
F,11,42,TF
F,11.6,42,TF
F,12.2,42,TF
F,12.8,42,NF
F,13.4,42,NF
F,14,42,NF
F,14.6,42,NF
F,15.2,42,NF
F,15.8,42,TF
F,10.4,42.6,TF
F,11,42.6,TF
F,11.6,42.6,TF
F,12.2,42.6,NF
F,12.8,42.6,NF
F,13.4,42.6,NF
F,14,42.6,NF
F,14.6,42.6,TF
F,15.2,42.6,NF
F,15.8,42.6,TF
F,10.4,43.2,TF
F,11,43.2,TF
F,11.6,43.2,TF
F,12.2,43.2,SS
F,12.8,43.2,NF
F,13.4,43.2,TF
F,14,43.2,TF
F,14.6,43.2,TF
F,15.2,43.2,TF
F,15.8,43.2,TF
F,10.4,43.8,NF
F,11,43.8,NF
F,11.6,43.8,NF
F,12.2,43.8,NF
F,12.8,43.8,NF
F,13.4,43.8,TF
F,14,43.8,TF
F,14.6,43.8,TF
F,15.2,43.8,TF
F,15.8,43.8,TF
F,10.4,44.4,NF
F,11,44.4,NF
F,11.6,44.4,NF
F,12.2,44.4,TF
F,12.8,44.4,TF
F,13.4,44.4,TF
F,14,44.4,SS
F,14.6,44.4,TF
F,15.2,44.4,TF
F,15.8,44.4,NF
F,10.4,45,TF
F,11,45,TF
F,11.6,45,TF
F,12.2,45,TF
F,12.8,45,TF
F,13.4,45,TF
F,14,45,TF
F,14.6,45,TF
F,15.2,45,TF
F,15.8,45,NF
