grid_label,LON,LAT,REGIME
G,10,40.4,TF
G,10.6,40.4,TF
G,11.2,40.4,TF
G,11.8,40.4,TF
G,12.4,40.4,TF
G,13,40.4,TF
G,13.6,40.4,TF
G,14.2,40.4,TF
G,14.8,40.4,TF
G,15.4,40.4,NF
G,16,40.4,NF
G,10,41,TF
G,10.6,41,TF
G,11.2,41,TF
G,11.8,41,TF
G,12.4,41,SS
G,13,41,NF
G,13.6,41,TF
G,14.2,41,NF
G,14.8,41,NF
G,15.4,41,NF
G,16,41,NF
G,10,41.6,TF
G,10.6,41.6,TF
G,11.2,41.6,TF
G,11.8,41.6,TF
G,12.4,41.6,NF
G,13,41.6,TF
G,13.6,41.6,TF
G,14.2,41.6,NF
G,14.8,41.6,NF
G,15.4,41.6,TF
G,16,41.6,TF
G,10,42.2,TF
G,10.6,42.2,TF
G,11.2,42.2,TF
G,11.8,42.2,TF
G,12.4,42.2,TF
G,13,42.2,NF
G,13.6,42.2,NF
G,14.2,42.2,TF
G,14.8,42.2,NF
G,15.4,42.2,TF
G,16,42.2,TF
G,10,42.8,TF
G,10.6,42.8,TF
G,11.2,42.8,TF
G,11.8,42.8,NF
G,12.4,42.8,NF
G,13,42.8,NF
G,13.6,42.8,NF
G,14.2,42.8,TF
G,14.8,42.8,TF
G,15.4,42.8,TF
G,16,42.8,TF
G,10,43.4,TF
G,10.6,43.4,TF
G,11.2,43.4,NF
G,11.8,43.4,TF
G,12.4,43.4,NF
G,13,43.4,TF
G,13.6,43.4,TF
G,14.2,43.4,TF
G,14.8,43.4,TF
G,15.4,43.4,TF
G,16,43.4,TF
G,10,44,NF
G,10.6,44,TF
G,11.2,44,TF
G,11.8,44,NF
G,12.4,44,TF
G,13,44,TF
G,13.6,44,TF
G,14.2,44,TF
G,14.8,44,TF
G,15.4,44,TF
G,16,44,TF
G,10,44.6,TF
G,10.6,44.6,TF
G,11.2,44.6,NF
G,11.8,44.6,TF
G,12.4,44.6,TF
G,13,44.6,TF
G,13.6,44.6,TF
G,14.2,44.6,TF
G,14.8,44.6,TF
G,15.4,44.6,SS
G,16,44.6,NF
