grid_label,LON,LAT,REGIME
H,10.2,40.4,TF
H,10.8,40.4,TF
H,11.4,40.4,TF
H,12,40.4,TF
H,12.6,40.4,TF
H,13.2,40.4,TF
H,13.8,40.4,TF
H,14.4,40.4,TF
H,15,40.4,NF
H,15.6,40.4,NF
H,10.2,41,TF
H,10.8,41,TF
H,11.4,41,TF
H,12,41,TF
H,12.6,41,SS
H,13.2,41,NF
H,13.8,41,TF
H,14.4,41,TF
H,15,41,NF
H,15.6,41,NF
H,10.2,41.6,TF
H,10.8,41.6,TF
H,11.4,41.6,TF
H,12,41.6,TF
H,12.6,41.6,NF
H,13.2,41.6,NF
H,13.8,41.6,NF
H,14.4,41.6,NF
H,15,41.6,TF
H,15.6,41.6,TF
H,10.2,42.2,TF
H,10.8,42.2,TF
H,11.4,42.2,NF
H,12,42.2,NF
H,12.6,42.2,TF
H,13.2,42.2,TF
H,13.8,42.2,NF
H,14.4,42.2,TF
H,15,42.2,NF
H,15.6,42.2,TF
H,10.2,42.8,TF
H,10.8,42.8,TF
H,11.4,42.8,TF
H,12,42.8,NF
H,12.6,42.8,NF
H,13.2,42.8,NF
H,13.8,42.8,TF
H,14.4,42.8,TF
H,15,42.8,TF
H,15.6,42.8,TF
H,10.2,43.4,TF
H,10.8,43.4,TF
H,11.4,43.4,NF
H,12,43.4,TF
H,12.6,43.4,NF
H,13.2,43.4,NF
H,13.8,43.4,TF
H,14.4,43.4,TF
H,15,43.4,TF
H,15.6,43.4,TF
H,10.2,44,NF
H,10.8,44,NF
H,11.4,44,NF
H,12,44,NF
H,12.6,44,NF
H,13.2,44,TF
H,13.8,44,TF
H,14.4,44,TF
H,15,44,TF
H,15.6,44,TF
H,10.2,44.6,TF
H,10.8,44.6,TF
H,11.4,44.6,TF
H,12,44.6,TF
H,12.6,44.6,TF
H,13.2,44.6,NF
H,13.8,44.6,TF
H,14.4,44.6,TF
H,15,44.6,TF
H,15.6,44.6,NF
