grid_label,LON,LAT,REGIME
I,10.4,40.4,TF
I,11,40.4,TF
I,11.6,40.4,TF
I,12.2,40.4,TF
I,12.8,40.4,TF
I,13.4,40.4,TF
I,14,40.4,NF
I,14.6,40.4,NF
I,15.2,40.4,NF
I,15.8,40.4,NF
I,10.4,41,TF
I,11,41,TF
I,11.6,41,TF
I,12.2,41,TF
I,12.8,41,NF
I,13.4,41,TF
I,14,41,NF
I,14.6,41,TF
I,15.2,41,NF
I,15.8,41,NF
I,10.4,41.6,TF
I,11,41.6,TF
I,11.6,41.6,TF
I,12.2,41.6,TF
I,12.8,41.6,TF
I,13.4,41.6,NF
I,14,41.6,NF
I,14.6,41.6,NF
I,15.2,41.6,TF
I,15.8,41.6,TF
I,10.4,42.2,TF
I,11,42.2,TF
I,11.6,42.2,NF
I,12.2,42.2,NF
I,12.8,42.2,NF
I,13.4,42.2,TF
I,14,42.2,NF
I,14.6,42.2,NF
I,15.2,42.2,NF
I,15.8,42.2,TF
I,10.4,42.8,TF
I,11,42.8,TF
I,11.6,42.8,NF
I,12.2,42.8,NF
I,12.8,42.8,NF
I,13.4,42.8,NF
I,14,42.8,TF
I,14.6,42.8,TF
I,15.2,42.8,TF
I,15.8,42.8,TF
I,10.4,43.4,TF
I,11,43.4,NF
I,11.6,43.4,TF
I,12.2,43.4,TF
I,12.8,43.4,NF
I,13.4,43.4,TF
I,14,43.4,TF
I,14.6,43.4,TF
I,15.2,43.4,TF
I,15.8,43.4,TF
I,10.4,44,TF
I,11,44,NF
I,11.6,44,NF
I,12.2,44,NF
I,12.8,44,NF
I,13.4,44,TF
I,14,44,SS
I,14.6,44,TF
I,15.2,44,SS
I,15.8,44,TF
I,10.4,44.6,NF
I,11,44.6,NF
I,11.6,44.6,TF
I,12.2,44.6,TF
I,12.8,44.6,TF
I,13.4,44.6,TF
I,14,44.6,TF
I,14.6,44.6,TF
I,15.2,44.6,TF
I,15.8,44.6,NF
