AZI_PRED,LON,LAT
97,10,40.6
97,10,40.8
97,10,41
85,10,41.2
94,10,41.4
82,10,41.6
166,10,42.8
166,10,43
154,10,43.2
124,10,43.4
121,10,43.6
121,10,43.8
124,10,44
121,10,44.2
127,10,44.4
7,10,44.6
175,10,44.8
157,10,45
97,10.2,40.6
97,10.2,40.8
97,10.2,41
85,10.2,41.2
85,10.2,41.4
82,10.2,41.6
166,10.2,42.8
79,10.2,43
118,10.2,43.2
118,10.2,43.4
121,10.2,43.6
121,10.2,43.8
109,10.2,44
118,10.2,44.2
22,10.2,44.4
10,10.2,44.6
178,10.2,44.8
10,10.2,45
97,10.4,40.6
94,10.4,40.8
85,10.4,41
85,10.4,41.2
82,10.4,41.4
82,10.4,41.6
154,10.4,42.8
121,10.4,43
166,10.4,43.2
124,10.4,43.4
121,10.4,43.6
121,10.4,43.8
127,10.4,44
115,10.4,44.2
19,10.4,44.4
10,10.4,44.6
10,10.4,44.8
10,10.4,45
82,10.6,40.6
97,10.6,40.8
85,10.6,41
85,10.6,41.2
82,10.6,41.4
82,10.6,41.6
1,10.6,42.4
118,10.6,43
115,10.6,43.2
121,10.6,43.4
121,10.6,43.6
124,10.6,43.8
127,10.6,44
133,10.6,44.2
16,10.6,44.4
13,10.6,44.6
7,10.6,44.8
10,10.6,45
82,10.8,40.6
82,10.8,40.8
82,10.8,41
82,10.8,41.2
82,10.8,41.4
82,10.8,41.6
178,10.8,42.2
169,10.8,42.4
166,10.8,42.6
1,10.8,42.8
115,10.8,43
118,10.8,43.2
115,10.8,43.4
121,10.8,43.6
124,10.8,43.8
130,10.8,44
136,10.8,44.2
10,10.8,44.4
172,10.8,44.6
10,10.8,44.8
10,10.8,45
82,11,40.8
82,11,41
82,11,41.2
82,11,41.4
160,11,42
148,11,42.2
166,11,42.4
178,11,42.6
1,11,42.8
1,11,43
118,11,43.2
133,11,43.4
121,11,43.6
121,11,43.8
130,11,44
133,11,44.2
154,11,44.4
13,11,44.6
13,11,44.8
16,11,45
82,11.2,41
82,11.2,41.2
151,11.2,42
148,11.2,42.2
178,11.2,42.4
151,11.2,42.6
1,11.2,42.8
148,11.2,43
124,11.2,43.2
124,11.2,43.4
121,11.2,43.6
121,11.2,43.8
127,11.2,44
127,11.2,44.2
157,11.2,44.4
13,11.2,44.6
16,11.2,44.8
16,11.2,45
154,11.4,41.8
148,11.4,42
154,11.4,42.2
151,11.4,42.4
148,11.4,42.6
142,11.4,42.8
145,11.4,43
121,11.4,43.2
169,11.4,43.4
127,11.4,43.6
124,11.4,43.8
121,11.4,44
127,11.4,44.2
16,11.4,44.4
16,11.4,44.6
13,11.4,44.8
10,11.4,45
133,11.6,41.6
133,11.6,41.8
148,11.6,42
154,11.6,42.2
148,11.6,42.4
151,11.6,42.6
142,11.6,42.8
142,11.6,43
145,11.6,43.2
166,11.6,43.4
127,11.6,43.6
124,11.6,43.8
124,11.6,44
157,11.6,44.2
10,11.6,44.4
16,11.6,44.6
151,11.6,44.8
13,11.6,45
151,11.8,41.2
151,11.8,41.4
133,11.8,41.6
151,11.8,41.8
151,11.8,42
154,11.8,42.2
154,11.8,42.4
151,11.8,42.6
142,11.8,42.8
106,11.8,43
133,11.8,43.2
133,11.8,43.4
133,11.8,43.6
127,11.8,43.8
124,11.8,44
37,11.8,44.2
19,11.8,44.4
19,11.8,44.6
16,11.8,44.8
16,11.8,45
166,12,41
157,12,41.2
133,12,41.6
154,12,41.8
133,12,42
157,12,42.2
154,12,42.4
154,12,42.6
145,12,42.8
157,12,43
145,12,43.2
145,12,43.4
133,12,43.6
127,12,43.8
124,12,44
37,12,44.2
37,12,44.4
43,12,44.6
103,12,44.8
16,12,45
166,12.2,40.8
157,12.2,41
157,12.2,41.2
154,12.2,41.4
154,12.2,41.6
154,12.2,41.8
130,12.2,42
157,12.2,42.2
154,12.2,42.4
121,12.2,42.6
148,12.2,42.8
148,12.2,43
145,12.2,43.2
145,12.2,43.4
130,12.2,43.6
145,12.2,43.8
148,12.2,44
43,12.2,44.2
16,12.2,44.4
10,12.2,44.6
31,12.2,44.8
22,12.2,45
166,12.4,40.8
157,12.4,41
154,12.4,41.4
133,12.4,41.6
133,12.4,41.8
136,12.4,42
118,12.4,42.2
124,12.4,42.4
121,12.4,42.6
154,12.4,42.8
172,12.4,43
145,12.4,43.2
142,12.4,43.4
118,12.4,43.6
