AZI_PRED,LON,LAT,SET
95.829544,10,40,A
132.40063,10,40.2,D
75.102585,10,40.4,G
84.31683,10,40.6,A
105.08523,10,40.8,D
74.6506,10,41,G
100.785545,10,41.2,A
127.915985,10,41.4,D
63.87712,10,41.6,G
88.403625,10,41.8,A
144.63904,10,42,D
121.216965,10,42.2,G
140.01071,10,42.4,A
149.05542,10,42.6,D
148.16734,10,42.8,G
153.47398,10,43,A
141.96034,10,43.2,D
157.49136,10,43.4,G
158.33522,10,43.6,A
151.67618,10,43.8,D
124.711464,10,44,G
122.45996,10,44.2,A
156.56763,10,44.4,D
161.9669,10,44.6,G
10.545988,10,44.8,A
19.46365,10,45,D
140.31534,10.2,40,B
141.0676,10.2,40.2,E
143.32407,10.2,40.4,H
145.21944,10.2,40.6,B
144.09758,10.2,40.8,E
147.99728,10.2,41,H
148.79498,10.2,41.2,B
147.70648,10.2,41.4,E
152.09761,10.2,41.6,H
151.80229,10.2,41.8,B
150.48634,10.2,42,E
154.76802,10.2,42.2,H
154.91907,10.2,42.4,B
153.97713,10.2,42.6,E
156.25949,10.2,42.8,H
161.0518,10.2,43,B
145.07965,10.2,43.2,E
157.92114,10.2,43.4,H
151.13895,10.2,43.6,B
3.1645885,10.2,43.8,E
136.65633,10.2,44,H
153.73376,10.2,44.2,B
4.038598,10.2,44.4,E
1.7019209,10.2,44.6,H
172.607,10.2,44.8,B
174.68178,10.2,45,E
140.3601,10.4,40,C
140.75836,10.4,40.2,F
142.53035,10.4,40.4,I
144.90408,10.4,40.6,C
143.84416,10.4,40.8,F
146.89136,10.4,41,I
149.76001,10.4,41.2,C
147.40576,10.4,41.4,F
151.32364,10.4,41.6,I
153.52203,10.4,41.8,C
150.42764,10.4,42,F
154.14403,10.4,42.2,I
155.79012,10.4,42.4,C
152.50868,10.4,42.6,F
155.64473,10.4,42.8,I
148.52588,10.4,43,C
159.46315,10.4,43.2,F
156.63159,10.4,43.4,I
159.14417,10.4,43.6,C
149.00053,10.4,43.8,F
157.24713,10.4,44,I
129.63153,10.4,44.2,C
151.0997,10.4,44.4,F
147.41275,10.4,44.6,I
161.81001,10.4,44.8,C
174.20587,10.4,45,F
85.37178,10.6,40,A
132.79736,10.6,40.2,D
76.529976,10.6,40.4,G
85.37251,10.6,40.6,A
136.46942,10.6,40.8,D
73.96446,10.6,41,G
87.4061,10.6,41.2,A
140.0708,10.6,41.4,D
76.1484,10.6,41.6,G
109.08626,10.6,41.8,A
145.254,10.6,42,D
125.94437,10.6,42.2,G
140.17357,10.6,42.4,A
134.23283,10.6,42.6,D
148.2402,10.6,42.8,G
155.97015,10.6,43,A
146.31036,10.6,43.2,D
157.54637,10.6,43.4,G
159.4384,10.6,43.6,A
147.91797,10.6,43.8,D
161.11377,10.6,44,G
128.76665,10.6,44.2,A
1.2163877,10.6,44.4,D
162.41725,10.6,44.6,G
167.26955,10.6,44.8,A
169.26079,10.6,45,D
138.6638,10.8,40,B
140.05115,10.8,40.2,E
142.08322,10.8,40.4,H
143.8806,10.8,40.6,B
144.4902,10.8,40.8,E
147.3771,10.8,41,H
149.0596,10.8,41.2,B
148.16664,10.8,41.4,E
152.23782,10.8,41.6,H
152.51906,10.8,41.8,B
151.40935,10.8,42,E
155.15012,10.8,42.2,H
147.54907,10.8,42.4,B
153.25851,10.8,42.6,E
156.54878,10.8,42.8,H
144.30283,10.8,43,B
131.08882,10.8,43.2,E
155.41338,10.8,43.4,H
143.8915,10.8,43.6,B
148.46399,10.8,43.8,E
152.04037,10.8,44,H
146.44089,10.8,44.2,B
2.5534444,10.8,44.4,E
162.98225,10.8,44.6,H
164.8921,10.8,44.8,B
174.47655,10.8,45,E
139.23143,11,40,C
139.89969,11,40.2,F
141.65475,11,40.4,I
144.0146,11,40.6,C
144.2489,11,40.8,F
146.90742,11,41,I
149.80289,11,41.2,C
148.02197,11,41.4,F
151.76123,11,41.6,I
153.92807,11,41.8,C
151.4545,11,42,F
154.7959,11,42.2,I
149.01361,11,42.4,C
153.45836,11,42.6,F
156.16669,11,42.8,I
154.3108,11,43,C
137.92435,11,43.2,F
134.89185,11,43.4,I
129.25912,11,43.6,C
144.99397,11,43.8,F
156.39584,11,44,I
