SHAZI,Lat,Lon,CONF90%,ANNU,WSM_DATA,CLUSTERS
160,40.000,14.800,43.000,3,10,8
148,40.000,15.000,30.000,3,31,10
148,40.000,15.200,25.000,3,37,13
148,40.000,15.400,13.000,2,12,10
148,40.000,15.600,14.000,2,25,12
145,40.000,15.800,15.000,1,3,3
148,40.000,16.000,11.000,1,7,7
154,40.200,14.600,31.000,3,12,8
148,40.200,14.800,24.000,3,27,10
151,40.200,15.000,30.000,3,40,12
145,40.200,15.200,20.000,2,8,6
148,40.200,15.400,11.000,2,25,14
151,40.200,15.600,10.000,2,28,18
139,40.200,15.800,8.000,1,12,12
136,40.200,16.000,8.000,1,12,12
151,40.400,14.000,46.000,3,4,4
142,40.400,14.400,47.000,3,12,9
142,40.400,14.600,20.000,3,22,11
145,40.400,14.800,19.000,3,38,15
139,40.400,15.000,17.000,2,8,7
145,40.400,15.200,11.000,2,19,11
142,40.400,15.400,8.000,2,31,17
136,40.400,15.600,8.000,1,9,9
136,40.400,15.800,6.000,1,17,17
136,40.400,16.000,5.000,1,15,15
97,40.600,10.000,18.000,2,3,3
97,40.600,10.200,18.000,2,3,3
97,40.600,10.400,18.000,2,3,3
82,40.600,10.600,24.000,3,4,3
82,40.600,10.800,27.000,3,4,3
148,40.600,13.800,55.000,3,4,4
133,40.600,14.000,27.000,3,9,8
139,40.600,14.200,20.000,3,15,11
127,40.600,14.400,20.000,3,24,15
121,40.600,14.600,54.000,2,3,3
127,40.600,14.800,22.000,2,11,9
139,40.600,15.000,11.000,2,17,12
139,40.600,15.200,9.000,2,27,15
133,40.600,15.400,16.000,1,6,6
142,40.600,15.600,8.000,1,10,10
139,40.600,15.800,7.000,1,12,12
136,40.600,16.000,7.000,1,10,10
97,40.800,10.000,15.000,1,3,3
97,40.800,10.200,15.000,1,3,3
94,40.800,10.400,16.000,2,3,3
97,40.800,10.600,18.000,2,3,3
82,40.800,10.800,24.000,3,4,3
82,40.800,11.000,27.000,3,4,3
166,40.800,12.200,38.000,3,3,3
166,40.800,12.400,38.000,3,3,3
166,40.800,12.600,44.000,3,3,3
157,40.800,12.800,32.000,3,4,4
157,40.800,13.000,50.000,3,5,5
148,40.800,13.400,37.000,3,4,4
133,40.800,13.600,23.000,3,7,6
136,40.800,13.800,25.000,3,9,8
151,40.800,14.000,29.000,2,3,3
151,40.800,14.200,35.000,2,4,4
124,40.800,14.400,52.000,2,3,3
142,40.800,14.600,23.000,2,10,9
124,40.800,14.800,20.000,2,17,13
130,40.800,15.000,13.000,2,22,16
124,40.800,15.200,10.000,1,7,7
136,40.800,15.400,11.000,1,11,11
142,40.800,15.600,7.000,1,13,13
145,40.800,15.800,8.000,1,9,9
142,40.800,16.000,11.000,1,7,7
97,41.000,10.000,15.000,1,3,3
97,41.000,10.200,15.000,1,3,3
85,41.000,10.400,17.000,2,4,4
85,41.000,10.600,17.000,2,4,4
82,41.000,10.800,24.000,3,4,3
82,41.000,11.000,27.000,3,4,3
82,41.000,11.200,25.000,3,3,3
166,41.000,12.000,44.000,3,3,3
157,41.000,12.200,38.000,3,4,4
157,41.000,12.400,43.000,3,4,4
154,41.000,12.600,29.000,3,6,6
154,41.000,12.800,51.000,3,7,7
148,41.000,13.000,29.000,3,8,7
145,41.000,13.200,19.000,3,12,9
151,41.000,13.400,24.000,3,15,9
148,41.000,13.600,15.000,3,22,14
133,41.000,13.800,16.000,3,28,15
130,41.000,14.000,16.000,2,6,6
130,41.000,14.200,19.000,2,9,8
130,41.000,14.400,10.000,2,14,12
136,41.000,14.600,12.000,2,17,13
139,41.000,14.800,17.000,1,6,6
139,41.000,15.000,20.000,1,4,4
124,41.000,15.200,12.000,1,9,9
124,41.000,15.400,11.000,1,9,9
121,41.000,15.600,17.000,1,8,8
160,41.000,15.800,20.000,1,4,4
160,41.000,16.000,11.000,1,3,3
85,41.200,10.000,16.000,2,4,4
85,41.200,10.200,16.000,2,4,4
85,41.200,10.400,16.000,2,4,4
85,41.200,10.600,17.000,2,4,4
82,41.200,10.800,24.000,3,4,3
82,41.200,11.000,27.000,3,4,3
82,41.200,11.200,25.000,3,3,3
151,41.200,11.800,59.000,3,3,3
157,41.200,12.000,43.000,3,4,4
157,41.200,12.200,44.000,3,5,5
154,41.200,12.600,47.000,2,3,3
154,41.200,12.800,47.000,2,3,3
142,41.200,13.000,21.000,3,15,10
151,41.200,13.200,56.000,2,3,3
136,41.200,13.400,14.000,3,25,14
151,41.200,13.600,23.000,2,4,4
133,41.200,13.800,17.000,2,5,5
130,41.200,14.000,14.000,2,10,9
136,41.200,14.200,10.000,2,17,13
124,41.200,14.400,17.000,1,4,4
127,41.200,14.600,10.000,1,8,8
139,41.200,14.800,13.000,1,8,8
136,41.200,15.000,12.000,1,6,6
130,41.200,15.200,14.000,1,8,8
130,41.200,15.400,15.000,1,8,8
130,41.200,15.600,19.000,1,5,5
115,41.200,15.800,24.000,1,3,3
145,41.200,16.000,11.000,2,18,15
94,41.400,10.000,19.000,2,3,3
