ID,LON,LAT,geometry,PLATE,REGIME,DIST,QUALITY,AZI,AZI_PRED,AZI_ERROR,STR
wsm02413,13.42,43.72,POINT (13.42 43.72),EU,SS,542.0,A,84.99999,103.981445,18.981453,0.7113458
wsm02482,12.57,43.27,POINT (12.57 43.27),EU,NF,477.0,B,117.0,138.60172,21.601715,0.9288557
wsm102226,12.99,43.61,POINT (12.99 43.61),EU,SS,521.0,C,169.0,157.33864,11.661362,0.63425004
wsm108318,11.29,44.01,POINT (11.29 44.01),EU,NF,549.0,C,120.0,132.57472,12.574722,0.9165659
wsm108320,11.36,44.01,POINT (11.36 44.01),EU,NF,549.0,C,154.0,144.24374,9.756256,0.8810442
wsm108321,11.22,44.06,POINT (11.22 44.06),EU,NF,555.0,C,129.0,133.70122,4.7012177,0.9092078
wsm108552,15.85,42.07,POINT (15.85 42.07),EU,TS,368.0,C,124.0,134.5238,10.523804,0.8321569
wsm112192,10.3,44.51,POINT (10.3 44.51),EU,TF,609.0,C,20.0,10.009017,9.990983,0.8076969
wsm112201,10.23,44.5,POINT (10.23 44.5),EU,TF,609.0,C,24.999998,10.230258,14.76974,0.8158801
wsm113370,13.35,42.36,POINT (13.35 42.36),EU,NF,397.0,C,151.0,146.16931,4.8306885,1.0127624
wsm113458,12.01,44.24,POINT (12.01 44.24),EU,TF,577.0,C,12.0,6.8314095,5.1685905,0.8655815
wsm113459,13.37,42.33,POINT (13.37 42.33),EU,NF,394.0,C,173.0,144.11926,28.880737,0.9094928
wsm113466,13.35,42.29,POINT (13.35 42.29),EU,NF,389.0,C,134.0,144.11424,10.114243,1.0022167
wsm113469,13.34,42.37,POINT (13.34 42.37),EU,NF,397.0,C,147.0,146.23323,0.7667694,1.0198749
wsm113471,13.39,42.34,POINT (13.39 42.34),EU,NF,396.0,C,153.0,145.43964,7.560364,1.0249358
wsm113472,13.37,42.35,POINT (13.37 42.35),EU,NF,396.0,C,139.0,143.29636,4.296356,1.0326743
wsm113477,13.33,42.36,POINT (13.33 42.36),EU,NF,396.0,C,165.0,144.8841,20.115906,0.96042955
wsm113483,13.27,42.47,POINT (13.27 42.47),EU,NF,406.0,C,146.0,147.21417,1.2141724,1.0301973
wsm113492,13.39,42.34,POINT (13.39 42.34),EU,NF,396.0,C,143.0,144.80959,1.8095856,1.0364306
wsm113502,13.39,42.31,POINT (13.39 42.31),EU,NS,393.0,C,133.0,141.91214,8.91214,1.0099709
wsm113506,13.38,42.38,POINT (13.38 42.38),EU,NF,400.0,C,120.0,136.70894,16.708939,0.92754704
wsm113525,13.36,42.51,POINT (13.36 42.51),EU,NF,412.0,C,140.0,146.2113,6.2113037,1.0015559
wsm113529,13.3,42.48,POINT (13.3 42.48),EU,NF,408.0,C,143.0,148.05054,5.050537,1.0214695
wsm113531,13.44,42.34,POINT (13.44 42.34),EU,SS,397.0,C,108.0,134.75238,26.75238,0.87114906
wsm113535,13.42,42.45,POINT (13.42 42.45),EU,NS,408.0,C,159.0,143.62552,15.374481,0.88509524
wsm113540,13.19,42.37,POINT (13.19 42.37),EU,NF,393.0,C,134.0,143.24551,9.245514,0.92428875
wsm113545,13.24,42.49,POINT (13.24 42.49),EU,NF,407.0,C,133.0,149.33315,16.333145,0.9720152
wsm113549,13.42,42.47,POINT (13.42 42.47),EU,NF,410.0,C,111.00001,135.2645,24.264488,0.8695405
wsm113586,13.21,42.52,POINT (13.21 42.52),EU,NF,409.0,C,138.0,145.11232,7.11232,0.99756825
wsm113597,13.29,42.53,POINT (13.29 42.53),EU,NF,413.0,C,146.0,143.82007,2.1799316,1.0419894
wsm113627,13.31,42.51,POINT (13.31 42.51),EU,NF,411.0,C,144.0,146.07156,2.0715637,1.0267713
wsm113754,13.49,42.25,POINT (13.49 42.25),EU,NF,389.0,C,145.0,142.92833,2.0716705,0.9810537
wsm113759,13.48,42.23,POINT (13.48 42.23),EU,NF,386.0,C,153.0,142.61736,10.382645,0.9821702
wsm114500,13.36,42.45,POINT (13.36 42.45),EU,NF,406.0,C,134.0,144.45476,10.454758,0.96118563
wsm114745,13.38,42.34,POINT (13.38 42.34),EU,NF,395.0,C,151.0,145.1361,5.863907,1.0273823
wsm115656,13.41,43.47,POINT (13.41 43.47),EU,SS,515.0,C,154.0,149.85976,4.1402435,0.9793824
wsm117151,13.38,43.11,POINT (13.38 43.11),EU,NS,476.0,C,97.0,108.524345,11.524345,0.8299978
wsm118506,12.44,43.56,POINT (12.44 43.56),EU,NF,507.0,C,113.0,135.55768,22.557678,0.7983633
wsm120224,12.61,42.81,POINT (12.61 42.81),EU,NF,428.0,C,176.0,159.27583,16.724167,0.955422
wsm120299,12.11,44.36,POINT (12.11 44.36),EU,TF,591.0,C,86.0,89.0966,3.0966034,0.6762037
wsm120877,12.37,44.14,POINT (12.37 44.14),EU,SS,570.0,C,148.0,147.0332,0.9667969,0.9174186
wsm128220,12.03,43.86,POINT (12.03 43.86),EU,NF,535.0,C,115.0,134.43317,19.433167,0.8447394
wsm129876,11.86,43.92,POINT (11.86 43.92),EU,NF,541.0,C,123.0,134.96779,11.967789,0.9580909
wsm129877,11.85,43.92,POINT (11.85 43.92),EU,NF,540.0,C,119.0,136.18784,17.187836,0.9540047
