ID,LON,LAT,geometry,PLATE,REGIME,DIST,QUALITY,AZI,AZI_PRED,AZI_ERROR,STR
wsm02413,13.42,43.72,POINT (13.42 43.72),EU,SS,542.0,A,84.99999,103.95702,18.957031,0.71091974
wsm02482,12.57,43.27,POINT (12.57 43.27),EU,NF,477.0,B,117.0,137.37787,20.377869,0.91465694
wsm102226,12.99,43.61,POINT (12.99 43.61),EU,SS,521.0,C,169.0,161.83232,7.167679,0.9264822
wsm108318,11.29,44.01,POINT (11.29 44.01),EU,NF,549.0,C,120.0,135.672,15.671997,0.9046734
wsm108320,11.36,44.01,POINT (11.36 44.01),EU,NF,549.0,C,154.0,147.67694,6.323059,0.8599009
wsm108321,11.22,44.06,POINT (11.22 44.06),EU,NF,555.0,C,129.0,136.57907,7.579071,0.9063755
wsm112192,10.3,44.51,POINT (10.3 44.51),EU,TF,609.0,C,20.0,10.768448,9.231552,0.8487022
wsm112201,10.23,44.5,POINT (10.23 44.5),EU,TF,609.0,C,24.999998,10.8870325,14.112966,0.8557765
wsm113370,13.35,42.36,POINT (13.35 42.36),EU,NF,397.0,C,151.0,146.10071,4.899292,1.015584
wsm113458,12.01,44.24,POINT (12.01 44.24),EU,TF,577.0,C,12.0,4.710935,7.289065,0.78673357
wsm113459,13.37,42.33,POINT (13.37 42.33),EU,NF,394.0,C,173.0,143.98882,29.011185,0.89429605
wsm113466,13.35,42.29,POINT (13.35 42.29),EU,NF,389.0,C,134.0,143.84863,9.848633,0.9966351
wsm113469,13.34,42.37,POINT (13.34 42.37),EU,NF,397.0,C,147.0,146.14185,0.8581543,1.0040569
wsm113471,13.39,42.34,POINT (13.39 42.34),EU,NF,396.0,C,153.0,145.17285,7.8271484,1.025694
wsm113472,13.37,42.35,POINT (13.37 42.35),EU,NF,396.0,C,139.0,142.93811,3.9381104,1.0411041
wsm113477,13.33,42.36,POINT (13.33 42.36),EU,NF,396.0,C,165.0,145.10529,19.894714,0.97028977
wsm113483,13.27,42.47,POINT (13.27 42.47),EU,NF,406.0,C,146.0,147.90755,1.907547,1.0194758
wsm113492,13.39,42.34,POINT (13.39 42.34),EU,NF,396.0,C,143.0,144.53595,1.5359497,1.036878
wsm113502,13.39,42.31,POINT (13.39 42.31),EU,NS,393.0,C,133.0,141.50922,8.509216,0.99601084
wsm113506,13.38,42.38,POINT (13.38 42.38),EU,NF,400.0,C,120.0,135.4856,15.485596,0.9214473
wsm113525,13.36,42.51,POINT (13.36 42.51),EU,NF,412.0,C,140.0,145.85295,5.852951,0.9896289
wsm113529,13.3,42.48,POINT (13.3 42.48),EU,NF,408.0,C,143.0,147.7321,4.7321014,1.0241766
wsm113531,13.44,42.34,POINT (13.44 42.34),EU,SS,397.0,C,108.0,132.56885,24.568848,0.8852598
wsm113535,13.42,42.45,POINT (13.42 42.45),EU,NS,408.0,C,159.0,142.79828,16.201721,0.8167795
wsm113540,13.19,42.37,POINT (13.19 42.37),EU,NF,393.0,C,134.0,143.24951,9.249512,0.85104966
wsm113545,13.24,42.49,POINT (13.24 42.49),EU,NF,407.0,C,133.0,149.33379,16.333786,0.9720776
wsm113549,13.42,42.47,POINT (13.42 42.47),EU,NF,410.0,C,111.00001,133.51321,22.513206,0.89295
wsm113586,13.21,42.52,POINT (13.21 42.52),EU,NF,409.0,C,138.0,145.07541,7.075409,0.9866004
wsm113597,13.29,42.53,POINT (13.29 42.53),EU,NF,413.0,C,146.0,143.85645,2.1435547,1.0520821
wsm113627,13.31,42.51,POINT (13.31 42.51),EU,NF,411.0,C,144.0,146.07251,2.0725098,1.0372115
wsm113754,13.49,42.25,POINT (13.49 42.25),EU,NF,389.0,C,145.0,141.30754,3.692459,0.99627745
wsm113759,13.48,42.23,POINT (13.48 42.23),EU,NF,386.0,C,153.0,140.97984,12.020157,0.9852356
wsm114500,13.36,42.45,POINT (13.36 42.45),EU,NF,406.0,C,134.0,143.88857,9.888565,0.98375
wsm114745,13.38,42.34,POINT (13.38 42.34),EU,NF,395.0,C,151.0,144.98358,6.0164185,1.0185058
wsm115656,13.41,43.47,POINT (13.41 43.47),EU,SS,515.0,C,154.0,150.14749,3.8525085,0.98169535
wsm117151,13.38,43.11,POINT (13.38 43.11),EU,NS,476.0,C,97.0,108.2884,11.288399,0.80655885
wsm118506,12.44,43.56,POINT (12.44 43.56),EU,NF,507.0,C,113.0,132.8855,19.885498,0.875885
wsm120224,12.61,42.81,POINT (12.61 42.81),EU,NF,428.0,C,176.0,158.50618,17.49382,0.9330708
wsm120299,12.11,44.36,POINT (12.11 44.36),EU,TF,591.0,C,86.0,85.739494,0.26050568,0.6604383
wsm120877,12.37,44.14,POINT (12.37 44.14),EU,SS,570.0,C,148.0,149.20992,1.2099152,0.92568415
wsm128220,12.03,43.86,POINT (12.03 43.86),EU,NF,535.0,C,115.0,136.43576,21.43576,0.8680941
wsm129876,11.86,43.92,POINT (11.86 43.92),EU,NF,541.0,C,123.0,136.90456,13.904556,0.9603663
wsm129877,11.85,43.92,POINT (11.85 43.92),EU,NF,540.0,C,119.0,138.08939,19.089386,0.9485365
wsm129896,11.86,43.93,POINT (11.86 43.93),EU,NF,542.0,C,122.0,136.901,14.901001,0.96239203
wsm135516,13.2,42.81,POINT (13.2 42.81),EU,NF,440.0,C,124.0,135.77667,11.776672,1.0294503
wsm137318,12.23,44.41,POINT (12.23 44.41),EU,TF,598.0,C,161.0,160.66,0.33999634,0.91291964
wsm141788,10.49,44.17,POINT (10.49 44.17),EU,SS,570.0,C,110.0,133.52502,23.525024,0.809192
wsm143580,12.3,43.45,POINT (12.3 43.45),EU,NF,493.0,C,118.0,132.5864,14.586395,0.9480966
wsm144225,13.86,43.53,POINT (13.86 43.53),EU,TF,533.0,C,50.999996,19.677675,31.32232,0.81748736
wsm144249,11.05,44.28,POINT (11.05 44.28),EU,TF,580.0,C,165.0,164.57991,0.42008972,0.8809963
wsm144308,10.71,44.42,POINT (10.71 44.42),EU,TF,596.0,C,18.0,7.8165126,10.183487,0.84824055
wsm144623,12.03,43.81,POINT (12.03 43.81),EU,NF,530.0,C,152.0,144.04524,7.9547577,0.90821683
wsm144794,13.68,43.48,POINT (13.68 43.48),EU,TF,523.0,C,39.0,18.6495,20.3505,0.8799405
wsm144796,13.82,43.46,POINT (13.82 43.46),EU,TF,525.0,C,28.999998,10.265405,18.734592,0.8771635
wsm145326,13.76,43.53,POINT (13.76 43.53),EU,TF,530.0,C,51.999996,20.204048,31.795948,0.7685579
wsm145398,12.54,43.37,POINT (12.54 43.37),EU,NF,488.0,C,140.0,141.00027,1.0002747,1.0193404
wsm146263,10.26,43.68,POINT (10.26 43.68),EU,NS,518.0,C,144.0,150.93785,6.937851,0.61631715
