ID,LON,LAT,geometry,PLATE,REGIME,DIST,QUALITY,AZI,AZI_PRED,AZI_ERROR,STR
wsm02413,13.42,43.72,POINT (13.42 43.72),EU,SS,542.0,A,84.99999,101.20459,16.204597,0.704434
wsm02482,12.57,43.27,POINT (12.57 43.27),EU,NF,477.0,B,117.0,140.26395,23.263947,0.87746316
wsm102226,12.99,43.61,POINT (12.99 43.61),EU,SS,521.0,C,169.0,163.04225,5.9577484,0.93643457
wsm103605,14.74,44.91,POINT (14.74 44.91),EU,SS,684.0,C,179.0,4.2777286,5.277725,0.803124
wsm108318,11.29,44.01,POINT (11.29 44.01),EU,NF,549.0,C,120.0,134.93974,14.939743,0.91709673
wsm108320,11.36,44.01,POINT (11.36 44.01),EU,NF,549.0,C,154.0,146.55902,7.440979,0.8769244
wsm108321,11.22,44.06,POINT (11.22 44.06),EU,NF,555.0,C,129.0,135.77997,6.7799683,0.91613615
wsm112192,10.3,44.51,POINT (10.3 44.51),EU,TF,609.0,C,20.0,7.2352552,12.764745,0.7692912
wsm112201,10.23,44.5,POINT (10.23 44.5),EU,TF,609.0,C,24.999998,5.1792917,19.820705,0.70806706
wsm113370,13.35,42.36,POINT (13.35 42.36),EU,NF,397.0,C,151.0,145.39172,5.6082764,1.0170416
wsm113458,12.01,44.24,POINT (12.01 44.24),EU,TF,577.0,C,12.0,8.29842,3.70158,0.87111515
wsm113459,13.37,42.33,POINT (13.37 42.33),EU,NF,394.0,C,173.0,142.92554,30.074463,0.9012782
wsm113466,13.35,42.29,POINT (13.35 42.29),EU,NF,389.0,C,134.0,142.31369,8.31369,0.99531865
wsm113469,13.34,42.37,POINT (13.34 42.37),EU,NF,397.0,C,147.0,145.40652,1.5934753,1.0149263
wsm113471,13.39,42.34,POINT (13.39 42.34),EU,NF,396.0,C,153.0,144.66779,8.332214,1.0292232
wsm113472,13.37,42.35,POINT (13.37 42.35),EU,NF,396.0,C,139.0,142.42874,3.4287415,1.0293286
wsm113477,13.33,42.36,POINT (13.33 42.36),EU,NF,396.0,C,165.0,143.89493,21.105072,0.96493113
wsm113483,13.27,42.47,POINT (13.27 42.47),EU,NF,406.0,C,146.0,146.9487,0.94869995,1.0193441
wsm113492,13.39,42.34,POINT (13.39 42.34),EU,NF,396.0,C,143.0,144.14435,1.1443481,1.0361756
wsm113502,13.39,42.31,POINT (13.39 42.31),EU,NS,393.0,C,133.0,140.64551,7.645508,1.0050179
wsm113506,13.38,42.38,POINT (13.38 42.38),EU,NF,400.0,C,120.0,134.52542,14.525421,0.9524398
