ID,LON,LAT,geometry,PLATE,REGIME,DIST,QUALITY,AZI,AZI_PRED,AZI_ERROR,STR
wsm02413,13.42,43.72,POINT (13.42 43.72),EU,SS,542.0,A,84.99999,96.10214,11.10215,0.5951687
wsm02482,12.57,43.27,POINT (12.57 43.27),EU,NF,477.0,B,117.0,137.80962,20.809616,0.9444885
wsm102226,12.99,43.61,POINT (12.99 43.61),EU,SS,521.0,C,169.0,159.65463,9.345367,0.946731
wsm103605,14.74,44.91,POINT (14.74 44.91),EU,SS,684.0,C,179.0,3.0443935,4.044388,0.75801957
wsm108318,11.29,44.01,POINT (11.29 44.01),EU,NF,549.0,C,120.0,134.81056,14.810562,0.9123743
wsm108320,11.36,44.01,POINT (11.36 44.01),EU,NF,549.0,C,154.0,146.56447,7.4355316,0.89084524
wsm108321,11.22,44.06,POINT (11.22 44.06),EU,NF,555.0,C,129.0,135.75989,6.7598877,0.8980326
wsm113370,13.35,42.36,POINT (13.35 42.36),EU,NF,397.0,C,151.0,144.80267,6.1973267,1.0013236
wsm113458,12.01,44.24,POINT (12.01 44.24),EU,TF,577.0,C,12.0,9.126542,2.873458,0.9030108
wsm113459,13.37,42.33,POINT (13.37 42.33),EU,NF,394.0,C,173.0,140.2654,32.734604,0.9098953
wsm113466,13.35,42.29,POINT (13.35 42.29),EU,NF,389.0,C,134.0,142.2179,8.2178955,0.99177814
wsm113469,13.34,42.37,POINT (13.34 42.37),EU,NF,397.0,C,147.0,144.82343,2.1765747,0.9968181
wsm113471,13.39,42.34,POINT (13.39 42.34),EU,NF,396.0,C,153.0,143.5903,9.4096985,1.0307889
wsm113472,13.37,42.35,POINT (13.37 42.35),EU,NF,396.0,C,139.0,141.25648,2.256485,1.0331055
wsm113477,13.33,42.36,POINT (13.33 42.36),EU,NF,396.0,C,165.0,143.29744,21.70256,0.94458604
wsm113483,13.27,42.47,POINT (13.27 42.47),EU,NF,406.0,C,146.0,146.23029,0.23028564,1.0353414
wsm113492,13.39,42.34,POINT (13.39 42.34),EU,NF,396.0,C,143.0,142.81013,0.18986511,1.0378158
wsm113502,13.39,42.31,POINT (13.39 42.31),EU,NS,393.0,C,133.0,139.56912,6.5691223,1.0025268
wsm113506,13.38,42.38,POINT (13.38 42.38),EU,NF,400.0,C,120.0,133.81827,13.818268,0.9354839
wsm113525,13.36,42.51,POINT (13.36 42.51),EU,NF,412.0,C,140.0,144.83801,4.8380127,0.99031085
wsm113529,13.3,42.48,POINT (13.3 42.48),EU,NF,408.0,C,143.0,147.06737,4.0673676,1.0162768
wsm113531,13.44,42.34,POINT (13.44 42.34),EU,SS,397.0,C,108.0,129.24466,21.24466,0.88786423
wsm113535,13.42,42.45,POINT (13.42 42.45),EU,NS,408.0,C,159.0,140.44714,18.552856,0.87445366
wsm113540,13.19,42.37,POINT (13.19 42.37),EU,NF,393.0,C,134.0,140.9967,6.996704,0.9478864
wsm113545,13.24,42.49,POINT (13.24 42.49),EU,NF,407.0,C,133.0,147.9241,14.924103,0.9805614
wsm113549,13.42,42.47,POINT (13.42 42.47),EU,NF,410.0,C,111.00001,131.86853,20.868523,0.9057839
wsm113586,13.21,42.52,POINT (13.21 42.52),EU,NF,409.0,C,138.0,143.94913,5.949127,1.0136107
wsm113597,13.29,42.53,POINT (13.29 42.53),EU,NF,413.0,C,146.0,143.25601,2.743988,1.0517198
wsm113627,13.31,42.51,POINT (13.31 42.51),EU,NF,411.0,C,144.0,145.26129,1.2612915,1.0158707
wsm113754,13.49,42.25,POINT (13.49 42.25),EU,NF,389.0,C,145.0,140.4983,4.5016937,0.9982948
wsm113759,13.48,42.23,POINT (13.48 42.23),EU,NF,386.0,C,153.0,140.19131,12.808685,0.9734922
wsm114500,13.36,42.45,POINT (13.36 42.45),EU,NF,406.0,C,134.0,142.50977,8.509766,0.9863409
wsm114745,13.38,42.34,POINT (13.38 42.34),EU,NF,395.0,C,151.0,143.29295,7.7070465,1.0265989
wsm115656,13.41,43.47,POINT (13.41 43.47),EU,SS,515.0,C,154.0,149.06099,4.9390106,0.9859638
wsm117151,13.38,43.11,POINT (13.38 43.11),EU,NS,476.0,C,97.0,105.494415,8.494415,0.81357825
wsm118506,12.44,43.56,POINT (12.44 43.56),EU,NF,507.0,C,113.0,130.38744,17.387436,0.92487437
wsm120224,12.61,42.81,POINT (12.61 42.81),EU,NF,428.0,C,176.0,157.25656,18.743439,0.90715873
wsm120299,12.11,44.36,POINT (12.11 44.36),EU,TF,591.0,C,86.0,85.11571,0.8842926,0.6824918
wsm120877,12.37,44.14,POINT (12.37 44.14),EU,SS,570.0,C,148.0,148.39592,0.3959198,0.9231027
wsm128220,12.03,43.86,POINT (12.03 43.86),EU,NF,535.0,C,115.0,135.6781,20.6781,0.87832224
wsm129876,11.86,43.92,POINT (11.86 43.92),EU,NF,541.0,C,123.0,135.9166,12.916595,0.9666793
wsm129877,11.85,43.92,POINT (11.85 43.92),EU,NF,540.0,C,119.0,137.16498,18.164978,0.9433567
wsm129896,11.86,43.93,POINT (11.86 43.93),EU,NF,542.0,C,122.0,136.6644,14.664398,0.9604402
wsm135516,13.2,42.81,POINT (13.2 42.81),EU,NF,440.0,C,124.0,134.63899,10.638992,1.020481
wsm136940,11.26,44.9,POINT (11.26 44.9),EU,TF,648.0,C,10.999999,8.224617,2.775382,0.86234975
wsm136948,11.44,44.89,POINT (11.44 44.89),EU,TF,647.0,C,19.0,10.210761,8.789239,0.84056646
wsm136951,11.32,44.95,POINT (11.32 44.95),EU,TF,654.0,C,35.0,11.786559,23.21344,0.8072072
wsm136970,11.49,44.81,POINT (11.49 44.81),EU,TF,638.0,C,27.0,11.8604965,15.1395035,0.81479156
wsm137168,11.15,44.92,POINT (11.15 44.92),EU,TF,650.0,C,13.999999,6.654351,7.345648,0.8338528
wsm137172,11.02,44.9,POINT (11.02 44.9),EU,TF,649.0,C,17.0,4.9252973,12.074703,0.7650903
wsm137173,10.95,44.84,POINT (10.95 44.84),EU,TF,642.0,C,16.0,6.551485,9.448515,0.7903857
wsm137318,12.23,44.41,POINT (12.23 44.41),EU,TF,598.0,C,161.0,162.20985,1.2098541,0.7099354
wsm141788,10.49,44.17,POINT (10.49 44.17),EU,SS,570.0,C,110.0,132.14882,22.148819,0.8197006
wsm143580,12.3,43.45,POINT (12.3 43.45),EU,NF,493.0,C,118.0,131.93188,13.931885,0.9633107
wsm144225,13.86,43.53,POINT (13.86 43.53),EU,TF,533.0,C,50.999996,25.950762,25.049234,0.8716738
wsm144249,11.05,44.28,POINT (11.05 44.28),EU,TF,580.0,C,165.0,164.48727,0.51272583,0.87129784
wsm144308,10.71,44.42,POINT (10.71 44.42),EU,TF,596.0,C,18.0,8.4002,9.5998,0.8569764
wsm144623,12.03,43.81,POINT (12.03 43.81),EU,NF,530.0,C,152.0,143.56035,8.4396515,0.8875851
wsm144794,13.68,43.48,POINT (13.68 43.48),EU,TF,523.0,C,39.0,22.122053,16.877947,0.9205066
wsm144796,13.82,43.46,POINT (13.82 43.46),EU,TF,525.0,C,28.999998,12.690822,16.309177,0.9358008
wsm145326,13.76,43.53,POINT (13.76 43.53),EU,TF,530.0,C,51.999996,26.14999,25.850006,0.93637115
wsm145398,12.54,43.37,POINT (12.54 43.37),EU,NF,488.0,C,140.0,140.45251,0.45251465,1.0158045
