ID,LON,LAT,geometry,PLATE,REGIME,DIST,QUALITY,AZI,AZI_PRED,AZI_ERROR,STR
wsm02413,13.42,43.72,POINT (13.42 43.72),EU,SS,542.0,A,84.99999,104.17227,19.17228,0.7118293
wsm02482,12.57,43.27,POINT (12.57 43.27),EU,NF,477.0,B,117.0,137.40414,20.404144,0.9255535
wsm102226,12.99,43.61,POINT (12.99 43.61),EU,SS,521.0,C,169.0,162.55742,6.442581,0.93368787
wsm108318,11.29,44.01,POINT (11.29 44.01),EU,NF,549.0,C,120.0,133.87218,13.872177,0.7961953
wsm108320,11.36,44.01,POINT (11.36 44.01),EU,NF,549.0,C,154.0,143.75052,10.249481,0.8414902
wsm108321,11.22,44.06,POINT (11.22 44.06),EU,NF,555.0,C,129.0,134.88528,5.8852844,0.7463654
wsm108552,15.85,42.07,POINT (15.85 42.07),EU,TS,368.0,C,124.0,134.79181,10.791809,0.7951832
wsm112192,10.3,44.51,POINT (10.3 44.51),EU,TF,609.0,C,20.0,10.3477955,9.6522045,0.7972058
wsm112201,10.23,44.5,POINT (10.23 44.5),EU,TF,609.0,C,24.999998,10.400327,14.599671,0.73028266
wsm113370,13.35,42.36,POINT (13.35 42.36),EU,NF,397.0,C,151.0,145.93318,5.066818,1.010066
wsm113458,12.01,44.24,POINT (12.01 44.24),EU,TF,577.0,C,12.0,8.625935,3.3740654,0.8394355
wsm113459,13.37,42.33,POINT (13.37 42.33),EU,NF,394.0,C,173.0,143.68373,29.316269,0.9136322
wsm113466,13.35,42.29,POINT (13.35 42.29),EU,NF,389.0,C,134.0,143.88602,9.886017,0.99571466
wsm113469,13.34,42.37,POINT (13.34 42.37),EU,NF,397.0,C,147.0,145.97562,1.0243835,1.0020751
wsm113471,13.39,42.34,POINT (13.39 42.34),EU,NF,396.0,C,153.0,145.00414,7.995865,1.0273935
wsm113472,13.37,42.35,POINT (13.37 42.35),EU,NF,396.0,C,139.0,142.68935,3.6893463,1.0404662
wsm113477,13.33,42.36,POINT (13.33 42.36),EU,NF,396.0,C,165.0,144.63309,20.366913,0.9678514
wsm113483,13.27,42.47,POINT (13.27 42.47),EU,NF,406.0,C,146.0,146.972,0.9720001,1.0380623
wsm113492,13.39,42.34,POINT (13.39 42.34),EU,NF,396.0,C,143.0,144.27692,1.2769165,1.0357409
wsm113502,13.39,42.31,POINT (13.39 42.31),EU,NS,393.0,C,133.0,141.30585,8.305847,0.9863117
wsm113506,13.38,42.38,POINT (13.38 42.38),EU,NF,400.0,C,120.0,135.21967,15.219666,0.9416743
wsm113525,13.36,42.51,POINT (13.36 42.51),EU,NF,412.0,C,140.0,145.70323,5.703232,0.9923034
wsm113529,13.3,42.48,POINT (13.3 42.48),EU,NF,408.0,C,143.0,147.89722,4.897217,1.0243453
wsm113531,13.44,42.34,POINT (13.44 42.34),EU,SS,397.0,C,108.0,132.26248,24.262482,0.89685404
wsm113535,13.42,42.45,POINT (13.42 42.45),EU,NS,408.0,C,159.0,142.46169,16.538315,0.86476296
wsm113540,13.19,42.37,POINT (13.19 42.37),EU,NF,393.0,C,134.0,141.17592,7.1759186,0.95152956
wsm113545,13.24,42.49,POINT (13.24 42.49),EU,NF,407.0,C,133.0,148.88947,15.889465,0.9573115
wsm113549,13.42,42.47,POINT (13.42 42.47),EU,NF,410.0,C,111.00001,133.18407,22.18406,0.89525175
wsm113586,13.21,42.52,POINT (13.21 42.52),EU,NF,409.0,C,138.0,144.92596,6.9259644,1.0029285
wsm113597,13.29,42.53,POINT (13.29 42.53),EU,NF,413.0,C,146.0,143.70654,2.293457,1.0526924
wsm113627,13.31,42.51,POINT (13.31 42.51),EU,NF,411.0,C,144.0,145.93356,1.9335632,1.034139
wsm113754,13.49,42.25,POINT (13.49 42.25),EU,NF,389.0,C,145.0,141.93811,3.0618896,0.9475589
wsm113759,13.48,42.23,POINT (13.48 42.23),EU,NF,386.0,C,153.0,141.39474,11.605255,0.93022585
wsm114500,13.36,42.45,POINT (13.36 42.45),EU,NF,406.0,C,134.0,143.57059,9.570587,0.98008096
wsm114745,13.38,42.34,POINT (13.38 42.34),EU,NF,395.0,C,151.0,144.75848,6.241516,1.0361991
wsm115656,13.41,43.47,POINT (13.41 43.47),EU,SS,515.0,C,154.0,149.67163,4.328369,0.98112154
wsm117151,13.38,43.11,POINT (13.38 43.11),EU,NS,476.0,C,97.0,107.89452,10.894524,0.8559059
wsm118506,12.44,43.56,POINT (12.44 43.56),EU,NF,507.0,C,113.0,130.63017,17.630173,0.92703897
wsm120224,12.61,42.81,POINT (12.61 42.81),EU,NF,428.0,C,176.0,159.5974,16.402603,0.91723466
wsm120299,12.11,44.36,POINT (12.11 44.36),EU,TF,591.0,C,86.0,88.588326,2.5883255,0.7130026
wsm120877,12.37,44.14,POINT (12.37 44.14),EU,SS,570.0,C,148.0,147.11754,0.88246155,0.85168225
wsm128220,12.03,43.86,POINT (12.03 43.86),EU,NF,535.0,C,115.0,133.38843,18.388428,0.8777803
wsm129876,11.86,43.92,POINT (11.86 43.92),EU,NF,541.0,C,123.0,134.85794,11.857941,0.9213507
wsm129877,11.85,43.92,POINT (11.85 43.92),EU,NF,540.0,C,119.0,136.17714,17.17714,0.90887684
wsm129896,11.86,43.93,POINT (11.86 43.93),EU,NF,542.0,C,122.0,134.9517,12.951706,0.9187521
wsm135516,13.2,42.81,POINT (13.2 42.81),EU,NF,440.0,C,124.0,134.74911,10.749115,1.0309441
wsm137318,12.23,44.41,POINT (12.23 44.41),EU,TF,598.0,C,161.0,156.94818,4.051819,0.85024637
wsm141788,10.49,44.17,POINT (10.49 44.17),EU,SS,570.0,C,110.0,126.90825,16.908249,0.81237584
wsm143580,12.3,43.45,POINT (12.3 43.45),EU,NF,493.0,C,118.0,133.54141,15.541412,0.9073192
wsm144225,13.86,43.53,POINT (13.86 43.53),EU,TF,533.0,C,50.999996,25.072908,25.927088,0.90309626
wsm144249,11.05,44.28,POINT (11.05 44.28),EU,TF,580.0,C,165.0,159.86673,5.1332703,0.8395341
wsm144308,10.71,44.42,POINT (10.71 44.42),EU,TF,596.0,C,18.0,6.6498876,11.350113,0.7624852
wsm144331,10.17,44.1,POINT (10.17 44.1),EU,NF,565.0,C,99.00001,115.75316,16.75315,0.76399785
wsm144334,10.15,44.16,POINT (10.15 44.16),EU,NF,572.0,C,120.0,123.00157,3.0015717,0.821847
wsm144335,10.13,44.18,POINT (10.13 44.18),EU,NF,575.0,C,123.0,124.26326,1.2632599,0.8020763
wsm144336,10.15,44.16,POINT (10.15 44.16),EU,NS,572.0,C,83.0,105.36667,22.366669,0.75309736
wsm144338,10.15,44.16,POINT (10.15 44.16),EU,NF,572.0,C,96.0,113.25398,17.253983,0.8150417
wsm144358,10.17,44.16,POINT (10.17 44.16),EU,NS,572.0,C,65.0,92.45923,27.459229,0.65034723
wsm144360,10.18,44.19,POINT (10.18 44.19),EU,NF,575.0,C,106.0,121.42886,15.428864,0.79264927
wsm144441,10.05,44.08,POINT (10.05 44.08),EU,NF,565.0,C,101.0,123.02443,22.02443,0.6488325
wsm144445,10.19,44.18,POINT (10.19 44.18),EU,NF,574.0,C,77.0,99.488625,22.488625,0.7228427
wsm144575,10.17,44.15,POINT (10.17 44.15),EU,NF,571.0,C,82.0,103.710266,21.710266,0.77205193
wsm144623,12.03,43.81,POINT (12.03 43.81),EU,NF,530.0,C,152.0,142.17694,9.823059,0.9017879
wsm144794,13.68,43.48,POINT (13.68 43.48),EU,TF,523.0,C,39.0,17.458496,21.541504,0.8286268
