ID,LON,LAT,geometry,PLATE,REGIME,DIST,QUALITY,AZI,AZI_PRED,AZI_ERROR,STR
wsm02413,13.42,43.72,POINT (13.42 43.72),EU,SS,542.0,A,84.99999,103.50636,18.50637,0.71144116
wsm02482,12.57,43.27,POINT (12.57 43.27),EU,NF,477.0,B,117.0,139.43582,22.435822,0.9201729
wsm102226,12.99,43.61,POINT (12.99 43.61),EU,SS,521.0,C,169.0,163.86275,5.137253,0.9563371
wsm108318,11.29,44.01,POINT (11.29 44.01),EU,NF,549.0,C,120.0,134.16843,14.1684265,0.82839113
wsm108320,11.36,44.01,POINT (11.36 44.01),EU,NF,549.0,C,154.0,141.79898,12.201019,0.7152743
wsm108321,11.22,44.06,POINT (11.22 44.06),EU,NF,555.0,C,129.0,133.34836,4.348358,0.8636212
wsm112192,10.3,44.51,POINT (10.3 44.51),EU,TF,609.0,C,20.0,5.8328643,14.167135,0.7284458
wsm112201,10.23,44.5,POINT (10.23 44.5),EU,TF,609.0,C,24.999998,5.600771,19.399227,0.6954746
wsm113370,13.35,42.36,POINT (13.35 42.36),EU,NF,397.0,C,151.0,144.36035,6.6396484,1.0144143
wsm113458,12.01,44.24,POINT (12.01 44.24),EU,TF,577.0,C,12.0,8.331576,3.6684237,0.87523204
wsm113459,13.37,42.33,POINT (13.37 42.33),EU,NF,394.0,C,173.0,141.03741,31.962585,0.92976284
wsm113466,13.35,42.29,POINT (13.35 42.29),EU,NF,389.0,C,134.0,143.0097,9.009705,0.9868288
wsm113469,13.34,42.37,POINT (13.34 42.37),EU,NF,397.0,C,147.0,144.33871,2.6612854,1.010336
wsm113471,13.39,42.34,POINT (13.39 42.34),EU,NF,396.0,C,153.0,143.80672,9.193283,1.0303476
wsm113472,13.37,42.35,POINT (13.37 42.35),EU,NF,396.0,C,139.0,141.41893,2.41893,1.0333494
wsm113477,13.33,42.36,POINT (13.33 42.36),EU,NF,396.0,C,165.0,142.57251,22.42749,0.96395934
wsm113483,13.27,42.47,POINT (13.27 42.47),EU,NF,406.0,C,146.0,146.0351,0.035095215,1.0061513
wsm113492,13.39,42.34,POINT (13.39 42.34),EU,NF,396.0,C,143.0,143.10863,0.10862732,1.0332056
wsm113502,13.39,42.31,POINT (13.39 42.31),EU,NS,393.0,C,133.0,140.28838,7.288376,0.99101794
wsm113506,13.38,42.38,POINT (13.38 42.38),EU,NF,400.0,C,120.0,132.96246,12.962463,0.93015206
wsm113525,13.36,42.51,POINT (13.36 42.51),EU,NF,412.0,C,140.0,145.54544,5.5454407,0.9921658
wsm113529,13.3,42.48,POINT (13.3 42.48),EU,NF,408.0,C,143.0,146.12634,3.1263428,1.0207342
wsm113531,13.44,42.34,POINT (13.44 42.34),EU,SS,397.0,C,108.0,128.96564,20.965637,0.8476001
wsm113535,13.42,42.45,POINT (13.42 42.45),EU,NS,408.0,C,159.0,137.66978,21.330215,0.8257072
wsm113540,13.19,42.37,POINT (13.19 42.37),EU,NF,393.0,C,134.0,139.06348,5.0634766,0.9422465
wsm113545,13.24,42.49,POINT (13.24 42.49),EU,NF,407.0,C,133.0,148.55225,15.552246,0.97354436
wsm113549,13.42,42.47,POINT (13.42 42.47),EU,NF,410.0,C,111.00001,132.47379,21.473778,0.9116007
wsm113586,13.21,42.52,POINT (13.21 42.52),EU,NF,409.0,C,138.0,144.56479,6.564789,0.99669856
wsm113597,13.29,42.53,POINT (13.29 42.53),EU,NF,413.0,C,146.0,143.55836,2.4416351,1.049201
wsm113627,13.31,42.51,POINT (13.31 42.51),EU,NF,411.0,C,144.0,145.55087,1.5508728,1.0311201
wsm113754,13.49,42.25,POINT (13.49 42.25),EU,NF,389.0,C,145.0,141.20148,3.798523,0.99159306
wsm113759,13.48,42.23,POINT (13.48 42.23),EU,NF,386.0,C,153.0,140.73245,12.267548,0.9903154
wsm114500,13.36,42.45,POINT (13.36 42.45),EU,NF,406.0,C,134.0,141.93529,7.9352875,0.96953684
wsm114745,13.38,42.34,POINT (13.38 42.34),EU,NF,395.0,C,151.0,143.51721,7.482788,1.025297
wsm115656,13.41,43.47,POINT (13.41 43.47),EU,SS,515.0,C,154.0,148.35548,5.644516,0.9806306
wsm117151,13.38,43.11,POINT (13.38 43.11),EU,NS,476.0,C,97.0,107.60819,10.608192,0.83576155
wsm118506,12.44,43.56,POINT (12.44 43.56),EU,NF,507.0,C,113.0,128.35643,15.35643,0.9511232
wsm120224,12.61,42.81,POINT (12.61 42.81),EU,NF,428.0,C,176.0,158.40648,17.593521,0.8895679
wsm120299,12.11,44.36,POINT (12.11 44.36),EU,TF,591.0,C,86.0,89.21092,3.2109222,0.6700189
wsm120877,12.37,44.14,POINT (12.37 44.14),EU,SS,570.0,C,148.0,146.521,1.4790039,0.8926764
wsm128220,12.03,43.86,POINT (12.03 43.86),EU,NF,535.0,C,115.0,132.04875,17.048752,0.87594366
wsm129876,11.86,43.92,POINT (11.86 43.92),EU,NF,541.0,C,123.0,134.14987,11.149872,0.9618526
wsm129877,11.85,43.92,POINT (11.85 43.92),EU,NF,540.0,C,119.0,135.04764,16.047638,0.94763225
wsm129896,11.86,43.93,POINT (11.86 43.93),EU,NF,542.0,C,122.0,134.17743,12.177429,0.95930666
wsm135516,13.2,42.81,POINT (13.2 42.81),EU,NF,440.0,C,124.0,134.1459,10.145905,1.0259899
wsm137318,12.23,44.41,POINT (12.23 44.41),EU,TF,598.0,C,161.0,158.97713,2.022873,0.870173
wsm141788,10.49,44.17,POINT (10.49 44.17),EU,SS,570.0,C,110.0,127.64088,17.640877,0.80217946
wsm143580,12.3,43.45,POINT (12.3 43.45),EU,NF,493.0,C,118.0,130.92506,12.925064,0.94326246
wsm144225,13.86,43.53,POINT (13.86 43.53),EU,TF,533.0,C,50.999996,25.359198,25.640799,0.83927274
wsm144249,11.05,44.28,POINT (11.05 44.28),EU,TF,580.0,C,165.0,160.18059,4.819412,0.8430377
wsm144308,10.71,44.42,POINT (10.71 44.42),EU,TF,596.0,C,18.0,6.452459,11.547541,0.7994425
wsm144623,12.03,43.81,POINT (12.03 43.81),EU,NF,530.0,C,152.0,141.21619,10.783813,0.889423
wsm144794,13.68,43.48,POINT (13.68 43.48),EU,TF,523.0,C,39.0,20.252932,18.747068,0.8111237
wsm144796,13.82,43.46,POINT (13.82 43.46),EU,TF,525.0,C,28.999998,6.7620106,22.237988,0.74232566
wsm145326,13.76,43.53,POINT (13.76 43.53),EU,TF,530.0,C,51.999996,25.484114,26.515882,0.8914836
wsm145398,12.54,43.37,POINT (12.54 43.37),EU,NF,488.0,C,140.0,143.46542,3.4654236,0.9531082
wsm146263,10.26,43.68,POINT (10.26 43.68),EU,NS,518.0,C,144.0,142.42613,1.5738678,0.8279504
