ID,LON,LAT,geometry,PLATE,REGIME,DIST,QUALITY,AZI,AZI_PRED,AZI_ERROR,STR
wsm02413,13.42,43.72,POINT (13.42 43.72),EU,SS,542.0,A,84.99999,102.75001,17.750015,0.71009076
wsm02482,12.57,43.27,POINT (12.57 43.27),EU,NF,477.0,B,117.0,139.8404,22.840393,0.94940513
wsm102226,12.99,43.61,POINT (12.99 43.61),EU,SS,521.0,C,169.0,164.2765,4.7234955,0.9132385
wsm108318,11.29,44.01,POINT (11.29 44.01),EU,NF,549.0,C,120.0,131.38377,11.383774,0.9110066
wsm108320,11.36,44.01,POINT (11.36 44.01),EU,NF,549.0,C,154.0,143.60922,10.390778,0.8607416
wsm108321,11.22,44.06,POINT (11.22 44.06),EU,NF,555.0,C,129.0,132.30685,3.3068542,0.9006324
wsm113370,13.35,42.36,POINT (13.35 42.36),EU,NF,397.0,C,151.0,144.38254,6.617462,1.00597
wsm113458,12.01,44.24,POINT (12.01 44.24),EU,TF,577.0,C,12.0,9.190456,2.8095436,0.8650061
wsm113459,13.37,42.33,POINT (13.37 42.33),EU,NF,394.0,C,173.0,141.38316,31.616837,0.91491705
wsm113466,13.35,42.29,POINT (13.35 42.29),EU,NF,389.0,C,134.0,142.83621,8.836212,0.9634859
wsm113469,13.34,42.37,POINT (13.34 42.37),EU,NF,397.0,C,147.0,144.33923,2.6607666,1.0081437
wsm113471,13.39,42.34,POINT (13.39 42.34),EU,NF,396.0,C,153.0,143.78339,9.216614,1.0226434
wsm113472,13.37,42.35,POINT (13.37 42.35),EU,NF,396.0,C,139.0,141.37062,2.3706207,1.0325727
wsm113477,13.33,42.36,POINT (13.33 42.36),EU,NF,396.0,C,165.0,142.68732,22.312683,0.9647921
wsm113483,13.27,42.47,POINT (13.27 42.47),EU,NF,406.0,C,146.0,146.59201,0.5920105,1.0311787
wsm113492,13.39,42.34,POINT (13.39 42.34),EU,NF,396.0,C,143.0,143.09958,0.09957886,1.0148723
wsm113502,13.39,42.31,POINT (13.39 42.31),EU,NS,393.0,C,133.0,139.89156,6.891556,0.97449756
wsm113506,13.38,42.38,POINT (13.38 42.38),EU,NF,400.0,C,120.0,132.9313,12.931305,0.936736
wsm113525,13.36,42.51,POINT (13.36 42.51),EU,NF,412.0,C,140.0,145.35995,5.359955,0.9975389
wsm113529,13.3,42.48,POINT (13.3 42.48),EU,NF,408.0,C,143.0,147.47,4.470001,1.0240351
wsm113531,13.44,42.34,POINT (13.44 42.34),EU,SS,397.0,C,108.0,129.0456,21.045593,0.8765088
wsm113535,13.42,42.45,POINT (13.42 42.45),EU,NS,408.0,C,159.0,141.15506,17.84494,0.831974
wsm113540,13.19,42.37,POINT (13.19 42.37),EU,NF,393.0,C,134.0,139.25543,5.255432,0.9585042
wsm113545,13.24,42.49,POINT (13.24 42.49),EU,NF,407.0,C,133.0,148.52673,15.526733,0.97800326
wsm113549,13.42,42.47,POINT (13.42 42.47),EU,NF,410.0,C,111.00001,132.30904,21.309029,0.9297415
wsm113586,13.21,42.52,POINT (13.21 42.52),EU,NF,409.0,C,138.0,144.56682,6.566818,1.011311
wsm113597,13.29,42.53,POINT (13.29 42.53),EU,NF,413.0,C,146.0,143.48578,2.5142212,1.0590816
wsm113627,13.31,42.51,POINT (13.31 42.51),EU,NF,411.0,C,144.0,145.5979,1.5979004,1.0302334
wsm113754,13.49,42.25,POINT (13.49 42.25),EU,NF,389.0,C,145.0,141.73914,3.2608643,0.9100095
wsm113759,13.48,42.23,POINT (13.48 42.23),EU,NF,386.0,C,153.0,141.18759,11.812408,0.90364283
