ID,LON,LAT,geometry,PLATE,REGIME,DIST,QUALITY,AZI,AZI_PRED,AZI_ERROR,STR
grid_000000,10.2,40.0,POINT (10.2 40),EU,TF,124.05485540815897,C,0.0,140.31534,39.68466,0.12536308
grid_000001,10.8,40.0,POINT (10.8 40),EU,TF,107.72962384777578,C,0.0,138.6638,41.336197,0.12059672
grid_000002,11.4,40.0,POINT (11.4 40),EU,TF,102.7713361780553,C,0.0,137.05841,42.94159,0.1727589
grid_000003,12.0,40.0,POINT (12 40),EU,TF,111.32820849364259,C,0.0,135.91568,44.08432,0.112886675
grid_000004,12.6,40.0,POINT (12.6 40),EU,TF,128.62289590093098,C,0.0,135.53838,44.461624,0.0903335
grid_000005,13.2,40.0,POINT (13.2 40),EU,TF,143.85391813884328,C,0.0,135.41325,44.586746,0.12745458
grid_000006,13.8,40.0,POINT (13.8 40),EU,TF,147.45457011417975,C,0.0,134.9477,45.052307,0.13032132
grid_000007,14.4,40.0,POINT (14.4 40),EU,TF,137.43432844851188,C,0.0,133.94188,46.05812,0.14069284
grid_000008,15.0,40.0,POINT (15 40),EU,TF,143.31921309463843,C,0.0,133.57477,46.425232,0.16966306
grid_000009,15.6,40.0,POINT (15.6 40),EU,NF,165.94145349257667,C,0.0,125.28639,54.713608,0.18375458
grid_000010,10.2,40.6,POINT (10.2 40.6),EU,TF,186.24481473161194,C,0.0,145.21944,34.780563,0.13336991
grid_000011,10.8,40.6,POINT (10.8 40.6),EU,TF,172.34640353316755,C,0.0,143.8806,36.1194,0.11141028
grid_000012,11.4,40.6,POINT (11.4 40.6),EU,TF,169.37552744558087,C,0.0,142.87228,37.127716,0.16322921
grid_000013,12.0,40.6,POINT (12 40.6),EU,TF,176.45239183511615,A,0.0,150.07382,29.926178,0.1590382
grid_000014,12.6,40.6,POINT (12.6 40.6),EU,SS,194.96888018160823,C,0.0,137.09518,42.904816,0.18216637
grid_000015,13.2,40.6,POINT (13.2 40.6),EU,TF,205.24808239798742,C,0.0,141.20146,38.79854,0.15705432
grid_000016,13.8,40.6,POINT (13.8 40.6),EU,TF,212.72395808247782,C,0.0,140.62466,39.375336,0.12879601
grid_000017,14.4,40.6,POINT (14.4 40.6),EU,TF,203.9407249986972,C,0.0,139.05917,40.940826,0.17911114
grid_000018,15.0,40.6,POINT (15 40.6),EU,TF,207.91734536976583,C,0.0,141.3809,38.619095,0.1511369
grid_000019,15.6,40.6,POINT (15.6 40.6),EU,NF,223.9750402787195,C,0.0,127.05686,52.94314,0.3317287
grid_000020,10.2,41.2,POINT (10.2 41.2),EU,TF,250.72977090584513,C,0.0,148.79498,31.205017,0.16892828
grid_000021,10.8,41.2,POINT (10.8 41.2),EU,TF,238.3615364954864,C,0.0,149.0596,30.9404,0.18604824
grid_000022,11.4,41.2,POINT (11.4 41.2),EU,TF,235.99798008690627,C,0.0,149.50488,30.495117,0.19471774
grid_000023,12.0,41.2,POINT (12 41.2),EU,TF,242.40004135874977,C,0.0,149.46364,30.536362,0.18044728
grid_000024,12.6,41.2,POINT (12.6 41.2),EU,NF,261.3982147973386,C,0.0,134.84149,45.15851,0.21542954
grid_000025,13.2,41.2,POINT (13.2 41.2),EU,TF,269.14769031685773,C,0.0,149.35464,30.645355,0.21690142
grid_000026,13.8,41.2,POINT (13.8 41.2),EU,TF,277.1353123939534,C,0.0,142.75052,37.24948,0.49207753
grid_000027,14.4,41.2,POINT (14.4 41.2),EU,NF,270.512051724643,C,0.0,131.18991,48.81009,0.36930865
grid_000028,15.0,41.2,POINT (15 41.2),EU,NF,273.49597855500036,C,0.0,135.02634,44.973663,0.22701952
grid_000029,15.6,41.2,POINT (15.6 41.2),EU,TF,285.7861933552525,C,0.0,147.46637,32.53363,0.20724685
grid_000030,10.2,41.8,POINT (10.2 41.8),EU,TF,315.16289051960956,C,0.0,151.80229,28.197708,0.1400206
grid_000031,10.8,41.8,POINT (10.8 41.8),EU,TF,304.6518716719138,C,0.0,152.51906,27.480942,0.18373594
grid_000032,11.4,41.8,POINT (11.4 41.8),EU,TF,302.63124210766046,C,0.0,153.59763,26.402374,0.20832711
grid_000033,12.0,41.8,POINT (12 41.8),EU,NF,308.28367564070686,C,0.0,138.58234,41.417664,0.2619073
grid_000034,12.6,41.8,POINT (12.6 41.8),EU,TF,317.49332142171056,C,0.0,142.84259,37.15741,0.53049207
grid_000035,13.2,41.8,POINT (13.2 41.8),EU,NF,334.1225098129041,C,0.0,156.73773,23.262268,0.41179848
grid_000036,13.8,41.8,POINT (13.8 41.8),EU,NF,342.4037383389936,C,0.0,119.29993,60.700073,0.5240504
grid_000037,14.4,41.8,POINT (14.4 41.8),EU,NF,337.1139834546539,C,0.0,134.80792,45.192078,0.34211904
grid_000038,15.0,41.8,POINT (15 41.8),EU,SS,339.49148866017384,C,0.0,132.16583,47.834167,0.68886435
grid_000039,15.6,41.8,POINT (15.6 41.8),EU,TF,349.3796578530536,C,0.0,149.99399,30.006012,0.25169194
grid_000040,10.2,42.4,POINT (10.2 42.4),EU,TF,378.9028489937908,C,0.0,154.91907,25.080933,0.20106421
grid_000041,10.8,42.4,POINT (10.8 42.4),EU,SS,371.07371831194547,C,0.0,147.54907,32.450928,0.2322553
grid_000042,11.4,42.4,POINT (11.4 42.4),EU,TF,369.2732520696971,C,0.0,155.50284,24.497162,0.20660436
grid_000043,12.0,42.4,POINT (12 42.4),EU,TF,373.9738663163428,C,0.0,156.71281,23.287186,0.26633486
grid_000044,12.6,42.4,POINT (12.6 42.4),EU,NF,382.2871823118039,C,0.0,128.31715,51.682846,0.40598926
grid_000045,13.2,42.4,POINT (13.2 42.4),EU,NF,399.65196394131556,C,0.0,140.84943,39.150574,0.87313974
grid_000046,13.8,42.4,POINT (13.8 42.4),EU,TF,408.1216712574927,C,0.0,162.63206,17.367935,0.3749121
grid_000047,14.4,42.4,POINT (14.4 42.4),EU,TF,403.734842285495,C,0.0,169.2514,10.748596,0.32480866
grid_000048,15.0,42.4,POINT (15 42.4),EU,NF,405.70393714240055,C,0.0,134.87054,45.129456,0.5206807
grid_000049,15.6,42.4,POINT (15.6 42.4),EU,TF,410.2843010733142,C,0.0,165.95384,14.046158,0.19501163
grid_000050,10.2,43.0,POINT (10.2 43),EU,TF,443.5108942176892,C,0.0,161.0518,18.948196,0.20647666
grid_000051,10.8,43.0,POINT (10.8 43),EU,TF,437.57039839418513,C,0.0,144.30283,35.697174,0.23480278
grid_000052,11.4,43.0,POINT (11.4 43),EU,NF,435.92321748544236,C,0.0,142.5245,37.475494,0.2820679
grid_000053,12.0,43.0,POINT (12 43),EU,NF,439.6636531031466,C,0.0,137.6207,42.379303,0.5076882
grid_000054,12.6,43.0,POINT (12.6 43),EU,NF,447.6313179808152,C,0.0,137.09908,42.900925,0.8542027
grid_000055,13.2,43.0,POINT (13.2 43),EU,NF,465.50489674239503,C,0.0,152.09857,27.901428,0.9429351
grid_000056,13.8,43.0,POINT (13.8 43),EU,NF,474.10518326354264,C,0.0,149.16827,30.831726,0.32496652
grid_000057,14.4,43.0,POINT (14.4 43),EU,TF,470.36957096309635,C,0.0,14.81402,14.81402,0.44168222
grid_000058,15.0,43.0,POINT (15 43),EU,TF,472.045018481403,C,0.0,13.00519,13.00519,0.67484903
grid_000059,15.6,43.0,POINT (15.6 43),EU,TF,469.2815642929185,C,0.0,7.3361607,7.3361607,0.34682077
grid_000060,10.2,43.6,POINT (10.2 43.6),EU,TF,509.2309870863261,C,0.0,151.13895,28.861053,0.46686846
grid_000061,10.8,43.6,POINT (10.8 43.6),EU,NF,504.1150890756672,C,0.0,143.8915,36.108505,0.3305002
grid_000062,11.4,43.6,POINT (11.4 43.6),EU,NF,502.5807716167939,C,0.0,139.32474,40.675262,0.5950898
grid_000063,12.0,43.6,POINT (12 43.6),EU,NF,505.3902384156338,C,0.0,148.22693,31.773071,0.7371634
grid_000064,12.6,43.6,POINT (12.6 43.6),EU,NF,513.3183640614437,C,0.0,136.25012,43.749878,0.4812446
grid_000065,13.2,43.6,POINT (13.2 43.6),EU,NF,531.5637445704956,C,0.0,155.46027,24.539734,0.4230178
grid_000066,13.8,43.6,POINT (13.8 43.6),EU,SS,540.2595785294394,C,0.0,16.837763,16.837763,0.6336504
grid_000067,14.4,43.6,POINT (14.4 43.6),EU,TF,537.0156261436603,C,0.0,0.7567679,0.7567679,0.26170573
grid_000068,15.0,43.6,POINT (15 43.6),EU,TF,538.4698032369498,C,0.0,5.444448,5.444448,0.26009235
grid_000069,15.6,43.6,POINT (15.6 43.6),EU,TF,530.0999977668255,C,0.0,7.9911947,7.9911947,0.22094509
grid_000070,10.2,44.2,POINT (10.2 44.2),EU,NF,575.1738078018959,C,0.0,153.73376,26.266235,0.24312183
