ID,LON,LAT,geometry,PLATE,REGIME,DIST,QUALITY,AZI,AZI_PRED,AZI_ERROR,STR
grid_000000,10.4,40.0,POINT (10.4 40),EU,TF,117.59615159553412,C,0.0,140.3601,39.639893,0.16625522
grid_000001,11.0,40.0,POINT (11 40),EU,TF,104.05705813021233,C,0.0,139.23143,40.76857,0.17024797
grid_000002,11.6,40.0,POINT (11.6 40),EU,TF,104.98884747004878,C,0.0,138.21938,41.780624,0.13686782
grid_000003,12.2,40.0,POINT (12.2 40),EU,TF,117.04108659755465,C,0.0,137.50606,42.493942,0.10371122
grid_000004,12.8,40.0,POINT (12.8 40),EU,TF,131.65916800048913,C,0.0,137.17621,42.82379,0.11749735
grid_000005,13.4,40.0,POINT (13.4 40),EU,TF,153.89394152334918,C,0.0,137.63184,42.368164,0.118751064
grid_000006,14.0,40.0,POINT (14 40),EU,TF,144.01008945301376,C,0.0,136.5672,43.4328,0.1476056
grid_000007,14.6,40.0,POINT (14.6 40),EU,TF,137.27762105245017,C,0.0,135.8725,44.127502,0.15042296
grid_000008,15.2,40.0,POINT (15.2 40),EU,TF,149.26047540977885,C,0.0,128.27084,51.729156,0.30386478
grid_000009,15.8,40.0,POINT (15.8 40),EU,NF,176.2274779375276,C,0.0,127.67237,52.32763,0.18715087
grid_000010,10.4,40.6,POINT (10.4 40.6),EU,TF,182.04395702206529,C,0.0,144.90408,35.095917,0.13198486
grid_000011,11.0,40.6,POINT (11 40.6),EU,TF,170.48641067211997,C,0.0,144.0146,35.985397,0.14013973
grid_000012,11.6,40.6,POINT (11.6 40.6),EU,TF,170.67985409892032,C,0.0,143.53552,36.464478,0.1482924
grid_000013,12.2,40.6,POINT (12.2 40.6),EU,TF,180.07970865668054,C,0.0,143.22115,36.778854,0.14662574
grid_000014,12.8,40.6,POINT (12.8 40.6),EU,TF,196.96766248569423,C,0.0,143.14049,36.859512,0.18708634
grid_000015,13.4,40.6,POINT (13.4 40.6),EU,TF,220.4782635175897,C,0.0,143.7259,36.274094,0.13938269
grid_000016,14.0,40.6,POINT (14 40.6),EU,NF,208.42982640796566,C,0.0,130.23854,49.76146,0.19964075
grid_000017,14.6,40.6,POINT (14.6 40.6),EU,NF,203.83607407610137,C,0.0,129.51282,50.487183,0.23532017
grid_000018,15.2,40.6,POINT (15.2 40.6),EU,TF,212.02067300992746,C,0.0,148.37978,31.620224,0.22658952
grid_000019,15.8,40.6,POINT (15.8 40.6),EU,NF,231.63268847737393,C,0.0,139.51138,40.488617,0.32437542
grid_000020,10.4,41.2,POINT (10.4 41.2),EU,TF,246.03404083301965,C,0.0,149.76001,30.23999,0.11644896
grid_000021,11.0,41.2,POINT (11 41.2),EU,TF,237.03211069400558,C,0.0,149.80289,30.197113,0.15687782
grid_000022,11.6,41.2,POINT (11.6 41.2),EU,TF,236.8418669427327,C,0.0,149.81139,30.188614,0.14804545
grid_000023,12.2,41.2,POINT (12.2 41.2),EU,TF,245.02968455511,C,0.0,150.865,29.134995,0.17661574
grid_000024,12.8,41.2,POINT (12.8 41.2),EU,NF,262.94393666051775,C,0.0,135.83379,44.166214,0.21835801
grid_000025,13.4,41.2,POINT (13.4 41.2),EU,TF,273.79733874834847,C,0.0,150.57161,29.42839,0.17186128
grid_000026,14.0,41.2,POINT (14 41.2),EU,TF,273.8823255977524,C,0.0,143.31287,36.687134,0.41260028
grid_000027,14.6,41.2,POINT (14.6 41.2),EU,TF,270.4338631118017,C,0.0,145.78519,34.214813,0.35764718
grid_000028,15.2,41.2,POINT (15.2 41.2),EU,NF,276.60063933624525,C,0.0,138.04686,41.95314,0.25208548
grid_000029,15.8,41.2,POINT (15.8 41.2),EU,NF,290.9487786519172,C,0.0,136.32205,43.677948,0.21456501
grid_000030,10.4,41.8,POINT (10.4 41.8),EU,TF,309.789883442394,C,0.0,153.52203,26.477966,0.13800912
grid_000031,11.0,41.8,POINT (11 41.8),EU,TF,303.62225947081566,C,0.0,153.92807,26.07193,0.21650425
grid_000032,11.6,41.8,POINT (11.6 41.8),EU,TF,303.28383431735284,C,0.0,156.39645,23.603546,0.20871864
grid_000033,12.2,41.8,POINT (12.2 41.8),EU,NF,310.6991146485611,C,0.0,139.89366,40.10634,0.30192238
grid_000034,12.8,41.8,POINT (12.8 41.8),EU,TF,329.1909599522437,C,0.0,139.70471,40.295288,0.6507546
grid_000035,13.4,41.8,POINT (13.4 41.8),EU,NF,337.845472013796,C,0.0,136.699,43.300995,0.52944666
grid_000036,14.0,41.8,POINT (14 41.8),EU,NF,339.80000096207624,C,0.0,137.49892,42.501083,0.5741599
grid_000037,14.6,41.8,POINT (14.6 41.8),EU,NF,337.0518115524337,C,0.0,138.36087,41.63913,0.41493386
grid_000038,15.2,41.8,POINT (15.2 41.8),EU,TF,341.97503392878536,C,0.0,149.3106,30.689407,0.4641198
grid_000039,15.8,41.8,POINT (15.8 41.8),EU,TF,344.72193345112515,C,0.0,148.99031,31.00969,0.3364775
grid_000040,10.4,42.4,POINT (10.4 42.4),EU,TF,375.0303202831319,C,0.0,155.79012,24.209885,0.18613753
grid_000041,11.0,42.4,POINT (11 42.4),EU,SS,370.23665432197515,C,0.0,149.01361,30.98639,0.2616975
grid_000042,11.6,42.4,POINT (11.6 42.4),EU,TF,369.80334218586603,C,0.0,156.9912,23.008804,0.22103798
grid_000043,12.2,42.4,POINT (12.2 42.4),EU,NF,376.7156504003816,C,0.0,143.24358,36.756424,0.33658314
grid_000044,12.8,42.4,POINT (12.8 42.4),EU,NF,386.1525348843511,C,0.0,143.26854,36.73146,0.38472718
grid_000045,13.4,42.4,POINT (13.4 42.4),EU,NF,402.7411311262557,C,0.0,139.41864,40.58136,0.9245881
grid_000046,14.0,42.4,POINT (14 42.4),EU,NF,405.9597640278953,C,0.0,146.81003,33.189972,0.35483754
grid_000047,14.6,42.4,POINT (14.6 42.4),EU,TF,403.68340761239745,C,0.0,170.45631,9.543686,0.2944355
grid_000048,15.2,42.4,POINT (15.2 42.4),EU,NF,407.765369416427,C,0.0,130.69055,49.30945,0.70076203
grid_000049,15.8,42.4,POINT (15.8 42.4),EU,TF,402.36669424878784,C,0.0,175.338,4.6620026,0.25025734
grid_000050,10.4,43.0,POINT (10.4 43),EU,SS,440.89936267831627,C,0.0,148.52588,31.474121,0.22432931
grid_000051,11.0,43.0,POINT (11 43),EU,TF,436.8607998724774,C,0.0,154.3108,25.689194,0.25387457
grid_000052,11.6,43.0,POINT (11.6 43),EU,NF,436.368147407155,C,0.0,143.27232,36.727676,0.3066706
grid_000053,12.2,43.0,POINT (12.2 43),EU,NF,442.774852376114,C,0.0,146.79112,33.208878,0.33464974
grid_000054,12.8,43.0,POINT (12.8 43),EU,NF,450.9060652051976,C,0.0,138.87756,41.122437,0.96804965
grid_000055,13.4,43.0,POINT (13.4 43),EU,NF,468.13497767709123,C,0.0,135.86201,44.137985,0.47051287
grid_000056,14.0,43.0,POINT (14 43),EU,TF,472.2628550896675,C,0.0,21.835402,21.835402,0.42528817
grid_000057,14.6,43.0,POINT (14.6 43),EU,TF,470.3258361052168,C,0.0,173.34592,6.6540833,0.31137854
grid_000058,15.2,43.0,POINT (15.2 43),EU,TF,473.80137140872046,C,0.0,11.070082,11.070082,0.7102954
grid_000059,15.8,43.0,POINT (15.8 43),EU,TF,462.44051773704496,C,0.0,164.64603,15.353973,0.48270667
grid_000060,10.4,43.6,POINT (10.4 43.6),EU,TF,506.9798279247411,C,0.0,159.14417,20.855835,0.19947012
grid_000061,11.0,43.6,POINT (11 43.6),EU,NF,503.4729239453721,C,0.0,129.25912,50.740875,0.69591135
grid_000062,11.6,43.6,POINT (11.6 43.6),EU,SS,502.9630616929982,C,0.0,150.39215,29.60785,0.2986074
grid_000063,12.2,43.6,POINT (12.2 43.6),EU,NF,508.4641415579464,C,0.0,134.71162,45.288376,0.79326594
grid_000064,12.8,43.6,POINT (12.8 43.6),EU,NF,516.1493845800422,C,0.0,160.10452,19.895477,0.43506306
grid_000065,13.4,43.6,POINT (13.4 43.6),EU,TF,533.8465995316574,C,0.0,160.80052,19.199478,0.5204483
