ID,LON,LAT,geometry,PLATE,REGIME,DIST,QUALITY,AZI,AZI_PRED,AZI_ERROR,STR
grid_000000,10.2,40.2,POINT (10.2 40.2),EU,TF,144.3451952,C,0,141.0676,38.932404,0.15187189
grid_000001,10.8,40.2,POINT (10.8 40.2),EU,TF,128.9935809,C,0,140.05115,39.948853,0.09903231
grid_000002,11.4,40.2,POINT (11.4 40.2),EU,TF,124.9695887,C,0,139.22574,40.77426,0.13546275
grid_000003,12,40.2,POINT (12 40.2),EU,TF,132.8703831,C,0,138.60263,41.39737,0.11105687
grid_000004,12.6,40.2,POINT (12.6 40.2),EU,TF,150.7101874,C,0,138.49927,41.500732,0.16278218
grid_000005,13.2,40.2,POINT (13.2 40.2),EU,TF,163.8646773,C,0,138.30138,41.698624,0.16079938
grid_000006,13.8,40.2,POINT (13.8 40.2),EU,TF,169.2284923,C,0,137.944,42.056,0.1147158
grid_000007,14.4,40.2,POINT (14.4 40.2),EU,TF,159.5914388,C,0,137.0032,42.996796,0.13128865
grid_000008,15,40.2,POINT (15 40.2),EU,TF,164.6719273,C,0,137.12076,42.879242,0.16219981
grid_000009,15.6,40.2,POINT (15.6 40.2),EU,NF,184.6422129,C,0,127.38957,52.610428,0.19292837
grid_000010,10.2,40.8,POINT (10.2 40.8),EU,TF,207.5885458,C,0,144.09758,35.90242,0.17246479
grid_000011,10.8,40.8,POINT (10.8 40.8),EU,TF,194.3039752,C,0,144.4902,35.509796,0.17784134
grid_000012,11.4,40.8,POINT (11.4 40.8),EU,TF,191.5815644,C,0,144.07425,35.92575,0.1555737
grid_000013,12,40.8,POINT (12 40.8),EU,TF,198.3834461,C,0,143.89987,36.10013,0.1491386
grid_000014,12.6,40.8,POINT (12.6 40.8),EU,TF,217.1236114,C,0,139.8161,40.1839,0.21413986
grid_000015,13.2,40.8,POINT (13.2 40.8),EU,SS,226.3723514,C,0,138.80223,41.19777,0.19321111
grid_000016,13.8,40.8,POINT (13.8 40.8),EU,TF,234.0556797,C,0,143.27003,36.729965,0.20331228
grid_000017,14.4,40.8,POINT (14.4 40.8),EU,TF,226.1264793,C,0,141.88754,38.112457,0.20270686
grid_000018,15,40.8,POINT (15 40.8),EU,NF,229.7088605,C,0,130.55211,49.44789,0.40276545
grid_000019,15.6,40.8,POINT (15.6 40.8),EU,NF,244.296778,C,0,128.22984,51.770157,0.4375416
grid_000020,10.2,41.4,POINT (10.2 41.4),EU,TF,272.455804,C,0,147.70648,32.293518,0.105424285
grid_000021,10.8,41.4,POINT (10.8 41.4),EU,TF,260.4378316,C,0,148.16664,31.833359,0.20222235
grid_000022,11.4,41.4,POINT (11.4 41.4),EU,TF,258.2080123,C,0,149.72656,30.273438,0.1647668
grid_000023,12,41.4,POINT (12 41.4),EU,TF,264.4602619,C,0,150.0772,29.922806,0.19220398
grid_000024,12.6,41.4,POINT (12.6 41.4),EU,TF,274.7930239,C,0,166.18323,13.816772,0.30099097
grid_000025,13.2,41.4,POINT (13.2 41.4),EU,TF,290.7216153,C,0,150.75317,29.246826,0.20902067
grid_000026,13.8,41.4,POINT (13.8 41.4),EU,TF,298.8235759,C,0,143.2203,36.779694,0.5703146
grid_000027,14.4,41.4,POINT (14.4 41.4),EU,TF,292.7100906,C,0,132.67937,47.320633,0.7524018
grid_000028,15,41.4,POINT (15 41.4),EU,NF,295.4616874,C,0,139.9999,40.000107,0.43010956
grid_000029,15.6,41.4,POINT (15.6 41.4),EU,TF,306.8398452,C,0,149.95183,30.048172,0.16316569
grid_000030,10.2,42,POINT (10.2 42),EU,TF,336.4113054,C,0,150.48634,29.513657,0.15229282
grid_000031,10.8,42,POINT (10.8 42),EU,TF,326.7816199,C,0,151.40935,28.590652,0.16960557
grid_000032,11.4,42,POINT (11.4 42),EU,TF,324.8443262,C,0,152.60448,27.395523,0.18177462
grid_000033,12,42,POINT (12 42),EU,TF,330.1804464,C,0,153.98564,26.014359,0.22635949
grid_000034,12.6,42,POINT (12.6 42),EU,TF,339.0108583,C,0,146.3632,33.636795,0.6343099
grid_000035,13.2,42,POINT (13.2 42),EU,TF,355.9189158,C,0,150.90582,29.094177,0.32232744
grid_000036,13.8,42,POINT (13.8 42),EU,NF,364.2715607,C,0,125.62961,54.37039,0.5264074
grid_000037,14.4,42,POINT (14.4 42),EU,TF,359.3191604,C,0,154.496,25.503998,0.26650637
grid_000038,15,42,POINT (15 42),EU,NF,361.5438869,C,0,135.40544,44.59456,0.35113358
grid_000039,15.6,42,POINT (15.6 42),EU,TF,370.8164846,C,0,154.37729,25.622711,0.429003
grid_000040,10.2,42.6,POINT (10.2 42.6),EU,TF,400.1459604,C,0,153.97713,26.022873,0.15017699
grid_000041,10.8,42.6,POINT (10.8 42.6),EU,TF,393.2326609,C,0,153.25851,26.741486,0.16777164
grid_000042,11.4,42.6,POINT (11.4 42.6),EU,TF,391.4890466,C,0,154.42017,25.579834,0.22430381
grid_000043,12,42.6,POINT (12 42.6),EU,NF,395.8705103,C,0,129.4184,50.581604,0.5191651
grid_000044,12.6,42.6,POINT (12.6 42.6),EU,NF,404.0203864,C,0,116.71893,63.281067,0.72375643
