ID,LON,LAT,geometry,PLATE,REGIME,DIST,QUALITY,AZI,AZI_PRED,AZI_ERROR,STR
grid_000000,10.4,40.2,POINT (10.4 40.2),EU,TF,138.8499596884697,C,0.0,140.75836,39.24164,0.11502965
grid_000001,11.0,40.2,POINT (11 40.2),EU,TF,126.17657897699905,C,0.0,139.89969,40.10031,0.14704046
grid_000002,11.6,40.2,POINT (11.6 40.2),EU,TF,126.88586781629374,C,0.0,139.26373,40.736267,0.10726892
grid_000003,12.2,40.2,POINT (12.2 40.2),EU,TF,137.67860571627526,C,0.0,138.82619,41.173813,0.14424057
grid_000004,12.8,40.2,POINT (12.8 40.2),EU,TF,153.30217622381934,C,0.0,138.72916,41.270844,0.14101508
grid_000005,13.4,40.2,POINT (13.4 40.2),EU,TF,176.08797909991785,C,0.0,139.20764,40.79236,0.13405687
grid_000006,14.0,40.2,POINT (14 40.2),EU,TF,165.32230959417765,C,0.0,138.10913,41.89087,0.1326961
grid_000007,14.6,40.2,POINT (14.6 40.2),EU,TF,159.45689896799232,C,0.0,137.48361,42.516388,0.1379719
grid_000008,15.2,40.2,POINT (15.2 40.2),EU,SS,169.85317484825794,C,0.0,133.37123,46.62877,0.20585012
grid_000009,15.8,40.2,POINT (15.8 40.2),EU,NF,193.91263332011653,C,0.0,132.28749,47.71251,0.37631613
grid_000010,10.4,40.8,POINT (10.4 40.8),EU,TF,203.52151582191328,C,0.0,143.84416,36.155838,0.10358267
grid_000011,11.0,40.8,POINT (11 40.8),EU,TF,192.66097563587928,C,0.0,144.2489,35.7511,0.16751218
grid_000012,11.6,40.8,POINT (11.6 40.8),EU,TF,192.62634173919238,C,0.0,144.00531,35.99469,0.13272727
grid_000013,12.2,40.8,POINT (12.2 40.8),EU,TF,201.60711262223666,C,0.0,143.9725,36.027496,0.12541974
grid_000014,12.8,40.8,POINT (12.8 40.8),EU,TF,218.91493363526016,C,0.0,143.78458,36.215424,0.19164038
grid_000015,13.4,40.8,POINT (13.4 40.8),EU,TF,231.91384739629285,C,0.0,144.13617,35.86383,0.18203823
grid_000016,14.0,40.8,POINT (14 40.8),EU,NF,230.171461637143,C,0.0,131.22443,48.775574,0.21203607
grid_000017,14.6,40.8,POINT (14.6 40.8),EU,NF,226.03237865503507,C,0.0,130.56306,49.436935,0.24013449
grid_000018,15.2,40.8,POINT (15.2 40.8),EU,NF,233.41856201148744,C,0.0,127.84228,52.157722,0.5836282
grid_000019,15.8,40.8,POINT (15.8 40.8),EU,NF,251.31557053581983,C,0.0,139.84186,40.158142,0.31988704
grid_000020,10.4,41.4,POINT (10.4 41.4),EU,TF,267.28772291018765,C,0.0,147.40576,32.59424,0.10006477
grid_000021,11.0,41.4,POINT (11 41.4),EU,TF,259.2253130340458,C,0.0,148.02197,31.978027,0.1441838
grid_000022,11.6,41.4,POINT (11.6 41.4),EU,TF,258.9772223552794,C,0.0,149.54602,30.45398,0.18630573
grid_000023,12.2,41.4,POINT (12.2 41.4),EU,TF,266.86540641738367,C,0.0,166.12224,13.877762,0.24899426
grid_000024,12.8,41.4,POINT (12.8 41.4),EU,TF,285.0052599792305,C,0.0,150.93872,29.06128,0.249411
grid_000025,13.4,41.4,POINT (13.4 41.4),EU,TF,295.01861836981766,C,0.0,148.129,31.871002,0.2519786
grid_000026,14.0,41.4,POINT (14 41.4),EU,NF,295.8182760465427,C,0.0,137.71342,42.286575,0.69578487
grid_000027,14.6,41.4,POINT (14.6 41.4),EU,TF,292.6380498096526,C,0.0,137.41537,42.584625,0.60854745
grid_000028,15.2,41.4,POINT (15.2 41.4),EU,TF,298.32926410191925,C,0.0,147.68839,32.311615,0.23829938
grid_000029,15.8,41.4,POINT (15.8 41.4),EU,TF,308.3152454175663,C,0.0,150.3998,29.600204,0.15102106
grid_000030,10.4,42.0,POINT (10.4 42),EU,TF,331.2952831737404,C,0.0,150.42764,29.572357,0.091046736
grid_000031,11.0,42.0,POINT (11 42),EU,TF,325.82488551808257,C,0.0,151.4545,28.545502,0.16521537
grid_000032,11.6,42.0,POINT (11.6 42),EU,TF,325.450522073609,C,0.0,152.57645,27.423553,0.2016241
grid_000033,12.2,42.0,POINT (12.2 42),EU,TF,332.6760333787796,C,0.0,153.9151,26.0849,0.29914463
grid_000034,12.8,42.0,POINT (12.8 42),EU,NF,351.30770152809043,C,0.0,130.77661,49.22339,0.38582525
grid_000035,13.4,42.0,POINT (13.4 42),EU,NF,359.4055449836986,C,0.0,138.94142,41.05858,0.49930042
grid_000036,14.0,42.0,POINT (14 42),EU,NF,361.8327130701681,C,0.0,132.38559,47.61441,0.49327892
