ID,LON,LAT,geometry,PLATE,REGIME,DIST,QUALITY,AZI,AZI_PRED,AZI_ERROR,STR
grid_000000,10.2,40.4,POINT (10.2 40.4),EU,TF,165.13027896952164,C,0.0,143.32407,36.675934,0.15074788
grid_000001,10.8,40.4,POINT (10.8 40.4),EU,TF,150.46357583519568,C,0.0,142.08322,37.91678,0.13048759
grid_000002,11.4,40.4,POINT (11.4 40.4),EU,TF,147.17134367953128,C,0.0,141.09135,38.908646,0.13705218
grid_000003,12.0,40.4,POINT (12 40.4),EU,TF,154.6016276588215,C,0.0,140.33058,39.66942,0.15360914
grid_000004,12.6,40.4,POINT (12.6 40.4),EU,TF,172.8290038991056,C,0.0,140.10469,39.89531,0.11604452
grid_000005,13.2,40.4,POINT (13.2 40.4),EU,TF,184.37969885913594,C,0.0,139.61893,40.381073,0.15648215
grid_000006,13.8,40.4,POINT (13.8 40.4),EU,TF,191.1790416627914,C,0.0,139.16519,40.83481,0.16139069
grid_000007,14.4,40.4,POINT (14.4 40.4),EU,TF,181.7615688288536,C,0.0,137.84283,42.157166,0.13349092
grid_000008,15.0,40.4,POINT (15 40.4),EU,NF,186.22535956192613,C,0.0,165.75215,14.2478485,0.3011118
grid_000009,15.6,40.4,POINT (15.6 40.4),EU,NF,204.0476987644658,C,0.0,128.67871,51.32129,0.2219918
grid_000010,10.2,41.0,POINT (10.2 41),EU,TF,229.0976478540448,C,0.0,147.99728,32.002716,0.10808756
grid_000011,10.8,41.0,POINT (10.8 41),EU,TF,216.3137692797248,C,0.0,147.3771,32.622894,0.14590913
grid_000012,11.4,41.0,POINT (11.4 41),EU,TF,213.78911842211875,C,0.0,146.93161,33.06839,0.18861926
grid_000013,12.0,41.0,POINT (12 41),EU,TF,220.3710546363588,C,0.0,146.77264,33.227356,0.18431294
grid_000014,12.6,41.0,POINT (12.6 41),EU,SS,239.28339248023073,C,0.0,112.04227,67.95773,0.492096
grid_000015,13.2,41.0,POINT (13.2 41),EU,NF,247.68725234426887,C,0.0,133.38531,46.614685,0.24002242
grid_000016,13.8,41.0,POINT (13.8 41),EU,TF,255.53772017543966,C,0.0,146.23692,33.763077,0.12776718
grid_000017,14.4,41.0,POINT (14.4 41),EU,TF,248.31727109449636,C,0.0,144.47101,35.52899,0.15921831
grid_000018,15.0,41.0,POINT (15 41),EU,NF,251.57424764317304,C,0.0,142.26538,37.73462,0.48911512
grid_000019,15.6,41.0,POINT (15.6 41),EU,NF,264.92236192845434,C,0.0,133.2229,46.7771,0.21436077
grid_000020,10.2,41.6,POINT (10.2 41.6),EU,TF,293.9127251656252,C,0.0,152.09761,27.90239,0.12040561
grid_000021,10.8,41.6,POINT (10.8 41.6),EU,TF,282.53615082780954,C,0.0,152.23782,27.762177,0.16636804
grid_000022,11.4,41.6,POINT (11.4 41.6),EU,TF,280.41912159233846,C,0.0,152.90631,27.093689,0.17005862
grid_000023,12.0,41.6,POINT (12 41.6),EU,TF,286.3868678290425,C,0.0,153.13542,26.864578,0.2423867
grid_000024,12.6,41.6,POINT (12.6 41.6),EU,NF,296.0793672664508,C,0.0,137.70743,42.292572,0.40838945
grid_000025,13.2,41.6,POINT (13.2 41.6),EU,NF,312.3856812438071,C,0.0,137.63965,42.36035,0.2845358
grid_000026,13.8,41.6,POINT (13.8 41.6),EU,NF,320.58427052455573,C,0.0,123.8218,56.1782,0.40531266
grid_000027,14.4,41.6,POINT (14.4 41.6),EU,NF,314.9108632841451,C,0.0,129.30818,50.69182,0.6444545
grid_000028,15.0,41.6,POINT (15 41.6),EU,TF,317.46240882033936,C,0.0,143.99687,36.003128,0.6166151
grid_000029,15.6,41.6,POINT (15.6 41.6),EU,TF,328.04693016541637,C,0.0,156.7013,23.298706,0.18150194
grid_000030,10.2,42.2,POINT (10.2 42.2),EU,TF,357.65796109654093,C,0.0,154.76802,25.23198,0.19662309
grid_000031,10.8,42.2,POINT (10.8 42.2),EU,TF,348.92287534163086,C,0.0,155.15012,24.849884,0.1992768
grid_000032,11.4,42.2,POINT (11.4 42.2),EU,NF,347.05833838696077,C,0.0,139.37982,40.62018,0.24747065
grid_000033,12.0,42.2,POINT (12 42.2),EU,NF,352.0771774543135,C,0.0,140.10306,39.896942,0.29130882
grid_000034,12.6,42.2,POINT (12.6 42.2),EU,TF,360.61358023195197,C,0.0,157.14874,22.851257,0.27828014
grid_000035,13.2,42.2,POINT (13.2 42.2),EU,TF,377.76472417850823,C,0.0,133.00381,46.996185,0.64896125
grid_000036,13.8,42.2,POINT (13.8 42.2),EU,NF,386.17965778804705,C,0.0,130.2124,49.787598,0.49134925
grid_000037,14.4,42.2,POINT (14.4 42.2),EU,TF,381.52617132191995,C,0.0,166.66437,13.335632,0.30772918
grid_000038,15.0,42.2,POINT (15 42.2),EU,NF,383.61571749314754,C,0.0,143.25488,36.745117,0.31642324
grid_000039,15.6,42.2,POINT (15.6 42.2),EU,TF,391.16581371035187,C,0.0,162.78185,17.218155,0.36923775
grid_000040,10.2,42.8,POINT (10.2 42.8),EU,TF,421.67112455138727,C,0.0,156.25949,23.740509,0.13655496
grid_000041,10.8,42.8,POINT (10.8 42.8),EU,TF,415.3985322274512,C,0.0,156.54878,23.451218,0.2569462
grid_000042,11.4,42.8,POINT (11.4 42.8),EU,TF,413.70570601663053,C,0.0,156.35492,23.64508,0.47935253
grid_000043,12.0,42.8,POINT (12 42.8),EU,NF,417.7671068223663,C,0.0,131.38182,48.61818,0.57886726
grid_000044,12.6,42.8,POINT (12.6 42.8),EU,NF,425.80418846062474,C,0.0,139.88708,40.112915,0.737827
grid_000045,13.2,42.8,POINT (13.2 42.8),EU,NF,443.52666114017484,C,0.0,169.05423,10.94577,0.9192312
grid_000046,13.8,42.8,POINT (13.8 42.8),EU,TF,452.08814707413956,C,0.0,157.73175,22.26825,0.38910925
grid_000047,14.4,42.8,POINT (14.4 42.8),EU,TF,448.1566418456211,C,0.0,177.67587,2.3241272,0.34306577
grid_000048,15.0,42.8,POINT (15 42.8),EU,TF,449.9203494085857,C,0.0,4.514495,4.514495,0.40012473
