ID,LON,LAT,geometry,PLATE,REGIME,DIST,QUALITY,AZI,AZI_PRED,AZI_ERROR,STR
grid_000000,10.4,40.4,POINT (10.4 40.4),EU,TF,160.36310719421397,C,0.0,142.53035,37.46965,0.16486819
grid_000001,11.0,40.4,POINT (11 40.4),EU,TF,148.32310367366347,C,0.0,141.65475,38.345245,0.17424187
grid_000002,11.6,40.4,POINT (11.6 40.4),EU,TF,148.78287077675563,C,0.0,141.1307,38.869293,0.14989088
grid_000003,12.2,40.4,POINT (12.2 40.4),EU,TF,158.74106594827333,C,0.0,140.83624,39.163757,0.16501419
grid_000004,12.8,40.4,POINT (12.8 40.4),EU,TF,175.08730425436457,C,0.0,140.85832,39.141678,0.123890735
grid_000005,13.4,40.4,POINT (13.4 40.4),EU,TF,198.28275283340642,C,0.0,141.53857,38.461426,0.104990624
grid_000006,14.0,40.4,POINT (14 40.4),EU,NF,186.79904085540235,C,0.0,129.06534,50.93466,0.20749566
grid_000007,14.6,40.4,POINT (14.6 40.4),EU,NF,181.64379501440686,C,0.0,128.43362,51.566376,0.21720001
grid_000008,15.2,40.4,POINT (15.2 40.4),EU,NF,190.80904621280519,C,0.0,2.4579113,2.4579113,0.5072358
grid_000009,15.8,40.4,POINT (15.8 40.4),EU,NF,212.44905550405798,C,0.0,128.68481,51.315186,0.5133831
grid_000010,10.4,41.0,POINT (10.4 41),EU,TF,224.77863562821437,C,0.0,146.89136,33.108643,0.15534945
grid_000011,11.0,41.0,POINT (11 41),EU,TF,214.84355281648652,C,0.0,146.90742,33.092575,0.14927644
grid_000012,11.6,41.0,POINT (11.6 41),EU,TF,214.72309228929376,C,0.0,146.75209,33.24791,0.1723875
grid_000013,12.2,41.0,POINT (12.2 41),EU,TF,223.26891491719,C,0.0,146.9513,33.048706,0.16776752
grid_000014,12.8,41.0,POINT (12.8 41),EU,NF,240.91104507254363,C,0.0,127.41417,52.58583,0.27005833
grid_000015,13.4,41.0,POINT (13.4 41),EU,TF,252.74697427700895,C,0.0,147.72366,32.276337,0.10115779
grid_000016,14.0,41.0,POINT (14 41),EU,NF,251.99546135331116,C,0.0,133.14478,46.855225,0.23405094
grid_000017,14.6,41.0,POINT (14.6 41),EU,TF,248.2318368342587,C,0.0,148.1763,31.8237,0.40169412
grid_000018,15.2,41.0,POINT (15.2 41),EU,NF,254.95602222579268,C,0.0,141.97363,38.026367,0.4687928
grid_000019,15.8,41.0,POINT (15.8 41),EU,NF,271.3892873125617,C,0.0,134.54312,45.45688,0.19895348
grid_000020,10.4,41.6,POINT (10.4 41.6),EU,TF,288.53967330668,C,0.0,151.32364,28.676361,0.1785323
grid_000021,11.0,41.6,POINT (11 41.6),EU,TF,281.4222450450746,C,0.0,151.76123,28.23877,0.16663046
grid_000022,11.6,41.6,POINT (11.6 41.6),EU,TF,281.12542612347715,C,0.0,152.50946,27.49054,0.18988012
grid_000023,12.2,41.6,POINT (12.2 41.6),EU,TF,288.75925686452996,C,0.0,153.2041,26.795898,0.19579668
grid_000024,12.8,41.6,POINT (12.8 41.6),EU,TF,307.08905615043534,C,0.0,145.2786,34.721405,0.38237017
grid_000025,13.4,41.6,POINT (13.4 41.6),EU,NF,316.3765857888147,C,0.0,138.12074,41.879257,0.42948693
grid_000026,14.0,41.6,POINT (14 41.6),EU,NF,317.7933112280729,C,0.0,135.45886,44.541138,0.32268173
grid_000027,14.6,41.6,POINT (14.6 41.6),EU,NF,314.84410439374193,C,0.0,129.70915,50.290848,0.6954871
grid_000028,15.2,41.6,POINT (15.2 41.6),EU,TF,320.1249526285568,C,0.0,155.59717,24.402832,0.21854568
grid_000029,15.8,41.6,POINT (15.8 41.6),EU,TF,326.27022934178456,C,0.0,147.46992,32.530075,0.3032133
grid_000030,10.4,42.2,POINT (10.4 42.2),EU,TF,353.14072662382813,C,0.0,154.14403,25.855972,0.19208771
grid_000031,11.0,42.2,POINT (11 42.2),EU,TF,348.02977260356664,C,0.0,154.7959,25.204102,0.16724794
grid_000032,11.6,42.2,POINT (11.6 42.2),EU,NF,347.6240549399292,C,0.0,139.26212,40.737885,0.25213617
grid_000033,12.2,42.2,POINT (12.2 42.2),EU,NF,354.6832704427523,C,0.0,140.08719,39.91281,0.3111567
grid_000034,12.8,42.2,POINT (12.8 42.2),EU,NF,364.7213492916833,C,0.0,137.469,42.531006,0.36221516
grid_000035,13.4,42.2,POINT (13.4 42.2),EU,TF,381.0414627699713,C,0.0,140.7992,39.200806,0.841018
grid_000036,14.0,42.2,POINT (14 42.2),EU,NF,383.88710236741963,C,0.0,133.08395,46.916046,0.41318506
grid_000037,14.6,42.2,POINT (14.6 42.2),EU,NF,381.47157359121354,C,0.0,146.7894,33.2106,0.30686766
grid_000038,15.2,42.2,POINT (15.2 42.2),EU,NF,385.80192517611323,C,0.0,140.62161,39.378387,0.36261022
grid_000039,15.8,42.2,POINT (15.8 42.2),EU,TF,382.826925116096,C,0.0,169.07747,10.922531,0.23764221
grid_000040,10.4,42.8,POINT (10.4 42.8),EU,TF,418.9147581437094,C,0.0,155.64473,24.35527,0.19344047
grid_000041,11.0,42.8,POINT (11 42.8),EU,TF,414.65562170940524,C,0.0,156.16669,23.833313,0.18020678
grid_000042,11.6,42.8,POINT (11.6 42.8),EU,NF,414.1759843220317,C,0.0,144.66824,35.331757,0.4332782
grid_000043,12.2,42.8,POINT (12.2 42.8),EU,NF,420.84053358909307,C,0.0,142.00815,37.99185,0.33019602
grid_000044,12.8,42.8,POINT (12.8 42.8),EU,NF,429.25631569582885,C,0.0,132.99864,47.001358,0.91265106
grid_000045,13.4,42.8,POINT (13.4 42.8),EU,NF,446.294964149331,C,0.0,145.1623,34.837708,0.6681847
grid_000046,14.0,42.8,POINT (14 42.8),EU,TF,450.1496132322959,C,0.0,167.099,12.901001,0.33362353
grid_000047,14.6,42.8,POINT (14.6 42.8),EU,TF,448.1105942948102,C,0.0,173.4608,6.5392,0.30793357
grid_000048,15.2,42.8,POINT (15.2 42.8),EU,TF,451.7685240863276,C,0.0,7.9057946,7.9057946,0.49089772
grid_000049,15.8,42.8,POINT (15.8 42.8),EU,TF,442.20610748021755,C,0.0,0.36846563,0.36846563,0.22324996
grid_000050,10.4,43.4,POINT (10.4 43.4),EU,TF,484.9346650629107,C,0.0,156.63159,23.368408,0.15488452
grid_000051,11.0,43.4,POINT (11 43.4),EU,NF,481.2681428311529,C,0.0,134.89185,45.108154,0.45410466
grid_000052,11.6,43.4,POINT (11.6 43.4),EU,TF,480.7620029570207,C,0.0,155.1392,24.860794,0.29170018
grid_000053,12.2,43.4,POINT (12.2 43.4),EU,TF,486.5677697831569,C,0.0,136.92673,43.073273,0.641227
grid_000054,12.8,43.4,POINT (12.8 43.4),EU,NF,494.35895528613656,C,0.0,148.00632,31.993683,0.4368499
grid_000055,13.4,43.4,POINT (13.4 43.4),EU,TF,511.9147892183161,C,0.0,153.49239,26.507614,0.70122933
grid_000056,14.0,43.4,POINT (14 43.4),EU,TF,516.5186360132159,C,0.0,174.0404,5.9595947,0.39526662
grid_000057,14.6,43.4,POINT (14.6 43.4),EU,TF,514.7594116339237,C,0.0,175.37541,4.624588,0.3162979
grid_000058,15.2,43.4,POINT (15.2 43.4),EU,TF,517.9168067982746,C,0.0,178.05795,1.9420471,0.3868306
grid_000059,15.8,43.4,POINT (15.8 43.4),EU,TF,503.41278507606694,C,0.0,3.4282246,3.4282246,0.22226635
grid_000060,10.4,44.0,POINT (10.4 44),EU,TF,551.1146454575007,C,0.0,157.24713,22.752869,0.16736332
grid_000061,11.0,44.0,POINT (11 44),EU,NF,547.8847063091335,A,0.0,156.39584,23.604156,0.56396306
grid_000062,11.6,44.0,POINT (11.6 44),EU,NF,547.372242193616,C,0.0,129.20294,50.79706,0.64129907
grid_000063,12.2,44.0,POINT (12.2 44),EU,NF,552.2566969841995,C,0.0,149.93463,30.065369,0.30996174
grid_000064,12.8,44.0,POINT (12.8 44),EU,NF,559.8337734970423,C,0.0,141.18259,38.817413,0.27482778
grid_000065,13.4,44.0,POINT (13.4 44),EU,TF,577.7785744840602,C,0.0,22.791927,22.791927,0.7800131
grid_000066,14.0,44.0,POINT (14 44),EU,SS,582.960208455603,C,0.0,176.45166,3.5483398,0.23661315
grid_000067,14.6,44.0,POINT (14.6 44),EU,TF,581.4170784653949,C,0.0,3.8346217,3.8346217,0.20822808
grid_000068,15.2,44.0,POINT (15.2 44),EU,SS,583.6743268158033,C,0.0,175.03333,4.966675,0.18928379
grid_000069,15.8,44.0,POINT (15.8 44),EU,TF,565.8567308638259,C,0.0,3.7902944,3.7902944,0.17664874
grid_000070,10.4,44.6,POINT (10.4 44.6),EU,NF,617.4055080647469,C,0.0,147.41275,32.58725,0.20511034
grid_000071,11.0,44.6,POINT (11 44.6),EU,NF,614.5079316483423,C,0.0,147.31848,32.68152,0.22791663
grid_000072,11.6,44.6,POINT (11.6 44.6),EU,TF,614.0011139535077,C,0.0,161.01784,18.982162,0.1687719
grid_000073,12.2,44.6,POINT (12.2 44.6),EU,TF,617.9450158852284,C,0.0,161.58357,18.416428,0.13545638
grid_000074,12.8,44.6,POINT (12.8 44.6),EU,TF,625.5661705099512,C,0.0,10.352828,10.352828,0.24181506
grid_000075,13.4,44.6,POINT (13.4 44.6),EU,TF,643.8136391412748,C,0.0,8.434373,8.434373,0.15259483
grid_000076,14.0,44.6,POINT (14 44.6),EU,TF,649.4542342954203,C,0.0,7.217998,7.217998,0.17634359
grid_000077,14.6,44.6,POINT (14.6 44.6),EU,TF,648.0830385993909,C,0.0,4.697894,4.697894,0.18162468
grid_000078,15.2,44.6,POINT (15.2 44.6),EU,TF,645.0875220893945,C,0.0,3.5175822,3.5175822,0.16512111
grid_000079,15.8,44.6,POINT (15.8 44.6),EU,NF,629.171900199829,C,0.0,164.92036,15.079636,0.15227202
