SET,ID,LON,LAT,geometry,PLATE,REGIME,DIST,QUALITY,AZI,AZI_PRED,AZI_ERROR,STR
A,grid_000000,10,40,POINT (10 40),EU,SS,132.9861895,C,0,95.829544,84.170456,0.10141301
A,grid_000001,10.6,40,POINT (10.6 40),EU,TF,113.1027969,C,0,85.37178,85.37178,0.13917401
A,grid_000002,11.2,40,POINT (11.2 40),EU,TF,103.2114731,C,0,86.03453,86.03453,0.108686484
A,grid_000003,11.8,40,POINT (11.8 40),EU,TF,108.0780463,C,0,87.9453,87.9453,0.12281364
A,grid_000004,12.4,40,POINT (12.4 40),EU,TF,126.9889555,C,0,95.73527,84.26473,0.12162982
A,grid_000005,13,40,POINT (13 40),EU,TF,136.8119351,C,0,115.02021,64.97979,0.08035351
A,grid_000006,13.6,40,POINT (13.6 40),EU,TF,153.2476282,C,0,131.3544,48.6456,0.13004804
A,grid_000007,14.2,40,POINT (14.2 40),EU,TF,139.731987,C,0,135.03987,44.96013,0.19632974
A,grid_000008,14.8,40,POINT (14.8 40),EU,TF,139.2690928,C,0,135.97404,44.025955,0.12002362
A,grid_000009,15.4,40,POINT (15.4 40),EU,NF,156.8781365,C,0,121.88339,58.116608,0.28352457
A,grid_000010,16,40,POINT (16 40),EU,NF,182.668652,C,0,127.830795,52.169205,0.20044917
A,grid_000011,10,40.6,POINT (10 40.6),EU,TF,191.887855,C,0,84.31683,84.31683,0.027753647
A,grid_000012,10.6,40.6,POINT (10.6 40.6),EU,TF,176.889527,C,0,85.37251,85.37251,0.073336355
A,grid_000013,11.2,40.6,POINT (11.2 40.6),EU,TF,169.7904451,C,0,86.94375,86.94375,0.1313663
A,grid_000014,11.8,40.6,POINT (11.8 40.6),EU,TF,173.7911068,C,0,90.59315,89.40685,0.07627236
A,grid_000015,12.4,40.6,POINT (12.4 40.6),EU,TF,185.225066,C,0,105.58312,74.41688,0.1143602
A,grid_000016,13,40.6,POINT (13 40.6),EU,TF,200.4184773,C,0,127.722824,52.277176,0.1398845
A,grid_000017,13.6,40.6,POINT (13.6 40.6),EU,NF,216.6314233,C,0,128.81512,51.184875,0.20991385
A,grid_000018,14.2,40.6,POINT (14.2 40.6),EU,NF,205.4826096,C,0,129.96745,50.032547,0.22862285
A,grid_000019,14.8,40.6,POINT (14.8 40.6),EU,NF,205.1708566,C,0,129.51413,50.48587,0.16732268
A,grid_000020,15.4,40.6,POINT (15.4 40.6),EU,NF,217.4040056,C,0,125.66298,54.33702,0.56193775
A,grid_000021,16,40.6,POINT (16 40.6),EU,NF,230.9177612,C,0,130.64182,49.358185,0.20379566
A,grid_000022,10,41.2,POINT (10 41.2),EU,NF,254.9123084,C,0,100.785545,79.214455,0.1529676
A,grid_000023,10.6,41.2,POINT (10.6 41.2),EU,TF,240.8923044,C,0,87.4061,87.4061,0.03774587
A,grid_000024,11.2,41.2,POINT (11.2 41.2),EU,TF,236.3760179,C,0,95.57513,84.42487,0.071281806
A,grid_000025,11.8,41.2,POINT (11.8 41.2),EU,TF,239.4819072,C,0,109.15188,70.84812,0.050095633
A,grid_000026,12.4,41.2,POINT (12.4 41.2),EU,TF,248.8020743,C,0,134.93176,45.068237,0.10225339
A,grid_000027,13,41.2,POINT (13 41.2),EU,NF,265.5158243,C,0,135.92792,44.072083,0.23196667
A,grid_000028,13.6,41.2,POINT (13.6 41.2),EU,TF,281.3890654,C,0,148.3141,31.685898,0.26442152
A,grid_000029,14.2,41.2,POINT (14.2 41.2),EU,NF,271.6660741,C,0,133.76361,46.23639,0.30459225
A,grid_000030,14.8,41.2,POINT (14.8 41.2),EU,NF,271.4324384,C,0,142.94543,37.054565,0.409903
A,grid_000031,15.4,41.2,POINT (15.4 41.2),EU,NF,280.7118633,C,0,134.32254,45.67746,0.23474044
A,grid_000032,16,41.2,POINT (16 41.2),EU,NF,280.4954569,C,0,133.74545,46.254547,0.20616855
A,grid_000033,10,41.8,POINT (10 41.8),EU,TF,319.4104139,C,0,88.403625,88.403625,0.015132551
A,grid_000034,10.6,41.8,POINT (10.6 41.8),EU,TF,306.618129,C,0,109.08626,70.91374,0.034346692
A,grid_000035,11.2,41.8,POINT (11.2 41.8),EU,TF,302.9682092,C,0,125.27165,54.728348,0.06626549
A,grid_000036,11.8,41.8,POINT (11.8 41.8),EU,NF,305.1724435,C,0,127.10817,52.89183,0.24359427
A,grid_000037,12.4,41.8,POINT (12.4 41.8),EU,NF,313.655904,C,0,135.77882,44.221176,0.29028475
A,grid_000038,13,41.8,POINT (13 41.8),EU,NF,331.230368,C,0,166.86476,13.135239,0.6185188
A,grid_000039,13.6,41.8,POINT (13.6 41.8),EU,NF,345.8246766,C,0,137.02014,42.97986,0.7051949
A,grid_000040,14.2,41.8,POINT (14.2 41.8),EU,NF,338.0323622,C,0,138.93167,41.06833,0.38321275
A,grid_000041,14.8,41.8,POINT (14.8 41.8),EU,NF,337.8463195,C,0,134.0841,45.915894,0.7731982
A,grid_000042,15.4,41.8,POINT (15.4 41.8),EU,TF,345.2788523,C,0,143.5492,36.450806,0.627933
A,grid_000043,16,41.8,POINT (16 41.8),EU,TF,336.0264462,C,0,154.82132,25.17868,0.13669826
A,grid_000044,10,42.4,POINT (10 42.4),EU,TF,384.2757976,C,0,140.01071,39.98929,0.037304696
A,grid_000045,10.6,42.4,POINT (10.6 42.4),EU,TF,372.6748719,C,0,140.17357,39.82643,0.10221881
A,grid_000046,11.2,42.4,POINT (11.2 42.4),EU,TF,369.5670339,C,0,148.96794,31.032059,0.17425689
A,grid_000047,11.8,42.4,POINT (11.8 42.4),EU,TF,371.1018184,C,0,157.32068,22.679321,0.24908742
A,grid_000048,12.4,42.4,POINT (12.4 42.4),EU,TF,379.1355773,C,0,151.92169,28.078308,0.37795204
A,grid_000049,13,42.4,POINT (13 42.4),EU,NF,397.2594581,C,0,138.54611,41.453888,0.7078371
A,grid_000050,13.6,42.4,POINT (13.6 42.4),EU,NF,410.9696655,C,0,132.60472,47.39528,0.64318836
A,grid_000051,14.2,42.4,POINT (14.2 42.4),EU,TF,404.494956,C,0,168.59378,11.4062195,0.34872717
A,grid_000052,14.8,42.4,POINT (14.8 42.4),EU,TF,404.3409227,C,0,169.8579,10.142105,0.29637718
A,grid_000053,15.4,42.4,POINT (15.4 42.4),EU,TF,410.5146876,C,0,149.07675,30.923248,0.4330476
A,grid_000054,16,42.4,POINT (16 42.4),EU,TF,395.0114221,C,0,166.11522,13.884781,0.17007524
A,grid_000055,10,43,POINT (10 43),EU,TF,447.9996069,C,0,153.47398,26.526016,0.11050314
A,grid_000056,10.6,43,POINT (10.6 43),EU,TF,438.9163455,C,0,155.97015,24.029846,0.21550187
A,grid_000057,11.2,43,POINT (11.2 43),EU,NF,436.1725041,C,0,143.37881,36.621185,0.26799867
A,grid_000058,11.8,43,POINT (11.8 43),EU,NF,437.4587969,C,0,136.76877,43.23123,0.58979714
