Grid_label,ID,LON,LAT,geometry,PLATE,REGIME,DIST,QUALITY,AZI,AZI_PRED,STR
A,grid_000000,10,40,POINT (10 40),EU,SS,132.9861895,C,0,146.09721,0.20806843
A,grid_000001,10.6,40,POINT (10.6 40),EU,TF,113.1027969,C,0,148.62918,0.19706874
A,grid_000002,11.2,40,POINT (11.2 40),EU,TF,103.2114731,C,0,153.76913,0.1967683
A,grid_000003,11.8,40,POINT (11.8 40),EU,TF,108.0780463,C,0,23.854845,0.12385826
A,grid_000004,12.4,40,POINT (12.4 40),EU,TF,126.9889555,C,0,28.803164,0.1513665
A,grid_000005,13,40,POINT (13 40),EU,TF,136.8119351,C,0,29.135763,0.14631557
A,grid_000006,13.6,40,POINT (13.6 40),EU,TF,153.2476282,C,0,29.270535,0.16697693
A,grid_000007,14.2,40,POINT (14.2 40),EU,TF,139.731987,C,0,29.174147,0.17999825
A,grid_000008,14.8,40,POINT (14.8 40),EU,TF,139.2690928,C,0,28.352116,0.13576399
A,grid_000009,15.4,40,POINT (15.4 40),EU,NF,156.8781365,C,0,115.81644,0.5471488
A,grid_000010,16,40,POINT (16 40),EU,NF,182.668652,C,0,149.70204,0.69631
A,grid_000011,10,40.6,POINT (10 40.6),EU,TF,191.887855,C,0,123.43625,0.31987035
A,grid_000012,10.6,40.6,POINT (10.6 40.6),EU,TF,176.889527,C,0,147.70602,0.19893217
A,grid_000013,11.2,40.6,POINT (11.2 40.6),EU,TF,169.7904451,C,0,149.4502,0.19661133
A,grid_000014,11.8,40.6,POINT (11.8 40.6),EU,TF,173.7911068,C,0,160.53012,0.21127611
A,grid_000015,12.4,40.6,POINT (12.4 40.6),EU,TF,185.225066,C,0,27.702757,0.21724367
A,grid_000016,13,40.6,POINT (13 40.6),EU,TF,200.4184773,C,0,29.508904,0.17823388
A,grid_000017,13.6,40.6,POINT (13.6 40.6),EU,NF,216.6314233,C,0,141.19125,0.13330954
A,grid_000018,14.2,40.6,POINT (14.2 40.6),EU,NF,205.4826096,C,0,141.04922,0.18858667
A,grid_000019,14.8,40.6,POINT (14.8 40.6),EU,NF,205.1708566,C,0,161.01366,0.17566663
A,grid_000020,15.4,40.6,POINT (15.4 40.6),EU,NF,217.4040056,C,0,128.08453,0.72281367
A,grid_000021,16,40.6,POINT (16 40.6),EU,NF,230.9177612,C,0,145.4879,0.31754932
A,grid_000022,10,41.2,POINT (10 41.2),EU,NF,254.9123084,C,0,100.080925,0.4368914
A,grid_000023,10.6,41.2,POINT (10.6 41.2),EU,TF,240.8923044,C,0,148.89606,0.1855122
A,grid_000024,11.2,41.2,POINT (11.2 41.2),EU,TF,236.3760179,C,0,149.41017,0.20980287
A,grid_000025,11.8,41.2,POINT (11.8 41.2),EU,TF,239.4819072,C,0,150.7795,0.21263199
A,grid_000026,12.4,41.2,POINT (12.4 41.2),EU,TF,248.8020743,C,0,12.3280325,0.39922082
A,grid_000027,13,41.2,POINT (13 41.2),EU,NF,265.5158243,C,0,138.62901,0.15895379
A,grid_000028,13.6,41.2,POINT (13.6 41.2),EU,TF,281.3890654,C,0,151.93109,0.37759787
A,grid_000029,14.2,41.2,POINT (14.2 41.2),EU,NF,271.6660741,C,0,137.04596,0.602199
A,grid_000030,14.8,41.2,POINT (14.8 41.2),EU,NF,271.4324384,C,0,155.45181,0.6266557
A,grid_000031,15.4,41.2,POINT (15.4 41.2),EU,NF,280.7118633,C,0,145.9283,0.22684672
A,grid_000032,16,41.2,POINT (16 41.2),EU,NF,280.4954569,C,0,141.98412,0.14278287
A,grid_000033,10,41.8,POINT (10 41.8),EU,TF,319.4104139,C,0,149.79665,0.18474154
A,grid_000034,10.6,41.8,POINT (10.6 41.8),EU,TF,306.618129,C,0,149.76479,0.20433779
A,grid_000035,11.2,41.8,POINT (11.2 41.8),EU,TF,302.9682092,C,0,149.75455,0.21351683
A,grid_000036,11.8,41.8,POINT (11.8 41.8),EU,NF,305.1724435,C,0,135.665,0.27972406
A,grid_000037,12.4,41.8,POINT (12.4 41.8),EU,NF,313.655904,C,0,140.75462,0.5457981
A,grid_000038,13,41.8,POINT (13 41.8),EU,NF,331.230368,C,0,169.04808,0.68632185
A,grid_000039,13.6,41.8,POINT (13.6 41.8),EU,NF,345.8246766,C,0,137.04865,0.74536526
A,grid_000040,14.2,41.8,POINT (14.2 41.8),EU,NF,338.0323622,C,0,138.53038,0.60207856
A,grid_000041,14.8,41.8,POINT (14.8 41.8),EU,NF,337.8463195,C,0,128.86862,0.79530066
A,grid_000042,15.4,41.8,POINT (15.4 41.8),EU,TF,345.2788523,C,0,145.11499,0.58970374
A,grid_000043,16,41.8,POINT (16 41.8),EU,TF,336.0264462,C,0,138.57153,0.5127107
A,grid_000044,10,42.4,POINT (10 42.4),EU,TF,384.2757976,C,0,150.23962,0.20149168
A,grid_000045,10.6,42.4,POINT (10.6 42.4),EU,TF,372.6748719,C,0,150.1749,0.24527447
A,grid_000046,11.2,42.4,POINT (11.2 42.4),EU,TF,369.5670339,C,0,150.14839,0.24587142
A,grid_000047,11.8,42.4,POINT (11.8 42.4),EU,TF,371.1018184,C,0,143.85211,0.33548516
A,grid_000048,12.4,42.4,POINT (12.4 42.4),EU,TF,379.1355773,C,0,109.29333,0.5944273
A,grid_000049,13,42.4,POINT (13 42.4),EU,NF,397.2594581,C,0,136.89108,0.8233485
A,grid_000050,13.6,42.4,POINT (13.6 42.4),EU,NF,410.9696655,C,0,126.68958,0.8326583
A,grid_000051,14.2,42.4,POINT (14.2 42.4),EU,TF,404.494956,C,0,30.10705,0.30267295
A,grid_000052,14.8,42.4,POINT (14.8 42.4),EU,TF,404.3409227,C,0,144.00827,0.2911768
A,grid_000053,15.4,42.4,POINT (15.4 42.4),EU,TF,410.5146876,C,0,120.02053,0.6197176
A,grid_000054,16,42.4,POINT (16 42.4),EU,TF,395.0114221,C,0,32.760994,0.6750854
A,grid_000055,10,43,POINT (10 43),EU,TF,447.9996069,C,0,150.41176,0.22098894
A,grid_000056,10.6,43,POINT (10.6 43),EU,TF,438.9163455,C,0,124.79462,0.40488827
A,grid_000057,11.2,43,POINT (11.2 43),EU,NF,436.1725041,C,0,131.42682,0.37195393
A,grid_000058,11.8,43,POINT (11.8 43),EU,NF,437.4587969,C,0,133.1064,0.69385386
A,grid_000059,12.4,43,POINT (12.4 43),EU,NF,444.9680423,C,0,133.42545,0.8255377
A,grid_000060,13,43,POINT (13 43),EU,NF,454.779058,C,0,142.35881,0.96063083
A,grid_000061,13.6,43,POINT (13.6 43),EU,NF,471.3519431,C,0,94.84065,0.71773434
A,grid_000062,14.2,43,POINT (14.2 43),EU,TF,471.0160702,C,0,63.944473,0.6824974
A,grid_000063,14.8,43,POINT (14.8 43),EU,TF,470.8850338,C,0,21.726366,0.6587644
A,grid_000064,15.4,43,POINT (15.4 43),EU,TF,476.1474841,C,0,27.63754,0.79983956
A,grid_000065,16,43,POINT (16 43),EU,TF,456.1154018,C,0,174.92355,0.38234836
A,grid_000066,10,43.6,POINT (10 43.6),EU,TF,512.0189734,C,0,144.93866,0.3991467
A,grid_000067,10.6,43.6,POINT (10.6 43.6),EU,TF,505.2726833,C,0,143.5552,0.38753283
A,grid_000068,11.2,43.6,POINT (11.2 43.6),EU,TF,502.7846283,C,0,130.04941,0.8689801
A,grid_000069,11.8,43.6,POINT (11.8 43.6),EU,SS,503.9005823,C,0,145.29439,0.74134886
A,grid_000070,12.4,43.6,POINT (12.4 43.6),EU,NF,511.0197225,C,0,128.73691,0.8948343
A,grid_000071,13,43.6,POINT (13 43.6),EU,NF,519.5040657,C,0,164.27142,0.6779534
A,grid_000072,13.6,43.6,POINT (13.6 43.6),EU,TF,536.6430128,C,0,26.1411,0.7212504
A,grid_000073,14.2,43.6,POINT (14.2 43.6),EU,TF,537.5765978,C,0,8.590286,0.4012339
A,grid_000074,14.8,43.6,POINT (14.8 43.6),EU,TF,537.4628817,C,0,29.097462,0.29463565
A,grid_000075,15.4,43.6,POINT (15.4 43.6),EU,TF,536.5423869,C,0,28.540075,0.26476192
A,grid_000076,16,43.6,POINT (16 43.6),EU,TF,518.5926069,C,0,25.801857,0.58156615
A,grid_000077,10,44.2,POINT (10 44.2),EU,NF,577.619699,C,0,116.23037,0.76180506
A,grid_000078,10.6,44.2,POINT (10.6 44.2),EU,NF,571.7063536,C,0,123.29995,0.7162339
