AZI_PRED,LON,LAT,Grid_label,ID,STR
146.09721,10,40,A,grid_000000,0.20806843
148.62918,10.6,40,A,grid_000001,0.19706874
153.76913,11.2,40,A,grid_000002,0.1967683
23.854845,11.8,40,A,grid_000003,0.12385826
28.803164,12.4,40,A,grid_000004,0.1513665
29.135763,13,40,A,grid_000005,0.14631557
29.270535,13.6,40,A,grid_000006,0.16697693
29.174147,14.2,40,A,grid_000007,0.17999825
28.352116,14.8,40,A,grid_000008,0.13576399
115.81644,15.4,40,A,grid_000009,0.5471488
149.70204,16,40,A,grid_000010,0.69631
123.43625,10,40.6,A,grid_000011,0.31987035
147.70602,10.6,40.6,A,grid_000012,0.19893217
149.4502,11.2,40.6,A,grid_000013,0.19661133
160.53012,11.8,40.6,A,grid_000014,0.21127611
27.702757,12.4,40.6,A,grid_000015,0.21724367
29.508904,13,40.6,A,grid_000016,0.17823388
141.19125,13.6,40.6,A,grid_000017,0.13330954
141.04922,14.2,40.6,A,grid_000018,0.18858667
161.01366,14.8,40.6,A,grid_000019,0.17566663
128.08453,15.4,40.6,A,grid_000020,0.72281367
145.4879,16,40.6,A,grid_000021,0.31754932
100.080925,10,41.2,A,grid_000022,0.4368914
148.89606,10.6,41.2,A,grid_000023,0.1855122
149.41017,11.2,41.2,A,grid_000024,0.20980287
150.7795,11.8,41.2,A,grid_000025,0.21263199
12.3280325,12.4,41.2,A,grid_000026,0.39922082
138.62901,13,41.2,A,grid_000027,0.15895379
151.93109,13.6,41.2,A,grid_000028,0.37759787
137.04596,14.2,41.2,A,grid_000029,0.602199
155.45181,14.8,41.2,A,grid_000030,0.6266557
145.9283,15.4,41.2,A,grid_000031,0.22684672
141.98412,16,41.2,A,grid_000032,0.14278287
149.79665,10,41.8,A,grid_000033,0.18474154
149.76479,10.6,41.8,A,grid_000034,0.20433779
149.75455,11.2,41.8,A,grid_000035,0.21351683
135.665,11.8,41.8,A,grid_000036,0.27972406
140.75462,12.4,41.8,A,grid_000037,0.5457981
169.04808,13,41.8,A,grid_000038,0.68632185
137.04865,13.6,41.8,A,grid_000039,0.74536526
138.53038,14.2,41.8,A,grid_000040,0.60207856
128.86862,14.8,41.8,A,grid_000041,0.79530066
145.11499,15.4,41.8,A,grid_000042,0.58970374
138.57153,16,41.8,A,grid_000043,0.5127107
150.23962,10,42.4,A,grid_000044,0.20149168
150.1749,10.6,42.4,A,grid_000045,0.24527447
150.14839,11.2,42.4,A,grid_000046,0.24587142
143.85211,11.8,42.4,A,grid_000047,0.33548516
109.29333,12.4,42.4,A,grid_000048,0.5944273
136.89108,13,42.4,A,grid_000049,0.8233485
126.68958,13.6,42.4,A,grid_000050,0.8326583
30.10705,14.2,42.4,A,grid_000051,0.30267295
144.00827,14.8,42.4,A,grid_000052,0.2911768
120.02053,15.4,42.4,A,grid_000053,0.6197176
32.760994,16,42.4,A,grid_000054,0.6750854
150.41176,10,43,A,grid_000055,0.22098894
124.79462,10.6,43,A,grid_000056,0.40488827
131.42682,11.2,43,A,grid_000057,0.37195393
133.1064,11.8,43,A,grid_000058,0.69385386
133.42545,12.4,43,A,grid_000059,0.8255377
142.35881,13,43,A,grid_000060,0.96063083
94.84065,13.6,43,A,grid_000061,0.71773434
63.944473,14.2,43,A,grid_000062,0.6824974
21.726366,14.8,43,A,grid_000063,0.6587644
27.63754,15.4,43,A,grid_000064,0.79983956
174.92355,16,43,A,grid_000065,0.38234836
144.93866,10,43.6,A,grid_000066,0.3991467
143.5552,10.6,43.6,A,grid_000067,0.38753283
130.04941,11.2,43.6,A,grid_000068,0.8689801
145.29439,11.8,43.6,A,grid_000069,0.74134886
128.73691,12.4,43.6,A,grid_000070,0.8948343
164.27142,13,43.6,A,grid_000071,0.6779534
26.1411,13.6,43.6,A,grid_000072,0.7212504
8.590286,14.2,43.6,A,grid_000073,0.4012339
29.097462,14.8,43.6,A,grid_000074,0.29463565
28.540075,15.4,43.6,A,grid_000075,0.26476192
25.801857,16,43.6,A,grid_000076,0.58156615
116.23037,10,44.2,A,grid_000077,0.76180506
123.29995,10.6,44.2,A,grid_000078,0.7162339
153.59283,11.2,44.2,A,grid_000079,0.7535759
21.639076,11.8,44.2,A,grid_000080,0.7937137
115.19816,12.4,44.2,A,grid_000081,0.75456256
21.608807,13,44.2,A,grid_000082,0.40123695
10.704679,13.6,44.2,A,grid_000083,0.3993905
153.72057,14.2,44.2,A,grid_000084,0.2720613
24.823757,14.8,44.2,A,grid_000085,0.21959001
35.526627,15.4,44.2,A,grid_000086,0.4891914
11.845271,16,44.2,A,grid_000087,0.48764282
37.421467,10,44.8,A,grid_000088,0.46262613
163.48656,10.6,44.8,A,grid_000089,0.75846237
14.1200905,11.2,44.8,A,grid_000090,0.7865975
176.04695,11.8,44.8,A,grid_000091,0.31691182
134.37692,12.4,44.8,A,grid_000092,0.30220163
133.03027,13,44.8,A,grid_000093,0.27404147
132.94478,13.6,44.8,A,grid_000094,0.24207722
152.28194,14.2,44.8,A,grid_000095,0.26699775
178.15118,14.8,44.8,A,grid_000096,0.5829135
6.7228723,15.4,44.8,A,grid_000097,0.37802267
24.56325,16,44.8,A,grid_000098,0.30725384
148.47331,10.2,40,B,grid_000000,0.18974647
