ID,LON,LAT,geometry,PLATE,REGIME,DIST,QUALITY,AZI,AZI_PRED,AZI_ERROR,STR
grid_000000,10.0,40.0,POINT (10 40),EU,SS,132.98618950531963,C,0.0,146.09721,33.902786,0.20806843
grid_000001,10.6,40.0,POINT (10.6 40),EU,TF,113.10279692284229,C,0.0,148.62918,31.37082,0.19706874
grid_000002,11.2,40.0,POINT (11.2 40),EU,TF,103.21147309184569,C,0.0,153.76913,26.230865,0.1967683
grid_000003,11.8,40.0,POINT (11.8 40),EU,TF,108.07804629063787,C,0.0,23.854845,23.854845,0.12385826
grid_000004,12.4,40.0,POINT (12.4 40),EU,TF,126.98895546668074,C,0.0,28.803164,28.803164,0.1513665
grid_000005,13.0,40.0,POINT (13 40),EU,TF,136.81193511361965,C,0.0,29.135763,29.135763,0.14631557
grid_000006,13.6,40.0,POINT (13.6 40),EU,TF,153.24762818554322,C,0.0,29.270535,29.270535,0.16697693
grid_000007,14.2,40.0,POINT (14.2 40),EU,TF,139.7319869705538,C,0.0,29.174147,29.174147,0.17999825
grid_000008,14.8,40.0,POINT (14.8 40),EU,TF,139.26909280641016,C,0.0,28.352116,28.352116,0.13576399
grid_000009,15.4,40.0,POINT (15.4 40),EU,NF,156.87813651113072,C,0.0,115.81644,64.18356,0.5471488
grid_000010,16.0,40.0,POINT (16 40),EU,NF,182.6686520273247,C,0.0,149.70204,30.297958,0.69631
grid_000011,10.0,40.6,POINT (10 40.6),EU,TF,191.88785504259073,C,0.0,123.43625,56.56375,0.31987035
grid_000012,10.6,40.6,POINT (10.6 40.6),EU,TF,176.88952702752243,C,0.0,147.70602,32.293976,0.19893217
grid_000013,11.2,40.6,POINT (11.2 40.6),EU,TF,169.79044514601227,C,0.0,149.4502,30.549805,0.19661133
grid_000014,11.8,40.6,POINT (11.8 40.6),EU,TF,173.79110676137543,C,0.0,160.53012,19.46988,0.21127611
grid_000015,12.4,40.6,POINT (12.4 40.6),EU,TF,185.22506599157657,C,0.0,27.702757,27.702757,0.21724367
grid_000016,13.0,40.6,POINT (13 40.6),EU,TF,200.41847728403886,C,0.0,29.508904,29.508904,0.17823388
grid_000017,13.6,40.6,POINT (13.6 40.6),EU,NF,216.63142327384824,C,0.0,141.19125,38.808746,0.13330954
grid_000018,14.2,40.6,POINT (14.2 40.6),EU,NF,205.48260957870042,C,0.0,141.04922,38.950775,0.18858667
grid_000019,14.8,40.6,POINT (14.8 40.6),EU,NF,205.17085659671636,C,0.0,161.01366,18.986343,0.17566663
grid_000020,15.4,40.6,POINT (15.4 40.6),EU,NF,217.40400563748253,C,0.0,128.08453,51.915466,0.72281367
grid_000021,16.0,40.6,POINT (16 40.6),EU,NF,230.917761245561,C,0.0,145.4879,34.5121,0.31754932
grid_000022,10.0,41.2,POINT (10 41.2),EU,NF,254.912308351617,C,0.0,100.080925,79.919075,0.4368914
grid_000023,10.6,41.2,POINT (10.6 41.2),EU,TF,240.89230435180434,C,0.0,148.89606,31.103943,0.1855122
grid_000024,11.2,41.2,POINT (11.2 41.2),EU,TF,236.37601785179177,C,0.0,149.41017,30.589828,0.20980287
grid_000025,11.8,41.2,POINT (11.8 41.2),EU,TF,239.481907244262,C,0.0,150.7795,29.220505,0.21263199
grid_000026,12.4,41.2,POINT (12.4 41.2),EU,TF,248.80207431046728,C,0.0,12.3280325,12.3280325,0.39922082
grid_000027,13.0,41.2,POINT (13 41.2),EU,NF,265.5158243487133,C,0.0,138.62901,41.370987,0.15895379
grid_000028,13.6,41.2,POINT (13.6 41.2),EU,TF,281.38906537173716,C,0.0,151.93109,28.068909,0.37759787
grid_000029,14.2,41.2,POINT (14.2 41.2),EU,NF,271.6660741249354,C,0.0,137.04596,42.95404,0.602199
grid_000030,14.8,41.2,POINT (14.8 41.2),EU,NF,271.43243839164137,C,0.0,155.45181,24.548187,0.6266557
grid_000031,15.4,41.2,POINT (15.4 41.2),EU,NF,280.71186330678626,C,0.0,145.9283,34.0717,0.22684672
grid_000032,16.0,41.2,POINT (16 41.2),EU,NF,280.49545687356544,C,0.0,141.98412,38.015884,0.14278287
grid_000033,10.0,41.8,POINT (10 41.8),EU,TF,319.4104138931725,C,0.0,149.79665,30.203354,0.18474154
grid_000034,10.6,41.8,POINT (10.6 41.8),EU,TF,306.61812904869777,C,0.0,149.76479,30.235214,0.20433779
grid_000035,11.2,41.8,POINT (11.2 41.8),EU,TF,302.96820915253215,C,0.0,149.75455,30.245453,0.21351683
grid_000036,11.8,41.8,POINT (11.8 41.8),EU,NF,305.17244350763195,C,0.0,135.665,44.335007,0.27972406
grid_000037,12.4,41.8,POINT (12.4 41.8),EU,NF,313.6559039892092,C,0.0,140.75462,39.245377,0.5457981
grid_000038,13.0,41.8,POINT (13 41.8),EU,NF,331.23036798123815,C,0.0,169.04808,10.95192,0.68632185
grid_000039,13.6,41.8,POINT (13.6 41.8),EU,NF,345.8246766174928,C,0.0,137.04865,42.951355,0.74536526
grid_000040,14.2,41.8,POINT (14.2 41.8),EU,NF,338.03236219124267,C,0.0,138.53038,41.46962,0.60207856
grid_000041,14.8,41.8,POINT (14.8 41.8),EU,NF,337.8463194894833,C,0.0,128.86862,51.13138,0.79530066
grid_000042,15.4,41.8,POINT (15.4 41.8),EU,TF,345.27885228978687,C,0.0,145.11499,34.88501,0.58970374
grid_000043,16.0,41.8,POINT (16 41.8),EU,TF,336.0264462066977,C,0.0,138.57153,41.428467,0.5127107
grid_000044,10.0,42.4,POINT (10 42.4),EU,TF,384.2757976040258,C,0.0,150.23962,29.760376,0.20149168
grid_000045,10.6,42.4,POINT (10.6 42.4),EU,TF,372.6748718736643,C,0.0,150.1749,29.825104,0.24527447
grid_000046,11.2,42.4,POINT (11.2 42.4),EU,TF,369.56703394543155,C,0.0,150.14839,29.851608,0.24587142
grid_000047,11.8,42.4,POINT (11.8 42.4),EU,TF,371.10181837089885,C,0.0,143.85211,36.14789,0.33548516
grid_000048,12.4,42.4,POINT (12.4 42.4),EU,TF,379.13557728258684,C,0.0,109.29333,70.70667,0.5944273
grid_000049,13.0,42.4,POINT (13 42.4),EU,NF,397.2594581392482,C,0.0,136.89108,43.108917,0.8233485
grid_000050,13.6,42.4,POINT (13.6 42.4),EU,NF,410.96966547891174,C,0.0,126.68958,53.310417,0.8326583
grid_000051,14.2,42.4,POINT (14.2 42.4),EU,TF,404.49495597407275,C,0.0,30.10705,30.10705,0.30267295
grid_000052,14.8,42.4,POINT (14.8 42.4),EU,TF,404.34092266507395,C,0.0,144.00827,35.99173,0.2911768
grid_000053,15.4,42.4,POINT (15.4 42.4),EU,TF,410.5146875959161,C,0.0,120.02053,59.97947,0.6197176
grid_000054,16.0,42.4,POINT (16 42.4),EU,TF,395.011422144436,C,0.0,32.760994,32.760994,0.6750854
grid_000055,10.0,43.0,POINT (10 43),EU,TF,447.9996069428333,C,0.0,150.41176,29.588242,0.22098894
