ID,LON,LAT,geometry,PLATE,REGIME,DIST,QUALITY,AZI,AZI_PRED,AZI_ERROR,STR
grid_000000,10.0,40.2,POINT (10 40.2),EU,TF,151.59781583850145,C,0.0,148.65952,31.340485,0.1747635
grid_000001,10.6,40.2,POINT (10.6 40.2),EU,TF,134.36672234466042,C,0.0,148.67133,31.328674,0.1924022
grid_000002,11.2,40.2,POINT (11.2 40.2),EU,TF,125.4037316034534,C,0.0,150.95828,29.041718,0.18496706
grid_000003,11.8,40.2,POINT (11.8 40.2),EU,TF,129.99712463456208,C,0.0,16.637953,16.637953,0.13766307
grid_000004,12.4,40.2,POINT (12.4 40.2),EU,TF,149.1011310094924,C,0.0,28.676857,28.676857,0.17032915
grid_000005,13.0,40.2,POINT (13 40.2),EU,TF,157.736859339019,C,0.0,29.265083,29.265083,0.16191047
grid_000006,13.6,40.2,POINT (13.6 40.2),EU,TF,175.44166576427895,C,0.0,29.42056,29.42056,0.20290881
grid_000007,14.2,40.2,POINT (14.2 40.2),EU,TF,161.5686113480964,C,0.0,29.329334,29.329334,0.18680105
grid_000008,14.8,40.2,POINT (14.8 40.2),EU,TF,161.16960724899923,C,0.0,28.897198,28.897198,0.1791091
grid_000009,15.4,40.2,POINT (15.4 40.2),EU,SS,176.56558519663224,C,0.0,118.77052,61.229477,0.597057
grid_000010,16.0,40.2,POINT (16 40.2),EU,NF,203.3534133869033,C,0.0,141.77472,38.22528,0.5058866
grid_000011,10.0,40.8,POINT (10 40.8),EU,TF,212.6511772072219,C,0.0,103.303795,76.696205,0.63680184
grid_000012,10.6,40.8,POINT (10.6 40.8),EU,TF,198.14838945050386,C,0.0,140.26036,39.73964,0.23131534
grid_000013,11.2,40.8,POINT (11.2 40.8),EU,TF,191.98490169355813,C,0.0,149.31804,30.681961,0.19530717
grid_000014,11.8,40.8,POINT (11.8 40.8),EU,TF,195.68806561133118,C,0.0,154.51584,25.484161,0.22069743
grid_000015,12.4,40.8,POINT (12.4 40.8),EU,TF,206.20257347811278,C,0.0,69.658646,69.658646,0.20743367
grid_000016,13.0,40.8,POINT (13 40.8),EU,TF,222.01578786439836,C,0.0,31.036058,31.036058,0.18201885
grid_000017,13.6,40.8,POINT (13.6 40.8),EU,TF,238.02859928717515,C,0.0,29.757153,29.757153,0.19387144
grid_000018,14.2,40.8,POINT (14.2 40.8),EU,NF,227.51397218554516,C,0.0,141.52492,38.475082,0.15499255
grid_000019,14.8,40.8,POINT (14.8 40.8),EU,NF,227.2332775528267,C,0.0,147.47049,32.52951,0.36492974
grid_000020,15.4,40.8,POINT (15.4 40.8),EU,NF,238.30473622775847,C,0.0,126.93952,53.06048,0.7721647
grid_000021,16.0,40.8,POINT (16 40.8),EU,NF,246.5520785923091,C,0.0,147.33138,32.668625,0.2899044
grid_000022,10.0,41.4,POINT (10 41.4),EU,NF,276.29817090772565,C,0.0,100.55886,79.44114,0.4894845
grid_000023,10.6,41.4,POINT (10.6 41.4),EU,TF,262.7491184767452,C,0.0,149.37236,30.62764,0.19906768
grid_000024,11.2,41.4,POINT (11.2 41.4),EU,TF,258.5726787541488,C,0.0,149.52696,30.473038,0.20270124
grid_000025,11.8,41.4,POINT (11.8 41.4),EU,TF,261.37878526148023,C,0.0,150.23672,29.763275,0.24354601
grid_000026,12.4,41.4,POINT (12.4 41.4),EU,TF,270.32290612574786,C,0.0,6.7682,6.7682,0.50087214
grid_000027,13.0,41.4,POINT (13 41.4),EU,TF,287.3726825994409,C,0.0,25.749897,25.749897,0.25590533
grid_000028,13.6,41.4,POINT (13.6 41.4),EU,SS,302.76100890812194,C,0.0,144.85011,35.149887,0.59748995
grid_000029,14.2,41.4,POINT (14.2 41.4),EU,NF,293.7737331453443,C,0.0,132.55003,47.449966,0.7603541
grid_000030,14.8,41.4,POINT (14.8 41.4),EU,NF,293.5583411009812,C,0.0,139.01456,40.985443,0.61630815
grid_000031,15.4,41.4,POINT (15.4 41.4),EU,TF,302.133603396995,C,0.0,22.264328,22.264328,0.1828754
grid_000032,16.0,41.4,POINT (16 41.4),EU,TF,298.5008657269355,C,0.0,172.90143,7.098572,0.17259185
grid_000033,10.0,42.0,POINT (10 42),EU,TF,341.0940617092155,C,0.0,149.9937,30.006302,0.18543272
grid_000034,10.6,42.0,POINT (10.6 42),EU,TF,328.6098984470099,C,0.0,149.91814,30.081863,0.20650631
grid_000035,11.2,42.0,POINT (11.2 42),EU,TF,325.16707971444396,C,0.0,149.89847,30.101532,0.23755306
grid_000036,11.8,42.0,POINT (11.8 42),EU,TF,327.0692187501072,C,0.0,149.88545,30.114548,0.2791394
grid_000037,12.4,42.0,POINT (12.4 42),EU,NF,335.43074502215467,C,0.0,144.20802,35.791977,0.587517
grid_000038,13.0,42.0,POINT (13 42),EU,NF,353.21361304652373,C,0.0,146.44066,33.55934,0.5738975
grid_000039,13.6,42.0,POINT (13.6 42),EU,NF,367.479211020273,C,0.0,138.27377,41.726227,0.7777263
grid_000040,14.2,42.0,POINT (14.2 42),EU,NF,360.17829833472746,C,0.0,136.11017,43.88983,0.51166666
grid_000041,14.8,42.0,POINT (14.8 42),EU,NF,360.00423343750396,C,0.0,133.26263,46.737366,0.68120515
grid_000042,15.4,42.0,POINT (15.4 42),EU,TF,366.9671658508518,C,0.0,157.11945,22.880554,0.5611797
grid_000043,16.0,42.0,POINT (16 42),EU,TF,355.3870004520712,C,0.0,133.66592,46.334076,0.3525126
grid_000044,10.0,42.6,POINT (10 42.6),EU,TF,405.5188572489315,C,0.0,150.20049,29.799515,0.1571276
grid_000045,10.6,42.6,POINT (10.6 42.6),EU,NF,394.7392488878429,C,0.0,134.70654,45.293457,0.22472513
grid_000046,11.2,42.6,POINT (11.2 42.6),EU,TF,391.7681184538362,C,0.0,150.26782,29.732178,0.3133895
grid_000047,11.8,42.6,POINT (11.8 42.6),EU,NF,393.2089576733197,C,0.0,124.67818,55.321823,0.63608545
grid_000048,12.4,42.6,POINT (12.4 42.6),EU,NF,401.0489204978425,C,0.0,109.64415,70.35585,0.7433617
grid_000049,13.0,42.6,POINT (13 42.6),EU,NF,419.3139706953325,C,0.0,139.12944,40.87056,0.9024533
grid_000050,13.6,42.6,POINT (13.6 42.6),EU,NF,428.0622137222115,C,0.0,145.13354,34.866455,0.7221927
grid_000051,14.2,42.6,POINT (14.2 42.6),EU,NF,426.6633469360844,C,0.0,137.98314,42.01686,0.1950531
grid_000052,14.8,42.6,POINT (14.8 42.6),EU,NF,426.5177733533832,C,0.0,139.94339,40.05661,0.2733728
grid_000053,15.4,42.6,POINT (15.4 42.6),EU,TF,432.3569240250586,C,0.0,135.25352,44.746475,0.3487372
grid_000054,16.0,42.6,POINT (16 42.6),EU,TF,415.18933934878635,C,0.0,32.704002,32.704002,0.5870043
grid_000055,10.0,43.2,POINT (10 43.2),EU,NF,469.2372794144799,C,0.0,133.93726,46.062744,0.24827257
grid_000056,10.6,43.2,POINT (10.6 43.2),EU,TF,461.0246588443703,C,0.0,123.097336,56.902664,0.4718495
grid_000057,11.2,43.2,POINT (11.2 43.2),EU,SS,458.3758057917257,C,0.0,130.57817,49.42183,0.6820418
grid_000058,11.8,43.2,POINT (11.8 43.2),EU,TF,459.5982997938609,C,0.0,139.928,40.072006,0.43974754
grid_000059,12.4,43.2,POINT (12.4 43.2),EU,NF,466.9653503173555,C,0.0,138.23805,41.761948,0.8859595
grid_000060,13.0,43.2,POINT (13 43.2),EU,NF,476.2941421195724,C,0.0,140.76208,39.237915,0.8862305
grid_000061,13.6,43.2,POINT (13.6 43.2),EU,NF,493.0742772427285,C,0.0,93.43559,86.56441,0.5949673
grid_000062,14.2,43.2,POINT (14.2 43.2),EU,TF,493.19918033034344,C,0.0,55.2479,55.2479,0.5242076
grid_000063,14.8,43.2,POINT (14.8 43.2),EU,TF,493.0744349766582,C,0.0,12.499094,12.499094,0.6150348
grid_000064,15.4,43.2,POINT (15.4 43.2),EU,TF,496.400620180753,C,0.0,27.8044,27.8044,0.83828676
grid_000065,16.0,43.2,POINT (16 43.2),EU,TF,476.81482406318037,C,0.0,20.533207,20.533207,0.303387
grid_000066,10.0,43.8,POINT (10 43.8),EU,NF,533.8558557325297,C,0.0,143.97575,36.024246,0.28931904
grid_000067,10.6,43.8,POINT (10.6 43.8),EU,NF,527.4099580436502,C,0.0,150.25812,29.741882,0.34816903
grid_000068,11.2,43.8,POINT (11.2 43.8),EU,NF,524.9901494787091,C,0.0,130.26305,49.736954,0.7821948
grid_000069,11.8,43.8,POINT (11.8 43.8),EU,NF,526.0615999038178,C,0.0,130.56638,49.433624,0.877347
grid_000070,12.4,43.8,POINT (12.4 43.8),EU,NF,533.0720440095542,C,0.0,141.79305,38.206955,0.70817834
grid_000071,13.0,43.8,POINT (13 43.8),EU,TF,541.1847457794406,C,0.0,26.29536,26.29536,0.4021909
grid_000072,13.6,43.8,POINT (13.6 43.8),EU,TF,558.4799222690123,C,0.0,66.00582,66.00582,0.502975
grid_000073,14.2,43.8,POINT (14.2 43.8),EU,TF,559.7702039073536,C,0.0,166.423,13.576996,0.31855184
grid_000074,14.8,43.8,POINT (14.8 43.8),EU,TF,559.6613488854894,C,0.0,29.189816,29.189816,0.2757945
grid_000075,15.4,43.8,POINT (15.4 43.8),EU,TF,556.858699740972,C,0.0,30.097784,30.097784,0.2422702
grid_000076,16.0,43.8,POINT (16 43.8),EU,TF,539.6418249744205,C,0.0,24.099804,24.099804,0.5183867
grid_000077,10.0,44.4,POINT (10 44.4),EU,NF,599.5402587185334,C,0.0,122.66565,57.33435,0.6898123
grid_000078,10.6,44.4,POINT (10.6 44.4),EU,NF,593.8640207498407,C,0.0,179.18028,0.8197174,0.52601665
grid_000079,11.2,44.4,POINT (11.2 44.4),EU,NF,591.6151139665161,C,0.0,163.92973,16.070267,0.6616485
grid_000080,11.8,44.4,POINT (11.8 44.4),EU,TF,592.5763501537756,C,0.0,23.142252,23.142252,0.7456824
grid_000081,12.4,44.4,POINT (12.4 44.4),EU,TF,599.1601268498725,C,0.0,161.12114,18.87886,0.55346674
grid_000082,13.0,44.4,POINT (13 44.4),EU,SS,606.4656923938678,C,0.0,145.22345,34.77655,0.33656365
grid_000083,13.6,44.4,POINT (13.6 44.4),EU,TF,624.1576867938799,C,0.0,152.43327,27.566727,0.2859313
grid_000084,14.2,44.4,POINT (14.2 44.4),EU,TF,626.3674469457119,C,0.0,152.15752,27.842484,0.23358409
grid_000085,14.8,44.4,POINT (14.8 44.4),EU,TF,626.2711153200172,C,0.0,13.696468,13.696468,0.23004611
grid_000086,15.4,44.4,POINT (15.4 44.4),EU,TF,618.596554992545,C,0.0,34.60403,34.60403,0.5654764
grid_000087,16.0,44.4,POINT (16 44.4),EU,NF,603.2974152701129,C,0.0,22.962292,22.962292,0.39580458
grid_000088,10.0,45.0,POINT (10 45),EU,TF,611.6580586793792,C,0.0,41.692776,41.692776,0.39507446
grid_000089,10.6,45.0,POINT (10.6 45),EU,TF,611.6597324207313,C,0.0,158.55724,21.442764,0.6217145
grid_000090,11.2,45.0,POINT (11.2 45),EU,TF,611.6614061620888,C,0.0,13.613385,13.613385,0.81008387
grid_000091,11.8,45.0,POINT (11.8 45),EU,NF,611.663079903452,C,0.0,144.67812,35.321884,0.2853922
grid_000092,12.4,45.0,POINT (12.4 45),EU,TF,611.6647536448174,C,0.0,150.45792,29.542084,0.26849145
grid_000093,13.0,45.0,POINT (13 45),EU,NF,611.6664273861894,C,0.0,133.02968,46.97032,0.2565655
grid_000094,13.6,45.0,POINT (13.6 45),EU,NF,611.6681011275656,C,0.0,133.509,46.490997,0.2162576
grid_000095,14.2,45.0,POINT (14.2 45),EU,TF,611.6697748689448,C,0.0,154.51427,25.485733,0.2663676
grid_000096,14.8,45.0,POINT (14.8 45),EU,TF,611.6714486103276,C,0.0,1.8285363,1.8285363,0.7079737
grid_000097,15.4,45.0,POINT (15.4 45),EU,NF,611.6731223517166,C,0.0,11.360495,11.360495,0.5326526
grid_000098,16.0,45.0,POINT (16 45),EU,TF,611.6747960931081,C,0.0,21.850555,21.850555,0.36946255
