ID,LON,LAT,geometry,PLATE,REGIME,DIST,QUALITY,AZI,AZI_PRED,AZI_ERROR,STR
grid_000000,10.0,40.4,POINT (10 40.4),EU,TF,171.48792413786344,C,0.0,148.49817,31.501831,0.19099508
grid_000001,10.6,40.4,POINT (10.6 40.4),EU,TF,155.62896851485314,C,0.0,148.75774,31.242264,0.1919792
grid_000002,11.2,40.4,POINT (11.2 40.4),EU,TF,147.5967220291745,C,0.0,149.90926,30.090744,0.1979215
grid_000003,11.8,40.4,POINT (11.8 40.4),EU,TF,151.89412567193853,C,0.0,174.92343,5.0765686,0.17891413
grid_000004,12.4,40.4,POINT (12.4 40.4),EU,TF,171.2138361759679,A,0.0,14.112029,14.112029,0.034957647
grid_000005,13.0,40.4,POINT (13 40.4),EU,TF,178.97179285509307,C,0.0,29.329292,29.329292,0.16985174
grid_000006,13.6,40.4,POINT (13.6 40.4),EU,TF,195.23291031185138,C,0.0,29.561314,29.561314,0.16691011
grid_000007,14.2,40.4,POINT (14.2 40.4),EU,TF,183.49497744224098,C,0.0,29.454514,29.454514,0.2098799
grid_000008,14.8,40.4,POINT (14.8 40.4),EU,TF,183.1447734734505,C,0.0,18.128302,18.128302,0.36430043
grid_000009,15.4,40.4,POINT (15.4 40.4),EU,NF,196.7908082629391,C,0.0,141.23283,38.767166,0.45230618
grid_000010,16.0,40.4,POINT (16 40.4),EU,NF,216.43615196215487,C,0.0,139.25906,40.740936,0.48344624
grid_000011,10.0,41.0,POINT (10 41),EU,TF,233.681265985853,C,0.0,101.96908,78.03092,0.6127929
grid_000012,10.6,41.0,POINT (10.6 41),EU,TF,219.40554732522415,C,0.0,142.85101,37.148987,0.21737438
grid_000013,11.2,41.0,POINT (11.2 41),EU,TF,214.1800923739454,C,0.0,149.32767,30.672333,0.21658456
grid_000014,11.8,41.0,POINT (11.8 41),EU,TF,217.58499989381082,C,0.0,151.86763,28.13237,0.2165561
grid_000015,12.4,41.0,POINT (12.4 41),EU,SS,227.41485419182524,C,0.0,99.53839,80.46161,0.41147137
grid_000016,13.0,41.0,POINT (13 41),EU,NF,243.72389690983024,C,0.0,134.74146,45.258545,0.14183515
grid_000017,13.6,41.0,POINT (13.6 41),EU,TF,259.6453513366874,C,0.0,24.675926,24.675926,0.22011092
grid_000018,14.2,41.0,POINT (14.2 41),EU,NF,249.57769147189234,C,0.0,142.01497,37.98503,0.22135401
grid_000019,14.8,41.0,POINT (14.8 41),EU,NF,249.3225970022272,C,0.0,155.63887,24.36113,0.6300884
grid_000020,15.4,41.0,POINT (15.4 41),EU,NF,259.42371203541217,C,0.0,133.74583,46.254166,0.5758713
grid_000021,16.0,41.0,POINT (16 41),EU,NF,263.1339126662009,C,0.0,142.59613,37.40387,0.16434538
grid_000022,10.0,41.6,POINT (10 41.6),EU,TF,297.8056757974779,C,0.0,137.33344,42.666565,0.22078925
grid_000023,10.6,41.6,POINT (10.6 41.6),EU,TF,284.6616522991937,C,0.0,149.61794,30.382065,0.1942878
grid_000024,11.2,41.6,POINT (11.2 41.6),EU,TF,280.7700756704656,C,0.0,149.63611,30.363892,0.22134748
grid_000025,11.8,41.6,POINT (11.8 41.6),EU,TF,283.27563150752695,C,0.0,150.02878,29.971222,0.24138495
grid_000026,12.4,41.6,POINT (12.4 41.6),EU,NF,291.9479810832368,C,0.0,144.36179,35.638214,0.27999523
grid_000027,13.0,41.6,POINT (13 41.6),EU,TF,309.2808734768778,C,0.0,2.505224,2.505224,0.37742478
grid_000028,13.6,41.6,POINT (13.6 41.6),EU,TF,324.24655365681076,C,0.0,139.74042,40.259583,0.660525
grid_000029,14.2,41.6,POINT (14.2 41.6),EU,NF,315.89678545894856,C,0.0,132.92128,47.07872,0.7224449
grid_000030,14.8,41.6,POINT (14.8 41.6),EU,NF,315.6970922389093,C,0.0,130.675,49.324997,0.7757344
grid_000031,15.4,41.6,POINT (15.4 41.6),EU,TF,323.66256854148185,C,0.0,144.55933,35.440674,0.5460588
grid_000032,16.0,41.6,POINT (16 41.6),EU,TF,317.04062206783453,C,0.0,137.88268,42.117325,0.5400983
