AZI_PRED_A,LON,LAT,SET,AZI_PRED_B,,,
178.27623,10.6,44.8,A,7,8.72377,,16.95935736
6.810248,10.2,44.8,B,178,8.810248,,
2.1646183,16,42.4,A,172,10.1646183,,
179.12955,10.2,44.6,H,10,10.87045,,
177.49727,10.8,45,E,10,12.50273,,
179.31914,13.2,45,E,13,13.68086,,
9.553073,10,44.8,A,175,14.553073,,
175.3226,10.4,45,F,10,14.6774,,
171.79807,10.6,45,D,10,18.20193,,
171.57611,10.8,44.8,B,10,18.42389,,
173.62386,11,44.6,I,13,19.37614,,
173.62349,10.6,44.6,G,13,19.37651,,
170.32631,10.4,44.6,I,10,19.67369,,
5.3666415,10,45,D,157,28.3666415,,
167.61888,12.4,45,D,16,28.38112,,
12.74572,14.8,40,A,160,32.74572,,
4.9485908,11.8,41.2,A,151,33.9485908,,
11.577863,12.2,41,I,157,34.577863,,
0.14383143,16,42.2,G,142,38.14383143,,
6.566992,15,40,B,148,38.566992,,
12.474693,11.6,44.8,C,151,41.474693,,
138.90154,10.6,42.4,A,1,42.09846,,
152.40054,10.6,44.4,D,16,43.59946,,
35.16905,13.2,43.6,B,169,46.16905,,
179.31464,13.2,44.8,B,46,46.68536,,
148.30586,11.4,44.4,E,16,47.69414,,
131.73378,10.8,42.8,H,1,49.26622,,
140.358,10.8,44.4,E,10,49.642,,
131.16525,11,42.8,I,1,49.83475,,
130.46825,11.2,42.8,G,1,50.53175,,
128.8143,11,43,C,1,52.1857,,
135.93942,12.8,44.8,C,10,54.06058,,
37.742035,13.4,43.6,C,160,57.742035,,
147.14955,12.6,45,E,34,66.85045,,
153.39726,12.6,44.8,B,46,72.60274,,
152.08607,12.4,44.8,A,46,73.91393,,
143.28244,13.6,43,A,40,76.71756,,
53.161297,12.6,41,H,154,79.161297,,
17.260998,14.8,43,A,118,79.260998,,
18.12294,14.6,42.8,I,118,80.12294,,
18.20189,14.8,42.8,G,118,80.20189,,
17.60469,14.4,43,B,115,82.60469,,
17.693325,14.4,43.2,E,115,82.693325,,
138.47964,12.8,44.4,F,43,84.52036,,
138.26862,12.8,44.6,I,43,84.73138,,
9.044352,12,44.8,B,103,86.044352,,
73.89662,12.2,40.8,F,166,87.89662,,
112.91342,10.2,44.4,E,22,89.08658,,
105.99649,10.4,44.4,F,19,86.99649,,
81.991974,12.4,40.8,D,166,84.008026,,
125.92859,13,44.6,G,43,82.92859,,
33.327976,14.4,42.8,H,115,81.672024,,
79.52097,12.4,41,G,157,77.47903,,
80.327965,12.8,40.8,F,157,76.672035,,
17.844288,14.6,43,C,94,76.155712,,
81.59814,13,40.8,D,157,75.40186,,
90.8275,12.6,40.8,E,166,75.1725,,
117.34274,12.6,44.6,H,46,71.34274,,
110.83936,12.6,44.4,E,43,67.83936,,
136.53084,10.2,43,B,79,57.53084,,
179.94441,15.2,42.6,F,124,55.94441,,
2.0532823,14.2,44.4,D,55,52.9467177,,
101.9842,12.8,41,I,154,52.0158,,
95.67743,12.8,44,I,46,49.67743,,
72.043976,14.4,42.6,E,118,45.956024,,
15.50775,14.6,43.2,F,61,45.49225,,
7.203937,13.6,43.2,D,52,44.796063,,
1.4511763,14,44.6,I,46,44.5488237,,
101.74955,14.2,42.6,D,145,43.25045,,
135.10724,11.2,42.4,A,178,42.89276,,
135.11407,11,42.6,F,178,42.88593,,
178.82584,13.4,43.4,I,136,42.82584,,
72.64781,14.2,42.8,G,115,42.35219,,
136.43546,10.8,42.2,H,178,41.56454,,
150.12027,12.6,44.2,B,109,41.12027,,
169.81453,15.8,42.4,C,130,39.81453,,
130.27887,11.4,43.4,H,169,38.72113,,
165.63556,14.4,40.6,B,127,38.63556,,
16.91291,14.4,43.8,E,55,38.08709,,
16.955317,14.8,43.2,D,55,38.044683,,
119.25877,12.2,42.2,I,157,37.74123,,
11.284975,14.6,43.8,F,49,37.715025,,
17.28654,14.4,43.4,H,55,37.71346,,
114.68036,12.6,44,H,151,36.31964,,
135.70744,12.4,43,A,172,36.29256,,
144.28752,12.6,42,E,109,35.28752,,
143.26105,13,42.4,A,109,34.26105,,
14.826356,14.4,43.6,B,49,34.173644,,
154.89095,14.6,40.6,C,121,33.89095,,
12.308777,13.4,44.8,C,46,33.691223,,
118.28636,10,41.2,A,85,33.28636,,
15.742568,14.6,43.4,I,49,33.257432,,
115.224304,11.2,41,G,82,33.224304,,
133.27295,11.6,43.4,I,166,32.72705,,
13.504504,14.6,43.6,C,46,32.495496,,
10.737721,13.8,44.6,H,43,32.262279,,
13.767991,14.8,43.6,A,46,32.232009,,
13.846523,14.4,44.2,B,46,32.153477,,
133.91858,10.4,43.2,F,166,32.08142,,
136.93527,13,43.6,A,169,32.06473,,
13.988226,14.8,43.8,D,46,32.011774,,
122.09686,12,42.4,B,154,31.90314,,
152.71796,15,42.6,E,121,31.71796,,
137.92471,10.8,42.4,B,169,31.07529,,
27.277815,14.2,43.2,D,58,30.722185,,
21.373404,13.8,43.2,E,52,30.626596,,
136.4886,15.4,41.6,G,106,30.4886,,
123.765205,12.2,42.4,C,154,30.234795,,
0.8545045,15.8,42.6,F,31,30.1454955,,
124.02252,12.6,42.4,B,154,29.97748,,
76.07641,14,43,C,106,29.92359,,
127.17717,12,41.2,B,157,29.82283,,
159.70695,16,42,D,130,29.70695,,
22.56585,13.8,43.6,B,52,29.43415,,
127.58021,12,42.2,H,157,29.41979,,
136.80396,10.8,42.6,E,166,29.19604,,
22.896902,13.6,43.4,G,52,29.103098,,
161.73808,11.6,41.6,I,133,28.73808,,
14.927774,12.4,44.6,G,43,28.072226,,
126.067566,11.8,42.4,A,154,27.932434,,
21.080114,14.6,44,I,49,27.919886,,
109.39814,10.8,41.6,H,82,27.39814,,
117.65953,14,42.6,F,145,27.34047,,
151.21474,14.4,40.8,E,124,27.21474,,
21.940111,14,43.4,I,49,27.059889,,
90.98424,13.8,43,B,118,27.01576,,
139.02124,10.2,42.8,H,166,26.97876,,
138.7954,12.6,42.2,H,112,26.7954,,
139.20819,10,43,A,166,26.79181,,
127.38511,12,42.6,E,154,26.61489,,
19.505508,14.2,43.6,A,46,26.494492,,
139.51315,11,42.4,C,166,26.48685,,
19.597195,12.8,44.2,C,46,26.402805,,
108.18283,11,41.4,F,82,26.18283,,
134.07336,15.8,41,I,160,25.92664,,
107.884674,10.4,41.4,F,82,25.884674,,
128.14319,11.6,42.2,I,154,25.85681,,
131.83192,11.8,43,A,106,25.83192,,
107.83026,10.6,40.6,A,82,25.83026,,
107.668465,10.6,41.6,G,82,25.668465,,
146.52083,13.8,42.8,H,121,25.52083,,
23.566702,13.8,43.4,H,49,25.433298,,
119.37153,10,41.4,D,94,25.37153,,
167.2745,14.4,40.4,H,142,25.2745,,
17.975824,15.2,43.8,F,43,25.024176,,
109.90454,10.6,41,G,85,24.90454,,
135.17667,16,41,G,160,24.82333,,
21.231377,13.2,44.6,H,46,24.768623,,
106.6705,10.8,40.8,E,82,24.6705,,
106.64348,10.8,41.2,B,82,24.64348,,
129.63763,12.4,42.8,G,154,24.36237,,
106.33606,11,40.8,F,82,24.33606,,
142.14369,10,42.8,G,166,23.85631,,
16.21884,15.2,43.6,C,40,23.78116,,
105.74878,10.6,41.4,D,82,23.74878,,
133.2894,15.6,42.2,H,157,23.7106,,
139.5057,15.6,41.4,E,163,23.4943,,
133.51193,12,43,B,157,23.48807,,
127.59482,14.2,41.8,A,151,23.40518,,
105.322556,10.8,41,H,82,23.322556,,
105.18928,11,41,I,82,23.18928,,
105.06502,10.8,41.4,E,82,23.06502,,
16.950123,15,43.2,E,40,23.049877,,
108.03401,10.2,41.4,E,85,23.03401,,
128.02838,11.8,42.6,D,151,22.97162,,
131.07146,15.6,42,E,154,22.92854,,
137.8341,12.4,43.8,D,115,22.8341,,
104.81178,10,41.6,G,82,22.81178,,
104.659676,11,41.2,C,82,22.659676,,
104.62637,10.8,40.6,B,82,22.62637,,
137.6187,13.8,42.2,H,115,22.6187,,
23.400713,14.4,44,H,46,22.599287,,
8.481348,12.2,44.8,C,31,22.518652,,
20.582586,13,44.4,D,43,22.417414,,
128.60068,11.6,42.6,F,151,22.39932,,
107.378174,10.2,41.2,B,85,22.378174,,
104.248924,10.2,41.6,H,82,22.248924,,
104.86994,10.4,44,I,127,22.13006,,
132.05621,11.4,42.2,H,154,21.94379,,
27.105396,14.2,44,G,49,21.894604,,
15.206052,11.8,44.2,A,37,21.793948,,
106.787025,10.6,41.2,A,85,21.787025,,
132.29123,11.8,42.2,G,154,21.70877,,
106.67336,10.4,41.2,C,85,21.67336,,
106.61588,10.4,41,I,85,21.61588,,
18.428387,15,43,B,40,21.571613,,
133.5662,14,42.2,I,112,21.5662,,
129.48093,11.2,42.6,D,151,21.51907,,
6.862813,16,42.6,D,28,21.137187,,
136.05922,12.6,43.6,B,157,20.94078,,
22.078491,12,44.6,H,43,20.921509,,
25.254795,14,43.6,C,46,20.745205,,
102.569885,10.4,41.6,I,82,20.569885,,
124.44124,12.6,42.6,E,145,20.55876,,
127.58249,12.2,42.8,I,148,20.41751,,
25.978373,12.4,44.2,A,46,20.021627,,
23.024813,15.8,43.2,F,43,19.975187,,
131.33649,11.4,42.4,B,151,19.66351,,
26.399511,13.6,44.6,G,46,19.600489,,
32.420864,13.6,43.6,A,52,19.579136,,
128.56367,11.6,42.4,C,148,19.43633,,
14.908835,15,43.6,B,34,19.091165,,
133.93723,15.8,41.2,C,115,18.93723,,
21.160559,15.8,43.6,C,40,18.839441,,
27.16492,13.4,44.6,I,46,18.83508,,
136.83441,10.2,43.4,H,118,18.83441,,
18.245935,14.2,43.4,G,37,18.754065,,
142.61139,14.8,40.8,D,124,18.61139,,
151.51343,11.6,41.8,C,133,18.51343,,
147.48686,12,41,H,166,18.51314,,
148.49503,12.2,42,F,130,18.49503,,
133.14388,10.8,43.4,H,115,18.14388,,
154.14365,12.8,41.6,I,136,18.14365,,
136.11415,10.2,43.2,E,118,18.11415,,
27.952393,12.4,44.4,D,46,18.047607,,
136.24628,10.4,42.8,I,154,17.75372,,
150.57852,11.8,41.6,G,133,17.57852,,
130.46005,11.4,42.6,E,148,17.53995,,
136.46301,10,43.2,D,154,17.53699,,
4.494707,12.2,45,F,22,17.505293,,
124.515656,15.4,42.4,A,142,17.484344,,
141.4348,10,43.4,G,124,17.4348,,
127.69692,14,42.4,C,145,17.30308,,
150.18419,14,40.6,C,133,17.18419,,
135.01913,12.4,43.6,A,118,17.01913,,
143.96564,14.8,40.6,A,127,16.96564,,
20.054146,12,44.2,B,37,16.945854,,
149.84297,13.6,40.8,D,133,16.84297,,
131.20142,11.2,43,A,148,16.79858,,
116.26923,10.6,44.2,A,133,16.73077,,
149.70161,12,41.6,H,133,16.70161,,
116.5031,12.4,44,G,100,16.5031,,
146.39917,15.6,42.4,B,130,16.39917,,
149.35469,12.8,41.8,C,133,16.35469,,
128.92786,15.2,40.4,I,145,16.07214,,
130.94844,10.6,43.2,D,115,15.94844,,
130.93073,10.8,43,B,115,15.93073,,
129.30603,12,42.8,H,145,15.69397,,
27.352135,14,44.4,F,43,15.647865,,
133.5221,11,43.2,F,118,15.5221,,
163.41188,15.2,40,C,148,15.41188,,
136.26633,10.6,43.6,A,121,15.26633,,
142.1952,14.6,41.2,C,127,15.1952,,
145.06293,14.4,41,H,130,15.06293,,
130.01843,14.8,40.4,G,145,14.98157,,
132.87189,10.6,43,A,118,14.87189,,
112.14375,10.6,44,G,127,14.85625,,
135.83722,10.4,43,C,121,14.83722,,
109.20629,10,44,G,124,14.79371,,
124.243835,15.4,42.2,G,139,14.756165,,
22.439947,12,44.4,E,37,14.560053,,
147.4971,11,44.2,C,133,14.4971,,
145.5903,12.8,43.6,C,160,14.4097,,
138.1642,14.4,41.2,B,124,14.1642,,
7.853604,15.4,42.6,D,22,14.146396,,
133.85965,11.2,42.2,G,148,14.14035,,
136.9155,12.6,43.8,E,151,14.0845,,
132.0711,14.2,42.2,G,118,14.0711,,
144.0687,14.2,41,G,130,14.0687,,
130.94354,11.4,43,B,145,14.05646,,
144.03545,14,41,I,130,14.03545,,
135.01706,10.4,43.6,C,121,14.01706,,
134.16806,12.2,43,C,148,13.83194,,
38.210228,14,43.2,F,52,13.789772,,
134.77216,10.8,43.6,B,121,13.77216,,
131.25671,15.8,40.8,F,145,13.74329,,
110.62543,10.6,40.8,D,97,13.62543,,
128.61668,14.2,42,D,142,13.38332,,
134.3565,10.6,43.4,G,121,13.3565,,
149.3193,13,41.4,D,136,13.3193,,
107.95464,10.2,43.8,E,121,13.04536,,
160.99078,13.8,40.6,B,148,12.99078,,
148.96478,13.8,40.8,E,136,12.96478,,
144.11345,13,42.6,D,157,12.88655,,
3.1975496,11.8,45,D,16,12.8024504,,
166.79276,14.6,40.2,F,154,12.79276,,
33.208397,14.2,44.2,A,46,12.791603,,
142.77347,16,41.8,A,130,12.77347,,
145.7349,12,42,E,133,12.7349,,
106.71272,10.4,40.8,F,94,12.71272,,
30.343481,14,43.8,F,43,12.656519,,
135.42986,13,41,G,148,12.57014,,
129.43509,16,40.8,D,142,12.56491,,
130.55063,10.8,43.2,E,118,12.55063,,
27.463722,14.2,43.8,D,40,12.536278,,
142.44366,14,41.2,C,130,12.44366,,
142.38127,12.8,43.4,I,130,12.38127,,
126.65784,15,40.4,H,139,12.34216,,
30.662966,12.2,44.2,C,43,12.337034,,
135.68907,12.6,43,B,148,12.31093,,
139.23843,15.2,41.4,F,127,12.23843,,
151.1167,14.2,40.6,A,139,12.1167,,
132.98721,15.6,41,H,121,11.98721,,
135.98366,10.4,43.4,I,124,11.98366,,
130.05603,12.8,42.4,C,142,11.94397,,
64.063484,14.2,43,A,76,11.936516,,
133.0986,11.6,43.2,F,145,11.9014,,
1.1614852,11,44.8,C,13,11.8385148,,
147.74127,12.6,41.8,B,136,11.74127,,
24.621122,15.6,43,B,13,11.621122,,
150.5448,13,41.6,G,139,11.5448,,
108.51702,10,40.8,D,97,11.51702,,
108.49767,10,41,G,97,11.49767,,
147.49313,13.2,42,E,136,11.49313,,
130.67175,14,41.8,C,142,11.32825,,
141.30086,12.8,42,F,130,11.30086,,
144.25488,12.4,41.6,G,133,11.25488,,
145.80154,13.2,43.2,E,157,11.19846,,
133.80844,14,42,F,145,11.19156,,
4.8406715,11,45,F,16,11.1593285,,
130.84328,15.6,40.6,B,142,11.15672,,
132.14221,11,43.6,C,121,11.14221,,
132.1122,11.4,44,H,121,11.1122,,
130.88852,11.4,42.8,H,142,11.11148,,
141.0853,15.4,41.4,D,130,11.0853,,
145.92369,12.2,41.2,C,157,11.07631,,
144.05937,13.8,41,H,133,11.05937,,
132.00916,11.4,43.2,E,121,11.00916,,
130.99536,11.8,42.8,G,142,11.00464,,
134.02231,13.6,42.4,A,145,10.97769,,
134.97372,15.2,41,I,124,10.97372,,
131.07304,11.6,43,C,142,10.92696,,
107.89918,10.2,41,H,97,10.89918,,
140.81052,15.2,41.2,C,130,10.81052,,
134.80664,10.8,43.8,E,124,10.80664,,
131.3323,15.6,40.8,E,142,10.6677,,
140.63075,15,41.4,E,130,10.63075,,
107.61194,10.2,40.8,E,97,10.61194,,
134.55865,16,41.2,A,145,10.44135,,
20.35633,12.2,44.6,I,10,10.35633,,
137.68208,11,42.2,I,148,10.31792,,
134.22862,15.2,40.8,F,124,10.22862,,
131.19495,11.2,43.8,D,121,10.19495,,
137.15715,11.2,44.2,A,127,10.15715,,
122.86775,12.8,43.8,F,133,10.13225,,
131.95586,11.6,42.8,I,142,10.04414,,
35.969685,14,44.2,C,46,10.030315,,
143.00705,12.4,41.8,A,133,10.00705,,
0.23531912,10.2,45,E,10,9.76468088,,
111.31244,10,44.2,A,121,9.68756,,
133.66458,12,44,H,124,9.66458,,
111.374504,10.4,43.8,F,121,9.625496,,
145.4914,13,41.8,A,136,9.4914,,
136.48633,12,43.8,E,127,9.48633,,
135.53716,13.8,42.4,B,145,9.46284,,
138.60947,12.6,43.2,E,148,9.39053,,
133.32124,11.2,43.4,G,124,9.32124,,
36.702377,13.8,44.4,E,46,9.297623,,
130.28723,11.2,43.6,A,121,9.28723,,
111.7193,10,43.8,D,121,9.2807,,
138.73227,15.8,41.6,I,148,9.26773,,
145.23247,15,41.2,B,136,9.23247,,
141.80548,13.6,41.2,A,151,9.19452,,
129.87167,15.4,42,D,139,9.12833,,
135.88293,12,43.2,E,145,9.11707,,
138.97952,11,44,I,130,8.97952,,
145.03574,12,41.8,B,154,8.96426,,
100.04873,14,42.8,I,109,8.95127,,
129.91467,11,43.8,F,121,8.91467,,
130.14029,15.2,42.2,I,139,8.85971,,
126.803635,12.4,42.2,G,118,8.803635,,
142.21541,15.6,40.2,E,151,8.78459,,
133.23114,15.4,40.4,G,142,8.76886,,
144.61667,13.2,41.6,H,136,8.61667,,
37.456593,14,44,I,46,8.543407,,
129.51535,12.6,42.8,H,121,8.51535,,
118.5331,10,44.4,D,127,8.4669,,
144.4521,16,40.2,D,136,8.4521,,
141.35236,13.8,41.2,B,133,8.35236,,
151.66545,13.4,43.2,F,160,8.33455,,
1.7619927,11.6,44.4,F,10,8.2380073,,
144.19379,14.6,41,I,136,8.19379,,
105.191765,10,40.6,A,97,8.191765,,
37.889786,13.2,44.4,E,46,8.110214,,
135.08133,15,41.6,H,127,8.08133,,
135.06184,11.2,44,G,127,8.06184,,
136.94498,16,41.4,D,145,8.05502,,
109.96029,10.2,44.2,B,118,8.03971,,
134.0187,15.2,41.8,C,142,7.9813,,
134.9338,14.4,41.4,E,127,7.9338,,
131.92307,11.2,43.2,D,124,7.92307,,
131.87276,15.4,41,G,124,7.87276,,
5.1489053,11.2,44.6,G,13,7.8510947,,
143.16628,11.8,42,D,151,7.83372,,
143.7757,13.4,41.2,C,136,7.7757,,
137.2706,12.2,43.4,I,145,7.7294,,
134.64502,15,41.8,B,127,7.64502,,
131.6332,10.6,43.8,D,124,7.6332,,
134.54947,11.6,43.6,C,127,7.54947,,
146.53787,13.2,41.8,B,139,7.53787,,
137.47725,12,43.4,H,145,7.52275,,
146.49905,13,42,D,139,7.49905,,
140.54294,12.8,43.2,F,148,7.45706,,
128.58574,15,42.2,H,136,7.41426,,
134.41086,11.8,43.8,D,127,7.41086,,
149.63617,13.4,42.8,I,157,7.36383,,
137.34485,12.6,43.4,H,130,7.34485,,
38.7296,13.4,43.8,F,46,7.2704,,
134.73352,13.8,41.8,B,142,7.26648,,
146.75125,12.2,41.8,C,154,7.24875,,
131.75725,15.8,40.6,C,139,7.24275,,
38.765144,13.6,44.4,D,46,7.234856,,
140.79413,13,43.2,D,148,7.20587,,
143.843,11.8,41.8,A,151,7.157,,
131.07727,15,42,E,124,7.07727,,
149.01166,14.6,40.8,F,142,7.01166,,
146.00456,15.8,42,F,139,7.00456,,
129.04633,15,42.4,B,136,6.95367,,
22.941574,15.6,43.2,E,16,6.941574,,
22.91769,15.4,43,A,16,6.91769,,
136.90091,15,40.8,E,130,6.90091,,
130.88239,14.6,41.8,C,124,6.88239,,
150.13017,11.2,44.4,D,157,6.86983,,
9.137964,12,45,E,16,6.862036,,
130.85826,11.6,43.8,F,124,6.85826,,
132.31859,14.2,41.6,G,139,6.68141,,
130.6662,11.4,43.8,E,124,6.6662,,
103.64018,10.2,40.6,B,97,6.64018,,
3.4144056,10.4,44.8,C,10,6.5855944,,
46.534706,13,44,G,40,6.534706,,
138.49199,12.4,43.2,D,145,6.50801,,
103.48204,10.4,40.6,C,97,6.48204,,
163.47461,13.2,42.8,H,157,6.47461,,
45.62845,13,43.8,D,52,6.37155,,
136.32065,15.6,41.2,B,130,6.32065,,
144.68887,13.2,41.2,B,151,6.31113,,
153.69438,13.2,43.4,H,160,6.30562,,
133.26964,11.4,44.2,B,127,6.26964,,
25.044754,15.8,43,C,31,5.955246,,
136.06293,12.8,43,C,142,5.93707,,
133.14984,15.2,40.6,C,139,5.85016,,
129.84021,11.8,44,G,124,5.84021,,
129.6669,11.6,44,I,124,5.6669,,
136.38002,12.8,42.2,I,142,5.61998,,
153.58104,15.4,40,A,148,5.58104,,
138.5661,15.6,41.6,H,133,5.5661,,
145.43442,13.2,42.6,E,151,5.56558,,
21.484215,12.2,44.4,F,16,5.484215,,
151.53372,11.6,44.2,C,157,5.46628,,
21.438236,15.4,43.2,D,16,5.438236,,
138.43779,15.8,41.8,C,133,5.43779,,
147.3657,13.2,41.4,E,142,5.3657,,
139.63899,12.2,43.8,F,145,5.36101,,
24.310604,11.8,44.4,D,19,5.310604,,
138.3056,11.8,43.6,A,133,5.3056,,
156.2767,11.8,41.4,D,151,5.2767,,
142.72708,11.4,42,E,148,5.27292,,
138.26027,14.8,41.4,D,133,5.26027,,
40.835297,13.4,44.4,F,46,5.164703,,
40.842243,13.6,44.2,A,46,5.157757,,
138.0838,15.8,41.4,F,133,5.0838,,
135.07368,14.6,41.4,F,130,5.07368,,
142.9393,15.4,40.2,D,148,5.0607,,
141.03209,13.4,42,F,136,5.03209,,
24.005457,15.8,43.4,I,19,5.005457,,
20.9793,15.4,43.8,D,16,4.9793,,
128.14117,14.8,42.2,G,133,4.85883,,
140.15005,12.2,43.2,F,145,4.84995,,
35.171776,13.8,43.8,E,40,4.828224,,
152.81766,13.4,40.8,F,148,4.81766,,
128.8121,14.8,42.6,D,124,4.8121,,
131.78377,14.8,41.8,A,127,4.78377,,
23.220316,15.4,42.8,G,28,4.779684,,
152.25038,13,43.4,G,157,4.74962,,
134.74118,14,41.6,I,130,4.74118,,
152.26935,15.8,42.2,I,157,4.73065,,
134.71616,14.2,41.4,D,130,4.71616,,
137.31618,15.2,41.6,I,142,4.68382,,
110.380356,10.4,44.2,C,115,4.619644,,
140.61082,12.4,42,D,136,4.61082,,
155.60281,13,42.8,G,151,4.60281,,
125.59007,12.8,42.6,F,121,4.59007,,
47.41723,13.2,43.8,E,52,4.58277,,
149.4779,12.8,41.2,C,154,4.5221,,
134.50273,12.2,43.6,C,130,4.50273,,
149.46971,15.8,40,C,145,4.46971,,
143.46901,13.4,41.8,C,139,4.46901,,
23.43756,15.6,44,H,19,4.43756,,
137.61226,13.8,41.6,H,142,4.38774,,
11.670296,11.2,44.8,A,16,4.329704,,
23.28926,15.6,43.6,B,19,4.28926,,
149.72054,12.6,41.6,H,154,4.27946,,
137.2735,15.4,41.8,A,133,4.2735,,
38.78947,13.6,43.8,D,43,4.21053,,
41.807915,13.4,44.2,C,46,4.192085,,
125.88385,10.8,44,H,130,4.11615,,
125.07541,12.4,42.6,D,121,4.07541,,
11.931537,11.2,45,D,16,4.068463,,
23.021236,16,43.8,D,19,4.021236,,
140.00986,16,40.4,G,136,4.00986,,
133.95093,15.4,41.2,A,130,3.95093,,
124.90964,12.2,42.6,F,121,3.90964,,
22.884619,15.6,43.8,E,19,3.884619,,
153.13838,13.4,43,C,157,3.86162,,
147.1811,14,40.8,F,151,3.8189,,
124.807556,10,43.6,A,121,3.807556,,
150.23128,12.6,41.2,B,154,3.76872,,
157.76724,12.6,41.4,E,154,3.76724,,
42.247616,13.8,44.2,B,46,3.752384,,
43.723244,13.2,44.2,B,40,3.723244,,
130.72,14.6,41.6,I,127,3.72,,
147.29074,13.4,41,I,151,3.70926,,
138.36566,12.4,43.4,G,142,3.63434,,
123.36594,14.8,42.4,A,127,3.63406,,
132.49751,15.4,40.8,D,136,3.50249,,
150.54741,11,44.4,F,154,3.45259,,
19.438154,15.2,43,C,16,3.438154,,
129.564,15.2,42,F,133,3.436,,
147.577,13.6,42.6,D,151,3.423,,
147.60002,14.2,40.8,D,151,3.39998,,
27.604504,16,43,A,31,3.395496,,
132.60628,15.8,40.4,I,136,3.39372,,
126.63736,14.6,42.2,I,130,3.36264,,
135.65009,15,41,H,139,3.34991,,
151.26785,15.6,40,B,148,3.26785,,
12.734621,11.4,44.6,H,16,3.265379,,
135.73764,15,40.6,B,139,3.26236,,
19.23581,15.4,43.6,A,16,3.23581,,
139.21027,10.8,44.2,B,136,3.21027,,
133.18869,14.4,42,E,130,3.18869,,
175.13676,10.8,44.6,H,172,3.13676,,
139.12903,14.2,41.2,A,136,3.12903,,
12.970856,15.2,44,I,16,3.029144,,
15.9802475,15,43.4,H,19,3.0197525,,
36.986984,13,44.2,A,40,3.013016,,
145.00563,13.6,41,G,148,2.99437,,
