AZI_PRED,LON,LAT,SET
13.680832,14.2,40,A
12.74572,14.8,40,A
153.58104,15.4,40,A
145.88983,16,40,A
105.191765,10,40.6,A
107.83026,10.6,40.6,A
125.20358,11.2,40.6,A
133.24901,11.8,40.6,A
95.89385,12.4,40.6,A
80.39491,13,40.6,A
144.62729,13.6,40.6,A
151.1167,14.2,40.6,A
143.96564,14.8,40.6,A
131.78787,15.4,40.6,A
134.44298,16,40.6,A
118.28636,10,41.2,A
106.787025,10.6,41.2,A
4.9485908,11.8,41.2,A
87.746315,12.4,41.2,A
144.81381,13,41.2,A
141.80548,13.6,41.2,A
139.12903,14.2,41.2,A
139.7198,14.8,41.2,A
133.95093,15.4,41.2,A
134.55865,16,41.2,A
110.966805,10,41.8,A
116.311584,10.6,41.8,A
143.843,11.8,41.8,A
143.00705,12.4,41.8,A
145.4914,13,41.8,A
137.20981,13.6,41.8,A
127.59482,14.2,41.8,A
131.78377,14.8,41.8,A
137.2735,15.4,41.8,A
142.77347,16,41.8,A
138.90154,10.6,42.4,A
135.10724,11.2,42.4,A
126.067566,11.8,42.4,A
125.228065,12.4,42.4,A
143.26105,13,42.4,A
134.02231,13.6,42.4,A
121.11229,14.2,42.4,A
123.36594,14.8,42.4,A
124.515656,15.4,42.4,A
2.1646183,16,42.4,A
139.20819,10,43,A
132.87189,10.6,43,A
131.20142,11.2,43,A
131.83192,11.8,43,A
135.70744,12.4,43,A
143.15692,13,43,A
143.28244,13.6,43,A
64.063484,14.2,43,A
17.260998,14.8,43,A
22.91769,15.4,43,A
27.604504,16,43,A
124.807556,10,43.6,A
136.26633,10.6,43.6,A
130.28723,11.2,43.6,A
138.3056,11.8,43.6,A
135.01913,12.4,43.6,A
136.93527,13,43.6,A
32.420864,13.6,43.6,A
19.505508,14.2,43.6,A
13.767991,14.8,43.6,A
19.23581,15.4,43.6,A
20.826015,16,43.6,A
111.31244,10,44.2,A
116.26923,10.6,44.2,A
137.15715,11.2,44.2,A
15.206052,11.8,44.2,A
25.978373,12.4,44.2,A
36.986984,13,44.2,A
40.842243,13.6,44.2,A
33.208397,14.2,44.2,A
12.346952,14.8,44.2,A
23.264317,15.4,44.2,A
20.58266,16,44.2,A
9.553073,10,44.8,A
178.27623,10.6,44.8,A
11.670296,11.2,44.8,A
13.184475,11.8,44.8,A
152.08607,12.4,44.8,A
144.93414,13,44.8,A
178.96182,13.6,44.8,A
2.5256138,14.2,44.8,A
7.078196,14.8,44.8,A
4.7328334,15.4,44.8,A
18.71778,16,44.8,A
13.599912,14.4,40,B
6.566992,15,40,B
151.26785,15.6,40,B
103.64018,10.2,40.6,B
104.62637,10.8,40.6,B
92.84589,12,40.6,B
94.33609,12.6,40.6,B
1.1738201,13.2,40.6,B
160.99078,13.8,40.6,B
165.63556,14.4,40.6,B
135.73764,15,40.6,B
130.84328,15.6,40.6,B
107.378174,10.2,41.2,B
106.64348,10.8,41.2,B
132.75827,11.4,41.2,B
127.17717,12,41.2,B
150.23128,12.6,41.2,B
144.68887,13.2,41.2,B
141.35236,13.8,41.2,B
138.1642,14.4,41.2,B
145.23247,15,41.2,B
136.32065,15.6,41.2,B
108.54443,10.2,41.8,B
145.03574,12,41.8,B
147.74127,12.6,41.8,B
146.53787,13.2,41.8,B
134.73352,13.8,41.8,B
129.80276,14.4,41.8,B
134.64502,15,41.8,B
135.37093,15.6,41.8,B
137.92471,10.8,42.4,B
131.33649,11.4,42.4,B
122.09686,12,42.4,B
124.02252,12.6,42.4,B
146.54674,13.2,42.4,B
135.53716,13.8,42.4,B
122.97409,14.4,42.4,B
129.04633,15,42.4,B
146.39917,15.6,42.4,B
136.53084,10.2,43,B
130.93073,10.8,43,B
130.94354,11.4,43,B
133.51193,12,43,B
135.68907,12.6,43,B
152.5519,13.2,43,B
90.98424,13.8,43,B
17.60469,14.4,43,B
18.428387,15,43,B
24.621122,15.6,43,B
118.84806,10.2,43.6,B
134.77216,10.8,43.6,B
129.65083,11.4,43.6,B
134.15115,12,43.6,B
136.05922,12.6,43.6,B
35.16905,13.2,43.6,B
22.56585,13.8,43.6,B
14.826356,14.4,43.6,B
14.908835,15,43.6,B
23.28926,15.6,43.6,B
109.96029,10.2,44.2,B
139.21027,10.8,44.2,B
133.26964,11.4,44.2,B
20.054146,12,44.2,B
150.12027,12.6,44.2,B
43.723244,13.2,44.2,B
42.247616,13.8,44.2,B
13.846523,14.4,44.2,B
13.316286,15,44.2,B
20.48478,15.6,44.2,B
6.810248,10.2,44.8,B
171.57611,10.8,44.8,B
11.075241,11.4,44.8,B
9.044352,12,44.8,B
153.39726,12.6,44.8,B
179.31464,13.2,44.8,B
178.0174,13.8,44.8,B
3.726982,14.4,44.8,B
10.828249,15,44.8,B
8.14706,15.6,44.8,B
13.019601,14.6,40,C
163.41188,15.2,40,C
149.46971,15.8,40,C
103.48204,10.4,40.6,C
106.28808,11,40.6,C
84.87307,12.2,40.6,C
85.01669,12.8,40.6,C
158.29817,13.4,40.6,C
150.18419,14,40.6,C
154.89095,14.6,40.6,C
133.14984,15.2,40.6,C
131.75725,15.8,40.6,C
106.67336,10.4,41.2,C
104.659676,11,41.2,C
3.495581,11.6,41.2,C
145.92369,12.2,41.2,C
149.4779,12.8,41.2,C
143.7757,13.4,41.2,C
142.44366,14,41.2,C
142.1952,14.6,41.2,C
140.81052,15.2,41.2,C
133.93723,15.8,41.2,C
109.01344,10.4,41.8,C
151.51343,11.6,41.8,C
146.75125,12.2,41.8,C
149.35469,12.8,41.8,C
143.46901,13.4,41.8,C
130.67175,14,41.8,C
130.88239,14.6,41.8,C
