ID,AZI_PRED,LON,LAT,STR
grid_000007,13.680832,14.2,40,0.40559462
grid_000008,12.74572,14.8,40,0.55952764
grid_000009,153.58104,15.4,40,0.57491577
grid_000010,145.88983,16,40,0.6986437
grid_000011,105.191765,10,40.6,0.5266106
grid_000012,107.83026,10.6,40.6,0.45715198
grid_000013,125.20358,11.2,40.6,0.23071359
grid_000014,133.24901,11.8,40.6,0.07798686
grid_000015,95.89385,12.4,40.6,0.122864746
grid_000016,80.39491,13,40.6,0.13829254
grid_000017,144.62729,13.6,40.6,0.2558946
grid_000018,151.1167,14.2,40.6,0.3475498
grid_000019,143.96564,14.8,40.6,0.50529575
grid_000020,131.78787,15.4,40.6,0.70630586
grid_000021,134.44298,16,40.6,0.6569427
grid_000022,118.28636,10,41.2,0.41893256
grid_000023,106.787025,10.6,41.2,0.46187484
grid_000025,4.9485908,11.8,41.2,0.35406846
grid_000026,87.746315,12.4,41.2,0.19831006
grid_000027,144.81381,13,41.2,0.44080457
grid_000028,141.80548,13.6,41.2,0.5161677
grid_000029,139.12903,14.2,41.2,0.68161917
grid_000030,139.7198,14.8,41.2,0.6866287
grid_000031,133.95093,15.4,41.2,0.6317018
grid_000032,134.55865,16,41.2,0.5456652
grid_000033,110.966805,10,41.8,0.30236772
grid_000034,116.311584,10.6,41.8,0.23785067
grid_000036,143.843,11.8,41.8,0.34601232
grid_000037,143.00705,12.4,41.8,0.5278665
grid_000038,145.4914,13,41.8,0.66800976
grid_000039,137.20981,13.6,41.8,0.71059656
grid_000040,127.59482,14.2,41.8,0.72959024
grid_000041,131.78377,14.8,41.8,0.7431905
grid_000042,137.2735,15.4,41.8,0.66307247
grid_000043,142.77347,16,41.8,0.49023116
grid_000045,138.90154,10.6,42.4,0.22870165
grid_000046,135.10724,11.2,42.4,0.38413078
grid_000047,126.067566,11.8,42.4,0.54010797
grid_000048,125.228065,12.4,42.4,0.73138905
grid_000049,143.26105,13,42.4,0.9250285
grid_000050,134.02231,13.6,42.4,0.84368014
grid_000051,121.11229,14.2,42.4,0.52503175
grid_000052,123.36594,14.8,42.4,0.62479067
grid_000053,124.515656,15.4,42.4,0.5960707
grid_000054,2.1646183,16,42.4,0.6198865
grid_000055,139.20819,10,43,0.336447
grid_000056,132.87189,10.6,43,0.50065553
grid_000057,131.20142,11.2,43,0.6167194
grid_000058,131.83192,11.8,43,0.7038977
grid_000059,135.70744,12.4,43,0.90056944
grid_000060,143.15692,13,43,0.98609024
grid_000061,143.28244,13.6,43,0.69687253
grid_000062,64.063484,14.2,43,0.67750645
grid_000063,17.260998,14.8,43,0.7524494
grid_000064,22.91769,15.4,43,0.7608672
grid_000065,27.604504,16,43,0.72224236
grid_000066,124.807556,10,43.6,0.548207
grid_000067,136.26633,10.6,43.6,0.66236985
grid_000068,130.28723,11.2,43.6,0.789612
grid_000069,138.3056,11.8,43.6,0.8420889
grid_000070,135.01913,12.4,43.6,0.87018156
grid_000071,136.93527,13,43.6,0.7529964
grid_000072,32.420864,13.6,43.6,0.7083732
grid_000073,19.505508,14.2,43.6,0.5534924
grid_000074,13.767991,14.8,43.6,0.6012428
grid_000075,19.23581,15.4,43.6,0.6291661
grid_000076,20.826015,16,43.6,0.67346996
grid_000077,111.31244,10,44.2,0.77211577
grid_000078,116.26923,10.6,44.2,0.70670474
grid_000079,137.15715,11.2,44.2,0.78763855
grid_000080,15.206052,11.8,44.2,0.6363475
grid_000081,25.978373,12.4,44.2,0.70366764
grid_000082,36.986984,13,44.2,0.62956524
grid_000083,40.842243,13.6,44.2,0.6334771
grid_000084,33.208397,14.2,44.2,0.34428665
grid_000085,12.346952,14.8,44.2,0.3693447
grid_000086,23.264317,15.4,44.2,0.44395238
grid_000087,20.58266,16,44.2,0.60976434
grid_000088,9.553073,10,44.8,0.6744038
grid_000089,178.27623,10.6,44.8,0.7094386
grid_000090,11.670296,11.2,44.8,0.75925404
grid_000091,13.184475,11.8,44.8,0.692662
grid_000092,152.08607,12.4,44.8,0.49373275
grid_000093,144.93414,13,44.8,0.44336033
grid_000094,178.96182,13.6,44.8,0.34267804
grid_000095,2.5256138,14.2,44.8,0.5365585
grid_000096,7.078196,14.8,44.8,0.5822689
grid_000097,4.7328334,15.4,44.8,0.5795455
grid_000098,18.71778,16,44.8,0.602836
