AZI_PRED,LON,LAT,STR
13.599912,14.4,40,0.5092436
6.566992,15,40,0.48773235
151.26785,15.6,40,0.7000355
103.64018,10.2,40.6,0.5254143
104.62637,10.8,40.6,0.45714748
92.84589,12,40.6,0.10979836
94.33609,12.6,40.6,0.2035622
1.1738201,13.2,40.6,0.100761585
160.99078,13.8,40.6,0.34963426
165.63556,14.4,40.6,0.40204656
135.73764,15,40.6,0.619567
130.84328,15.6,40.6,0.7504574
107.378174,10.2,41.2,0.5206357
106.64348,10.8,41.2,0.42885557
132.75827,11.4,41.2,0.12721509
127.17717,12,41.2,0.15458302
150.23128,12.6,41.2,0.31039292
144.68887,13.2,41.2,0.44435558
141.35236,13.8,41.2,0.5639042
138.1642,14.4,41.2,0.66942745
145.23247,15,41.2,0.6243768
136.32065,15.6,41.2,0.6542226
108.54443,10.2,41.8,0.36056456
145.03574,12,41.8,0.41940254
147.74127,12.6,41.8,0.54352903
146.53787,13.2,41.8,0.6942366
134.73352,13.8,41.8,0.7049266
129.80276,14.4,41.8,0.7361158
134.64502,15,41.8,0.73830384
135.37093,15.6,41.8,0.5914155
137.92471,10.8,42.4,0.30979267
131.33649,11.4,42.4,0.44589633
122.09686,12,42.4,0.6232892
124.02252,12.6,42.4,0.799851
146.54674,13.2,42.4,0.92259264
135.53716,13.8,42.4,0.7629272
122.97409,14.4,42.4,0.5323775
129.04633,15,42.4,0.5638733
146.39917,15.6,42.4,0.51701665
136.53084,10.2,43,0.42475092
130.93073,10.8,43,0.5174799
130.94354,11.4,43,0.6415525
133.51193,12,43,0.796513
135.68907,12.6,43,0.957423
152.5519,13.2,43,0.9639133
90.98424,13.8,43,0.6325716
17.60469,14.4,43,0.48442513
18.428387,15,43,0.7714559
24.621122,15.6,43,0.75554305
118.84806,10.2,43.6,0.56293154
134.77216,10.8,43.6,0.7617408
129.65083,11.4,43.6,0.8013379
134.15115,12,43.6,0.8579346
136.05922,12.6,43.6,0.8698386
35.16905,13.2,43.6,0.6474006
22.56585,13.8,43.6,0.6608584
14.826356,14.4,43.6,0.53084874
14.908835,15,43.6,0.6393045
23.28926,15.6,43.6,0.6552539
109.96029,10.2,44.2,0.77323925
139.21027,10.8,44.2,0.69952345
133.26964,11.4,44.2,0.8079781
20.054146,12,44.2,0.79831177
150.12027,12.6,44.2,0.6616156
43.723244,13.2,44.2,0.6629985
42.247616,13.8,44.2,0.58619094
13.846523,14.4,44.2,0.28783196
13.316286,15,44.2,0.358339
20.48478,15.6,44.2,0.46652234
6.810248,10.2,44.8,0.7263009
171.57611,10.8,44.8,0.7165959
11.075241,11.4,44.8,0.7467917
9.044352,12,44.8,0.59400946
153.39726,12.6,44.8,0.37338448
179.31464,13.2,44.8,0.25967276
178.0174,13.8,44.8,0.4575419
3.726982,14.4,44.8,0.5590685
10.828249,15,44.8,0.6215434
8.14706,15.6,44.8,0.56049305
