AZI_PRED,LON,LAT,STR
13.019601,14.6,40,0.6025974
163.41188,15.2,40,0.41238976
149.46971,15.8,40,0.6964206
103.48204,10.4,40.6,0.5350818
106.28808,11,40.6,0.3741719
84.87307,12.2,40.6,0.16973655
85.01669,12.8,40.6,0.24364354
158.29817,13.4,40.6,0.19847855
150.18419,14,40.6,0.37019646
154.89095,14.6,40.6,0.44979882
133.14984,15.2,40.6,0.6705959
131.75725,15.8,40.6,0.7322553
106.67336,10.4,41.2,0.50889766
104.659676,11,41.2,0.39981282
3.495581,11.6,41.2,0.3500924
145.92369,12.2,41.2,0.20094985
149.4779,12.8,41.2,0.4120564
143.7757,13.4,41.2,0.3971043
142.44366,14,41.2,0.60249424
142.1952,14.6,41.2,0.58781
140.81052,15.2,41.2,0.6301481
133.93723,15.8,41.2,0.62222147
109.01344,10.4,41.8,0.3060377
151.51343,11.6,41.8,0.24198744
146.75125,12.2,41.8,0.4963763
149.35469,12.8,41.8,0.56494653
143.46901,13.4,41.8,0.7269191
130.67175,14,41.8,0.7451936
130.88239,14.6,41.8,0.77852535
134.0187,15.2,41.8,0.7195213
138.43779,15.8,41.8,0.5589239
140.2408,10.4,42.4,0.1449841
139.51315,11,42.4,0.32573116
128.56367,11.6,42.4,0.4618923
123.765205,12.2,42.4,0.68808496
130.05603,12.8,42.4,0.8347443
142.22574,13.4,42.4,0.8997161
127.69692,14,42.4,0.7116633
122.269196,14.6,42.4,0.5842271
129.38342,15.2,42.4,0.56807464
169.81453,15.8,42.4,0.5558752
135.83722,10.4,43,0.4835031
128.8143,11,43,0.53605217
131.07304,11.6,43,0.6348678
134.16806,12.2,43,0.8450965
136.06293,12.8,43,1.0178049
153.13838,13.4,43,0.93388516
76.07641,14,43,0.7764791
17.844288,14.6,43,0.67465264
19.438154,15.2,43,0.76529145
25.044754,15.8,43,0.75583893
135.01706,10.4,43.6,0.6126305
132.14221,11,43.6,0.7530972
134.54947,11.6,43.6,0.82661265
134.50273,12.2,43.6,0.85138357
145.5903,12.8,43.6,0.8336012
37.742035,13.4,43.6,0.7383059
25.254795,14,43.6,0.6237483
13.504504,14.6,43.6,0.5073509
16.21884,15.2,43.6,0.6251923
21.160559,15.8,43.6,0.6739652
110.380356,10.4,44.2,0.8015597
147.4971,11,44.2,0.7258236
151.53372,11.6,44.2,0.6677328
30.662966,12.2,44.2,0.570758
19.597195,12.8,44.2,0.5973739
41.807915,13.4,44.2,0.61687803
35.969685,14,44.2,0.5057317
12.481841,14.6,44.2,0.35699004
18.369862,15.2,44.2,0.40120384
24.542723,15.8,44.2,0.5691024
3.4144056,10.4,44.8,0.672171
1.1614852,11,44.8,0.7240815
12.474693,11.6,44.8,0.72046727
8.481348,12.2,44.8,0.59883744
135.93942,12.8,44.8,0.54601085
12.308777,13.4,44.8,0.3632912
1.903355,14,44.8,0.5109458
6.6921997,14.6,44.8,0.55749315
9.715812,15.2,44.8,0.59679186
12.664167,15.8,44.8,0.5554157
