AZI_PRED,LON,LAT,STR
114.21251,10,40.2,0.27718326
117.73653,10.6,40.2,0.3115734
56.72611,12.4,40.2,0.085048266
14.733383,14.2,40.2,0.19606027
150.6044,14.8,40.2,0.26781806
142.9393,15.4,40.2,0.57548434
144.4521,16,40.2,0.7091942
108.51702,10,40.8,0.50490934
110.62543,10.6,40.8,0.44916046
117.50014,11.2,40.8,0.23602751
148.17122,11.8,40.8,0.06464822
81.991974,12.4,40.8,0.16727759
81.59814,13,40.8,0.19393168
149.84297,13.6,40.8,0.33357525
147.60002,14.2,40.8,0.5352459
142.61139,14.8,40.8,0.5184929
132.49751,15.4,40.8,0.6837903
129.43509,16,40.8,0.64927745
119.37153,10,41.4,0.38264647
105.74878,10.6,41.4,0.43826786
156.2767,11.8,41.4,0.2531468
151.43985,12.4,41.4,0.40824127
149.3193,13,41.4,0.5377045
144.36975,13.6,41.4,0.64699185
134.71616,14.2,41.4,0.70938706
138.26027,14.8,41.4,0.7114286
141.0853,15.4,41.4,0.6179247
136.94498,16,41.4,0.5165736
123.43777,10,42,0.21869344
143.16628,11.8,42,0.37473595
140.61082,12.4,42,0.5280575
146.49905,13,42,0.74682635
136.62085,13.6,42,0.7952543
128.61668,14.2,42,0.68315125
127.54146,14.8,42,0.7186438
129.87167,15.4,42,0.63385767
159.70695,16,42,0.5276742
136.58014,10,42.6,0.1558167
137.00381,10.6,42.6,0.1992755
129.48093,11.2,42.6,0.47673842
128.02838,11.8,42.6,0.6118149
125.07541,12.4,42.6,0.8448643
144.11345,13,42.6,0.96263766
147.577,13.6,42.6,0.88578224
101.74955,14.2,42.6,0.6012913
128.8121,14.8,42.6,0.35525614
7.853604,15.4,42.6,0.40114203
6.862813,16,42.6,0.5618808
136.46301,10,43.2,0.38651523
130.94844,10.6,43.2,0.57704014
131.92307,11.2,43.2,0.6876786
134.0614,11.8,43.2,0.7154658
138.49199,12.4,43.2,0.8918321
140.79413,13,43.2,0.9541544
7.203937,13.6,43.2,0.7566649
27.277815,14.2,43.2,0.5599732
16.955317,14.8,43.2,0.7474809
21.438236,15.4,43.2,0.759544
22.769335,16,43.2,0.6737139
111.7193,10,43.8,0.679471
131.6332,10.6,43.8,0.6999167
131.19495,11.2,43.8,0.8192643
134.41086,11.8,43.8,0.85445446
137.8341,12.4,43.8,0.8367712
45.62845,13,43.8,0.667437
38.78947,13.6,43.8,0.67760587
27.463722,14.2,43.8,0.5558713
13.988226,14.8,43.8,0.4449867
20.9793,15.4,43.8,0.5062859
23.021236,16,43.8,0.6574614
118.5331,10,44.4,0.7526746
152.40054,10.6,44.4,0.6791233
150.13017,11.2,44.4,0.6943855
24.310604,11.8,44.4,0.7615963
27.952393,12.4,44.4,0.57800275
20.582586,13,44.4,0.47894338
38.765144,13.6,44.4,0.50313485
2.0532823,14.2,44.4,0.35041252
6.309031,14.8,44.4,0.3539139
17.594942,15.4,44.4,0.45390373
19.551653,16,44.4,0.549227
5.3666415,10,45,0.6672788
171.79807,10.6,45,0.70235795
11.931537,11.2,45,0.7211321
3.1975496,11.8,45,0.61051315
167.61888,12.4,45,0.308623
162.6665,13,45,0.29399565
4.31963,13.6,45,0.4754794
6.862757,14.2,45,0.57255906
8.658463,14.8,45,0.57694083
4.7455,15.4,45,0.57356066
16.724968,16,45,0.70522964
