AZI_PRED,LON,LAT,STR
109.9709,10.4,40.2,0.29844594
56.64992,12.8,40.2,0.12341213
166.79276,14.6,40.2,0.20590976
143.91785,15.2,40.2,0.5469223
140.76355,15.8,40.2,0.7183284
106.71272,10.4,40.8,0.5007793
106.33606,11,40.8,0.3811283
128.09186,11.6,40.8,0.08789511
73.89662,12.2,40.8,0.11871809
80.327965,12.8,40.8,0.27489316
152.81766,13.4,40.8,0.30248457
147.1811,14,40.8,0.52080166
149.01166,14.6,40.8,0.54852116
134.22862,15.2,40.8,0.6939355
131.25671,15.8,40.8,0.69853604
107.884674,10.4,41.4,0.42001516
108.18283,11,41.4,0.3070569
5.607251,11.6,41.4,0.39325982
153.57625,12.2,41.4,0.32435286
153.48512,12.8,41.4,0.48387706
142.36703,13.4,41.4,0.60302645
135.51793,14,41.4,0.6813085
135.07368,14.6,41.4,0.6840023
139.23843,15.2,41.4,0.63084114
138.0838,15.8,41.4,0.56980366
123.61449,10.4,42,0.16650988
146.63718,11.6,42,0.31197605
148.49503,12.2,42,0.4940149
141.30086,12.8,42,0.67309064
141.03209,13.4,42,0.8163886
133.80844,14,42,0.7142298
130.6776,14.6,42,0.69892967
129.564,15.2,42,0.6813547
146.00456,15.8,42,0.5838363
138.50046,10.4,42.6,0.2809974
135.11407,11,42.6,0.44290096
128.60068,11.6,42.6,0.5553864
124.90964,12.2,42.6,0.764397
125.59007,12.8,42.6,0.9108782
150.33945,13.4,42.6,0.93936634
117.65953,14,42.6,0.604988
122.09238,14.6,42.6,0.5523298
179.94441,15.2,42.6,0.2604425
0.8545045,15.8,42.6,0.56391764
133.91858,10.4,43.2,0.57111466
133.5221,11,43.2,0.6166996
133.0986,11.6,43.2,0.6504954
140.15005,12.2,43.2,0.8629687
140.54294,12.8,43.2,0.9484831
151.66545,13.4,43.2,0.86627173
38.210228,14,43.2,0.64089453
15.50775,14.6,43.2,0.67316794
18.479998,15.2,43.2,0.7563849
23.024813,15.8,43.2,0.7339735
111.374504,10.4,43.8,0.7265058
129.91467,11,43.8,0.8037917
130.85826,11.6,43.8,0.8783062
139.63899,12.2,43.8,0.85127574
122.86775,12.8,43.8,0.67019826
38.7296,13.4,43.8,0.65641546
30.343481,14,43.8,0.6187303
11.284975,14.6,43.8,0.4265328
17.975824,15.2,43.8,0.48999196
21.559797,15.8,43.8,0.6359924
105.99649,10.4,44.4,0.65795106
150.54741,11,44.4,0.7174484
1.7619927,11.6,44.4,0.6253559
21.484215,12.2,44.4,0.7334151
138.47964,12.8,44.4,0.6374998
40.835297,13.4,44.4,0.5812728
27.352135,14,44.4,0.39370862
5.629084,14.6,44.4,0.3922971
10.838803,15.2,44.4,0.4553736
19.676674,15.8,44.4,0.52736753
175.3226,10.4,45,0.6512405
4.8406715,11,45,0.72358656
10.6678505,11.6,45,0.695542
4.494707,12.2,45,0.50289494
161.50766,12.8,45,0.39023906
4.05425,13.4,45,0.40943223
7.4714513,14,45,0.5589867
8.263688,14.6,45,0.60895383
10.5376,15.2,45,0.5815805
12.433287,15.8,45,0.6781633
