AZI_PRED,LON,LAT,STR
105.046135,10,40.4,0.43831006
107.93471,10.6,40.4,0.3931182
92.063896,12.4,40.4,0.10656362
56.107338,13,40.4,0.10034589
0.79911876,14.2,40.4,0.27181354
130.01843,14.8,40.4,0.45707974
133.23114,15.4,40.4,0.6939414
140.00986,16,40.4,0.6871574
108.49767,10,41,0.5046205
109.90454,10.6,41,0.42688432
115.224304,11.2,41,0.22424921
158.58673,11.8,41,0.124755666
79.52097,12.4,41,0.17356038
135.42986,13,41,0.20294754
145.00563,13.6,41,0.5421411
144.0687,14.2,41,0.6170246
141.84503,14.8,41,0.64142984
131.87276,15.4,41,0.6605059
135.17667,16,41,0.5948866
104.81178,10,41.6,0.44181013
107.668465,10.6,41.6,0.3112209
150.57852,11.8,41.6,0.30774
144.25488,12.4,41.6,0.47164023
150.5448,13,41.6,0.5836819
140.96048,13.6,41.6,0.6394934
132.31859,14.2,41.6,0.73471135
131.76123,14.8,41.6,0.7438346
136.4886,15.4,41.6,0.64726603
136.23265,16,41.6,0.5564099
133.85965,11.2,42.2,0.25088537
132.29123,11.8,42.2,0.45730874
126.803635,12.4,42.2,0.5602777
139.60767,13,42.2,0.7922456
139.96202,13.6,42.2,0.85759103
132.0711,14.2,42.2,0.5342247
128.14117,14.8,42.2,0.65147114
124.243835,15.4,42.2,0.6644842
0.14383143,16,42.2,0.6283275
142.14369,10,42.8,0.26885808
135.63014,10.6,42.8,0.4375434
130.46825,11.2,42.8,0.54207176
130.99536,11.8,42.8,0.6451409
129.63763,12.4,42.8,0.8727642
155.60281,13,42.8,0.94365156
147.61566,13.6,42.8,0.88662004
72.64781,14.2,42.8,0.710475
18.20189,14.8,42.8,0.7108368
23.220316,15.4,42.8,0.7352263
26.380436,16,42.8,0.6584474
141.4348,10,43.4,0.43274873
134.3565,10.6,43.4,0.63213116
133.32124,11.2,43.4,0.70877516
135.97273,11.8,43.4,0.7704355
138.36566,12.4,43.4,0.91251403
152.25038,13,43.4,0.8227545
22.896902,13.6,43.4,0.6914869
18.245935,14.2,43.4,0.54370433
15.857136,14.8,43.4,0.67569304
19.86079,15.4,43.4,0.6716876
21.063679,16,43.4,0.67952466
109.20629,10,44,0.75470984
112.14375,10.6,44,0.6192498
135.06184,11.2,44,0.8007021
129.84021,11.8,44,0.84928304
116.5031,12.4,44,0.68280065
46.534706,13,44,0.6978353
43.26057,13.6,44,0.6506437
27.105396,14.2,44,0.40675858
14.214445,14.8,44,0.33794492
20.16861,15.4,44,0.42580134
24.091305,16,44,0.61465776
4.70932,10,44.6,0.6961074
173.62349,10.6,44.6,0.7275351
5.1489053,11.2,44.6,0.7535332
20.73548,11.8,44.6,0.7398393
14.927774,12.4,44.6,0.6397402
125.92859,13,44.6,0.46375594
26.399511,13.6,44.6,0.46410728
0.6929148,14.2,44.6,0.55671173
9.286302,14.8,44.6,0.54005766
7.343464,15.4,44.6,0.54919124
20.761276,16,44.6,0.5439375
