AZI_PRED,LON,LAT,STR
104.1957,10.2,40.4,0.45759952
108.69249,10.8,40.4,0.37031126
8.242638,12,40.4,0.079928614
76.28769,12.6,40.4,0.09460891
26.985128,13.2,40.4,0.07828879
167.2745,14.4,40.4,0.2649108
126.65784,15,40.4,0.63302785
135.00723,15.6,40.4,0.70965993
107.89918,10.2,41,0.50390464
105.322556,10.8,41,0.42850542
147.48686,12,41,0.09592565
53.161297,12.6,41,0.172938
146.17715,13.2,41,0.37102944
144.05937,13.8,41,0.53950036
145.06293,14.4,41,0.6184468
135.65009,15,41,0.6485389
132.98721,15.6,41,0.6779716
104.248924,10.2,41.6,0.46845543
109.39814,10.8,41.6,0.33312967
159.74889,11.4,41.6,0.15082231
149.70161,12,41.6,0.37101963
149.72054,12.6,41.6,0.5015762
144.61667,13.2,41.6,0.6422634
137.61226,13.8,41.6,0.68806934
129.7262,14.4,41.6,0.76805377
135.08133,15,41.6,0.6977195
138.5661,15.6,41.6,0.6256628
136.43546,10.8,42.2,0.13627413
132.05621,11.4,42.2,0.28465804
127.58021,12,42.2,0.5010763
138.7954,12.6,42.2,0.5743069
147.91443,13.2,42.2,0.82908505
137.6187,13.8,42.2,0.8239299
127.80144,14.4,42.2,0.6647515
128.58574,15,42.2,0.68340164
133.2894,15.6,42.2,0.61782247
139.02124,10.2,42.8,0.32951686
131.73378,10.8,42.8,0.46246797
130.88852,11.4,42.8,0.5151368
129.30603,12,42.8,0.70164233
129.51535,12.6,42.8,0.89969254
163.47461,13.2,42.8,0.8774631
146.52083,13.8,42.8,0.67246276
33.327976,14.4,42.8,0.33579215
18.456564,15,42.8,0.7456655
25.008461,15.6,42.8,0.7632225
136.83441,10.2,43.4,0.51830286
133.14388,10.8,43.4,0.6895532
130.27887,11.4,43.4,0.76054835
137.47725,12,43.4,0.8366288
137.34485,12.6,43.4,0.8918958
153.69438,13.2,43.4,0.8497236
23.566702,13.8,43.4,0.6704236
17.28654,14.4,43.4,0.52263516
15.9802475,15,43.4,0.71722096
22.655628,15.6,43.4,0.7206714
106.54032,10.2,44,0.7623964
125.88385,10.8,44,0.7781949
132.1122,11.4,44,0.82321525
133.66458,12,44,0.82980734
114.68036,12.6,44,0.69593084
44.274593,13.2,44,0.6587311
45.82661,13.8,44,0.64556015
23.400713,14.4,44,0.4534559
14.940983,15,44,0.4088821
23.43756,15.6,44,0.55615354
179.12955,10.2,44.6,0.66773695
175.13676,10.8,44.6,0.7331791
12.734621,11.4,44.6,0.76586986
22.078491,12,44.6,0.76946104
117.34274,12.6,44.6,0.61466134
21.231377,13.2,44.6,0.4471666
10.737721,13.8,44.6,0.44842654
4.3651695,14.4,44.6,0.55162925
8.970701,15,44.6,0.58244574
11.840104,15.6,44.6,0.54146826
