LON,LAT,REGIME
1,41.5,TF
4,40,TF
2.5,40,NF
1,40,TF
8.5,37,TF
5.5,37,TF
5.5,38.5,SS
7,37,SS
1,35.5,NF
2.5,37,TF
2.5,35.5,SS
1,37,TF
4,37,TF
1,38.5,TF
4,38.5,TF
2.5,38.5,TF
10,35.5,NF
8.5,35.5,TF
5.5,35.5,SS
7,35.5,TF
4,35.5,SS
29.5,35.5,NF
32.5,35.5,NF
31,35.5,NF
31,37,NF
29.5,37,NF
22,44.5,TF
25,43,TF
22,43,NF
23.5,43,NF
23.5,44.5,NF
20.5,38.5,SS
20.5,40,NF
23.5,40,NF
22,40,NF
28,40,NF
26.5,41.5,NF
26.5,40,NF
25,40,SS
25,41.5,TF
22,41.5,NF
23.5,41.5,NF
20.5,37,TF
22,35.5,SS
19,35.5,SS
20.5,35.5,TF
22,38.5,NF
23.5,38.5,NF
23.5,35.5,NF
23.5,37,NF
22,37,NF
29.5,38.5,NF
28,38.5,NF
28,37,NF
26.5,38.5,NF
28,35.5,TF
26.5,35.5,NF
26.5,37,NF
25,38.5,NF
25,35.5,SS
25,37,NF
4,56.5,TF
2.5,55,TF
1,55,TF
1,56.5,TF
2.5,56.5,TF
5.5,52,NF
4,52,TF
1,53.5,TF
1,52,NF
2.5,52,TF
10,53.5,TF
7,52,TF
7,53.5,TF
7,55,TF
8.5,53.5,TF
5.5,53.5,NF
4,55,TF
5.5,55,TF
2.5,53.5,TF
4,53.5,TF
20.5,47.5,TF
17.5,46,TF
17.5,47.5,NF
19,47.5,TF
11.5,46,TF
13,47.5,NF
11.5,47.5,TF
16,46,TF
14.5,46,TF
13,46,TF
13,52,NF
16,50.5,TF
13,50.5,SS
14.5,50.5,NF
13,49,NF
14.5,49,TF
17.5,49,NF
16,49,TF
16,47.5,NF
14.5,47.5,TF
1,43,NF
2.5,44.5,SS
1,44.5,NF
8.5,44.5,NF
8.5,46,NF
5.5,44.5,NF
7,44.5,TF
7,46,NF
1,49,TF
4,47.5,TF
1,47.5,TF
2.5,47.5,TF
2.5,49,TF
5.5,47.5,TF
5.5,46,TF
1,46,TF
2.5,46,TF
4,44.5,NF
4,46,NF
10,46,NF
7,47.5,NF
8.5,47.5,NF
10,47.5,TF
1,50.5,NF
2.5,50.5,TF
5.5,50.5,TF
5.5,49,NF
4,49,SS
4,50.5,TF
11.5,52,TF
8.5,52,NF
10,50.5,TF
11.5,50.5,NF
10,52,NF
8.5,50.5,TF
7,50.5,NF
11.5,49,SS
10,49,TF
7,49,TF
8.5,49,TF
22,46,TF
20.5,46,NF
19,46,TF
20.5,43,NF
19,44.5,TF
20.5,44.5,SS
19,40,TF
16,41.5,TF
17.5,41.5,TF
20.5,41.5,NF
19,41.5,TF
13,44.5,SS
14.5,43,TF
16,44.5,NF
14.5,44.5,TF
16,43,TF
17.5,44.5,TF
19,43,TF
17.5,43,TF
2.5,41.5,SS
2.5,43,TF
4,43,TF
4,41.5,TF
8.5,38.5,TF
8.5,40,SS
7,40,TF
7,38.5,SS
10,44.5,NF
10,41.5,TF
7,43,TF
10,43,TF
8.5,43,TF
8.5,41.5,NF
5.5,43,NF
5.5,40,TF
5.5,41.5,TF
7,41.5,TF
11.5,35.5,TF
11.5,37,NF
13,37,TF
13,35.5,TF
19,37,SS
16,37,TF
17.5,35.5,TF
17.5,37,TF
14.5,37,TF
14.5,35.5,NF
16,35.5,TF
10,37,TF
10,38.5,TF
10,40,SS
13,38.5,TF
11.5,38.5,TF
19,38.5,SS
17.5,38.5,TF
16,40,NF
16,38.5,TF
17.5,40,TF
11.5,44.5,NF
13,41.5,TF
11.5,41.5,TF
11.5,43,NF
13,43,NF
14.5,41.5,TF
11.5,40,TF
14.5,38.5,TF
14.5,40,TF
13,40,TF
41.5,38.5,TF
43,35.5,NF
41.5,35.5,SS
43,37,SS
40,35.5,NF
41.5,37,TF
43,40,NF
44.5,41.5,TF
44.5,40,TF
43,38.5,TF
44.5,37,NF
44.5,38.5,TF
44.5,35.5,NF
34,35.5,TF
35.5,35.5,TF
37,35.5,TF
40,38.5,TF
37,38.5,NF
38.5,37,NF
40,37,NF
38.5,38.5,NF
31,38.5,NF
34,38.5,SS
34,37,NF
32.5,37,NF
32.5,38.5,NF
35.5,38.5,NF
37,37,NF
35.5,37,NF
23.5,46,NF
25,46,NF
26.5,44.5,NF
25,44.5,SS
28,46,SS
26.5,46,NF
32.5,44.5,NF
31,46,NF
32.5,46,TF
29.5,40,NF
32.5,43,TF
31,43,TF
28,41.5,TF
29.5,43,SS
31,41.5,TF
29.5,41.5,SS
31,44.5,TF
26.5,43,TF
28,44.5,TF
28,43,TF
29.5,46,TF
29.5,44.5,TF
40,44.5,TF
38.5,44.5,TF
40,43,TF
41.5,43,TF
43,43,TF
43,41.5,TF
41.5,41.5,NF
44.5,43,SS
44.5,44.5,TF
41.5,44.5,NF
43,44.5,TF
37,44.5,TF
35.5,44.5,TF
41.5,40,TF
40,40,SS
37,40,SS
38.5,40,TF
38.5,41.5,NF
40,41.5,NF
31,40,TF
35.5,40,SS
34,40,TF
34,41.5,SS
32.5,41.5,TF
32.5,40,NF
34,43,TF
35.5,43,TF
38.5,43,TF
37,43,TF
37,41.5,SS
35.5,41.5,TF
7,58,TF
5.5,56.5,TF
5.5,58,TF
4,58,TF
11.5,53.5,TF
13,55,TF
11.5,56.5,TF
13,56.5,TF
10,56.5,TF
10,55,NF
8.5,55,SS
11.5,55,SS
14.5,58,NF
13,58,TF
11.5,58,TF
7,56.5,TF
8.5,56.5,TF
8.5,58,TF
10,58,SS
22,47.5,TF
19,49,TF
20.5,49,NF
23.5,50.5,NF
23.5,49,NF
22,49,TF
22,53.5,TF
23.5,52,TF
25,52,TF
14.5,52,TF
16,53.5,NF
19,53.5,TF
17.5,53.5,TF
17.5,50.5,NF
17.5,52,TF
16,52,NF
20.5,53.5,TF
19,52,NF
20.5,50.5,TF
19,50.5,NF
22,50.5,NF
22,52,NF
20.5,52,TF
20.5,55,SS
22,55,SS
13,53.5,TF
14.5,53.5,TF
14.5,56.5,NF
16,56.5,TF
17.5,55,TF
14.5,55,NF
16,55,TF
16,58,NF
17.5,58,SS
17.5,56.5,TF
19,58,NF
20.5,58,NF
19,55,TF
20.5,56.5,TF
19,56.5,TF
23.5,47.5,SS
25,50.5,NF
26.5,49,TF
25,49,TF
28,47.5,TF
26.5,47.5,NF
25,47.5,NF
29.5,47.5,TF
28,49,SS
-0.5,41.5,SS
-0.5,40,NF
-3.5,40,TF
-2,40,NF
-8,37,TF
-5,37,TF
-5,38.5,NF
-6.5,38.5,NF
-6.5,37,NF
-0.5,35.5,NF
-3.5,35.5,NF
-0.5,37,SS
-2,37,NF
-2,35.5,NF
-3.5,37,NF
-0.5,38.5,NF
-2,38.5,TF
-3.5,38.5,SS
-11,35.5,SS
-9.5,35.5,SS
-5,35.5,NF
-6.5,35.5,TF
-8,35.5,SS
-0.5,56.5,TF
-3.5,56.5,TF
-0.5,55,NF
-2,55,TF
-2,56.5,SS
-0.5,50.5,NF
-0.5,52,TF
-5,52,TF
-3.5,52,TF
-0.5,53.5,NF
-2,53.5,TF
-2,52,SS
-6.5,52,TF
-6.5,53.5,NF
-8,55,NF
-8,53.5,NF
-9.5,53.5,NF
-6.5,55,TF
-5,55,NF
-3.5,55,NF
-3.5,53.5,TF
-5,53.5,SS
-0.5,43,TF
-2,43,TF
-0.5,46,NF
-3.5,44.5,TF
-2,44.5,TF
-0.5,44.5,TF
-6.5,44.5,SS
-6.5,46,TF
-8,44.5,NF
-0.5,49,TF
-2,49,SS
-3.5,47.5,TF
-0.5,47.5,TF
-2,47.5,TF
-5,47.5,NF
-2,46,TF
-5,44.5,TF
-5,46,TF
-3.5,46,SS
-6.5,47.5,SS
-2,50.5,TF
-5,50.5,NF
-3.5,49,TF
-5,49,TF
-3.5,50.5,NF
-8,52,SS
-9.5,52,TF
-6.5,50.5,TF
-8,50.5,TF
-6.5,49,SS
-2,41.5,NF
-5,43,TF
-3.5,43,TF
-5,41.5,TF
-3.5,41.5,SS
-9.5,38.5,NF
-8,40,NF
-9.5,40,TF
-6.5,40,TF
-8,38.5,NF
-9.5,44.5,SS
-9.5,41.5,NF
-8,43,TF
-9.5,43,TF
-8,41.5,TF
-6.5,43,NF
-5,40,TF
-6.5,41.5,TF
-11,37,TF
-9.5,37,TF
-11,40,TF
-11,38.5,TF
-11,44.5,TF
-11,43,TF
-11,41.5,SS
-6.5,56.5,TF
-5,56.5,NF
