LON,LAT,REGIME
34.5,42.5,TF
-3.5,44.5,TF
32.5,46.5,NF
-0.5,41.5,SS
43.5,39.5,TF
19.5,53.5,TF
1.5,55.5,TF
0.5,55.5,TF
22.5,50.5,NF
-5.5,48.5,TF
18.5,54.5,TF
12.5,54.5,NF
15.5,43.5,TF
11.5,42.5,TF
21.5,44.5,TF
4.5,53.5,TF
26.5,37.5,NF
-3.5,52.5,NF
41.5,39.5,SS
3.5,56.5,TF
-9.5,38.5,NF
18.5,47.5,NF
40.5,40.5,NF
10.5,46.5,TF
5.5,50.5,TF
8.5,43.5,NF
25.5,38.5,NF
2.5,53.5,TF
11.5,46.5,NF
13.5,37.5,TF
9.5,45.5,TF
13.5,35.5,SS
28.5,47.5,TF
18.5,56.5,TF
-3.5,47.5,TF
43.5,55.5,TF
-1.5,45.5,TF
26.5,35.5,NF
36.5,40.5,SS
5.5,43.5,TF
25.5,50.5,NF
-3.5,41.5,SS
20.5,51.5,TF
-5.5,47.5,NF
14.5,49.5,TF
38.5,42.5,SS
-4.5,46.5,SS
18.5,58.5,NF
-6.5,37.5,NF
-1.5,46.5,TF
32.5,39.5,NF
-5.5,55.5,TF
-2.5,52.5,NF
6.5,39.5,SS
-9.5,41.5,NF
39.5,36.5,NF
4.5,46.5,TF
-0.5,38.5,NF
10.5,38.5,TF
44.5,37.5,NF
22.5,38.5,NF
20.5,49.5,NF
14.5,47.5,TF
-7.5,54.5,NF
36.5,44.5,TF
11.5,55.5,SS
4.5,42.5,TF
-5.5,42.5,NF
-4.5,56.5,SS
15.5,48.5,TF
-8.5,42.5,NF
11.5,57.5,TF
10.5,49.5,TF
44.5,55.5,TF
6.5,41.5,TF
-5.5,44.5,TF
14.5,52.5,TF
16.5,45.5,TF
3.5,47.5,TF
14.5,54.5,TF
34.5,40.5,TF
31.5,41.5,NF
9.5,48.5,TF
3.5,41.5,TF
9.5,39.5,TF
13.5,48.5,TF
-4.5,41.5,NF
-0.5,36.5,SS
12.5,39.5,TF
15.5,42.5,TF
40.5,37.5,SS
