ID,LON,LAT,DEPTH,DIST,PLATE,QUALITY,REGIME,AZI,geometry
grid_000000,1.5,41.5,0.0,546.5036916517349,EU,C,NF,,POINT (1.5 41.5)
grid_000001,0.5,41.5,0.0,569.1921485884579,EU,C,TF,,POINT (0.5 41.5)
grid_000002,1.5,39.5,0.0,333.0629291809682,EU,C,SS,,POINT (1.5 39.5)
grid_000003,0.5,39.5,0.0,359.95306692326153,EU,C,TF,,POINT (0.5 39.5)
grid_000005,2.5,40.5,0.0,414.2041043409998,EU,C,TF,,POINT (2.5 40.5)
grid_000006,3.5,40.5,0.0,398.9123252079662,EU,C,TF,,POINT (3.5 40.5)
grid_000007,0.5,40.5,0.0,464.3213710406165,EU,C,TF,,POINT (0.5 40.5)
grid_000008,1.5,40.5,0.0,439.7602985697501,EU,C,NF,,POINT (1.5 40.5)
grid_000009,7.5,37.5,0.0,17.861338915481653,EU,C,SS,,POINT (7.5 37.5)
grid_000010,7.5,36.5,0.0,92.80627795050667,AF,C,TF,,POINT (7.5 36.5)
grid_000011,6.5,36.5,0.0,82.30925305677621,AF,C,TF,,POINT (6.5 36.5)
grid_000012,5.5,36.5,0.0,67.69010081559806,AF,C,TF,,POINT (5.5 36.5)
grid_000015,5.5,37.5,0.0,42.72889617122843,EU,C,SS,,POINT (5.5 37.5)
grid_000016,6.5,37.5,0.0,25.55885128367628,EU,C,SS,,POINT (6.5 37.5)
grid_000017,1.5,35.5,0.0,89.43889777730564,AF,C,NF,,POINT (1.5 35.5)
grid_000018,0.5,35.5,0.0,56.41904845633465,AF,C,NF,,POINT (0.5 35.5)
grid_000019,3.5,35.5,0.0,145.6209428241876,AF,C,SS,,POINT (3.5 35.5)
grid_000020,2.5,36.5,0.0,13.14046560230996,AF,C,NF,,POINT (2.5 36.5)
grid_000021,2.5,35.5,0.0,120.40745263432616,AF,C,SS,,POINT (2.5 35.5)
grid_000022,1.5,37.5,0.0,119.23924640719848,EU,C,TF,,POINT (1.5 37.5)
grid_000023,0.5,37.5,0.0,151.9959778101722,EU,C,TF,,POINT (0.5 37.5)
grid_000024,0.5,36.5,0.0,50.03000193299462,EU,C,TF,,POINT (0.5 36.5)
grid_000025,1.5,36.5,0.0,14.664258731096401,EU,C,TF,,POINT (1.5 36.5)
grid_000026,4.5,36.5,0.0,54.45853952045319,AF,C,TF,,POINT (4.5 36.5)
grid_000027,4.5,37.5,0.0,55.20546549935068,EU,C,TF,,POINT (4.5 37.5)
grid_000028,3.5,36.5,0.0,38.69775731779253,AF,C,TF,,POINT (3.5 36.5)
grid_000029,0.5,38.5,0.0,254.81006646352878,EU,C,SS,,POINT (0.5 38.5)
grid_000030,1.5,38.5,0.0,225.54936820311832,EU,C,NF,,POINT (1.5 38.5)
grid_000032,3.5,38.5,0.0,179.8846330039219,EU,C,TF,,POINT (3.5 38.5)
grid_000033,4.5,38.5,0.0,164.8715218000985,EU,C,TF,,POINT (4.5 38.5)
grid_000034,2.5,38.5,0.0,200.60313994250114,EU,C,TF,,POINT (2.5 38.5)
grid_000035,2.5,37.5,0.0,93.74867856184801,EU,C,TF,,POINT (2.5 37.5)
grid_000036,3.5,37.5,0.0,70.37040518491217,EU,C,TF,,POINT (3.5 37.5)
grid_000037,9.5,36.5,0.0,157.1745496780027,AF,C,TF,,POINT (9.5 36.5)
grid_000038,10.5,35.5,0.0,301.5207757700053,AF,C,TF,,POINT (10.5 35.5)
grid_000039,9.5,35.5,0.0,244.7621792162064,AF,C,SS,,POINT (9.5 35.5)
grid_000040,8.5,36.5,0.0,109.38701270249233,AF,A,TF,,POINT (8.5 36.5)
grid_000041,8.5,35.5,0.0,216.41094457065793,AF,C,TF,,POINT (8.5 35.5)
grid_000042,5.5,35.5,0.0,178.0973816602553,AF,C,SS,,POINT (5.5 35.5)
grid_000043,6.5,35.5,0.0,190.1979855123289,AF,C,TF,,POINT (6.5 35.5)
grid_000044,7.5,35.5,0.0,203.45907768210938,AF,C,TF,,POINT (7.5 35.5)
grid_000045,4.5,35.5,0.0,164.12031184551367,AF,C,SS,,POINT (4.5 35.5)
grid_000046,30.5,38.5,0.0,211.55191503419664,AT,C,NF,,POINT (30.5 38.5)
grid_000047,30.5,37.5,0.0,202.40312995522186,AT,C,NF,,POINT (30.5 37.5)
grid_000048,29.5,37.5,0.0,114.26431981876564,AT,C,NF,,POINT (29.5 37.5)
grid_000049,28.5,35.5,0.0,32.4274445534008,AS,C,NF,,POINT (28.5 35.5)
grid_000050,30.5,35.5,0.0,44.82392846217413,AT,C,NF,,POINT (30.5 35.5)
grid_000051,29.5,35.5,0.0,8.225152438582791,AS,C,NF,,POINT (29.5 35.5)
grid_000052,29.5,36.5,0.0,62.193969099798416,AT,C,NF,,POINT (29.5 36.5)
grid_000053,32.5,35.5,0.0,116.57234692090951,AT,C,NF,,POINT (32.5 35.5)
grid_000054,31.5,35.5,0.0,78.0102914439344,AT,C,NF,,POINT (31.5 35.5)
grid_000055,31.5,36.5,0.0,180.56403387744288,AT,C,NF,,POINT (31.5 36.5)
grid_000056,30.5,36.5,0.0,134.48628640984106,AT,C,NF,,POINT (30.5 36.5)
grid_000057,22.5,45.5,0.0,556.1245967793197,EU,C,TF,,POINT (22.5 45.5)
grid_000058,22.5,44.5,0.0,523.8502994507489,EU,C,TF,,POINT (22.5 44.5)
grid_000059,25.5,43.5,0.0,339.6728025009964,EU,C,NF,,POINT (25.5 43.5)
grid_000060,24.5,44.5,0.0,483.50459910474495,EU,C,TF,,POINT (24.5 44.5)
grid_000061,24.5,43.5,0.0,378.61484894385393,EU,B,NF,,POINT (24.5 43.5)
grid_000062,21.5,42.5,0.0,357.9491076507789,EU,C,NF,,POINT (21.5 42.5)
grid_000063,22.5,43.5,0.0,417.0266440868888,EU,C,TF,,POINT (22.5 43.5)
grid_000064,21.5,43.5,0.0,449.0162062748762,EU,C,TF,,POINT (21.5 43.5)
grid_000065,23.5,43.5,0.0,394.55781670224644,EU,C,TF,,POINT (23.5 43.5)
grid_000066,23.5,44.5,0.0,501.36327987249325,EU,C,NF,,POINT (23.5 44.5)
grid_000067,20.5,38.5,0.0,3.5315470985896966,EU,C,SS,,POINT (20.5 38.5)
grid_000068,20.5,39.5,0.0,114.36212871482249,EU,C,SS,,POINT (20.5 39.5)
grid_000069,23.5,39.5,0.0,9.383906795791852,EU,C,NF,,POINT (23.5 39.5)
grid_000070,21.5,41.5,0.0,276.56506175074514,EU,C,NF,,POINT (21.5 41.5)
grid_000071,20.5,40.5,0.0,225.311442025793,EU,C,NF,,POINT (20.5 40.5)
grid_000072,22.5,40.5,0.0,142.72302583524865,EU,C,NF,,POINT (22.5 40.5)
grid_000073,21.5,40.5,0.0,230.2979176563751,EU,C,NF,,POINT (21.5 40.5)
grid_000074,21.5,39.5,0.0,119.37543282997915,EU,C,NF,,POINT (21.5 39.5)
grid_000075,22.5,39.5,0.0,86.30755344039953,EU,C,NF,,POINT (22.5 39.5)
grid_000076,29.5,39.5,0.0,135.411291487853,AT,C,NF,,POINT (29.5 39.5)
grid_000077,28.5,40.5,0.0,16.887883933462508,AT,C,SS,,POINT (28.5 40.5)
grid_000078,28.5,39.5,0.0,127.55999412954537,AT,C,NF,,POINT (28.5 39.5)
grid_000079,25.5,39.5,0.0,39.8805320008925,AS,C,NF,,POINT (25.5 39.5)
grid_000080,25.5,40.5,0.0,33.61390916117854,EU,C,NF,,POINT (25.5 40.5)
grid_000081,26.5,39.5,0.0,11.373402122931017,AT,C,NF,,POINT (26.5 39.5)
grid_000082,26.5,42.5,0.0,201.97979331953962,EU,C,TF,,POINT (26.5 42.5)
grid_000083,27.5,41.5,0.0,81.55553325040353,EU,C,NF,,POINT (27.5 41.5)
grid_000084,26.5,41.5,0.0,100.09447196246428,EU,C,NF,,POINT (26.5 41.5)
grid_000085,26.5,40.5,0.0,1.5761494454091765,AT,C,SS,,POINT (26.5 40.5)
grid_000086,27.5,40.5,0.0,16.581645720311027,AT,C,TF,,POINT (27.5 40.5)
grid_000087,27.5,39.5,0.0,72.83335545545823,AT,C,NF,,POINT (27.5 39.5)
grid_000088,24.5,39.5,0.0,57.60370243612317,AS,C,NF,,POINT (24.5 39.5)
grid_000089,23.5,40.5,0.0,77.50504144379101,EU,C,NF,,POINT (23.5 40.5)
grid_000090,24.5,40.5,0.0,49.62703281722332,EU,C,NF,,POINT (24.5 40.5)
grid_000091,25.5,42.5,0.0,238.55536354117524,EU,C,TF,,POINT (25.5 42.5)
