ID,LON,LAT,geometry,PLATE,REGIME,DIST,QUALITY,AZI,AZI_PRED,AZI_ERROR
grid_000000,10.0,40.0,POINT (10 40),EU,SS,132.98618950531963,C,0.0,132.44292,47.557083
grid_000001,10.5,40.0,POINT (10.5 40),EU,TF,115.19733968340643,C,0.0,165.91026,14.089737
grid_000002,11.0,40.0,POINT (11 40),EU,TF,104.05705813021233,C,0.0,165.67738,14.322617
grid_000003,11.5,40.0,POINT (11.5 40),EU,TF,103.43321821458359,C,0.0,165.66943,14.330566
grid_000004,12.0,40.0,POINT (12 40),EU,TF,111.32820849364259,C,0.0,165.81128,14.188721
grid_000005,12.5,40.0,POINT (12.5 40),EU,TF,127.85308826419023,C,0.0,165.8983,14.1017
grid_000006,13.0,40.0,POINT (13 40),EU,TF,136.81193511361965,C,0.0,165.9999,14.000107
grid_000007,13.5,40.0,POINT (13.5 40),EU,TF,153.5707849316506,C,0.0,166.21594,13.784058
grid_000008,14.0,40.0,POINT (14 40),EU,TF,144.01008945301376,C,0.0,166.10002,13.899979
grid_000009,14.5,40.0,POINT (14.5 40),EU,TF,137.0855456947743,C,0.0,166.59497,13.405029
grid_000010,15.0,40.0,POINT (15 40),EU,TF,143.31921309463843,C,0.0,73.34942,73.34942
grid_000011,15.5,40.0,POINT (15.5 40),EU,NF,161.24341589842652,C,0.0,105.34912,74.65088
grid_000012,16.0,40.0,POINT (16 40),EU,NF,182.6686520273247,C,0.0,138.36392,41.636078
grid_000013,10.0,40.5,POINT (10 40.5),EU,TF,181.63477992652017,C,0.0,176.1877,3.8123016
grid_000014,10.5,40.5,POINT (10.5 40.5),EU,TF,168.94603838330008,C,0.0,166.77104,13.228958
grid_000015,11.0,40.5,POINT (11 40.5),EU,TF,159.4030765870347,C,0.0,166.15317,13.846832
grid_000016,11.5,40.5,POINT (11.5 40.5),EU,TF,158.67776727378438,C,0.0,166.15808,13.841919
grid_000017,12.0,40.5,POINT (12 40.5),EU,TF,165.5150027955846,C,0.0,166.00323,13.996765
grid_000018,12.5,40.5,POINT (12.5 40.5),EU,TF,183.13452000372772,C,0.0,165.56512,14.4348755
grid_000019,13.0,40.5,POINT (13 40.5),EU,TF,189.67312198758617,C,0.0,165.32326,14.676743
grid_000020,13.5,40.5,POINT (13.5 40.5),EU,TF,209.05725942218797,C,0.0,164.68922,15.310776
grid_000021,14.0,40.5,POINT (14 40.5),EU,TF,197.59831414742828,C,0.0,165.1024,14.897598
grid_000022,14.5,40.5,POINT (14.5 40.5),EU,TF,192.6035965069483,C,0.0,166.68591,13.314087
grid_000023,15.0,40.5,POINT (15 40.5),EU,NF,197.05686984683723,C,0.0,48.464752,48.464752
grid_000024,15.5,40.5,POINT (15.5 40.5),EU,NF,210.35882123557042,C,0.0,24.680546,24.680546
grid_000025,16.0,40.5,POINT (16 40.5),EU,NF,223.5184618878669,C,0.0,38.512993,38.512993
grid_000026,10.0,41.0,POINT (10 41),EU,TF,233.681265985853,C,0.0,138.70677,41.29323
grid_000027,10.5,41.0,POINT (10.5 41),EU,TF,222.09208043317653,C,0.0,50.723972,50.723972
grid_000028,11.0,41.0,POINT (11 41),EU,TF,214.84355281648652,C,0.0,164.9794,15.020599
grid_000029,11.5,41.0,POINT (11.5 41),EU,TF,214.08661032533422,C,0.0,164.33192,15.668076
grid_000030,12.0,41.0,POINT (12 41),EU,TF,220.3710546363588,C,0.0,165.21375,14.786255
grid_000031,12.5,41.0,POINT (12.5 41),EU,SS,229.935544627281,C,0.0,142.25452,37.745483
grid_000032,13.0,41.0,POINT (13 41),EU,NF,243.72389690983024,C,0.0,150.5715,29.428497
grid_000033,13.5,41.0,POINT (13.5 41),EU,TF,262.8561145009595,C,0.0,161.43295,18.567047
grid_000034,14.0,41.0,POINT (14 41),EU,NF,251.99546135331116,C,0.0,145.62062,34.37938
grid_000035,14.5,41.0,POINT (14.5 41),EU,TF,248.1272134562757,C,0.0,54.087677,54.087677
grid_000036,15.0,41.0,POINT (15 41),EU,NF,251.57424764317304,C,0.0,42.623543,42.623543
grid_000037,15.5,41.0,POINT (15.5 41),EU,NF,262.0479395915298,C,0.0,47.924118,47.924118
grid_000038,16.0,41.0,POINT (16 41),EU,NF,263.1339126662009,C,0.0,137.34311,42.65689
grid_000039,10.0,41.5,POINT (10 41.5),EU,TF,287.0384121338775,C,0.0,161.60562,18.394379
grid_000040,10.5,41.5,POINT (10.5 41.5),EU,TF,275.22741105122867,C,0.0,161.92548,18.074524
grid_000041,11.0,41.5,POINT (11 41.5),EU,TF,270.32335826851335,C,0.0,162.11676,17.88324
grid_000042,11.5,41.5,POINT (11.5 41.5),EU,TF,269.5478881412062,C,0.0,161.8546,18.145401
grid_000043,12.0,41.5,POINT (12 41.5),EU,SS,275.4384508031141,C,0.0,133.25119,46.74881
grid_000044,12.5,41.5,POINT (12.5 41.5),EU,TF,283.1516546671844,C,0.0,23.05615,23.05615
