ID,LON,LAT,geometry,PLATE,REGIME,DIST,QUALITY,AZI,AZI_PRED,AZI_ERROR
grid_000000,10.0,40.0,POINT (10 40),EU,SS,132.98618950531963,C,0.0,149.36053,30.639465
grid_000001,10.5,40.0,POINT (10.5 40),EU,TF,115.19733968340643,C,0.0,139.90793,40.09207
grid_000002,11.0,40.0,POINT (11 40),EU,TF,104.05705813021233,C,0.0,138.85391,41.146088
grid_000003,11.5,40.0,POINT (11.5 40),EU,TF,103.43321821458359,C,0.0,138.82275,41.177246
grid_000004,12.0,40.0,POINT (12 40),EU,TF,111.32820849364259,C,0.0,138.40297,41.59703
grid_000005,12.5,40.0,POINT (12.5 40),EU,TF,127.85308826419023,C,0.0,138.6348,41.365204
grid_000006,13.0,40.0,POINT (13 40),EU,TF,136.81193511361965,C,0.0,140.16176,39.83824
grid_000007,13.5,40.0,POINT (13.5 40),EU,TF,153.5707849316506,C,0.0,141.82465,38.175354
grid_000008,14.0,40.0,POINT (14 40),EU,TF,144.01008945301376,C,0.0,143.1539,36.8461
grid_000009,14.5,40.0,POINT (14.5 40),EU,TF,137.0855456947743,C,0.0,143.6518,36.348206
grid_000010,15.0,40.0,POINT (15 40),EU,TF,143.31921309463843,C,0.0,144.30655,35.69345
grid_000011,15.5,40.0,POINT (15.5 40),EU,NF,161.24341589842652,C,0.0,150.4587,29.541306
grid_000012,16.0,40.0,POINT (16 40),EU,NF,182.6686520273247,C,0.0,152.273,27.727005
grid_000013,10.0,40.5,POINT (10 40.5),EU,TF,181.63477992652017,C,0.0,141.28178,38.718216
grid_000014,10.5,40.5,POINT (10.5 40.5),EU,TF,168.94603838330008,C,0.0,139.40193,40.59807
grid_000015,11.0,40.5,POINT (11 40.5),EU,TF,159.4030765870347,C,0.0,138.67227,41.32773
grid_000016,11.5,40.5,POINT (11.5 40.5),EU,TF,158.67776727378438,C,0.0,138.8267,41.173294
grid_000017,12.0,40.5,POINT (12 40.5),EU,TF,165.5150027955846,C,0.0,138.52629,41.47371
grid_000018,12.5,40.5,POINT (12.5 40.5),EU,TF,183.13452000372772,C,0.0,139.21693,40.783066
grid_000019,13.0,40.5,POINT (13 40.5),EU,TF,189.67312198758617,C,0.0,141.37708,38.622925
grid_000020,13.5,40.5,POINT (13.5 40.5),EU,TF,209.05725942218797,C,0.0,143.85152,36.148483
grid_000021,14.0,40.5,POINT (14 40.5),EU,TF,197.59831414742828,C,0.0,144.39874,35.601257
grid_000022,14.5,40.5,POINT (14.5 40.5),EU,TF,192.6035965069483,C,0.0,144.06447,35.93553
grid_000023,15.0,40.5,POINT (15 40.5),EU,NF,197.05686984683723,C,0.0,148.95573,31.044266
grid_000024,15.5,40.5,POINT (15.5 40.5),EU,NF,210.35882123557042,C,0.0,149.29994,30.700058
grid_000025,16.0,40.5,POINT (16 40.5),EU,NF,223.5184618878669,C,0.0,150.74954,29.250458
grid_000026,10.0,41.0,POINT (10 41),EU,TF,233.681265985853,C,0.0,142.24554,37.754456
grid_000027,10.5,41.0,POINT (10.5 41),EU,TF,222.09208043317653,C,0.0,140.68832,39.311676
grid_000028,11.0,41.0,POINT (11 41),EU,TF,214.84355281648652,C,0.0,140.78426,39.215744
grid_000029,11.5,41.0,POINT (11.5 41),EU,TF,214.08661032533422,C,0.0,141.1469,38.853104
grid_000030,12.0,41.0,POINT (12 41),EU,TF,220.3710546363588,C,0.0,142.83514,37.164856
