ID,LON,LAT,geometry,PLATE,REGIME,DIST,QUALITY,AZI,AZI_PRED,AZI_ERROR
wsm02413,13.42,43.72,POINT (13.42 43.72),EU,SS,542.0,A,84.99999,160.54845,75.548454
wsm02482,12.57,43.27,POINT (12.57 43.27),EU,NF,477.0,B,117.0,143.50781,26.507812
wsm102226,12.99,43.61,POINT (12.99 43.61),EU,SS,521.0,C,169.0,149.46188,19.538116
wsm103605,14.74,44.91,POINT (14.74 44.91),EU,SS,684.0,C,179.0,172.93225,6.067749
wsm108318,11.29,44.01,POINT (11.29 44.01),EU,NF,549.0,C,120.0,137.74068,17.740677
wsm108320,11.36,44.01,POINT (11.36 44.01),EU,NF,549.0,C,154.0,129.20319,24.796814
wsm108321,11.22,44.06,POINT (11.22 44.06),EU,NF,555.0,C,129.0,138.52708,9.527084
wsm108552,15.85,42.07,POINT (15.85 42.07),EU,TS,368.0,C,124.0,158.35268,34.352676
wsm112192,10.3,44.51,POINT (10.3 44.51),EU,TF,609.0,C,20.0,159.34766,40.652344
wsm112201,10.23,44.5,POINT (10.23 44.5),EU,TF,609.0,C,24.999998,160.05412,44.945877
wsm113370,13.35,42.36,POINT (13.35 42.36),EU,NF,397.0,C,151.0,142.40747,8.592529
wsm113458,12.01,44.24,POINT (12.01 44.24),EU,TF,577.0,C,12.0,11.824284,0.1757164
wsm113459,13.37,42.33,POINT (13.37 42.33),EU,NF,394.0,C,173.0,136.70326,36.296738
wsm113466,13.35,42.29,POINT (13.35 42.29),EU,NF,389.0,C,134.0,142.7833,8.783295
wsm113469,13.34,42.37,POINT (13.34 42.37),EU,NF,397.0,C,147.0,142.09053,4.9094696
wsm113471,13.39,42.34,POINT (13.39 42.34),EU,NF,396.0,C,153.0,143.41232,9.587677
wsm113472,13.37,42.35,POINT (13.37 42.35),EU,NF,396.0,C,139.0,142.55179,3.5517883
wsm113477,13.33,42.36,POINT (13.33 42.36),EU,NF,396.0,C,165.0,141.0481,23.951904
wsm113483,13.27,42.47,POINT (13.27 42.47),EU,NF,406.0,C,146.0,145.8691,0.13090515
wsm113492,13.39,42.34,POINT (13.39 42.34),EU,NF,396.0,C,143.0,143.23773,0.23773193
wsm113502,13.39,42.31,POINT (13.39 42.31),EU,NS,393.0,C,133.0,143.2366,10.236603
wsm113506,13.38,42.38,POINT (13.38 42.38),EU,NF,400.0,C,120.0,136.02518,16.025177
wsm113525,13.36,42.51,POINT (13.36 42.51),EU,NF,412.0,C,140.0,145.18338,5.18338
wsm113529,13.3,42.48,POINT (13.3 42.48),EU,NF,408.0,C,143.0,144.62039,1.6203918
wsm113531,13.44,42.34,POINT (13.44 42.34),EU,SS,397.0,C,108.0,137.25172,29.251724
wsm113535,13.42,42.45,POINT (13.42 42.45),EU,NS,408.0,C,159.0,130.63971,28.36029
wsm113540,13.19,42.37,POINT (13.19 42.37),EU,NF,393.0,C,134.0,140.69594,6.695938
wsm113545,13.24,42.49,POINT (13.24 42.49),EU,NF,407.0,C,133.0,143.9843,10.984299
wsm113549,13.42,42.47,POINT (13.42 42.47),EU,NF,410.0,C,111.00001,139.63953,28.639519
wsm113586,13.21,42.52,POINT (13.21 42.52),EU,NF,409.0,C,138.0,143.87984,5.879837
