ID,LON,LAT,geometry,PLATE,REGIME,DIST,QUALITY,AZI,AZI_PRED,AZI_ERROR
wsm02413,13.42,43.72,POINT (13.42 43.72),EU,SS,542.0,A,84.99999,91.99533,6.9953384
wsm02482,12.57,43.27,POINT (12.57 43.27),EU,NF,477.0,B,117.0,110.897545,6.102455
wsm102226,12.99,43.61,POINT (12.99 43.61),EU,SS,521.0,C,169.0,158.9949,10.005096
wsm103605,14.74,44.91,POINT (14.74 44.91),EU,SS,684.0,C,179.0,179.36957,0.36956787
wsm108318,11.29,44.01,POINT (11.29 44.01),EU,NF,549.0,C,120.0,115.84267,4.1573334
wsm108320,11.36,44.01,POINT (11.36 44.01),EU,NF,549.0,C,154.0,144.17413,9.825867
wsm108321,11.22,44.06,POINT (11.22 44.06),EU,NF,555.0,C,129.0,122.14852,6.8514786
wsm108552,15.85,42.07,POINT (15.85 42.07),EU,TS,368.0,C,124.0,118.3944,5.6055984
wsm112192,10.3,44.51,POINT (10.3 44.51),EU,TF,609.0,C,20.0,23.926695,3.9266949
wsm112201,10.23,44.5,POINT (10.23 44.5),EU,TF,609.0,C,24.999998,29.809216,4.8092175
wsm113370,13.35,42.36,POINT (13.35 42.36),EU,NF,397.0,C,151.0,135.0722,15.927795
wsm113458,12.01,44.24,POINT (12.01 44.24),EU,TF,577.0,C,12.0,12.499262,0.49926186
wsm113459,13.37,42.33,POINT (13.37 42.33),EU,NF,394.0,C,173.0,164.59412,8.405884
wsm113466,13.35,42.29,POINT (13.35 42.29),EU,NF,389.0,C,134.0,119.13043,14.869568
wsm113469,13.34,42.37,POINT (13.34 42.37),EU,NF,397.0,C,147.0,131.20668,15.79332
wsm113471,13.39,42.34,POINT (13.39 42.34),EU,NF,396.0,C,153.0,137.25835,15.741653
wsm113472,13.37,42.35,POINT (13.37 42.35),EU,NF,396.0,C,139.0,123.051346,15.948654
wsm113477,13.33,42.36,POINT (13.33 42.36),EU,NF,396.0,C,165.0,153.55211,11.447891
wsm113483,13.27,42.47,POINT (13.27 42.47),EU,NF,406.0,C,146.0,129.3812,16.618805
wsm113492,13.39,42.34,POINT (13.39 42.34),EU,NF,396.0,C,143.0,126.91983,16.08017
wsm113502,13.39,42.31,POINT (13.39 42.31),EU,NS,393.0,C,133.0,118.796646,14.203354
wsm113506,13.38,42.38,POINT (13.38 42.38),EU,NF,400.0,C,120.0,110.82563,9.17437
wsm113525,13.36,42.51,POINT (13.36 42.51),EU,NF,412.0,C,140.0,123.22754,16.77246
wsm113529,13.3,42.48,POINT (13.3 42.48),EU,NF,408.0,C,143.0,125.981,17.018997
wsm113531,13.44,42.34,POINT (13.44 42.34),EU,SS,397.0,C,108.0,104.76712,3.2328796
wsm113535,13.42,42.45,POINT (13.42 42.45),EU,NS,408.0,C,159.0,144.75183,14.248169
wsm113540,13.19,42.37,POINT (13.19 42.37),EU,NF,393.0,C,134.0,118.67988,15.320122
wsm113545,13.24,42.49,POINT (13.24 42.49),EU,NF,407.0,C,133.0,117.650795,15.349205
wsm113549,13.42,42.47,POINT (13.42 42.47),EU,NF,410.0,C,111.00001,105.58907,5.4109344
wsm113586,13.21,42.52,POINT (13.21 42.52),EU,NF,409.0,C,138.0,121.43486,16.56514
wsm113597,13.29,42.53,POINT (13.29 42.53),EU,NF,413.0,C,146.0,129.14508,16.85492
wsm113627,13.31,42.51,POINT (13.31 42.51),EU,NF,411.0,C,144.0,126.94328,17.056717
wsm113754,13.49,42.25,POINT (13.49 42.25),EU,NF,389.0,C,145.0,130.26529,14.734711
wsm113759,13.48,42.23,POINT (13.48 42.23),EU,NF,386.0,C,153.0,137.81494,15.185059
wsm114500,13.36,42.45,POINT (13.36 42.45),EU,NF,406.0,C,134.0,118.46269,15.537308
wsm114745,13.38,42.34,POINT (13.38 42.34),EU,NF,395.0,C,151.0,135.18378,15.816223
wsm115656,13.41,43.47,POINT (13.41 43.47),EU,SS,515.0,C,154.0,138.82559,15.174408
wsm117151,13.38,43.11,POINT (13.38 43.11),EU,NS,476.0,C,97.0,97.41688,0.41687775
wsm118506,12.44,43.56,POINT (12.44 43.56),EU,NF,507.0,C,113.0,108.904976,4.095024
wsm120224,12.61,42.81,POINT (12.61 42.81),EU,NF,428.0,C,176.0,169.5537,6.4463043
wsm120299,12.11,44.36,POINT (12.11 44.36),EU,TF,591.0,C,86.0,89.872856,3.8728561
wsm120877,12.37,44.14,POINT (12.37 44.14),EU,SS,570.0,C,148.0,138.01021,9.989792
