ID,LON,LAT,geometry,PLATE,REGIME,DIST,QUALITY,AZI,AZI_PRED,AZI_ERROR
wsm02413,13.42,43.72,POINT (13.42 43.72),EU,SS,542.0,A,84.99999,105.1403,20.140305
wsm02482,12.57,43.27,POINT (12.57 43.27),EU,NF,477.0,B,117.0,132.33887,15.338867
wsm102226,12.99,43.61,POINT (12.99 43.61),EU,SS,521.0,C,169.0,162.68866,6.3113403
wsm103605,14.74,44.91,POINT (14.74 44.91),EU,SS,684.0,C,179.0,171.77065,7.229355
wsm108318,11.29,44.01,POINT (11.29 44.01),EU,NF,549.0,C,120.0,130.20123,10.201233
wsm108320,11.36,44.01,POINT (11.36 44.01),EU,NF,549.0,C,154.0,140.1369,13.863098
wsm108321,11.22,44.06,POINT (11.22 44.06),EU,NF,555.0,C,129.0,129.55194,0.5519409
wsm108552,15.85,42.07,POINT (15.85 42.07),EU,TS,368.0,C,124.0,130.1228,6.1228027
wsm112192,10.3,44.51,POINT (10.3 44.51),EU,TF,609.0,C,20.0,11.480612,8.519388
wsm112201,10.23,44.5,POINT (10.23 44.5),EU,TF,609.0,C,24.999998,10.868728,14.13127
wsm113370,13.35,42.36,POINT (13.35 42.36),EU,NF,397.0,C,151.0,142.86418,8.1358185
wsm113458,12.01,44.24,POINT (12.01 44.24),EU,TF,577.0,C,12.0,14.669813,2.6698132
wsm113459,13.37,42.33,POINT (13.37 42.33),EU,NF,394.0,C,173.0,139.48143,33.51857
wsm113466,13.35,42.29,POINT (13.35 42.29),EU,NF,389.0,C,134.0,139.77756,5.7775574
wsm113469,13.34,42.37,POINT (13.34 42.37),EU,NF,397.0,C,147.0,142.6936,4.3063965
wsm113471,13.39,42.34,POINT (13.39 42.34),EU,NF,396.0,C,153.0,142.68839,10.311615
wsm113472,13.37,42.35,POINT (13.37 42.35),EU,NF,396.0,C,139.0,144.1475,5.1475067
wsm113477,13.33,42.36,POINT (13.33 42.36),EU,NF,396.0,C,165.0,136.9042,28.095795
wsm113483,13.27,42.47,POINT (13.27 42.47),EU,NF,406.0,C,146.0,146.64966,0.6496582
wsm113492,13.39,42.34,POINT (13.39 42.34),EU,NF,396.0,C,143.0,142.29039,0.70961
wsm113502,13.39,42.31,POINT (13.39 42.31),EU,NS,393.0,C,133.0,141.13657,8.136566
wsm113506,13.38,42.38,POINT (13.38 42.38),EU,NF,400.0,C,120.0,135.5181,15.518097
wsm113525,13.36,42.51,POINT (13.36 42.51),EU,NF,412.0,C,140.0,143.65887,3.6588745
wsm113529,13.3,42.48,POINT (13.3 42.48),EU,NF,408.0,C,143.0,145.41995,2.4199524
wsm113531,13.44,42.34,POINT (13.44 42.34),EU,SS,397.0,C,108.0,125.487946,17.487946
wsm113535,13.42,42.45,POINT (13.42 42.45),EU,NS,408.0,C,159.0,135.7261,23.273895
