ID,LON,LAT,geometry,PLATE,REGIME,DIST,QUALITY,AZI,AZI_PRED,AZI_ERROR
wsm02413,13.42,43.72,POINT (13.42 43.72),EU,SS,542.0,A,84.99999,113.04659,28.0466
wsm02482,12.57,43.27,POINT (12.57 43.27),EU,NF,477.0,B,117.0,138.84763,21.847626
wsm102226,12.99,43.61,POINT (12.99 43.61),EU,SS,521.0,C,169.0,164.16087,4.8391266
wsm103605,14.74,44.91,POINT (14.74 44.91),EU,SS,684.0,C,179.0,175.80402,3.195984
wsm108318,11.29,44.01,POINT (11.29 44.01),EU,NF,549.0,C,120.0,132.13216,12.132156
wsm108320,11.36,44.01,POINT (11.36 44.01),EU,NF,549.0,C,154.0,136.27003,17.729965
wsm108321,11.22,44.06,POINT (11.22 44.06),EU,NF,555.0,C,129.0,131.36612,2.3661194
wsm108552,15.85,42.07,POINT (15.85 42.07),EU,TS,368.0,C,124.0,135.16243,11.16243
wsm112192,10.3,44.51,POINT (10.3 44.51),EU,TF,609.0,C,20.0,8.470611,11.529389
wsm112201,10.23,44.5,POINT (10.23 44.5),EU,TF,609.0,C,24.999998,7.116681,17.883316
wsm113370,13.35,42.36,POINT (13.35 42.36),EU,NF,397.0,C,151.0,144.04471,6.9552917
wsm113458,12.01,44.24,POINT (12.01 44.24),EU,TF,577.0,C,12.0,17.836823,5.8368225
wsm113459,13.37,42.33,POINT (13.37 42.33),EU,NF,394.0,C,173.0,139.28143,33.718567
wsm113466,13.35,42.29,POINT (13.35 42.29),EU,NF,389.0,C,134.0,141.50664,7.5066376
wsm113469,13.34,42.37,POINT (13.34 42.37),EU,NF,397.0,C,147.0,143.31793,3.6820679
wsm113471,13.39,42.34,POINT (13.39 42.34),EU,NF,396.0,C,153.0,144.57903,8.420975
wsm113472,13.37,42.35,POINT (13.37 42.35),EU,NF,396.0,C,139.0,142.22081,3.22081
wsm113477,13.33,42.36,POINT (13.33 42.36),EU,NF,396.0,C,165.0,143.01836,21.981644
wsm113483,13.27,42.47,POINT (13.27 42.47),EU,NF,406.0,C,146.0,146.66565,0.6656494
wsm113492,13.39,42.34,POINT (13.39 42.34),EU,NF,396.0,C,143.0,143.40314,0.4031372
wsm113502,13.39,42.31,POINT (13.39 42.31),EU,NS,393.0,C,133.0,141.02644,8.0264435
wsm113506,13.38,42.38,POINT (13.38 42.38),EU,NF,400.0,C,120.0,133.64815,13.648148
wsm113525,13.36,42.51,POINT (13.36 42.51),EU,NF,412.0,C,140.0,144.63559,4.6355896
wsm113529,13.3,42.48,POINT (13.3 42.48),EU,NF,408.0,C,143.0,144.64659,1.6465912
wsm113531,13.44,42.34,POINT (13.44 42.34),EU,SS,397.0,C,108.0,132.94423,24.94423
wsm113535,13.42,42.45,POINT (13.42 42.45),EU,NS,408.0,C,159.0,134.30421,24.695786
wsm113540,13.19,42.37,POINT (13.19 42.37),EU,NF,393.0,C,134.0,138.95352,4.9535217
wsm113545,13.24,42.49,POINT (13.24 42.49),EU,NF,407.0,C,133.0,144.3916,11.391602
wsm113549,13.42,42.47,POINT (13.42 42.47),EU,NF,410.0,C,111.00001,138.8919,27.8919
wsm113586,13.21,42.52,POINT (13.21 42.52),EU,NF,409.0,C,138.0,143.75525,5.755249
wsm113597,13.29,42.53,POINT (13.29 42.53),EU,NF,413.0,C,146.0,146.61932,0.61932373
wsm113627,13.31,42.51,POINT (13.31 42.51),EU,NF,411.0,C,144.0,146.39117,2.3911743
wsm113754,13.49,42.25,POINT (13.49 42.25),EU,NF,389.0,C,145.0,141.04916,3.9508362
wsm113759,13.48,42.23,POINT (13.48 42.23),EU,NF,386.0,C,153.0,139.56754,13.432465
wsm114500,13.36,42.45,POINT (13.36 42.45),EU,NF,406.0,C,134.0,141.8949,7.8948975
wsm114745,13.38,42.34,POINT (13.38 42.34),EU,NF,395.0,C,151.0,143.93643,7.063568
wsm115656,13.41,43.47,POINT (13.41 43.47),EU,SS,515.0,C,154.0,149.01555,4.9844513
wsm117151,13.38,43.11,POINT (13.38 43.11),EU,NS,476.0,C,97.0,111.229256,14.229256
wsm118506,12.44,43.56,POINT (12.44 43.56),EU,NF,507.0,C,113.0,136.21335,23.213348
wsm120224,12.61,42.81,POINT (12.61 42.81),EU,NF,428.0,C,176.0,162.08307,13.916931
wsm120299,12.11,44.36,POINT (12.11 44.36),EU,TF,591.0,C,86.0,111.513245,25.513245
wsm120877,12.37,44.14,POINT (12.37 44.14),EU,SS,570.0,C,148.0,148.6846,0.68460083
wsm128220,12.03,43.86,POINT (12.03 43.86),EU,NF,535.0,C,115.0,138.88542,23.885422
wsm129876,11.86,43.92,POINT (11.86 43.92),EU,NF,541.0,C,123.0,133.68532,10.685318
wsm129877,11.85,43.92,POINT (11.85 43.92),EU,NF,540.0,C,119.0,134.0187,15.018707
wsm129896,11.86,43.93,POINT (11.86 43.93),EU,NF,542.0,C,122.0,133.33789,11.337891
wsm134393,10.36,44.82,POINT (10.36 44.82),EU,NF,643.0,C,93.00001,113.6892,20.689194
wsm135516,13.2,42.81,POINT (13.2 42.81),EU,NF,440.0,C,124.0,136.16055,12.160553
wsm136940,11.26,44.9,POINT (11.26 44.9),EU,TF,648.0,C,10.999999,11.512555,0.5125561
wsm136948,11.44,44.89,POINT (11.44 44.89),EU,TF,647.0,C,19.0,13.974414,5.025586
