ID,LON,LAT,geometry,PLATE,REGIME,DIST,QUALITY,AZI,AZI_PRED,AZI_ERROR,STR
wsm00016,29.1,40.18,POINT (29.1 40.18),AT,NF,57.0,B,0.0,4.2914352,4.2914352,0.75630337
wsm00017,33.69,41.8,POINT (33.69 41.8),EU,NF,87.0,C,0.0,175.08156,4.918442,0.7754681
wsm00025,12.714,56.821,POINT (12.714 56.821),EU,TF,1783.0,B,17.0,16.93821,0.061790466,0.8020742
wsm00026,16.685,57.428,POINT (16.685 57.428),EU,TS,1782.0,B,140.0,142.63655,2.636551,0.7993097
wsm00027,14.758,61.115,POINT (14.758 61.115),EU,TF,1358.0,B,103.0,102.102135,0.8978653,0.78700805
wsm00031,13.678,56.669,POINT (13.678 56.669),EU,TF,1815.0,B,72.0,73.64164,1.6416397,0.7677465
wsm00032,13.679,56.667,POINT (13.679 56.667),EU,TF,1815.0,A,27.999998,21.645094,6.354904,0.7708695
wsm00069,13.12,56.211,POINT (13.12 56.211),EU,NF,1855.0,B,36.0,35.033104,0.96689606,0.8026415
wsm00076,13.12,56.211,POINT (13.12 56.211),EU,TF,1855.0,B,36.999996,35.181755,1.8182411,0.7495519
wsm00083,15.101,59.624,POINT (15.101 59.624),EU,TF,1522.0,B,107.0,111.9994,4.9993973,0.7918591
wsm00180,17.832,60.378,POINT (17.832 60.378),EU,TS,1487.0,A,132.0,136.38347,4.3834686,0.7947028
wsm00181,15.101,59.625,POINT (15.101 59.625),EU,TF,1522.0,A,109.0,113.76639,4.766388,0.7878803
wsm00221,26.247,39.162,POINT (26.247 39.162),AS,SS,35.0,B,86.99999,90.04125,3.0412598,0.7828462
wsm00222,23.872,39.15,POINT (23.872 39.15),AS,NF,38.0,C,66.0,78.641205,12.641205,0.844996
wsm00223,23.867,39.145,POINT (23.867 39.145),AS,NF,38.0,A,70.0,80.32345,10.323448,0.8407863
wsm00224,25.05,39.525,POINT (25.05 39.525),AS,NF,64.0,C,73.0,79.32692,6.3269196,0.8380148
wsm00225,25.325,39.967,POINT (25.325 39.967),AS,NF,22.0,B,80.0,87.694984,7.6949844,0.85483485
wsm00226,25.068,39.928,POINT (25.068 39.928),AS,NF,22.0,B,93.00001,94.21874,1.2187347,0.8150816
wsm00227,25.383,40.008,POINT (25.383 40.008),AS,NF,17.0,A,78.0,88.52216,10.522163,0.8467349
wsm00228,25.425,40.025,POINT (25.425 40.025),AS,NF,15.0,C,82.0,86.92605,4.9260483,0.85949296
wsm00256,25.617,40.867,POINT (25.617 40.867),EU,NF,69.0,C,73.0,81.46888,8.46888,0.7863536
wsm00274,15.39,55.93,POINT (15.39 55.93),EU,SS,1874.0,C,155.0,156.38905,1.3890533,0.8197377
wsm00286,26.185,39.027,POINT (26.185 39.027),AS,NS,47.0,C,92.00001,91.45394,0.5460663,0.8681502
wsm00287,26.185,39.027,POINT (26.185 39.027),AS,SS,47.0,B,92.00001,93.48688,1.4868698,0.85627127
wsm00288,26.185,39.027,POINT (26.185 39.027),AS,NF,47.0,B,92.00001,92.37199,0.37197876,0.87687516
wsm00289,26.302,39.38,POINT (26.302 39.38),AS,NF,17.0,A,72.0,87.61254,15.612541,0.81204987
wsm00290,26.185,39.027,POINT (26.185 39.027),AS,NF,47.0,A,94.0,93.65788,0.3421173,0.8824526
wsm00291,26.485,39.12,POINT (26.485 39.12),AS,NF,23.0,B,84.0,86.04836,2.0483627,0.8237036
wsm00292,26.563,39.108,POINT (26.563 39.108),AS,NF,22.0,C,74.0,86.97686,12.97686,0.8292053
wsm00293,24.567,40.633,POINT (24.567 40.633),EU,NF,64.0,B,83.0,85.33505,2.3350525,0.81555116
wsm00294,24.583,40.625,POINT (24.583 40.625),EU,NF,63.0,B,84.0,85.39589,1.3958893,0.81754625
wsm00295,25.492,40.492,POINT (25.492 40.492),EU,NF,38.0,B,84.0,88.53197,4.531967,0.84068125
wsm00296,25.693,40.43,POINT (25.693 40.43),EU,NF,29.0,B,72.0,89.292015,17.292015,0.833461
wsm00297,25.675,40.425,POINT (25.675 40.425),EU,NF,30.0,A,86.99999,89.89792,2.8979263,0.84612197
wsm00298,25.683,40.495,POINT (25.683 40.495),EU,NF,33.0,C,79.0,88.52244,9.522438,0.85146916
wsm00300,25.527,40.477,POINT (25.527 40.477),EU,NF,37.0,C,67.0,90.170784,23.170784,0.8257126
wsm00301,25.545,40.43,POINT (25.545 40.43),EU,NF,32.0,C,84.0,88.50428,4.50428,0.85530543
wsm00325,25.528,40.433,POINT (25.528 40.433),EU,NF,32.0,B,83.0,88.61758,5.6175766,0.8388099
wsm00379,7.3,61.517,POINT (7.3 61.517),EU,TF,1196.0,B,101.0,99.355034,1.6449661,0.75175637
wsm00395,10.75,59.9,POINT (10.75 59.9),EU,TF,1423.0,C,13.999999,12.3714905,1.6285086,0.7825483
wsm00404,5.852,50.893,POINT (5.852 50.893),EU,NF,1378.0,C,132.0,131.05835,0.9416504,0.84303457
wsm00408,5.97,51.06,POINT (5.97 51.06),EU,NF,1393.0,C,141.0,133.39131,7.6086884,0.82850647
wsm00409,5.903,51.003,POINT (5.903 51.003),EU,NF,1389.0,C,137.0,132.60783,4.392166,0.84939784
wsm00411,5.84,51.2,POINT (5.84 51.2),EU,SS,1411.0,C,70.0,72.51867,2.5186691,0.7560194
wsm00507,22.028,40.033,POINT (22.028 40.033),EU,NF,148.0,B,72.0,77.578064,5.578064,0.8068527
wsm00508,22.203,40.04,POINT (22.203 40.04),EU,NF,137.0,B,83.0,86.1055,3.1054993,0.78233385
wsm00509,22.117,40.85,POINT (22.117 40.85),EU,NF,189.0,B,70.0,75.32509,5.3250885,0.7863381
wsm00510,22.127,40.053,POINT (22.127 40.053),EU,NF,143.0,C,103.0,97.098076,5.901924,0.7837705
wsm00511,23.567,41.125,POINT (23.567 41.125),EU,NF,139.0,A,90.0,93.954956,3.954956,0.8139669
wsm00512,23.567,41.125,POINT (23.567 41.125),EU,NF,139.0,A,34.0,41.946316,7.946316,0.71198756
wsm00513,23.882,40.867,POINT (23.882 40.867),EU,NF,106.0,B,78.0,85.18894,7.188942,0.82035136
wsm00514,23.882,40.867,POINT (23.882 40.867),EU,NF,106.0,B,87.99999,84.869896,3.1300964,0.80567986
wsm00515,23.05,40.683,POINT (23.05 40.683),EU,NF,117.0,B,62.000004,76.243515,14.243511,0.7820253
wsm00517,23.333,40.667,POINT (23.333 40.667),EU,NF,101.0,A,97.0,95.492966,1.5070343,0.7971868
wsm00518,23.333,40.667,POINT (23.333 40.667),EU,NF,101.0,A,74.0,87.76232,13.762321,0.818508
wsm00520,25.917,40.917,POINT (25.917 40.917),EU,NF,66.0,A,84.0,89.46943,5.469429,0.81841093
wsm00521,26.057,40.877,POINT (26.057 40.877),EU,NF,58.0,A,83.0,90.48208,7.4820786,0.81957144
wsm00655,22.69,61.65,POINT (22.69 61.65),EU,TF,1436.0,B,153.0,155.69351,2.693512,0.8083882
wsm00658,25.02,60.23,POINT (25.02 60.23),EU,TF,1628.0,C,141.0,145.27066,4.2706604,0.80287015
wsm00690,9.513,50.2,POINT (9.513 50.2),EU,NF,1245.0,C,152.0,154.03156,2.0315552,0.7979469
wsm00694,7.753,48.149,POINT (7.753 48.149),EU,SS,1046.0,C,74.0,76.03042,2.0304184,0.7888817
wsm00705,7.94,50.07,POINT (7.94 50.07),EU,TF,1249.0,C,137.0,141.8938,4.893799,0.82025725
wsm00706,6.69,50.65,POINT (6.69 50.65),EU,NF,1334.0,C,38.0,35.127655,2.872345,0.76781344
wsm00707,7.97,50.26,POINT (7.97 50.26),EU,TF,1269.0,C,163.0,162.59637,0.4036255,0.8162574
wsm00712,7.99,50.68,POINT (7.99 50.68),EU,NS,1315.0,C,118.0,123.30618,5.306183,0.80117005
wsm00715,7.7,50.18,POINT (7.7 50.18),EU,NF,1265.0,C,129.0,133.81194,4.8119354,0.8123891
wsm00717,8.3,50.04,POINT (8.3 50.04),EU,NF,1241.0,C,148.0,144.79883,3.2011719,0.81784856
wsm00721,7.21,50.53,POINT (7.21 50.53),EU,NF,1311.0,C,162.0,157.353,4.647003,0.8191284
wsm00723,6.78,50.96,POINT (6.78 50.96),EU,NF,1365.0,C,25.999998,22.004074,3.995924,0.78067935
wsm00754,5.51,50.85,POINT (5.51 50.85),EU,NF,1382.0,C,86.0,96.02977,10.02977,0.79450166
wsm00755,6.1,50.43,POINT (6.1 50.43),EU,NF,1324.0,C,132.0,131.51251,0.4874878,0.8069044
wsm00759,13.649,46.63,POINT (13.649 46.63),EU,TF,860.0,C,158.0,163.58583,5.5858307,0.793471
wsm00761,15.167,47.283,POINT (15.167 47.283),EU,SS,930.0,C,149.0,154.62282,5.622818,0.8135944
wsm00765,14.69,47.193,POINT (14.69 47.193),EU,SS,931.0,B,6.9999995,12.582714,5.5827146,0.8114331
wsm00770,5.926,50.813,POINT (5.926 50.813),EU,SS,1368.0,C,131.0,133.52884,2.528839,0.83258843
wsm00774,5.513,50.632,POINT (5.513 50.632),EU,SS,1359.0,C,122.0,127.928085,5.9280853,0.7891613
wsm00802,18.11,47.06,POINT (18.11 47.06),EU,SS,878.0,B,73.0,65.20426,7.795738,0.7831328
wsm01356,9.2,34.6,POINT (9.2 34.6),AF,TS,330.0,C,164.0,165.45201,1.4520111,0.80970895
wsm01357,10.65,35.7,POINT (10.65 35.7),AF,TF,290.0,C,143.0,147.96538,4.965378,0.805099
wsm01358,9.8,35.55,POINT (9.8 35.55),AF,TS,254.0,C,103.0,97.42318,5.5768204,0.76894027
wsm01556,10.85,34.0,POINT (10.85 34),AF,TS,451.0,C,150.0,153.9795,3.9795074,0.81877816
wsm01558,10.1,37.25,POINT (10.1 37.25),AF,TF,140.0,C,154.0,159.1,5.100006,0.8088745
wsm01559,10.3,36.8,POINT (10.3 36.8),AF,TS,184.0,C,24.999998,20.226795,4.773203,0.78146964
wsm02400,14.36,46.318,POINT (14.36 46.318),EU,TF,840.0,C,78.0,76.01398,1.986023,0.7858848
wsm02404,15.536,46.195,POINT (15.536 46.195),EU,TF,806.0,C,167.0,172.10307,5.103073,0.8156172
