ID,LON,LAT,geometry,PLATE,REGIME,DIST,QUALITY,AZI,AZI_PRED,AZI_ERROR,STR
wsm00016,29.1,40.18,POINT (29.1 40.18),AT,NF,57.0,B,0.0,4.2914286,4.2914286,0.74053127
wsm00017,33.69,41.8,POINT (33.69 41.8),EU,NF,87.0,C,0.0,175.07921,4.9207916,0.77255267
wsm00025,12.714,56.821,POINT (12.714 56.821),EU,TF,1783.0,B,17.0,16.938221,0.061779022,0.7936083
wsm00026,16.685,57.428,POINT (16.685 57.428),EU,TS,1782.0,B,140.0,142.63655,2.636551,0.7870098
wsm00027,14.758,61.115,POINT (14.758 61.115),EU,TF,1358.0,B,103.0,102.10213,0.8978729,0.757068
wsm00031,13.678,56.669,POINT (13.678 56.669),EU,TF,1815.0,B,72.0,73.64165,1.6416473,0.7483039
wsm00032,13.679,56.667,POINT (13.679 56.667),EU,TF,1815.0,A,27.999998,21.645159,6.3548393,0.73861295
wsm00069,13.12,56.211,POINT (13.12 56.211),EU,NF,1855.0,B,36.0,35.033047,0.9669533,0.7746562
wsm00076,13.12,56.211,POINT (13.12 56.211),EU,TF,1855.0,B,36.999996,35.181683,1.8183136,0.72642463
wsm00083,15.101,59.624,POINT (15.101 59.624),EU,TF,1522.0,B,107.0,111.9994,4.9993973,0.69114757
wsm00180,17.832,60.378,POINT (17.832 60.378),EU,TS,1487.0,A,132.0,136.38347,4.3834686,0.79805195
wsm00181,15.101,59.625,POINT (15.101 59.625),EU,TF,1522.0,A,109.0,113.766396,4.7663956,0.79103535
wsm00221,26.247,39.162,POINT (26.247 39.162),AS,SS,35.0,B,86.99999,90.031456,3.0314636,0.804771
wsm00222,23.872,39.15,POINT (23.872 39.15),AS,NF,38.0,C,66.0,78.64741,12.647408,0.8399756
wsm00223,23.867,39.145,POINT (23.867 39.145),AS,NF,38.0,A,70.0,80.33175,10.331749,0.83579403
wsm00224,25.05,39.525,POINT (25.05 39.525),AS,NF,64.0,C,73.0,79.324,6.3239975,0.83372957
wsm00225,25.325,39.967,POINT (25.325 39.967),AS,NF,22.0,B,80.0,87.717766,7.717766,0.8521141
wsm00226,25.068,39.928,POINT (25.068 39.928),AS,NF,22.0,B,93.00001,94.21744,1.2174301,0.81273
wsm00227,25.383,40.008,POINT (25.383 40.008),AS,NF,17.0,A,78.0,88.54541,10.54541,0.852687
wsm00228,25.425,40.025,POINT (25.425 40.025),AS,NF,15.0,C,82.0,86.946556,4.946556,0.84781605
wsm00256,25.617,40.867,POINT (25.617 40.867),EU,NF,69.0,C,73.0,81.51428,8.514282,0.7718229
wsm00274,15.39,55.93,POINT (15.39 55.93),EU,SS,1874.0,C,155.0,156.38905,1.3890533,0.8348985
wsm00286,26.185,39.027,POINT (26.185 39.027),AS,NS,47.0,C,92.00001,91.644295,0.3557129,0.8735116
wsm00287,26.185,39.027,POINT (26.185 39.027),AS,SS,47.0,B,92.00001,93.43757,1.437561,0.85589194
wsm00288,26.185,39.027,POINT (26.185 39.027),AS,NF,47.0,B,92.00001,92.18512,0.185112,0.8801564
wsm00289,26.302,39.38,POINT (26.302 39.38),AS,NF,17.0,A,72.0,87.6193,15.619301,0.79168725
wsm00290,26.185,39.027,POINT (26.185 39.027),AS,NF,47.0,A,94.0,93.750175,0.24982452,0.8772232
wsm00291,26.485,39.12,POINT (26.485 39.12),AS,NF,23.0,B,84.0,86.09586,2.0958633,0.82656425
wsm00292,26.563,39.108,POINT (26.563 39.108),AS,NF,22.0,C,74.0,87.027596,13.0275955,0.8259158
wsm00293,24.567,40.633,POINT (24.567 40.633),EU,NF,64.0,B,83.0,85.33606,2.3360596,0.8155474
wsm00294,24.583,40.625,POINT (24.583 40.625),EU,NF,63.0,B,84.0,85.3974,1.3973999,0.823212
wsm00295,25.492,40.492,POINT (25.492 40.492),EU,NF,38.0,B,84.0,88.53348,4.533478,0.8379387
wsm00296,25.693,40.43,POINT (25.693 40.43),EU,NF,29.0,B,72.0,89.293884,17.293884,0.84640926
wsm00297,25.675,40.425,POINT (25.675 40.425),EU,NF,30.0,A,86.99999,89.903275,2.9032822,0.85309696
wsm00298,25.683,40.495,POINT (25.683 40.495),EU,NF,33.0,C,79.0,88.521126,9.521126,0.85024583
wsm00300,25.527,40.477,POINT (25.527 40.477),EU,NF,37.0,C,67.0,90.169876,23.169876,0.8205591
wsm00301,25.545,40.43,POINT (25.545 40.43),EU,NF,32.0,C,84.0,88.50723,4.5072327,0.85268843
wsm00325,25.528,40.433,POINT (25.528 40.433),EU,NF,32.0,B,83.0,88.62101,5.62101,0.866321
wsm00379,7.3,61.517,POINT (7.3 61.517),EU,TF,1196.0,B,101.0,99.35524,1.6447601,0.7855116
wsm00395,10.75,59.9,POINT (10.75 59.9),EU,TF,1423.0,C,13.999999,12.3714905,1.6285086,0.80933845
wsm00404,5.852,50.893,POINT (5.852 50.893),EU,NF,1378.0,C,132.0,131.05243,0.9475708,0.84568155
wsm00408,5.97,51.06,POINT (5.97 51.06),EU,NF,1393.0,C,141.0,133.37466,7.6253357,0.83002967
wsm00409,5.903,51.003,POINT (5.903 51.003),EU,NF,1389.0,C,137.0,132.5894,4.4105988,0.8469642
wsm00411,5.84,51.2,POINT (5.84 51.2),EU,SS,1411.0,C,70.0,72.52412,2.5241165,0.74712974
wsm00507,22.028,40.033,POINT (22.028 40.033),EU,NF,148.0,B,72.0,77.570915,5.570915,0.8274095
wsm00508,22.203,40.04,POINT (22.203 40.04),EU,NF,137.0,B,83.0,86.0729,3.0728989,0.79398847
wsm00509,22.117,40.85,POINT (22.117 40.85),EU,NF,189.0,B,70.0,75.325226,5.325226,0.75721014
wsm00510,22.127,40.053,POINT (22.127 40.053),EU,NF,143.0,C,103.0,97.10638,5.8936234,0.7768676
wsm00511,23.567,41.125,POINT (23.567 41.125),EU,NF,139.0,A,90.0,93.9468,3.9468002,0.79982346
wsm00512,23.567,41.125,POINT (23.567 41.125),EU,NF,139.0,A,34.0,41.946915,7.9469147,0.74494636
wsm00513,23.882,40.867,POINT (23.882 40.867),EU,NF,106.0,B,78.0,85.193375,7.1933746,0.8179639
