ID,LON,LAT,geometry,PLATE,REGIME,DIST,QUALITY,AZI,AZI_PRED,AZI_ERROR,STR
wsm00016,29.1,40.18,POINT (29.1 40.18),AT,NF,57.0,B,0.0,178.32176,1.6782379,0.7010475
wsm00017,33.69,41.8,POINT (33.69 41.8),EU,NF,87.0,C,0.0,171.07301,8.926987,0.78037304
wsm00025,12.714,56.821,POINT (12.714 56.821),EU,TF,1783.0,B,17.0,15.763953,1.2360468,0.7286289
wsm00026,16.685,57.428,POINT (16.685 57.428),EU,TS,1782.0,B,140.0,141.40866,1.4086609,0.7360993
wsm00027,14.758,61.115,POINT (14.758 61.115),EU,TF,1358.0,B,103.0,98.342674,4.6573257,0.7777616
wsm00031,13.678,56.669,POINT (13.678 56.669),EU,TF,1815.0,B,72.0,72.654396,0.65439606,0.7404948
wsm00032,13.679,56.667,POINT (13.679 56.667),EU,TF,1815.0,A,27.999998,23.874683,4.1253147,0.69593453
wsm00069,13.12,56.211,POINT (13.12 56.211),EU,NF,1855.0,B,36.0,23.718992,12.281008,0.7104043
wsm00076,13.12,56.211,POINT (13.12 56.211),EU,TF,1855.0,B,36.999996,29.13419,7.8658066,0.75192237
wsm00083,15.101,59.624,POINT (15.101 59.624),EU,TF,1522.0,B,107.0,110.4598,3.4598007,0.76246583
wsm00180,17.832,60.378,POINT (17.832 60.378),EU,TS,1487.0,A,132.0,133.10997,1.1099701,0.7710062
wsm00181,15.101,59.625,POINT (15.101 59.625),EU,TF,1522.0,A,109.0,105.98658,3.01342,0.7830454
wsm00221,26.247,39.162,POINT (26.247 39.162),AS,SS,35.0,B,86.99999,92.44314,5.4431458,0.8646016
wsm00222,23.872,39.15,POINT (23.872 39.15),AS,NF,38.0,C,66.0,84.32037,18.320374,0.8241847
wsm00223,23.867,39.145,POINT (23.867 39.145),AS,NF,38.0,A,70.0,78.15347,8.153473,0.8462604
wsm00224,25.05,39.525,POINT (25.05 39.525),AS,NF,64.0,C,73.0,87.975395,14.975395,0.83399606
wsm00225,25.325,39.967,POINT (25.325 39.967),AS,NF,22.0,B,80.0,92.444824,12.444824,0.8597537
wsm00226,25.068,39.928,POINT (25.068 39.928),AS,NF,22.0,B,93.00001,92.32836,0.6716461,0.8478224
wsm00227,25.383,40.008,POINT (25.383 40.008),AS,NF,17.0,A,78.0,90.67091,12.670914,0.8176457
wsm00228,25.425,40.025,POINT (25.425 40.025),AS,NF,15.0,C,82.0,95.322296,13.322296,0.85395515
wsm00256,25.617,40.867,POINT (25.617 40.867),EU,NF,69.0,C,73.0,93.30399,20.303993,0.82534164
wsm00274,15.39,55.93,POINT (15.39 55.93),EU,SS,1874.0,C,155.0,160.10434,5.1043396,0.7948922
wsm00286,26.185,39.027,POINT (26.185 39.027),AS,NS,47.0,C,92.00001,92.34853,0.348526,0.88953364
wsm00287,26.185,39.027,POINT (26.185 39.027),AS,SS,47.0,B,92.00001,90.50549,1.4945145,0.88867056
wsm00288,26.185,39.027,POINT (26.185 39.027),AS,NF,47.0,B,92.00001,92.050026,0.05001831,0.9081306
wsm00289,26.302,39.38,POINT (26.302 39.38),AS,NF,17.0,A,72.0,91.74881,19.74881,0.71859545
wsm00290,26.185,39.027,POINT (26.185 39.027),AS,NF,47.0,A,94.0,90.50568,3.4943237,0.87820804
wsm00291,26.485,39.12,POINT (26.485 39.12),AS,NF,23.0,B,84.0,91.501396,7.501396,0.86694163
wsm00292,26.563,39.108,POINT (26.563 39.108),AS,NF,22.0,C,74.0,95.03533,21.035332,0.755206
wsm00293,24.567,40.633,POINT (24.567 40.633),EU,NF,64.0,B,83.0,96.63961,13.63961,0.7955275
wsm00294,24.583,40.625,POINT (24.583 40.625),EU,NF,63.0,B,84.0,96.6831,12.683098,0.8151514
wsm00295,25.492,40.492,POINT (25.492 40.492),EU,NF,38.0,B,84.0,87.99551,3.9955063,0.8426648
wsm00296,25.693,40.43,POINT (25.693 40.43),EU,NF,29.0,B,72.0,88.29777,16.297768,0.8482341
wsm00297,25.675,40.425,POINT (25.675 40.425),EU,NF,30.0,A,86.99999,88.534584,1.5345917,0.844831
wsm00298,25.683,40.495,POINT (25.683 40.495),EU,NF,33.0,C,79.0,91.275154,12.275154,0.8732662
wsm00300,25.527,40.477,POINT (25.527 40.477),EU,NF,37.0,C,67.0,91.38412,24.384117,0.80089957
wsm00301,25.545,40.43,POINT (25.545 40.43),EU,NF,32.0,C,84.0,90.092545,6.0925446,0.8597283
wsm00325,25.528,40.433,POINT (25.528 40.433),EU,NF,32.0,B,83.0,87.953766,4.953766,0.8555773
wsm00379,7.3,61.517,POINT (7.3 61.517),EU,TF,1196.0,B,101.0,101.9745,0.97450256,0.7852031
wsm00395,10.75,59.9,POINT (10.75 59.9),EU,TF,1423.0,C,13.999999,9.849531,4.150468,0.8140556
wsm00404,5.852,50.893,POINT (5.852 50.893),EU,NF,1378.0,C,132.0,129.25212,2.747879,0.8620669
wsm00408,5.97,51.06,POINT (5.97 51.06),EU,NF,1393.0,C,141.0,130.40465,10.595352,0.8164811
wsm00409,5.903,51.003,POINT (5.903 51.003),EU,NF,1389.0,C,137.0,129.91058,7.0894165,0.8447079
wsm00411,5.84,51.2,POINT (5.84 51.2),EU,SS,1411.0,C,70.0,92.38679,22.386787,0.7286705
wsm00507,22.028,40.033,POINT (22.028 40.033),EU,NF,148.0,B,72.0,77.01689,5.0168915,0.8311322
wsm00508,22.203,40.04,POINT (22.203 40.04),EU,NF,137.0,B,83.0,85.30408,2.3040771,0.81426966
wsm00509,22.117,40.85,POINT (22.117 40.85),EU,NF,189.0,B,70.0,82.40042,12.400421,0.7752104
wsm00510,22.127,40.053,POINT (22.127 40.053),EU,NF,143.0,C,103.0,102.300766,0.699234,0.82576436
wsm00511,23.567,41.125,POINT (23.567 41.125),EU,NF,139.0,A,90.0,93.72496,3.7249603,0.8373631
wsm00512,23.567,41.125,POINT (23.567 41.125),EU,NF,139.0,A,34.0,43.962383,9.962383,0.6424969
wsm00513,23.882,40.867,POINT (23.882 40.867),EU,NF,106.0,B,78.0,92.940575,14.940575,0.8450937
wsm00514,23.882,40.867,POINT (23.882 40.867),EU,NF,106.0,B,87.99999,93.23686,5.23687,0.87138504
wsm00515,23.05,40.683,POINT (23.05 40.683),EU,NF,117.0,B,62.000004,100.023575,38.02357,0.75308335
wsm00517,23.333,40.667,POINT (23.333 40.667),EU,NF,101.0,A,97.0,93.40923,3.590767,0.8464171
wsm00518,23.333,40.667,POINT (23.333 40.667),EU,NF,101.0,A,74.0,91.15125,17.151253,0.842938
wsm00520,25.917,40.917,POINT (25.917 40.917),EU,NF,66.0,A,84.0,91.63852,7.6385193,0.8210505
wsm00521,26.057,40.877,POINT (26.057 40.877),EU,NF,58.0,A,83.0,91.38192,8.38192,0.8093901
wsm00655,22.69,61.65,POINT (22.69 61.65),EU,TF,1436.0,B,153.0,158.21758,5.217575,0.77592474
wsm00658,25.02,60.23,POINT (25.02 60.23),EU,TF,1628.0,C,141.0,147.8811,6.8811035,0.7613838
wsm00690,9.513,50.2,POINT (9.513 50.2),EU,NF,1245.0,C,152.0,146.43292,5.5670776,0.8324653
wsm00694,7.753,48.149,POINT (7.753 48.149),EU,SS,1046.0,C,74.0,86.205444,12.205444,0.7201353
wsm00705,7.94,50.07,POINT (7.94 50.07),EU,TF,1249.0,C,137.0,137.92747,0.927475,0.81424373
wsm00706,6.69,50.65,POINT (6.69 50.65),EU,NF,1334.0,C,38.0,23.788223,14.211777,0.75509137
wsm00707,7.97,50.26,POINT (7.97 50.26),EU,TF,1269.0,C,163.0,152.94638,10.053619,0.79904854
wsm00712,7.99,50.68,POINT (7.99 50.68),EU,NS,1315.0,C,118.0,127.60548,9.605476,0.80916286
wsm00715,7.7,50.18,POINT (7.7 50.18),EU,NF,1265.0,C,129.0,132.90466,3.904663,0.8378333
