ID,LON,LAT,geometry,PLATE,REGIME,DIST,QUALITY,AZI,AZI_PRED,AZI_ERROR,STR
wsm00016,29.1,40.18,POINT (29.1 40.18),AT,NF,57.0,B,0.0,4.179857,4.179857,0.59706885
wsm00017,33.69,41.8,POINT (33.69 41.8),EU,NF,87.0,C,0.0,166.51094,13.489059,0.7037815
wsm00025,12.714,56.821,POINT (12.714 56.821),EU,TF,1783.0,B,17.0,20.368938,3.3689384,0.7512652
wsm00026,16.685,57.428,POINT (16.685 57.428),EU,TS,1782.0,B,140.0,144.80019,4.800186,0.7620801
wsm00027,14.758,61.115,POINT (14.758 61.115),EU,TF,1358.0,B,103.0,98.924805,4.0751953,0.7459293
wsm00031,13.678,56.669,POINT (13.678 56.669),EU,TF,1815.0,B,72.0,64.78372,7.216278,0.72929215
wsm00032,13.679,56.667,POINT (13.679 56.667),EU,TF,1815.0,A,27.999998,29.740246,1.7402477,0.7751175
wsm00069,13.12,56.211,POINT (13.12 56.211),EU,NF,1855.0,B,36.0,29.942135,6.057865,0.7962685
wsm00076,13.12,56.211,POINT (13.12 56.211),EU,TF,1855.0,B,36.999996,30.03295,6.9670467,0.75311553
wsm00083,15.101,59.624,POINT (15.101 59.624),EU,TF,1522.0,B,107.0,110.80179,3.8017883,0.7052375
wsm00180,17.832,60.378,POINT (17.832 60.378),EU,TS,1487.0,A,132.0,137.52481,5.524811,0.76210606
wsm00181,15.101,59.625,POINT (15.101 59.625),EU,TF,1522.0,A,109.0,110.000916,1.0009155,0.68107283
wsm00221,26.247,39.162,POINT (26.247 39.162),AS,SS,35.0,B,86.99999,93.176025,6.176033,0.78237045
wsm00222,23.872,39.15,POINT (23.872 39.15),AS,NF,38.0,C,66.0,75.06885,9.068848,0.78851455
wsm00223,23.867,39.145,POINT (23.867 39.145),AS,NF,38.0,A,70.0,77.96487,7.9648666,0.8168616
wsm00224,25.05,39.525,POINT (25.05 39.525),AS,NF,64.0,C,73.0,82.435646,9.435646,0.77666557
wsm00225,25.325,39.967,POINT (25.325 39.967),AS,NF,22.0,B,80.0,91.501625,11.501625,0.80271906
wsm00226,25.068,39.928,POINT (25.068 39.928),AS,NF,22.0,B,93.00001,94.47821,1.4782028,0.82284904
wsm00227,25.383,40.008,POINT (25.383 40.008),AS,NF,17.0,A,78.0,91.39143,13.391434,0.81991947
wsm00228,25.425,40.025,POINT (25.425 40.025),AS,NF,15.0,C,82.0,87.719055,5.719055,0.8247981
wsm00256,25.617,40.867,POINT (25.617 40.867),EU,NF,69.0,C,73.0,85.6726,12.6726,0.82084775
wsm00274,15.39,55.93,POINT (15.39 55.93),EU,SS,1874.0,C,155.0,155.22342,0.22341919,0.8105086
wsm00286,26.185,39.027,POINT (26.185 39.027),AS,NS,47.0,C,92.00001,90.33167,1.668335,0.85517335
wsm00287,26.185,39.027,POINT (26.185 39.027),AS,SS,47.0,B,92.00001,94.4204,2.420395,0.8400563
wsm00288,26.185,39.027,POINT (26.185 39.027),AS,NF,47.0,B,92.00001,92.739845,0.73983765,0.8637056
wsm00289,26.302,39.38,POINT (26.302 39.38),AS,NF,17.0,A,72.0,87.30455,15.30455,0.6579201
wsm00290,26.185,39.027,POINT (26.185 39.027),AS,NF,47.0,A,94.0,93.8547,0.14530182,0.852953
wsm00291,26.485,39.12,POINT (26.485 39.12),AS,NF,23.0,B,84.0,91.29186,7.2918625,0.81592476
wsm00292,26.563,39.108,POINT (26.563 39.108),AS,NF,22.0,C,74.0,89.15479,15.154793,0.67045903
wsm00293,24.567,40.633,POINT (24.567 40.633),EU,NF,64.0,B,83.0,94.63331,11.633308,0.7655057
wsm00294,24.583,40.625,POINT (24.583 40.625),EU,NF,63.0,B,84.0,94.871704,10.871704,0.76870596
wsm00295,25.492,40.492,POINT (25.492 40.492),EU,NF,38.0,B,84.0,88.85688,4.85688,0.80723846
wsm00296,25.693,40.43,POINT (25.693 40.43),EU,NF,29.0,B,72.0,87.71786,15.717857,0.8373356
wsm00297,25.675,40.425,POINT (25.675 40.425),EU,NF,30.0,A,86.99999,90.62379,3.6237946,0.8415313
wsm00298,25.683,40.495,POINT (25.683 40.495),EU,NF,33.0,C,79.0,86.72214,7.7221375,0.84462136
wsm00300,25.527,40.477,POINT (25.527 40.477),EU,NF,37.0,C,67.0,85.56873,18.568733,0.81032693
wsm00301,25.545,40.43,POINT (25.545 40.43),EU,NF,32.0,C,84.0,87.07938,3.0793762,0.8359697
wsm00325,25.528,40.433,POINT (25.528 40.433),EU,NF,32.0,B,83.0,88.5859,5.5858994,0.81474125
wsm00379,7.3,61.517,POINT (7.3 61.517),EU,TF,1196.0,B,101.0,103.95536,2.9553604,0.686898
wsm00395,10.75,59.9,POINT (10.75 59.9),EU,TF,1423.0,C,13.999999,13.313128,0.6868706,0.776696
