ID,LON,LAT,geometry,PLATE,REGIME,DIST,QUALITY,AZI,AZI_PRED,AZI_ERROR,STR
wsm00016,29.1,40.18,POINT (29.1 40.18),AT,NF,57.0,B,0.0,178.32211,1.677887,0.68680704
wsm00017,33.69,41.8,POINT (33.69 41.8),EU,NF,87.0,C,0.0,171.0732,8.926804,0.77687067
wsm00025,12.714,56.821,POINT (12.714 56.821),EU,TF,1783.0,B,17.0,15.760961,1.2390394,0.7114833
wsm00026,16.685,57.428,POINT (16.685 57.428),EU,TS,1782.0,B,140.0,141.40851,1.4085083,0.76684266
wsm00027,14.758,61.115,POINT (14.758 61.115),EU,TF,1358.0,B,103.0,98.34373,4.656273,0.77565444
wsm00031,13.678,56.669,POINT (13.678 56.669),EU,TF,1815.0,B,72.0,72.65425,0.6542511,0.72705746
wsm00032,13.679,56.667,POINT (13.679 56.667),EU,TF,1815.0,A,27.999998,23.871828,4.12817,0.72132415
wsm00069,13.12,56.211,POINT (13.12 56.211),EU,NF,1855.0,B,36.0,23.722301,12.2776985,0.7731132
wsm00076,13.12,56.211,POINT (13.12 56.211),EU,TF,1855.0,B,36.999996,29.136398,7.863598,0.79789627
wsm00083,15.101,59.624,POINT (15.101 59.624),EU,TF,1522.0,B,107.0,110.46003,3.4600296,0.74277145
wsm00180,17.832,60.378,POINT (17.832 60.378),EU,TS,1487.0,A,132.0,133.11018,1.1101837,0.74899936
wsm00181,15.101,59.625,POINT (15.101 59.625),EU,TF,1522.0,A,109.0,105.986694,3.0133057,0.76023734
wsm00221,26.247,39.162,POINT (26.247 39.162),AS,SS,35.0,B,86.99999,92.45642,5.4564285,0.8543932
wsm00222,23.872,39.15,POINT (23.872 39.15),AS,NF,38.0,C,66.0,84.32017,18.320168,0.8447952
wsm00223,23.867,39.145,POINT (23.867 39.145),AS,NF,38.0,A,70.0,78.153656,8.153656,0.8183864
wsm00224,25.05,39.525,POINT (25.05 39.525),AS,NF,64.0,C,73.0,87.97269,14.972687,0.79965484
wsm00225,25.325,39.967,POINT (25.325 39.967),AS,NF,22.0,B,80.0,92.44483,12.444832,0.8603214
wsm00226,25.068,39.928,POINT (25.068 39.928),AS,NF,22.0,B,93.00001,92.32776,0.67224884,0.8326774
wsm00227,25.383,40.008,POINT (25.383 40.008),AS,NF,17.0,A,78.0,90.67085,12.670853,0.8225478
wsm00228,25.425,40.025,POINT (25.425 40.025),AS,NF,15.0,C,82.0,95.32172,13.321716,0.8628529
wsm00256,25.617,40.867,POINT (25.617 40.867),EU,NF,69.0,C,73.0,93.30429,20.30429,0.83811694
wsm00274,15.39,55.93,POINT (15.39 55.93),EU,SS,1874.0,C,155.0,160.10423,5.104233,0.817173
wsm00286,26.185,39.027,POINT (26.185 39.027),AS,NS,47.0,C,92.00001,92.4543,0.4542923,0.8967166
wsm00287,26.185,39.027,POINT (26.185 39.027),AS,SS,47.0,B,92.00001,90.5113,1.4887085,0.89251745
wsm00288,26.185,39.027,POINT (26.185 39.027),AS,NF,47.0,B,92.00001,91.78307,0.2169342,0.8857415
wsm00289,26.302,39.38,POINT (26.302 39.38),AS,NF,17.0,A,72.0,91.750404,19.750404,0.7768853
wsm00290,26.185,39.027,POINT (26.185 39.027),AS,NF,47.0,A,94.0,90.50195,3.4980469,0.88962936
wsm00291,26.485,39.12,POINT (26.485 39.12),AS,NF,23.0,B,84.0,91.49362,7.493622,0.8495035
wsm00292,26.563,39.108,POINT (26.563 39.108),AS,NF,22.0,C,74.0,95.018654,21.018654,0.6962469
wsm00293,24.567,40.633,POINT (24.567 40.633),EU,NF,64.0,B,83.0,96.63883,13.638832,0.8130083
wsm00294,24.583,40.625,POINT (24.583 40.625),EU,NF,63.0,B,84.0,96.68213,12.682129,0.80827725
wsm00295,25.492,40.492,POINT (25.492 40.492),EU,NF,38.0,B,84.0,87.99516,3.995163,0.8497306
wsm00296,25.693,40.43,POINT (25.693 40.43),EU,NF,29.0,B,72.0,88.29737,16.29737,0.8358345
wsm00297,25.675,40.425,POINT (25.675 40.425),EU,NF,30.0,A,86.99999,88.533905,1.5339127,0.8736439
wsm00298,25.683,40.495,POINT (25.683 40.495),EU,NF,33.0,C,79.0,91.27385,12.2738495,0.88250417
wsm00300,25.527,40.477,POINT (25.527 40.477),EU,NF,37.0,C,67.0,91.38404,24.38404,0.8185735
wsm00301,25.545,40.43,POINT (25.545 40.43),EU,NF,32.0,C,84.0,90.09251,6.0925064,0.85002273
wsm00325,25.528,40.433,POINT (25.528 40.433),EU,NF,32.0,B,83.0,87.95361,4.9536133,0.8548452
wsm00379,7.3,61.517,POINT (7.3 61.517),EU,TF,1196.0,B,101.0,101.97388,0.97387695,0.7869714
wsm00395,10.75,59.9,POINT (10.75 59.9),EU,TF,1423.0,C,13.999999,9.849527,4.1504717,0.8072119
wsm00404,5.852,50.893,POINT (5.852 50.893),EU,NF,1378.0,C,132.0,129.25262,2.7473755,0.85084933
wsm00408,5.97,51.06,POINT (5.97 51.06),EU,NF,1393.0,C,141.0,130.40477,10.59523,0.8259828
wsm00409,5.903,51.003,POINT (5.903 51.003),EU,NF,1389.0,C,137.0,129.91095,7.0890503,0.8423196
wsm00411,5.84,51.2,POINT (5.84 51.2),EU,SS,1411.0,C,70.0,92.38233,22.382332,0.72863346
wsm00507,22.028,40.033,POINT (22.028 40.033),EU,NF,148.0,B,72.0,77.01778,5.0177765,0.83823466
wsm00508,22.203,40.04,POINT (22.203 40.04),EU,NF,137.0,B,83.0,85.30526,2.3052597,0.8030618
wsm00509,22.117,40.85,POINT (22.117 40.85),EU,NF,189.0,B,70.0,82.399956,12.399956,0.78238654
wsm00510,22.127,40.053,POINT (22.127 40.053),EU,NF,143.0,C,103.0,102.300705,0.69929504,0.8441126
wsm00511,23.567,41.125,POINT (23.567 41.125),EU,NF,139.0,A,90.0,93.72567,3.7256699,0.8307112
wsm00512,23.567,41.125,POINT (23.567 41.125),EU,NF,139.0,A,34.0,43.960922,9.960922,0.65896994
wsm00513,23.882,40.867,POINT (23.882 40.867),EU,NF,106.0,B,78.0,92.93991,14.939911,0.82706493
wsm00514,23.882,40.867,POINT (23.882 40.867),EU,NF,106.0,B,87.99999,93.23639,5.236397,0.8529904
wsm00515,23.05,40.683,POINT (23.05 40.683),EU,NF,117.0,B,62.000004,100.02006,38.020054,0.67772615
wsm00517,23.333,40.667,POINT (23.333 40.667),EU,NF,101.0,A,97.0,93.40873,3.5912704,0.8543655
wsm00518,23.333,40.667,POINT (23.333 40.667),EU,NF,101.0,A,74.0,91.1507,17.150703,0.8438558
wsm00520,25.917,40.917,POINT (25.917 40.917),EU,NF,66.0,A,84.0,91.63987,7.6398697,0.8246057
wsm00521,26.057,40.877,POINT (26.057 40.877),EU,NF,58.0,A,83.0,91.38467,8.384666,0.79151213
wsm00655,22.69,61.65,POINT (22.69 61.65),EU,TF,1436.0,B,153.0,158.21765,5.2176514,0.72829515
wsm00658,25.02,60.23,POINT (25.02 60.23),EU,TF,1628.0,C,141.0,147.88123,6.8812256,0.7572762
wsm00690,9.513,50.2,POINT (9.513 50.2),EU,NF,1245.0,C,152.0,146.43285,5.567154,0.8438292
wsm00694,7.753,48.149,POINT (7.753 48.149),EU,SS,1046.0,C,74.0,86.207115,12.207115,0.71874744
wsm00705,7.94,50.07,POINT (7.94 50.07),EU,TF,1249.0,C,137.0,137.92867,0.92866516,0.82723397
wsm00706,6.69,50.65,POINT (6.69 50.65),EU,NF,1334.0,C,38.0,23.787825,14.212175,0.73598456
wsm00707,7.97,50.26,POINT (7.97 50.26),EU,TF,1269.0,C,163.0,152.94661,10.0533905,0.81160843
wsm00712,7.99,50.68,POINT (7.99 50.68),EU,NS,1315.0,C,118.0,127.60351,9.603508,0.7822201
wsm00715,7.7,50.18,POINT (7.7 50.18),EU,NF,1265.0,C,129.0,132.90456,3.9045563,0.8268943
wsm00717,8.3,50.04,POINT (8.3 50.04),EU,NF,1241.0,C,148.0,143.46193,4.5380707,0.84749234
wsm00721,7.21,50.53,POINT (7.21 50.53),EU,NF,1311.0,C,162.0,152.30464,9.695358,0.78388196
wsm00723,6.78,50.96,POINT (6.78 50.96),EU,NF,1365.0,C,25.999998,23.329802,2.6701965,0.73453724
wsm00754,5.51,50.85,POINT (5.51 50.85),EU,NF,1382.0,C,86.0,95.31096,9.310959,0.7491373
wsm00755,6.1,50.43,POINT (6.1 50.43),EU,NF,1324.0,C,132.0,129.33813,2.6618652,0.82867944
wsm00759,13.649,46.63,POINT (13.649 46.63),EU,TF,860.0,C,158.0,167.54982,9.54982,0.73381686
wsm00761,15.167,47.283,POINT (15.167 47.283),EU,SS,930.0,C,149.0,149.05115,0.05114746,0.7855847
wsm00765,14.69,47.193,POINT (14.69 47.193),EU,SS,931.0,B,6.9999995,9.544407,2.5444074,0.7671198
wsm00770,5.926,50.813,POINT (5.926 50.813),EU,SS,1368.0,C,131.0,130.99088,0.009124756,0.8560549
wsm00774,5.513,50.632,POINT (5.513 50.632),EU,SS,1359.0,C,122.0,127.55414,5.554138,0.8399165
wsm00802,18.11,47.06,POINT (18.11 47.06),EU,SS,878.0,B,73.0,59.97898,13.021019,0.7530099
wsm01356,9.2,34.6,POINT (9.2 34.6),AF,TS,330.0,C,164.0,160.87622,3.1237793,0.80503047
wsm01357,10.65,35.7,POINT (10.65 35.7),AF,TF,290.0,C,143.0,139.70773,3.2922668,0.7979131
wsm01358,9.8,35.55,POINT (9.8 35.55),AF,TS,254.0,C,103.0,96.81108,6.188919,0.7613579
wsm01556,10.85,34.0,POINT (10.85 34),AF,TS,451.0,C,150.0,155.72014,5.7201385,0.80359983
wsm01558,10.1,37.25,POINT (10.1 37.25),AF,TF,140.0,C,154.0,164.97751,10.977509,0.80125654
wsm01559,10.3,36.8,POINT (10.3 36.8),AF,TS,184.0,C,24.999998,11.340355,13.659643,0.78702825
wsm02400,14.36,46.318,POINT (14.36 46.318),EU,TF,840.0,C,78.0,83.099815,5.0998154,0.7256471
wsm02404,15.536,46.195,POINT (15.536 46.195),EU,TF,806.0,C,167.0,172.11363,5.113632,0.82075983
wsm02411,16.57,42.37,POINT (16.57 42.37),EU,TS,375.0,B,174.0,178.31001,4.310013,0.76972365
