ID,LON,LAT,geometry,PLATE,REGIME,DIST,QUALITY,AZI,AZI_PRED,AZI_ERROR,STR
wsm00016,29.1,40.18,POINT (29.1 40.18),AT,NF,57.0,B,0.0,178.3218,1.6782074,0.6835287
wsm00017,33.69,41.8,POINT (33.69 41.8),EU,NF,87.0,C,0.0,171.07301,8.926987,0.7760383
wsm00025,12.714,56.821,POINT (12.714 56.821),EU,TF,1783.0,B,17.0,15.764575,1.235425,0.72795534
wsm00026,16.685,57.428,POINT (16.685 57.428),EU,TS,1782.0,B,140.0,141.40865,1.4086456,0.73872584
wsm00027,14.758,61.115,POINT (14.758 61.115),EU,TF,1358.0,B,103.0,98.34273,4.6572723,0.77794874
wsm00031,13.678,56.669,POINT (13.678 56.669),EU,TF,1815.0,B,72.0,72.65428,0.6542816,0.7613396
wsm00032,13.679,56.667,POINT (13.679 56.667),EU,TF,1815.0,A,27.999998,23.875174,4.1248245,0.6906034
wsm00069,13.12,56.211,POINT (13.12 56.211),EU,NF,1855.0,B,36.0,23.719715,12.280285,0.7725238
wsm00076,13.12,56.211,POINT (13.12 56.211),EU,TF,1855.0,B,36.999996,29.134466,7.86553,0.7653487
wsm00083,15.101,59.624,POINT (15.101 59.624),EU,TF,1522.0,B,107.0,110.45982,3.4598236,0.78130877
wsm00180,17.832,60.378,POINT (17.832 60.378),EU,TS,1487.0,A,132.0,133.10995,1.1099548,0.7736991
wsm00181,15.101,59.625,POINT (15.101 59.625),EU,TF,1522.0,A,109.0,105.986595,3.0134048,0.75931054
wsm00221,26.247,39.162,POINT (26.247 39.162),AS,SS,35.0,B,86.99999,92.456154,5.4561615,0.8635956
wsm00222,23.872,39.15,POINT (23.872 39.15),AS,NF,38.0,C,66.0,84.32037,18.320374,0.82263345
wsm00223,23.867,39.145,POINT (23.867 39.145),AS,NF,38.0,A,70.0,78.153465,8.153465,0.80512714
wsm00224,25.05,39.525,POINT (25.05 39.525),AS,NF,64.0,C,73.0,87.97527,14.975273,0.80903864
wsm00225,25.325,39.967,POINT (25.325 39.967),AS,NF,22.0,B,80.0,92.444824,12.444824,0.85496634
wsm00226,25.068,39.928,POINT (25.068 39.928),AS,NF,22.0,B,93.00001,92.32834,0.671669,0.8347295
wsm00227,25.383,40.008,POINT (25.383 40.008),AS,NF,17.0,A,78.0,90.67089,12.670891,0.84555763
wsm00228,25.425,40.025,POINT (25.425 40.025),AS,NF,15.0,C,82.0,95.322266,13.322266,0.85172933
wsm00256,25.617,40.867,POINT (25.617 40.867),EU,NF,69.0,C,73.0,93.304016,20.304016,0.8212766
wsm00274,15.39,55.93,POINT (15.39 55.93),EU,SS,1874.0,C,155.0,160.10452,5.1045227,0.81288564
wsm00286,26.185,39.027,POINT (26.185 39.027),AS,NS,47.0,C,92.00001,92.45344,0.45343018,0.91622365
