ID,LON,LAT,geometry,PLATE,REGIME,DIST,QUALITY,AZI,AZI_PRED,AZI_ERROR,STR
wsm00016,29.1,40.18,POINT (29.1 40.18),AT,NF,57.0,B,0.0,178.32265,1.6773529,0.704781
wsm00017,33.69,41.8,POINT (33.69 41.8),EU,NF,87.0,C,0.0,171.07349,8.926514,0.7593576
wsm00025,12.714,56.821,POINT (12.714 56.821),EU,TF,1783.0,B,17.0,15.755583,1.2444172,0.7653042
wsm00026,16.685,57.428,POINT (16.685 57.428),EU,TS,1782.0,B,140.0,141.40828,1.4082794,0.74591976
wsm00027,14.758,61.115,POINT (14.758 61.115),EU,TF,1358.0,B,103.0,98.345436,4.654564,0.79121816
wsm00031,13.678,56.669,POINT (13.678 56.669),EU,TF,1815.0,B,72.0,72.654076,0.6540756,0.75760436
wsm00032,13.679,56.667,POINT (13.679 56.667),EU,TF,1815.0,A,27.999998,23.866753,4.1332455,0.6904851
wsm00069,13.12,56.211,POINT (13.12 56.211),EU,NF,1855.0,B,36.0,23.72743,12.27257,0.72948015
wsm00076,13.12,56.211,POINT (13.12 56.211),EU,TF,1855.0,B,36.999996,29.139925,7.860071,0.73310137
wsm00083,15.101,59.624,POINT (15.101 59.624),EU,TF,1522.0,B,107.0,110.46039,3.4603882,0.7878541
wsm00180,17.832,60.378,POINT (17.832 60.378),EU,TS,1487.0,A,132.0,133.11053,1.1105347,0.76645815
wsm00181,15.101,59.625,POINT (15.101 59.625),EU,TF,1522.0,A,109.0,105.9869,3.0130997,0.76412785
wsm00221,26.247,39.162,POINT (26.247 39.162),AS,SS,35.0,B,86.99999,92.41454,5.414551,0.8432481
wsm00222,23.872,39.15,POINT (23.872 39.15),AS,NF,38.0,C,66.0,84.31981,18.319809,0.8400228
wsm00223,23.867,39.145,POINT (23.867 39.145),AS,NF,38.0,A,70.0,78.15395,8.153954,0.82834285
wsm00224,25.05,39.525,POINT (25.05 39.525),AS,NF,64.0,C,73.0,87.96824,14.968239,0.811414
wsm00225,25.325,39.967,POINT (25.325 39.967),AS,NF,22.0,B,80.0,92.4449,12.4449005,0.8526939
wsm00226,25.068,39.928,POINT (25.068 39.928),AS,NF,22.0,B,93.00001,92.32673,0.6732788,0.8287324
wsm00227,25.383,40.008,POINT (25.383 40.008),AS,NF,17.0,A,78.0,90.67075,12.6707535,0.8444346
wsm00228,25.425,40.025,POINT (25.425 40.025),AS,NF,15.0,C,82.0,95.32076,13.320763,0.85734713
wsm00256,25.617,40.867,POINT (25.617 40.867),EU,NF,69.0,C,73.0,93.30479,20.304787,0.8435147
wsm00274,15.39,55.93,POINT (15.39 55.93),EU,SS,1874.0,C,155.0,160.10391,5.1039124,0.8157426
wsm00286,26.185,39.027,POINT (26.185 39.027),AS,NS,47.0,C,92.00001,92.09797,0.097961426,0.90696037
wsm00287,26.185,39.027,POINT (26.185 39.027),AS,SS,47.0,B,92.00001,90.49235,1.5076599,0.8858154
wsm00288,26.185,39.027,POINT (26.185 39.027),AS,NF,47.0,B,92.00001,91.93322,0.06678772,0.88432884
wsm00289,26.302,39.38,POINT (26.302 39.38),AS,NF,17.0,A,72.0,91.74789,19.747887,0.7867249
wsm00290,26.185,39.027,POINT (26.185 39.027),AS,NF,47.0,A,94.0,91.08223,2.9177704,0.8793677
wsm00291,26.485,39.12,POINT (26.485 39.12),AS,NF,23.0,B,84.0,91.48046,7.480461,0.79978013
wsm00292,26.563,39.108,POINT (26.563 39.108),AS,NF,22.0,C,74.0,95.00177,21.00177,0.76178145
wsm00293,24.567,40.633,POINT (24.567 40.633),EU,NF,64.0,B,83.0,96.60951,13.609512,0.8215287
wsm00294,24.583,40.625,POINT (24.583 40.625),EU,NF,63.0,B,84.0,96.6552,12.655197,0.8177649
wsm00295,25.492,40.492,POINT (25.492 40.492),EU,NF,38.0,B,84.0,87.994606,3.994606,0.846168
wsm00296,25.693,40.43,POINT (25.693 40.43),EU,NF,29.0,B,72.0,88.29669,16.296692,0.8397887
wsm00297,25.675,40.425,POINT (25.675 40.425),EU,NF,30.0,A,86.99999,88.53277,1.5327759,0.8584128
wsm00298,25.683,40.495,POINT (25.683 40.495),EU,NF,33.0,C,79.0,91.27172,12.271721,0.8820226
wsm00300,25.527,40.477,POINT (25.527 40.477),EU,NF,37.0,C,67.0,91.3839,24.383904,0.80477977
wsm00301,25.545,40.43,POINT (25.545 40.43),EU,NF,32.0,C,84.0,90.09244,6.0924377,0.8445724
wsm00325,25.528,40.433,POINT (25.528 40.433),EU,NF,32.0,B,83.0,87.953354,4.953354,0.8483065
wsm00379,7.3,61.517,POINT (7.3 61.517),EU,TF,1196.0,B,101.0,101.97283,0.9728317,0.7795618
wsm00395,10.75,59.9,POINT (10.75 59.9),EU,TF,1423.0,C,13.999999,9.849532,4.150467,0.80073816
wsm00404,5.852,50.893,POINT (5.852 50.893),EU,NF,1378.0,C,132.0,129.25345,2.7465515,0.85887986
wsm00408,5.97,51.06,POINT (5.97 51.06),EU,NF,1393.0,C,141.0,130.40494,10.595062,0.8179759
wsm00409,5.903,51.003,POINT (5.903 51.003),EU,NF,1389.0,C,137.0,129.91154,7.088455,0.84015924
wsm00411,5.84,51.2,POINT (5.84 51.2),EU,SS,1411.0,C,70.0,92.37501,22.375008,0.7505971
wsm00507,22.028,40.033,POINT (22.028 40.033),EU,NF,148.0,B,72.0,77.01914,5.019142,0.8253758
wsm00508,22.203,40.04,POINT (22.203 40.04),EU,NF,137.0,B,83.0,85.30712,2.3071213,0.8260915
