ID,LON,LAT,geometry,PLATE,REGIME,DIST,QUALITY,AZI,AZI_PRED,AZI_ERROR,STR
wsm00016,29.1,40.18,POINT (29.1 40.18),AT,NF,57.0,B,0.0,7.9369392,7.9369392,0.7863439
wsm00017,33.69,41.8,POINT (33.69 41.8),EU,NF,87.0,C,0.0,167.47464,12.52536,0.55074096
wsm00025,12.714,56.821,POINT (12.714 56.821),EU,TF,1783.0,B,17.0,1.6641736,15.335827,0.3331886
wsm00026,16.685,57.428,POINT (16.685 57.428),EU,TS,1782.0,B,140.0,150.0439,10.0439,0.15922779
wsm00027,14.758,61.115,POINT (14.758 61.115),EU,TF,1358.0,B,103.0,98.34822,4.651779,0.75863576
wsm00031,13.678,56.669,POINT (13.678 56.669),EU,TF,1815.0,B,72.0,78.315544,6.315544,0.53471386
wsm00032,13.679,56.667,POINT (13.679 56.667),EU,TF,1815.0,A,27.999998,22.353123,5.6468754,0.294168
wsm00069,13.12,56.211,POINT (13.12 56.211),EU,NF,1855.0,B,36.0,6.0664344,29.933565,0.42854196
wsm00076,13.12,56.211,POINT (13.12 56.211),EU,TF,1855.0,B,36.999996,18.709658,18.290339,0.43506107
wsm00083,15.101,59.624,POINT (15.101 59.624),EU,TF,1522.0,B,107.0,113.05941,6.05941,0.6355178
wsm00180,17.832,60.378,POINT (17.832 60.378),EU,TS,1487.0,A,132.0,132.81339,0.813385,0.78939295
wsm00181,15.101,59.625,POINT (15.101 59.625),EU,TF,1522.0,A,109.0,108.76431,0.23568726,0.59412175
wsm00221,26.247,39.162,POINT (26.247 39.162),AS,SS,35.0,B,86.99999,95.72729,8.727295,0.84197235
wsm00222,23.872,39.15,POINT (23.872 39.15),AS,NF,38.0,C,66.0,85.38526,19.385262,0.8308941
wsm00223,23.867,39.145,POINT (23.867 39.145),AS,NF,38.0,A,70.0,78.913376,8.913376,0.7976901
wsm00224,25.05,39.525,POINT (25.05 39.525),AS,NF,64.0,C,73.0,89.90359,16.903587,0.78836656
wsm00225,25.325,39.967,POINT (25.325 39.967),AS,NF,22.0,B,80.0,94.98626,14.986259,0.797807
wsm00226,25.068,39.928,POINT (25.068 39.928),AS,NF,22.0,B,93.00001,96.12564,3.1256332,0.83116966
wsm00227,25.383,40.008,POINT (25.383 40.008),AS,NF,17.0,A,78.0,92.71557,14.715569,0.8090202
wsm00228,25.425,40.025,POINT (25.425 40.025),AS,NF,15.0,C,82.0,97.96517,15.965172,0.83434945
wsm00256,25.617,40.867,POINT (25.617 40.867),EU,NF,69.0,C,73.0,98.80143,25.80143,0.7697977
wsm00274,15.39,55.93,POINT (15.39 55.93),EU,SS,1874.0,C,155.0,161.26755,6.2675476,0.34422678
wsm00286,26.185,39.027,POINT (26.185 39.027),AS,NS,47.0,C,92.00001,95.13181,3.1318054,0.8817804
wsm00287,26.185,39.027,POINT (26.185 39.027),AS,SS,47.0,B,92.00001,93.711914,1.7119064,0.8375682
wsm00288,26.185,39.027,POINT (26.185 39.027),AS,NF,47.0,B,92.00001,95.551285,3.5512772,0.8701705
wsm00289,26.302,39.38,POINT (26.302 39.38),AS,NF,17.0,A,72.0,90.86339,18.863388,0.6920792
wsm00290,26.185,39.027,POINT (26.185 39.027),AS,NF,47.0,A,94.0,93.52381,0.47618866,0.8683622
wsm00291,26.485,39.12,POINT (26.485 39.12),AS,NF,23.0,B,84.0,94.019554,10.019554,0.84040993
wsm00292,26.563,39.108,POINT (26.563 39.108),AS,NF,22.0,C,74.0,94.415436,20.415436,0.78709114
wsm00293,24.567,40.633,POINT (24.567 40.633),EU,NF,64.0,B,83.0,100.51341,17.513412,0.7519908
wsm00294,24.583,40.625,POINT (24.583 40.625),EU,NF,63.0,B,84.0,100.547455,16.547455,0.74195147
wsm00295,25.492,40.492,POINT (25.492 40.492),EU,NF,38.0,B,84.0,92.20109,8.201088,0.7757876
wsm00296,25.693,40.43,POINT (25.693 40.43),EU,NF,29.0,B,72.0,93.39535,21.395348,0.79693073
wsm00297,25.675,40.425,POINT (25.675 40.425),EU,NF,30.0,A,86.99999,93.71666,6.716667,0.7887287
wsm00298,25.683,40.495,POINT (25.683 40.495),EU,NF,33.0,C,79.0,98.01775,19.017754,0.8065759
wsm00300,25.527,40.477,POINT (25.527 40.477),EU,NF,37.0,C,67.0,95.4467,28.446701,0.7814388
wsm00301,25.545,40.43,POINT (25.545 40.43),EU,NF,32.0,C,84.0,95.7316,11.731598,0.79571086
wsm00325,25.528,40.433,POINT (25.528 40.433),EU,NF,32.0,B,83.0,92.908356,9.908356,0.7720519
wsm00379,7.3,61.517,POINT (7.3 61.517),EU,TF,1196.0,B,101.0,101.8625,0.86250305,0.762413
wsm00395,10.75,59.9,POINT (10.75 59.9),EU,TF,1423.0,C,13.999999,9.849525,4.1504736,0.8253628
wsm00404,5.852,50.893,POINT (5.852 50.893),EU,NF,1378.0,C,132.0,127.272285,4.7277145,0.7056288
wsm00408,5.97,51.06,POINT (5.97 51.06),EU,NF,1393.0,C,141.0,129.88327,11.11673,0.6832333
wsm00409,5.903,51.003,POINT (5.903 51.003),EU,NF,1389.0,C,137.0,128.27194,8.728058,0.69070405
wsm00411,5.84,51.2,POINT (5.84 51.2),EU,SS,1411.0,C,70.0,94.944695,24.944695,0.73580515
wsm00507,22.028,40.033,POINT (22.028 40.033),EU,NF,148.0,B,72.0,72.514366,0.51436615,0.83566487
wsm00508,22.203,40.04,POINT (22.203 40.04),EU,NF,137.0,B,83.0,81.474304,1.5256958,0.81391066
wsm00509,22.117,40.85,POINT (22.117 40.85),EU,NF,189.0,B,70.0,75.40546,5.4054565,0.6687652
wsm00510,22.127,40.053,POINT (22.127 40.053),EU,NF,143.0,C,103.0,100.00515,2.9948502,0.841282
wsm00511,23.567,41.125,POINT (23.567 41.125),EU,NF,139.0,A,90.0,94.443085,4.4430847,0.747902
wsm00512,23.567,41.125,POINT (23.567 41.125),EU,NF,139.0,A,34.0,40.239807,6.239807,0.6156094
wsm00513,23.882,40.867,POINT (23.882 40.867),EU,NF,106.0,B,78.0,95.93091,17.930908,0.77095175
wsm00514,23.882,40.867,POINT (23.882 40.867),EU,NF,106.0,B,87.99999,95.86407,7.8640747,0.77306116
wsm00515,23.05,40.683,POINT (23.05 40.683),EU,NF,117.0,B,62.000004,102.106995,40.10699,0.64142346
