ID,LON,LAT,geometry,PLATE,REGIME,DIST,QUALITY,AZI,AZI_PRED,AZI_ERROR,STR
wsm00016,29.1,40.18,POINT (29.1 40.18),AT,NF,57.0,B,0.0,23.586262,23.586262,0.63817555
wsm00017,33.69,41.8,POINT (33.69 41.8),EU,NF,87.0,C,0.0,2.9368665,2.9368665,0.58987904
wsm00025,12.714,56.821,POINT (12.714 56.821),EU,TF,1783.0,B,17.0,16.98706,0.012939453,0.7863654
wsm00026,16.685,57.428,POINT (16.685 57.428),EU,TS,1782.0,B,140.0,145.73613,5.7361298,0.71738774
wsm00031,13.678,56.669,POINT (13.678 56.669),EU,TF,1815.0,B,72.0,57.13601,14.863991,0.7463765
wsm00032,13.679,56.667,POINT (13.679 56.667),EU,TF,1815.0,A,27.999998,18.533745,9.466253,0.7979083
wsm00069,13.12,56.211,POINT (13.12 56.211),EU,NF,1855.0,B,36.0,32.036613,3.9633865,0.7456722
wsm00076,13.12,56.211,POINT (13.12 56.211),EU,TF,1855.0,B,36.999996,28.28509,8.714907,0.7298174
wsm00221,26.247,39.162,POINT (26.247 39.162),AS,SS,35.0,B,86.99999,82.028404,4.971588,0.7299436
wsm00222,23.872,39.15,POINT (23.872 39.15),AS,NF,38.0,C,66.0,64.85845,1.1415482,0.87632906
wsm00223,23.867,39.145,POINT (23.867 39.145),AS,NF,38.0,A,70.0,70.42857,0.4285736,0.87656474
wsm00224,25.05,39.525,POINT (25.05 39.525),AS,NF,64.0,C,73.0,70.307915,2.6920853,0.8618703
wsm00225,25.325,39.967,POINT (25.325 39.967),AS,NF,22.0,B,80.0,79.20722,0.792778,0.81606877
wsm00226,25.068,39.928,POINT (25.068 39.928),AS,NF,22.0,B,93.00001,86.70321,6.2967987,0.62121737
wsm00227,25.383,40.008,POINT (25.383 40.008),AS,NF,17.0,A,78.0,82.280464,4.280464,0.86748236
wsm00228,25.425,40.025,POINT (25.425 40.025),AS,NF,15.0,C,82.0,75.81653,6.1834717,0.880719
wsm00256,25.617,40.867,POINT (25.617 40.867),EU,NF,69.0,C,73.0,76.89246,3.8924637,0.78110737
wsm00274,15.39,55.93,POINT (15.39 55.93),EU,SS,1874.0,C,155.0,156.29602,1.2960205,0.7903817
wsm00286,26.185,39.027,POINT (26.185 39.027),AS,NS,47.0,C,92.00001,81.59696,10.403046,0.88537765
wsm00287,26.185,39.027,POINT (26.185 39.027),AS,SS,47.0,B,92.00001,89.91873,2.081276,0.79607594
wsm00288,26.185,39.027,POINT (26.185 39.027),AS,NF,47.0,B,92.00001,87.187164,4.8128433,0.89255244
wsm00289,26.302,39.38,POINT (26.302 39.38),AS,NF,17.0,A,72.0,73.67638,1.6763763,0.7436544
wsm00290,26.185,39.027,POINT (26.185 39.027),AS,NF,47.0,A,94.0,87.76688,6.233124,0.86708295
wsm00291,26.485,39.12,POINT (26.485 39.12),AS,NF,23.0,B,84.0,78.747635,5.252365,0.85222864
wsm00292,26.563,39.108,POINT (26.563 39.108),AS,NF,22.0,C,74.0,77.68303,3.6830292,0.80670506
wsm00293,24.567,40.633,POINT (24.567 40.633),EU,NF,64.0,B,83.0,80.26968,2.7303238,0.8393333
wsm00294,24.583,40.625,POINT (24.583 40.625),EU,NF,63.0,B,84.0,80.28483,3.7151718,0.85948503
wsm00295,25.492,40.492,POINT (25.492 40.492),EU,NF,38.0,B,84.0,80.53727,3.4627304,0.83694315
wsm00296,25.693,40.43,POINT (25.693 40.43),EU,NF,29.0,B,72.0,80.604164,8.604164,0.8290211
wsm00297,25.675,40.425,POINT (25.675 40.425),EU,NF,30.0,A,86.99999,81.85248,5.1475143,0.8500912
wsm00298,25.683,40.495,POINT (25.683 40.495),EU,NF,33.0,C,79.0,78.1907,0.8093033,0.82331824
wsm00300,25.527,40.477,POINT (25.527 40.477),EU,NF,37.0,C,67.0,78.260994,11.260994,0.86070967
wsm00301,25.545,40.43,POINT (25.545 40.43),EU,NF,32.0,C,84.0,78.51398,5.486023,0.8878769
wsm00325,25.528,40.433,POINT (25.528 40.433),EU,NF,32.0,B,83.0,81.17761,1.8223877,0.8508699
wsm00404,5.852,50.893,POINT (5.852 50.893),EU,NF,1378.0,C,132.0,135.96017,3.9601746,0.8482589
wsm00408,5.97,51.06,POINT (5.97 51.06),EU,NF,1393.0,C,141.0,136.69202,4.3079834,0.82620674
wsm00409,5.903,51.003,POINT (5.903 51.003),EU,NF,1389.0,C,137.0,135.95111,1.0488892,0.8444416
wsm00411,5.84,51.2,POINT (5.84 51.2),EU,SS,1411.0,C,70.0,67.66504,2.334961,0.60326415
wsm00507,22.028,40.033,POINT (22.028 40.033),EU,NF,148.0,B,72.0,76.9329,4.9328995,0.77380097
wsm00508,22.203,40.04,POINT (22.203 40.04),EU,NF,137.0,B,83.0,79.61323,3.3867722,0.6970084
wsm00509,22.117,40.85,POINT (22.117 40.85),EU,NF,189.0,B,70.0,71.04048,1.0404816,0.86541206
wsm00510,22.127,40.053,POINT (22.127 40.053),EU,NF,143.0,C,103.0,89.3798,13.620201,0.7279043
wsm00511,23.567,41.125,POINT (23.567 41.125),EU,NF,139.0,A,90.0,86.027695,3.9723053,0.78697276
wsm00512,23.567,41.125,POINT (23.567 41.125),EU,NF,139.0,A,34.0,40.94289,6.94289,0.7146202
wsm00513,23.882,40.867,POINT (23.882 40.867),EU,NF,106.0,B,78.0,80.001884,2.0018845,0.82690567
wsm00514,23.882,40.867,POINT (23.882 40.867),EU,NF,106.0,B,87.99999,80.034225,7.965767,0.8211929
wsm00515,23.05,40.683,POINT (23.05 40.683),EU,NF,117.0,B,62.000004,70.40537,8.405369,0.79026055
wsm00517,23.333,40.667,POINT (23.333 40.667),EU,NF,101.0,A,97.0,89.09529,7.904709,0.8476398
wsm00518,23.333,40.667,POINT (23.333 40.667),EU,NF,101.0,A,74.0,80.46144,6.461441,0.8482255
wsm00520,25.917,40.917,POINT (25.917 40.917),EU,NF,66.0,A,84.0,82.363625,1.6363754,0.81850904
wsm00521,26.057,40.877,POINT (26.057 40.877),EU,NF,58.0,A,83.0,82.06959,0.9304123,0.808543
wsm00690,9.513,50.2,POINT (9.513 50.2),EU,NF,1245.0,C,152.0,152.16296,0.16296387,0.78231883
wsm00694,7.753,48.149,POINT (7.753 48.149),EU,SS,1046.0,C,74.0,76.65904,2.6590424,0.7666866
wsm00705,7.94,50.07,POINT (7.94 50.07),EU,TF,1249.0,C,137.0,142.96771,5.9677124,0.8319844
wsm00706,6.69,50.65,POINT (6.69 50.65),EU,NF,1334.0,C,38.0,22.880346,15.119654,0.65784526
wsm00707,7.97,50.26,POINT (7.97 50.26),EU,TF,1269.0,C,163.0,154.89908,8.100922,0.80830437
wsm00712,7.99,50.68,POINT (7.99 50.68),EU,NS,1315.0,C,118.0,129.61877,11.618774,0.7713622
wsm00715,7.7,50.18,POINT (7.7 50.18),EU,NF,1265.0,C,129.0,137.08444,8.084442,0.83967793
wsm00717,8.3,50.04,POINT (8.3 50.04),EU,NF,1241.0,C,148.0,143.40247,4.597534,0.81650954
wsm00721,7.21,50.53,POINT (7.21 50.53),EU,NF,1311.0,C,162.0,147.82199,14.178009,0.5684806
wsm00723,6.78,50.96,POINT (6.78 50.96),EU,NF,1365.0,C,25.999998,11.738668,14.26133,0.7520681
wsm00754,5.51,50.85,POINT (5.51 50.85),EU,NF,1382.0,C,86.0,101.10535,15.105347,0.7007601
wsm00755,6.1,50.43,POINT (6.1 50.43),EU,NF,1324.0,C,132.0,135.02,3.0200043,0.79462624
wsm00759,13.649,46.63,POINT (13.649 46.63),EU,TF,860.0,C,158.0,153.8342,4.165802,0.7910517
wsm00761,15.167,47.283,POINT (15.167 47.283),EU,SS,930.0,C,149.0,147.2914,1.7086029,0.8199996
wsm00765,14.69,47.193,POINT (14.69 47.193),EU,SS,931.0,B,6.9999995,4.378127,2.6218724,0.70482856
wsm00770,5.926,50.813,POINT (5.926 50.813),EU,SS,1368.0,C,131.0,136.73045,5.7304535,0.8322414
wsm00774,5.513,50.632,POINT (5.513 50.632),EU,SS,1359.0,C,122.0,139.76442,17.76442,0.5382456
wsm00802,18.11,47.06,POINT (18.11 47.06),EU,SS,878.0,B,73.0,63.54016,9.459839,0.6761084
wsm01357,10.65,35.7,POINT (10.65 35.7),AF,TF,290.0,C,143.0,147.59567,4.5956726,0.8179707
wsm01358,9.8,35.55,POINT (9.8 35.55),AF,TS,254.0,C,103.0,135.29366,32.293655,0.50607026
wsm01558,10.1,37.25,POINT (10.1 37.25),AF,TF,140.0,C,154.0,154.85593,0.8559265,0.75097835
wsm01559,10.3,36.8,POINT (10.3 36.8),AF,TS,184.0,C,24.999998,10.696432,14.303566,0.77339727
wsm02400,14.36,46.318,POINT (14.36 46.318),EU,TF,840.0,C,78.0,74.36331,3.6366882,0.69692886
wsm02404,15.536,46.195,POINT (15.536 46.195),EU,TF,806.0,C,167.0,162.40431,4.595688,0.765702
wsm02411,16.57,42.37,POINT (16.57 42.37),EU,TS,375.0,B,174.0,156.62363,17.376373,0.7479125
wsm02413,13.42,43.72,POINT (13.42 43.72),EU,SS,542.0,A,84.99999,93.99401,8.994019,0.78320885
wsm02454,13.197,46.302,POINT (13.197 46.302),EU,TF,818.0,C,155.0,162.01593,7.01593,0.8444027
wsm02455,13.293,46.298,POINT (13.293 46.298),EU,TS,819.0,C,162.0,157.12173,4.8782654,0.8339983
wsm02456,13.0,46.25,POINT (13 46.25),EU,TF,809.0,B,178.0,157.53639,20.463608,0.83248913
wsm02457,13.25,46.3,POINT (13.25 46.3),EU,TF,818.0,A,171.0,159.90643,11.093567,0.83896255
wsm02458,13.163,46.295,POINT (13.163 46.295),EU,TF,816.0,C,45.0,34.167057,10.832943,0.7246485
wsm02459,13.162,46.293,POINT (13.162 46.293),EU,TF,816.0,C,133.0,154.78442,21.784424,0.726806
