ID,LON,LAT,geometry,PLATE,REGIME,DIST,QUALITY,AZI,AZI_PRED,AZI_ERROR
wsm00016,29.1,40.18,POINT (29.1 40.18),AT,NF,57.0,B,0.0,172.81592,7.184082
wsm00017,33.69,41.8,POINT (33.69 41.8),EU,NF,87.0,C,0.0,171.76044,8.239563
wsm00025,12.714,56.821,POINT (12.714 56.821),EU,TF,1783.0,B,17.0,19.649664,2.649664
wsm00026,16.685,57.428,POINT (16.685 57.428),EU,TS,1782.0,B,140.0,141.77504,1.7750397
wsm00031,13.678,56.669,POINT (13.678 56.669),EU,TF,1815.0,B,72.0,68.7797,3.2202988
wsm00032,13.679,56.667,POINT (13.679 56.667),EU,TF,1815.0,A,27.999998,31.426517,3.4265194
wsm00069,13.12,56.211,POINT (13.12 56.211),EU,NF,1855.0,B,36.0,37.965565,1.9655647
wsm00076,13.12,56.211,POINT (13.12 56.211),EU,TF,1855.0,B,36.999996,39.214607,2.214611
wsm00221,26.247,39.162,POINT (26.247 39.162),AS,SS,35.0,B,86.99999,94.86856,7.8685684
wsm00222,23.872,39.15,POINT (23.872 39.15),AS,NF,38.0,C,66.0,74.384735,8.384735
wsm00223,23.867,39.145,POINT (23.867 39.145),AS,NF,38.0,A,70.0,78.658165,8.658165
wsm00224,25.05,39.525,POINT (25.05 39.525),AS,NF,64.0,C,73.0,81.92555,8.925552
wsm00225,25.325,39.967,POINT (25.325 39.967),AS,NF,22.0,B,80.0,89.08995,9.089951
wsm00226,25.068,39.928,POINT (25.068 39.928),AS,NF,22.0,B,93.00001,100.427536,7.4275284
wsm00227,25.383,40.008,POINT (25.383 40.008),AS,NF,17.0,A,78.0,86.35989,8.359894
wsm00228,25.425,40.025,POINT (25.425 40.025),AS,NF,15.0,C,82.0,90.50681,8.506813
wsm00256,25.617,40.867,POINT (25.617 40.867),EU,NF,69.0,C,73.0,81.515114,8.515114
wsm00274,15.39,55.93,POINT (15.39 55.93),EU,SS,1874.0,C,155.0,153.27977,1.7202301
wsm00286,26.185,39.027,POINT (26.185 39.027),AS,NS,47.0,C,92.00001,99.9559,7.9558945
wsm00287,26.185,39.027,POINT (26.185 39.027),AS,SS,47.0,B,92.00001,99.75889,7.7588806
wsm00288,26.185,39.027,POINT (26.185 39.027),AS,NF,47.0,B,92.00001,99.608765,7.608757
wsm00289,26.302,39.38,POINT (26.302 39.38),AS,NF,17.0,A,72.0,80.75724,8.75724
wsm00290,26.185,39.027,POINT (26.185 39.027),AS,NF,47.0,A,94.0,100.77462,6.77462
wsm00291,26.485,39.12,POINT (26.485 39.12),AS,NF,23.0,B,84.0,92.322525,8.322525
wsm00292,26.563,39.108,POINT (26.563 39.108),AS,NF,22.0,C,74.0,82.86569,8.865692
wsm00293,24.567,40.633,POINT (24.567 40.633),EU,NF,64.0,B,83.0,91.60541,8.605408
wsm00294,24.583,40.625,POINT (24.583 40.625),EU,NF,63.0,B,84.0,92.41196,8.411957
wsm00295,25.492,40.492,POINT (25.492 40.492),EU,NF,38.0,B,84.0,92.46438,8.464378
wsm00296,25.693,40.43,POINT (25.693 40.43),EU,NF,29.0,B,72.0,81.18268,9.182678
wsm00297,25.675,40.425,POINT (25.675 40.425),EU,NF,30.0,A,86.99999,94.888954,7.888962
wsm00298,25.683,40.495,POINT (25.683 40.495),EU,NF,33.0,C,79.0,87.523605,8.523605
wsm00300,25.527,40.477,POINT (25.527 40.477),EU,NF,37.0,C,67.0,74.936935,7.9369354
wsm00301,25.545,40.43,POINT (25.545 40.43),EU,NF,32.0,C,84.0,92.51608,8.516083
wsm00325,25.528,40.433,POINT (25.528 40.433),EU,NF,32.0,B,83.0,91.66818,8.668182
wsm00404,5.852,50.893,POINT (5.852 50.893),EU,NF,1378.0,C,132.0,130.92212,1.0778809
wsm00408,5.97,51.06,POINT (5.97 51.06),EU,NF,1393.0,C,141.0,139.67331,1.3266907
wsm00409,5.903,51.003,POINT (5.903 51.003),EU,NF,1389.0,C,137.0,135.89673,1.1032715
wsm00411,5.84,51.2,POINT (5.84 51.2),EU,SS,1411.0,C,70.0,66.96688,3.0331192
wsm00507,22.028,40.033,POINT (22.028 40.033),EU,NF,148.0,B,72.0,81.02436,9.024361
wsm00508,22.203,40.04,POINT (22.203 40.04),EU,NF,137.0,B,83.0,91.37353,8.373528
wsm00509,22.117,40.85,POINT (22.117 40.85),EU,NF,189.0,B,70.0,78.78934,8.789337
wsm00510,22.127,40.053,POINT (22.127 40.053),EU,NF,143.0,C,103.0,108.85224,5.8522415
wsm00511,23.567,41.125,POINT (23.567 41.125),EU,NF,139.0,A,90.0,97.13015,7.13015
wsm00512,23.567,41.125,POINT (23.567 41.125),EU,NF,139.0,A,34.0,29.528517,4.471483
wsm00513,23.882,40.867,POINT (23.882 40.867),EU,NF,106.0,B,78.0,86.9823,8.9823
wsm00514,23.882,40.867,POINT (23.882 40.867),EU,NF,106.0,B,87.99999,95.506744,7.506752
wsm00515,23.05,40.683,POINT (23.05 40.683),EU,NF,117.0,B,62.000004,70.31192,8.311916
wsm00517,23.333,40.667,POINT (23.333 40.667),EU,NF,101.0,A,97.0,103.4291,6.4291
wsm00518,23.333,40.667,POINT (23.333 40.667),EU,NF,101.0,A,74.0,82.046036,8.046036
wsm00520,25.917,40.917,POINT (25.917 40.917),EU,NF,66.0,A,84.0,92.16111,8.16111
wsm00521,26.057,40.877,POINT (26.057 40.877),EU,NF,58.0,A,83.0,91.13992,8.139923
wsm00690,9.513,50.2,POINT (9.513 50.2),EU,NF,1245.0,C,152.0,149.75975,2.2402496
wsm00694,7.753,48.149,POINT (7.753 48.149),EU,SS,1046.0,C,74.0,72.75778,1.242218
wsm00705,7.94,50.07,POINT (7.94 50.07),EU,TF,1249.0,C,137.0,135.388,1.6119995
