ID,LON,LAT,geometry,PLATE,REGIME,DIST,QUALITY,AZI,AZI_PRED,AZI_ERROR,STR,SOURCE_FILE
grid_000000,10.0,40.2,POINT (10 40.2),EU,TF,151.59781583850145,C,0.0,114.21251,65.78749,0.27718326,iS-GNN_grid_0p6Dr_results_ep_150_bs64_lr_5em04_k_diff_1_kNN_12_kernel_r_0_75_w_0_7em01.csv
grid_000000,10.0,40.4,POINT (10 40.4),EU,TF,171.48792413786344,C,0.0,105.046135,74.953865,0.43831006,iS-GNN_grid_0p6Gr_results_ep_150_bs64_lr_5em04_k_diff_1_kNN_12_kernel_r_0_75_w_0_7em01.csv
grid_000011,10.0,40.6,POINT (10 40.6),EU,TF,191.88785504259076,C,0.0,105.191765,74.808235,0.5266106,iS-GNN_grid_0p6Ar_results_ep_150_bs64_lr_5em04_k_diff_1_kNN_12_kernel_r_0_75_w_0_7em01.csv
grid_000011,10.0,40.8,POINT (10 40.8),EU,TF,212.6511772072219,C,0.0,108.51702,71.48298,0.50490934,iS-GNN_grid_0p6Dr_results_ep_150_bs64_lr_5em04_k_diff_1_kNN_12_kernel_r_0_75_w_0_7em01.csv
grid_000011,10.0,41.0,POINT (10 41),EU,TF,233.681265985853,C,0.0,108.49767,71.50233,0.5046205,iS-GNN_grid_0p6Gr_results_ep_150_bs64_lr_5em04_k_diff_1_kNN_12_kernel_r_0_75_w_0_7em01.csv
grid_000022,10.0,41.2,POINT (10 41.2),EU,NF,254.912308351617,C,0.0,118.28636,61.71364,0.41893256,iS-GNN_grid_0p6Ar_results_ep_150_bs64_lr_5em04_k_diff_1_kNN_12_kernel_r_0_75_w_0_7em01.csv
grid_000022,10.0,41.4,POINT (10 41.4),EU,NF,276.29817090772565,C,0.0,119.37153,60.62847,0.38264647,iS-GNN_grid_0p6Dr_results_ep_150_bs64_lr_5em04_k_diff_1_kNN_12_kernel_r_0_75_w_0_7em01.csv
grid_000022,10.0,41.6,POINT (10 41.6),EU,TF,297.8056757974779,C,0.0,104.81178,75.18822,0.44181013,iS-GNN_grid_0p6Gr_results_ep_150_bs64_lr_5em04_k_diff_1_kNN_12_kernel_r_0_75_w_0_7em01.csv
grid_000033,10.0,41.8,POINT (10 41.8),EU,TF,319.4104138931725,C,0.0,110.966805,69.033195,0.30236772,iS-GNN_grid_0p6Ar_results_ep_150_bs64_lr_5em04_k_diff_1_kNN_12_kernel_r_0_75_w_0_7em01.csv
grid_000033,10.0,42.0,POINT (10 42),EU,TF,341.0940617092155,C,0.0,123.43777,56.562233,0.21869344,iS-GNN_grid_0p6Dr_results_ep_150_bs64_lr_5em04_k_diff_1_kNN_12_kernel_r_0_75_w_0_7em01.csv
