ID,LON,LAT,geometry,PLATE,REGIME,DIST,QUALITY,AZI,AZI_PRED,AZI_ERROR
grid_000000,10.0,40.0,POINT (10 40),EU,SS,132.98618950531963,C,0.0,149.17758,30.822418
grid_000001,10.5,40.0,POINT (10.5 40),EU,TF,115.19733968340643,C,0.0,12.275057,12.275057
grid_000009,14.5,40.0,POINT (14.5 40),EU,TF,137.0855456947743,C,0.0,10.100593,10.100593
grid_000010,15.0,40.0,POINT (15 40),EU,TF,143.31921309463843,C,0.0,8.742934,8.742934
grid_000011,15.5,40.0,POINT (15.5 40),EU,NF,161.24341589842652,C,0.0,131.55385,48.44615
grid_000012,16.0,40.0,POINT (16 40),EU,NF,182.6686520273247,C,0.0,135.2677,44.7323
grid_000013,10.0,40.5,POINT (10 40.5),EU,TF,181.63477992652017,C,0.0,5.898828,5.898828
grid_000014,10.5,40.5,POINT (10.5 40.5),EU,TF,168.94603838330008,C,0.0,7.0891376,7.0891376
grid_000015,11.0,40.5,POINT (11 40.5),EU,TF,159.4030765870347,C,0.0,7.9546213,7.9546213
grid_000017,12.0,40.5,POINT (12 40.5),EU,TF,165.5150027955846,C,0.0,7.394071,7.394071
grid_000018,12.5,40.5,POINT (12.5 40.5),EU,TF,183.13452000372772,C,0.0,5.758373,5.758373
grid_000019,13.0,40.5,POINT (13 40.5),EU,TF,189.67312198758617,C,0.0,5.1287622,5.1287622
grid_000020,13.5,40.5,POINT (13.5 40.5),EU,TF,209.05725942218797,C,0.0,3.178518,3.178518
grid_000021,14.0,40.5,POINT (14 40.5),EU,TF,197.59831414742828,C,0.0,4.342936,4.342936
grid_000022,14.5,40.5,POINT (14.5 40.5),EU,TF,192.6035965069483,C,0.0,4.845623,4.845623
grid_000023,15.0,40.5,POINT (15 40.5),EU,NF,197.05686984683723,C,0.0,172.80206,7.197937
grid_000024,15.5,40.5,POINT (15.5 40.5),EU,NF,210.35882123557042,C,0.0,135.35472,44.64528
grid_000025,16.0,40.5,POINT (16 40.5),EU,NF,223.5184618878669,C,0.0,136.8048,43.195206
grid_000026,10.0,41.0,POINT (10 41),EU,TF,233.681265985853,C,0.0,78.98172,78.98172
grid_000027,10.5,41.0,POINT (10.5 41),EU,TF,222.09208043317653,C,0.0,1.7747886,1.7747886
grid_000028,11.0,41.0,POINT (11 41),EU,TF,214.84355281648652,C,0.0,2.553938,2.553938
grid_000029,11.5,41.0,POINT (11.5 41),EU,TF,214.08661032533422,C,0.0,2.6344001,2.6344001
grid_000030,12.0,41.0,POINT (12 41),EU,TF,220.3710546363588,C,0.0,1.977014,1.977014
grid_000031,12.5,41.0,POINT (12.5 41),EU,SS,229.935544627281,C,0.0,108.05794,71.94206
grid_000032,13.0,41.0,POINT (13 41),EU,NF,243.72389690983024,C,0.0,137.5386,42.461395
grid_000033,13.5,41.0,POINT (13.5 41),EU,TF,262.8561145009595,C,0.0,177.32265,2.677353
grid_000034,14.0,41.0,POINT (14 41),EU,NF,251.99546135331116,C,0.0,137.75786,42.24214
grid_000035,14.5,41.0,POINT (14.5 41),EU,TF,248.1272134562757,C,0.0,176.08925,3.9107513
grid_000036,15.0,41.0,POINT (15 41),EU,NF,251.57424764317304,C,0.0,148.12828,31.87172
grid_000037,15.5,41.0,POINT (15.5 41),EU,NF,262.0479395915298,C,0.0,137.63617,42.36383
grid_000038,16.0,41.0,POINT (16 41),EU,NF,263.1339126662009,C,0.0,138.03087,41.96913
grid_000039,10.0,41.5,POINT (10 41.5),EU,TF,287.0384121338775,C,0.0,175.12822,4.8717804
grid_000040,10.5,41.5,POINT (10.5 41.5),EU,TF,275.22741105122867,C,0.0,176.14183,3.8581696
grid_000041,11.0,41.5,POINT (11 41.5),EU,TF,270.32335826851335,C,0.0,176.59348,3.4065247
grid_000042,11.5,41.5,POINT (11.5 41.5),EU,TF,269.5478881412062,C,0.0,176.66672,3.3332825
grid_000043,12.0,41.5,POINT (12 41.5),EU,SS,275.4384508031141,C,0.0,151.6269,28.373093
grid_000044,12.5,41.5,POINT (12.5 41.5),EU,TF,283.1516546671844,C,0.0,5.8075304,5.8075304
grid_000045,13.0,41.5,POINT (13 41.5),EU,TF,298.32105681367625,C,0.0,174.20915,5.790848
grid_000046,13.5,41.5,POINT (13.5 41.5),EU,TF,308.0839904323386,C,0.0,143.68988,36.31012
grid_000047,14.0,41.5,POINT (14 41.5),EU,NF,306.80142203991323,C,0.0,140.10338,39.89662
grid_000048,14.5,41.5,POINT (14.5 41.5),EU,TF,303.6560000004979,C,0.0,126.69048,53.309517
grid_000049,15.0,41.5,POINT (15 41.5),EU,TF,306.4581319841743,C,0.0,149.79408,30.205917
grid_000050,15.5,41.5,POINT (15.5 41.5),EU,TF,315.04907460456883,C,0.0,172.66245,7.337555
grid_000051,16.0,41.5,POINT (16 41.5),EU,TF,307.70991128938266,C,0.0,173.48906,6.5109406
grid_000052,10.0,42.0,POINT (10 42),EU,TF,341.0940617092155,C,0.0,171.25883,8.741165
grid_000053,10.5,42.0,POINT (10.5 42),EU,TF,329.8466050724518,C,0.0,171.96588,8.034119
grid_000054,11.0,42.0,POINT (11 42),EU,TF,325.82488551808257,B,0.0,175.00626,4.993744
grid_000055,11.5,42.0,POINT (11.5 42),EU,TF,325.03724914188507,C,0.0,172.28334,7.7166595
grid_000056,12.0,42.0,POINT (12 42),EU,TF,330.18044636626644,C,0.0,171.94418,8.055817
grid_000057,12.5,42.0,POINT (12.5 42),EU,TF,337.11912894503075,C,0.0,152.81241,27.187592
grid_000058,13.0,42.0,POINT (13 42),EU,NF,353.21361304652373,C,0.0,132.53304,47.466965
grid_000059,13.5,42.0,POINT (13.5 42),EU,NF,361.4349835786608,C,0.0,142.3274,37.672607
grid_000060,14.0,42.0,POINT (14 42),EU,NF,361.8327130701681,C,0.0,131.687,48.313004
grid_000061,14.5,42.0,POINT (14.5 42),EU,TF,359.18981151959485,C,0.0,170.12784,9.872162
grid_000062,15.0,42.0,POINT (15 42),EU,NF,361.5438868659352,C,0.0,134.20628,45.793716
grid_000063,15.5,42.0,POINT (15.5 42),EU,TF,368.7991896069308,C,0.0,160.28719,19.712814
grid_000064,16.0,42.0,POINT (16 42),EU,TF,355.3870004520712,C,0.0,147.43082,32.569183
grid_000065,10.0,42.5,POINT (10 42.5),EU,TF,394.89755024671297,C,0.0,168.36336,11.636642
grid_000066,10.5,42.5,POINT (10.5 42.5),EU,TF,384.75627691070054,B,0.0,171.78542,8.214584
grid_000067,11.0,42.5,POINT (11 42.5),EU,TF,381.34077690427443,C,0.0,169.03456,10.965439
grid_000068,11.5,42.5,POINT (11.5 42.5),EU,TF,380.544539624963,C,0.0,169.07478,10.925217
grid_000069,12.0,42.5,POINT (12 42.5),EU,NF,384.92219409353004,C,0.0,139.28777,40.712234
grid_000070,12.5,42.5,POINT (12.5 42.5),EU,NF,391.529461539364,C,0.0,103.13718,76.86282
grid_000071,13.0,42.5,POINT (13 42.5),EU,NF,408.28442392773115,C,0.0,139.28297,40.717026
