ID,LON,LAT,geometry,PLATE,REGIME,DIST,QUALITY,AZI,AZI_PRED,AZI_ERROR,STR
grid_000009,14.5,40.0,POINT (14.5 40),EU,TF,137.0855456947743,C,0.0,7.3986835,7.3986835,0.46289125
grid_000010,15.0,40.0,POINT (15 40),EU,TF,143.31921309463843,C,0.0,0.61771435,0.61771435,0.46053833
grid_000011,15.5,40.0,POINT (15.5 40),EU,NF,161.24341589842652,C,0.0,142.63559,37.36441,0.6381258
grid_000012,16.0,40.0,POINT (16 40),EU,NF,182.6686520273247,C,0.0,143.33542,36.66458,0.7136362
grid_000013,10.0,40.5,POINT (10 40.5),EU,TF,181.63477992652017,C,0.0,107.14615,72.85385,0.44555107
grid_000014,10.5,40.5,POINT (10.5 40.5),EU,TF,168.94603838330008,C,0.0,110.385185,69.614815,0.43272686
grid_000015,11.0,40.5,POINT (11 40.5),EU,TF,159.4030765870347,C,0.0,121.130905,58.869095,0.18336394
grid_000017,12.0,40.5,POINT (12 40.5),EU,TF,165.5150027955846,C,0.0,134.54666,45.45334,0.16661005
grid_000018,12.5,40.5,POINT (12.5 40.5),EU,TF,183.13452000372772,C,0.0,131.05954,48.94046,0.22070944
grid_000019,13.0,40.5,POINT (13 40.5),EU,TF,189.67312198758617,C,0.0,132.1949,47.8051,0.27912614
grid_000021,14.0,40.5,POINT (14 40.5),EU,TF,197.59831414742828,C,0.0,155.19441,24.805588,0.34968477
grid_000022,14.5,40.5,POINT (14.5 40.5),EU,TF,192.6035965069483,C,0.0,175.88834,4.111664,0.4120462
grid_000023,15.0,40.5,POINT (15 40.5),EU,NF,197.05686984683723,C,0.0,126.42886,53.571136,0.6560915
grid_000024,15.5,40.5,POINT (15.5 40.5),EU,NF,210.35882123557042,C,0.0,132.4762,47.523804,0.69157284
grid_000025,16.0,40.5,POINT (16 40.5),EU,NF,223.5184618878669,C,0.0,132.39555,47.604446,0.6635613
grid_000026,10.0,41.0,POINT (10 41),EU,TF,233.681265985853,C,0.0,111.69226,68.30774,0.44467574
grid_000027,10.5,41.0,POINT (10.5 41),EU,TF,222.09208043317653,C,0.0,114.17739,65.82261,0.3714565
grid_000028,11.0,41.0,POINT (11 41),EU,TF,214.84355281648652,C,0.0,114.0616,65.9384,0.30507064
grid_000029,11.5,41.0,POINT (11.5 41),EU,TF,214.08661032533422,C,0.0,162.49828,17.501724,0.107193366
grid_000030,12.0,41.0,POINT (12 41),EU,TF,220.3710546363588,C,0.0,138.7733,41.2267,0.124701604
grid_000031,12.5,41.0,POINT (12.5 41),EU,SS,229.935544627281,A,0.0,132.70427,47.29573,0.18023837
grid_000032,13.0,41.0,POINT (13 41),EU,NF,243.72389690983024,C,0.0,133.8226,46.1774,0.2470353
grid_000033,13.5,41.0,POINT (13.5 41),EU,TF,262.8561145009595,C,0.0,140.81761,39.18239,0.46760392
grid_000034,14.0,41.0,POINT (14 41),EU,NF,251.99546135331116,C,0.0,140.04265,39.95735,0.5788812
grid_000035,14.5,41.0,POINT (14.5 41),EU,TF,248.1272134562757,C,0.0,143.13918,36.860825,0.5872503
grid_000036,15.0,41.0,POINT (15 41),EU,NF,251.57424764317304,C,0.0,135.10031,44.89969,0.6350608
grid_000037,15.5,41.0,POINT (15.5 41),EU,NF,262.0479395915298,C,0.0,132.10347,47.89653,0.6316874
grid_000038,16.0,41.0,POINT (16 41),EU,NF,263.1339126662009,C,0.0,132.00754,47.992462,0.56005585
grid_000039,10.0,41.5,POINT (10 41.5),EU,TF,287.0384121338775,C,0.0,113.54377,66.45623,0.32061744
grid_000040,10.5,41.5,POINT (10.5 41.5),EU,TF,275.22741105122867,C,0.0,111.76497,68.23503,0.3071625
grid_000042,11.5,41.5,POINT (11.5 41.5),EU,TF,269.5478881412062,C,0.0,2.8085268,2.8085268,0.33269012
grid_000043,12.0,41.5,POINT (12 41.5),EU,SS,275.4384508031141,C,0.0,148.25713,31.742874,0.20437945
grid_000044,12.5,41.5,POINT (12.5 41.5),EU,TF,283.1516546671844,C,0.0,146.68604,33.313965,0.44559813
grid_000045,13.0,41.5,POINT (13 41.5),EU,TF,298.32105681367625,C,0.0,147.88431,32.115692,0.5379373
grid_000046,13.5,41.5,POINT (13.5 41.5),EU,TF,308.0839904323386,C,0.0,139.39331,40.60669,0.6136221
grid_000047,14.0,41.5,POINT (14 41.5),EU,NF,306.80142203991323,C,0.0,135.90141,44.098587,0.70909345
grid_000048,14.5,41.5,POINT (14.5 41.5),EU,TF,303.6560000004979,C,0.0,132.80374,47.19626,0.76671207
grid_000049,15.0,41.5,POINT (15 41.5),EU,TF,306.4581319841743,C,0.0,134.41553,45.584473,0.71380574
grid_000050,15.5,41.5,POINT (15.5 41.5),EU,TF,315.04907460456883,C,0.0,135.36002,44.639984,0.606681
grid_000051,16.0,41.5,POINT (16 41.5),EU,TF,307.70991128938266,C,0.0,135.83894,44.161057,0.5393795
grid_000052,10.0,42.0,POINT (10 42),EU,TF,341.0940617092155,C,0.0,129.44008,50.55992,0.13364255
grid_000053,10.5,42.0,POINT (10.5 42),EU,TF,329.8466050724518,C,0.0,134.63316,45.366837,0.107903965
grid_000055,11.5,42.0,POINT (11.5 42),EU,TF,325.03724914188507,C,0.0,146.15228,33.847717,0.18939416
grid_000056,12.0,42.0,POINT (12 42),EU,TF,330.18044636626644,C,0.0,141.82658,38.173416,0.40129462
grid_000057,12.5,42.0,POINT (12.5 42),EU,TF,337.11912894503075,C,0.0,141.03857,38.961426,0.54591614
grid_000058,13.0,42.0,POINT (13 42),EU,NF,353.21361304652373,C,0.0,138.40372,41.596283,0.69514257
